Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
15. СТРОИТЕЛЬСТВО;;;;;;;;;;;;;;;;;;;
ЖИЛИЩНОЕ И СОЦИАЛЬНО-КУЛЬТУРНОЕ СТРОИТЕЛЬСТВО;;;;;;;;;;;;;;;;;;;
15.7. ВВОД В ДЕЙСТВИЕ ЖИЛЫХ ДОМОВ, ПОСТРОЕННЫХ НАСЕЛЕНИЕМ ЗА СЧЕТ СОБСТВЕННЫХ И ПРИВЛЕЧЕННЫХ СРЕДСТВ;;;;;;;;;;;;;;;;;;;
(тысяч м2 общей площади жилых помещений);;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;12609;13060;14177;15166;16093;17530;19969;26307;27367;28546;25518;26761;28378;30663;36236;35203;31791;32987;32421
Центральный федеральный округ;3246;3201;3623;4268;4731;5153;5151;6992;6769;7551;6808;7029;7140;7256;8005;9591;8491;9771;9968
Белгородская область;361;375;325;355;386;486;638;665;669;759;853;962;996;981;1079;1251;1140;1056;1034
Брянская область;90;119;120;115;114;119;114;141;115;131;138;139;157;212;200;218;99;73;70
Владимирская область;82;94;104;112;145;133;154;208;216;227;239;256;306;260;315;331;329;414;365
Воронежская область;210;253;314;275;256;260;234;300;327;370;350;401;406;491;537;464;462;655;794
Ивановская область;36;34;42;46;50;43;49;48;54;63;56;107;100;80;78;51;27;129;154
Калужская область;55;69;74;116;124;130;120;213;291;294;273;295;275;353;479;378;348;440;379
Костромская область;34;48;42;56;55;61;43;84;100;102;74;77;86;152;179;135;155;119;120
Курская область;61;68;70;75;103;96;74;82;159;108;98;91;141;189;172;244;226;258;325
Липецкая область;132;175;160;175;197;226;306;380;366;496;513;462;601;580;711;574;616;812;654
Московская область;1551;1315;1631;2114;2474;2715;2486;3656;3242;3613;2963;2800;2380;1784;1677;3219;2808;3529;3715
Орловская область;152;151;131;122;119;110;83;83;93;84;72;136;164;133;197;201;109;100;120
Рязанская область;76;95;95;116;103;112;128;114;123;136;111;156;150;216;235;264;215;322;290
Смоленская область;45;70;56;101;89;97;130;145;141;130;162;165;140;209;234;319;308;220;227
Тамбовская область;114;125;168;150;162;222;283;376;391;412;392;397;459;498;549;502;599;644;589
Тверская область;94;99;131;171;182;166;156;214;213;270;235;230;184;291;299;177;161;151;153
Тульская область;99;62;106;112;93;95;106;168;194;225;190;170;203;293;370;434;275;303;355
Ярославская область;54;48;56;58;79;83;47;115;76;92;73;160;172;223;200;256;292;328;402
