Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
15. СТРОИТЕЛЬСТВО;;;;;;;;;;;;;;;;;;;
ЖИЛИЩНОЕ И СОЦИАЛЬНО-КУЛЬТУРНОЕ СТРОИТЕЛЬСТВО;;;;;;;;;;;;;;;;;;;
15.8. УДЕЛЬНЫЙ ВЕС ЖИЛЫХ ДОМОВ, ПОСТРОЕННЫХ НАСЕЛЕНИЕМ ЗА СЧЕТ СОБСТВЕННЫХ И ПРИВЛЕЧЕННЫХ СРЕДСТВ, В ОБЩЕМ ВВОДЕ ЖИЛЬЯ;;;;;;;;;;;;;;;;;;;
(в процентах);;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;41,6;41,2;41,9;41,6;39,2;40,2;39,5;43,0;42,7;47,7;43,7;43,0;43,2;43,5;43,0;41,2;39,6;41,6;42,9
Центральный федеральный округ;31,9;30,2;30,4;32,1;30,9;33,8;29,7;35,1;35,4;40,0;39,0;38,9;39,3;35,8;32,6;37,5;35,4;40,2;42,5
Белгородская область;51,2;63,0;49,1;52,9;47,8;58,5;67,9;62,5;60,2;69,1;77,5;83,7;81,9;75,7;73,4;80,5;84,5;81,2;85,0
Брянская область;39,9;50,1;49,5;51,8;49,7;60,0;46,1;47,1;35,8;37,2;35,4;33,0;34,5;40,2;36,4;33,8;14,9;13,0;17,4
Владимирская область;29,2;38,3;40,9;40,1;44,7;40,8;45,1;55,4;51,5;50,4;49,7;58,5;60,2;50,0;52,0;51,1;50,1;59,5;56,0
Воронежская область;36,9;43,3;48,1;36,6;36,4;33,2;27,4;30,8;29,2;41,6;33,3;40,2;36,6;36,4;34,1;28,5;27,5;38,8;47,0
Ивановская область;34,5;37,3;42,0;38,8;55,4;40,5;27,3;33,9;31,4;33,9;29,6;49,2;45,0;34,4;30,7;19,7;15,0;38,0;41,8
Калужская область;31,1;35,4;37,1;53,4;57,5;49,4;45,3;46,5;46,1;64,3;54,5;49,3;44,9;53,7;59,3;47,4;47,2;49,9;48,1
Костромская область;21,5;26,2;37,3;52,9;67,6;52,1;39,4;60,1;67,0;56,6;49,1;49,3;42,2;66,4;54,5;41,8;50,1;38,2;60,9
Курская область;34,5;35,4;36,4;27,3;35,9;32,4;22,5;21,9;35,5;23,6;25,8;23,1;33,1;38,0;30,7;42,9;38,6;43,6;54,7
Липецкая область;41,1;45,3;52,6;50,5;46,7;44,4;49,4;53,9;50,7;67,8;69,6;60,7;74,4;67,6;70,4;54,1;57,1;74,9;72,4
Московская область;59,4;46,5;47,8;51,4;43,2;51,3;38,3;46,8;41,1;42,7;37,3;34,0;36,0;24,1;16,9;33,5;31,5;38,9;41,9
Орловская область;61,9;61,3;56,3;51,0;49,3;44,2;32,7;26,7;28,6;27,7;28,8;40,7;45,5;35,0;41,9;41,8;30,4;37,4;41,5
Рязанская область;29,8;51,4;42,8;44,1;38,2;37,2;33,9;25,0;24,5;26,6;23,7;32,6;29,2;39,1;38,9;39,6;30,4;45,1;37,2
Смоленская область;26,6;38,8;28,4;38,7;33,7;35,9;43,6;48,2;41,0;37,5;46,4;44,4;53,8;50,9;52,1;62,1;48,8;45,4;63,0
Тамбовская область;47,3;56,8;67,6;57,8;52,0;63,3;67,3;74,9;69,8;73,7;68,8;65,9;72,1;70,7;71,2;60,8;72,0;76,7;68,6
