Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
15. СТРОИТЕЛЬСТВО;;;;;;;;;;;;;;;;;;;
ЖИЛИЩНОЕ И СОЦИАЛЬНО-КУЛЬТУРНОЕ СТРОИТЕЛЬСТВО;;;;;;;;;;;;;;;;;;;
 15.9. ВВОД В ДЕЙСТВИЕ МОЩНОСТЕЙ ОБЩЕОБРАЗОВАТЕЛЬНЫХ  ОРГАНИЗАЦИЙ;;;;;;;;;;;;;;;;;;;
15.9.1. Ввод в действие мощностей общеобразовательных организаций;;;;;;;;;;;;;;;;;;;
(ученических мест);;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;133837;117489;82189;88530;70070;72965;73369;88342;67566;77156;67846;60485;48784;69983;55651;66309;90289;108371;102092
Центральный  федеральный округ;24750;24699;24455;28771;24033;20081;27503;29142;23148;17465;14266;13989;18678;20168;23463;17860;35912;35420;22558
Белгородская область;880;754;1562;3210;726;54;1142;1120;407;-;1848;564;180;486;80;100;1132;2844;898
Брянская область;1848;697;587;987;1267;1486;220;-;645;1392;- ;-;360;-;242;216;1250;1160;-
Владимирская область;488;108;1296;36;-;-;288;-;-;-; -;264;825;-;-;-;-;300;1365
Воронежская область;576;434;624;737;140;492;1112;1270;440;1440;1505;1875;160;500;957;500;1669;1854;1224
Ивановская область;-;-;-;-;340;345;-;-;-;825;- ;-;-;-;-;-;-;-;-
Калужская область;1444;158;380;162;50;132;-;1250;-;180;- ;880;142;-;90;-;1360;-;1309
Костромская область;278;124;108;322;-;195;340;251;80;600;18;-;-;108;-;-;-;-;-
Курская область;170;732;157;266;781;580;869;506;192;252;48;-;400;164;-;-;1002;1650;-
Липецкая область;2040;1757;343;-;451;512;1108;858;-;250;960;951;960;916;-;-;977;1600;800
Московская область;2075;2070;2828;4345;4734;1698;5802;9219;5129;2908;3635;5242;7615;10669;15659;7670;17955;11428;9730
Орловская область;462;928;330;321;222;88;350;168;-;88;200;938;-;350;-;550;550;-;332
Рязанская область;480;288;276;235;216;384;416;704;224;198;264;-;2002;-;160;-;1650;1482;382
