Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
15. СТРОИТЕЛЬСТВО;;;;;;;;;;;;;;;;;;;
ЖИЛИЩНОЕ И СОЦИАЛЬНО-КУЛЬТУРНОЕ СТРОИТЕЛЬСТВО;;;;;;;;;;;;;;;;;;;
 15.9.2. ВВОД В ДЕЙСТВИЕ МОЩНОСТЕЙ ОБЩЕОБРАЗОВАТЕЛЬНЫХ И ДОШКОЛЬНЫХ ОБРАЗОВАТЕЛЬНЫХ ОРГАНИЗАЦИЙ;;;;;;;;;;;;;;;;;;;
15.9.2. Ввод в действие мощностей дошкольных образовательных организаций;;;;;;;;;;;;;;;;;;;
(мест);;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;6815;5675;7255;7653;7287;5006;19967;26145;28305;19564;22904;44957;53895;90330;128868;143285;63297;40822;49942
Центральный  федеральный округ;2205;2731;4216;5400;4277;2962;16817;18368;15855;7370;7867;10596;17508;27058;34125;32759;16754;12753;13927
Белгородская область;190;180;30;-;56;90;75;40;135;-;790;557;318;965;910;1748;540;306;932
Брянская область;235;-;-;280;-;-;20;-;160;-;-;170;-;-;670;1378;20;-;150
Владимирская область;-;50;98;-;-;-;40;-;-;235;70;-;225;600;455;444;560;176;-
Воронежская область;60;-;-;-;-;-;90;-;-;20;80;480;270;455;2649;502;1705;1780;716
Ивановская область;-;-;20;-;-;30;330;150;-;95;120;-;-;240;295;600;300;240;-
Калужская область;20;-;12;-;-;-;-;-;60;135;110;110;80;410;475;805;250;545;505
Костромская область;20;10;-;-;6;10;-;-;-;-;12;-;-;80;595;600;400;360;-
Курская область;-;-;-;-;-;-;50;140;-;210;-;560;65;999;1390;855;540;-;420
Липецкая область;-;75;16;-;-;62;315;218;448;260;-;580;485;448;1018;959;-;40;380
Московская область;-;-;-;-;230;140;1150;2030;2772;1760;2360;3975;3855;13832;17329;15652;5047;5717;4884
Орловская область;-;-;280;-;-;-;-;-;-;-;-;-;300;260;565;910;460;-;-
Рязанская область;-;-;-;-;45;-;-;25;30;345;160;150;-;1528;1211;551;-;220;55
Смоленская область;-;-;-;-;-;-;-;-;-;-;-;150;110;-;240;1260;402;390;50
Тамбовская область;-;25;-;90;-;50;20;-;-;20;-;-;500;1057;1185;-;250;-;250
Тверская область;-;-;-;-;90;-;-;20;-;-;-;455;120;339;90;620;110;100;25
Тульская область;-;-;-;-;-;-;-;-;-;-;-;104;-;240;280;600;120;369;260
Ярославская область;-;-;-;-;-;-;12;420;220;20;140;-;280;640;423;120;1110;250;460
г. Москва;1680;2391;3760;5030;3850;2580;14715;15325;12030;4270;4025;3305;10900;4965;4345;5155;4940;2260;4840
Северо-Западный   федеральный округ;616;335;105;275;140;648;-;1225;2350;2415;1617;5553;4235;4218;7435;11014;7477;6057;4387
Республика Карелия;320;-;60;-;-;-;-;-;40;-;-;-;-;280;278;300;210;150;300
Республика Коми;-;-;-;95;-;-;-;-;40;260;27;760;590;605;1215;995;265;40;-
Архангельская область;-;40;45;-;-;-;-;-;220;330;-;140;437;60;550;1245;400;320;60
в том числе:;;;;;;;;;;;;;;;;;;;
Ненецкий автономный   округ;-;-;-;-;-;-;-;-;220;300;-;30;75;-;-;300;-;220;-
Архангельская область без автономного округа;-;40;45;-;-;-;-;-;-;30;-;110;362;60;550;945;400;100;60
Вологодская область;280;90;-;-;90;48;-;60;190;30;395;450;600;410;792;500;440;577;420
Калининградская область;-;-;-;-;-;-;-;240;-;240;-;295;28;580;1245;2715;832;-;-
Ленинградская область;-;-;-;-;-;-;-;-;230;75;280;100;940;560;420;2845;1955;1860;882
Мурманская область;-;-;-;80;-;245;-;330;-;25;115;338;55;150;170;360;360;140;220
Новгородская область;16;105;-;-;-;-;-;-;-;140;-;120;-;380;75;220;240;160;-
Псковская область;-;100;-;-;50;-;-;-;220;-;-;-;-;203;175;65;80;-;-
г. Санкт-Петербург;-;-;-;100;-;355;-;595;1410;1315;800;3350;1585;990;2515;1769;2695;2810;2505
Южный           федеральный округ;-;60;-;-;100;90;-;385;1080;215;120;2220;2205;5547;7696;12981;5804;3002;7065
Республика Адыгея;-;-;-;-;-;-;-;-;-;-;-;480;240;-;930;120;-;-;-
Республика Калмыкия;-;-;-;-;-;-;-;-;-;-;-;-;-;490;50;767;645;25;-
Республика  Крым;;;;;;;;;;;;;;;150;520;150;-;2390
Краснодарский край;-;-;-;-;-;-;-;-;50;120;80;695;1460;2724;3391;6142;1507;1030;1120
Астраханская область;-;-;-;-;-;-;-;-;150;-;-;-;-;245;165;340;60;185;480
Волгоградская область;-;-;-;-;100;-;-;170;370;-;40;425;-;513;1105;1242;812;132;845
Ростовская область;-;60;-;-;-;90;-;215;510;95;-;620;505;1575;1905;3850;2630;1370;1750
г. Севастополь;;;;;;;;;;;;;;;-;-;-;260;480
Северо-Кавказский федеральный округ;490;214;220;160;430;-;335;825;365;190;830;2640;1085;8533;8855;6925;5235;1770;3113
Республика Дагестан;50;50;-;-;250;-;-;-;-;-;-;345;430;1709;2875;755;935;370;518
Республика Ингушетия;-;-;-;-;-;-;-;100;-;-;-;80;320;695;660;560;220;440;220
Кабардино-Балкарская Республика;-;24;-;160;40;-;120;395;230;70;-;-;-;-;620;820;80;-;140
Карачаево-Черкесская   Республика;-;-;-;-;-;-;-;-;-;-;-;-;-;-;165;2040;680;540;295
Республика Северная Осетия – Алания;-;140;-;-;-;-;215;-;-;-;-;-;30;340;400;-;120;300;480
Чеченская Республика;-;-;-;-;-;-;-;-;-;120;200;1660;-;4380;2140;800;1840;120;1000
Ставропольский край;440;-;220;-;140;-;-;330;135;-;630;555;305;1409;1995;1950;1360;-;460
Приволжский   федеральный округ;1714;1188;1954;728;1409;529;1182;1442;2388;3052;4417;10499;12199;16547;33266;28300;10098;6494;11532
Республика Башкортостан;356;215;70;52;250;105;210;275;320;180;350;905;4071;2280;4321;3938;245;1119;285
Республика Марий Эл;-;89;-;-;25;-;-;-;-;-;-;-;40;-;669;815;136;-;605
Республика Мордовия;-;-;-;-;-;-;-;-;-;-;-;-;320;305;1085;795;315;490;240
Республика Татарстан;815;295;1533;621;749;64;566;570;1210;249;1150;5860;591;1945;10225;9802;3174;570;1767
Удмуртская Республика;45;214;140;-;-;130;76;92;268;548;633;1436;1034;2618;2214;666;80;95;1260
Чувашская Республика;-;-;-;-;-;-;-;-;75;275;270;-;1792;1235;2886;924;40;740;-
Пермский край;153;80;146;-;45;-;-;35;155;100;513;400;140;1374;1933;2984;1214;1045;1363
Кировская область;55;15;-;-;-;50;10;-;-;-;35;211;590;580;1551;1836;177;20;1640
Нижегородская область ;-;55;-;-;20;180;-;180;95;500;231;504;705;1605;2275;1171;1094;240;185
Оренбургская область;140;170;-;55;280;-;-;-;190;-;-;258;660;323;950;865;345;45;600
Пензенская область;-;-;20;-;-;-;-;290;-;535;1215;320;365;580;1605;1696;60;435;102
Самарская область;100;55;25;-;40;-;320;-;-;60;-;100;1200;1822;570;730;1550;755;2220
Саратовская область;50;-;20;-;-;-;-;-;75;580;20;262;691;1460;2802;1408;1533;460;690
Ульяновская область;-;-;-;-;-;-;-;-;-;25;-;243;-;420;180;670;135;480;575
Уральский      федеральный округ;765;525;285;640;580;320;920;1475;1350;2903;4430;5649;6693;12351;15487;20556;8418;4040;4324
Курганская область;120;-;-;-;-;-;-;-;-;175;90;90;-;100;237;335;1860;240;35
Свердловская область ;-;-;160;-;95;50;365;350;130;610;795;1925;2295;4039;9062;12599;1299;1625;1014
Тюменская область;340;240;105;495;485;50;555;955;970;1046;2905;3124;3286;5975;4351;4683;3912;1935;2845
в том числе:;;;;;;;;;;;;;;;;;;;
Ханты-Мансийский автономный округ – Югра;280;120;55;355;485;-;185;905;970;805;2285;2434;1755;4175;3026;3723;3432;615;805
Ямало-Ненецкий автономный округ;60;-;50;140;-;50;370;-;-;80;400;-;655;1470;420;600;480;1320;920
Тюменская область без  автономных округов;-;120;-;-;-;-;-;50;-;161;220;690;876;330;905;360;-;-;1120
Челябинская область;305;285;20;145;-;220;-;170;250;1072;640;510;1112;2237;1837;2939;1347;240;430
Сибирский       федеральный округ;405;320;95;260;65;35;130;1455;4102;1900;2017;5190;7233;12632;15786;22638;6936;2253;2685
Республика Алтай;-;-;-;-;-;-;-;140;-;-;-;235;65;310;200;730;100;-;-
Республика Тыва;-;-;-;-;-;-;-;-;-;-;-;-;50;300;335;420;280;320;-
Республика Хакасия;-;-;-;-;-;-;-;90;260;-;260;300;-;220;680;260;260;-;-
Алтайский край;-;-;-;15;-;-;-;-;520;230;375;340;425;1085;1046;2082;1771;25;-
Красноярский край;145;40;-;95;-;-;30;50;165;380;75;540;952;2603;1410;4530;1480;475;615
Иркутская область;-;-;-;-;15;-;-;100;110;40;-;370;615;1169;2684;3310;1688;-;1230
Кемеровская область;-;-;-;-;50;35;-;585;974;790;692;1501;1755;1620;2532;1034;155;923;140
Новосибирская область ;140;280;95;115;-;-;100;280;2073;350;140;1507;2891;4152;4669;5740;460;220;330
Омская область;-;-;-;-;-;-;-;210;-;-;255;110;140;623;675;2082;670;110;80
Томская область;120;-;-;35;-;-;-;-;-;110;220;287;340;550;1555;2450;72;180;290
Дальневосточный   федеральный округ;620;302;380;190;286;422;583;970;815;1519;1606;2610;2737;3444;6218;8112;2575;4453;2909
Республика Бурятия;-;-;-;-;-;-;-;-;250;240;46;905;186;120;720;450;-;-;-
Республика Саха (Якутия);455;190;275;190;210;372;153;65;50;590;440;845;688;513;1225;2378;555;2163;1663
Забайкальский край;-;50;95;-;-;50;270;640;315;375;40;-;118;461;490;1046;395;355;406
Камчатский край;-;-;-;-;-;-;60;-;200;-;230;-;290;260;220;220;-;-;260
Приморский край;140;-;-;-;-;-;-;205;-;55;-;480;360;220;1540;1866;360;240;-
Хабаровский край ;-;-;-;-;76;-;10;20;-;-;20;105;345;840;470;830;-;650;20
Амурская область;25;62;10;-;-;-;-;-;-;219;-;-;40;270;603;482;420;230;-
Магаданская область;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;175;-
Сахалинская область;-;-;-;-;-;-;-;-;-;-;830;275;630;680;950;840;730;640;560
Еврейская автономная область;-;-;-;-;-;-;-;40;-;40;-;-;-;80;-;-;115;-;-
Чукотский автономный округ;-;-;-;-;-;-;90;-;-;-;-;-;80;-;-;-;-;-;-
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
