Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
16. ТОРГОВЛЯ И УСЛУГИ НАСЕЛЕНИЮ;;;;;;;;;;;;;;;;;;;
УСЛУГИ НАСЕЛЕНИЮ;;;;;;;;;;;;;;;;;;;
16.10. ОБЪЕМ БЫТОВЫХ УСЛУГ НАСЕЛЕНИЮ;;;;;;;;;;;;;;;;;;;
16.10.1. Всего;;;;;;;;;;;;;;;;;;;
(миллионов рублей);;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;87889;109613;126833;152582;188452;228679;277883;330839;405839;446728;487178;533466;595026;745747;806022;877938;928625;960577;1006536
Центральный   федеральный округ;35940;43766;51114;61078;75381;89484;107229;116844;135840;149273;159761;170760;182018;228492;243002;251131;263104;273326;281707
Белгородская область;826;1191;1102;1306;1630;2066;2559;3556;5463;6885;7696;8334;9238;10547;11319;12576;13236;13583;14028
Брянская область;1122;1600;1806;2137;2784;3115;3870;4440;4896;4617;4461;4663;4954;5816;6421;6542;6965;7188;7804
Владимирская область;613;747;871;1118;1366;1644;1939;2585;2741;4766;5171;5670;6716;9194;10143;9890;9908;9092;9019
Воронежская область;1093;1545;1766;2081;2635;3223;3711;4322;5811;7013;9993;10903;13050;16983;18418;20222;21913;22987;23423
Ивановская область;561;623;638;808;1034;1197;1423;1606;1863;2112;2425;2896;3330;3909;4314;4408;4410;4592;4642
Калужская область;425;499;650;772;912;1088;1287;1718;2321;2717;3010;3210;3768;4800;5156;5269;5235;5621;5782
Костромская область;188;227;223;269;321;360;506;579;688;628;1663;1843;2116;2196;2296;2398;2510;2651;2769
Курская область;345;404;440;694;987;1462;2419;3672;4984;4962;5089;5389;5895;6920;7723;8447;8944;9271;9696
Липецкая область;544;767;940;1167;1462;1873;2422;2947;3842;4512;5027;5681;6627;7765;8787;9329;9948;10547;11132
Московская область;7959;10524;12861;16162;20228;22401;26621;31097;36200;37433;41429;44215;44436;62486;65067;67606;71780;74917;76301
Орловская область;388;507;632;747;940;1073;1124;1217;1346;1804;2035;2468;2635;3266;3775;4311;4442;4710;4933
Рязанская область;362;568;725;936;1070;1187;1301;1537;1792;1870;2353;2630;2911;3240;3493;3438;3518;3632;3942
Смоленская область;373;391;362;432;532;655;834;970;1283;1320;1428;1568;1655;2227;2449;2327;2364;2337;2379
Тамбовская область;563;828;1101;1392;1627;1898;2128;2724;4249;4709;5030;5414;5917;6865;7609;8289;8584;8873;9108
Тверская область;296;395;464;662;853;1055;1341;1714;1885;2238;2462;2655;3255;3660;3833;4143;4552;4628;4831
Тульская область;683;810;893;1111;1409;1670;1917;2286;2741;3429;3970;4157;4969;5904;6288;6748;7186;7200;7591
Ярославская область;543;714;640;798;1044;1409;1857;2277;2369;2932;2511;2438;3022;3410;3701;3847;4353;4321;4361
г. Москва;19058;21425;24999;28486;34548;42110;49968;47596;51366;55325;54008;56625;57524;69302;72207;71340;73255;77176;79967
Северо-Западный    федеральный округ;6666;8392;10198;13300;16767;20375;26206;31832;40042;44188;46271;50968;55431;64145;68695;74256;76528;79086;83508
Республика Карелия;339;450;529;734;910;1100;1289;1580;1589;1511;1746;1875;2152;2360;2537;2659;2734;2862;2914
