Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
16. ТОРГОВЛЯ И УСЛУГИ НАСЕЛЕНИЮ;;;;;;;;;;;;;;;;;;;
УСЛУГИ НАСЕЛЕНИЮ;;;;;;;;;;;;;;;;;;;
16.11. ОБЪЕМ ТРАНСПОРТНЫХ УСЛУГ ;;;;;;;;;;;;;;;;;;;
16.11.2. На душу населения;;;;;;;;;;;;;;;;;;;
(рублей);;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;1070;1408;1842;2285;2748;3397;4147;5042;6132;6416;6584;7471;8255;9048;9484;10119;11587;12602;13137
Центральный      федеральный округ;1832;2379;2994;3806;4542;5387;6362;7498;8741;8970;9371;10396;11313;12405;13506;15222;19967;22124;22817
Белгородская область;250;333;547;650;1154;1485;2091;3035;3743;3560;4092;5057;5195;6687;6945;6958;6886;6812;6821
Брянская область;425;559;776;928;1160;1507;1888;2386;3098;3496;3716;4227;4271;4558;4463;4548;4903;5142;5301
Владимирская область;360;396;590;714;948;1187;1387;1662;2282;2438;2644;4157;4812;5813;6719;7473;7392;6984;7191
Воронежская область;257;535;870;918;708;996;1520;1837;2472;2778;3518;4843;6057;7423;7856;9163;9338;10322;10973
Ивановская область;271;481;715;830;993;1253;1413;1665;1849;1996;2182;2595;2963;3448;4375;3959;4275;4382;4575
Калужская область;376;588;775;1001;1133;1343;1636;1951;2412;2599;2652;2992;3166;3457;3810;3983;3776;3762;3935
Костромская область;313;441;640;747;943;1239;1543;1776;2095;2285;2835;3298;3597;4576;5115;5320;5292;5175;5283
Курская область;281;428;648;820;1051;1883;3039;3617;4517;4839;5058;5434;5967;6518;7289;7697;8226;8307;8450
Липецкая область;263;386;552;808;1125;1542;1950;2241;2769;3184;3402;3843;4324;4818;5455;6243;6705;6818;7103
Московская область;350;625;874;1095;1682;2111;3114;3591;4757;5069;5456;6386;7642;7828;7267;7058;7259;7399;6938
Орловская область;381;473;693;1029;910;1015;1111;1380;1983;2552;2793;3171;3371;4023;3660;3804;4038;4256;4369
Рязанская область;193;312;437;514;823;1039;1242;1492;1816;2040;2339;2687;2750;2903;2529;2462;2601;2667;2688
Смоленская область;259;308;400;748;843;1054;1336;1536;1824;1916;2190;2537;2827;2953;3241;3137;3165;3155;3175
