Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
16. ТОРГОВЛЯ И УСЛУГИ НАСЕЛЕНИЮ;;;;;;;;;;;;;;;;;;;
УСЛУГИ НАСЕЛЕНИЮ;;;;;;;;;;;;;;;;;;;
16.12. ОБЪЕМ ТЕЛЕКОММУНИКАЦИОННЫХ УСЛУГ НАСЕЛЕНИЮ1);;;;;;;;;;;;;;;;;;;
16.12.1. Всего;;;;;;;;;;;;;;;;;;;
(миллионов рублей);;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;67516;98170;160831;239060;314232;420277;519651;680884;803004;877293;950653;1044376;1126643;1226545;1268730;1283482;1291072;1277937;1329650
Центральный     федеральный округ;26817;38160;68640;103523;123075;165796;202671;264635;311033;334891;350962;385774;412571;456332;468543;476520;472734;437339;441848
Белгородская область;358;515;711;997;1520;2125;2775;3201;5567;6944;7559;8296;8767;9906;10584;10718;10984;10501;10732
Брянская область;240;404;565;691;1411;2285;2781;3464;4322;4635;5406;5675;6446;7101;7260;7573;7710;8028;8694
Владимирская область;407;609;731;1184;1684;2678;3492;4731;6065;6529;7236;7161;8300;9875;9101;9063;9157;9569;10017
Воронежская область;664;1048;1421;2050;3102;4582;5696;7789;9312;9969;11515;13235;14370;15497;16180;16117;16896;16386;16314
Ивановская область;235;329;612;900;1211;1714;2087;2833;3204;3492;3815;3950;4275;4541;4494;5942;6022;6045;6620
Калужская область;325;459;572;1386;1684;2220;2881;3935;4962;5617;5983;6653;7263;7768;7777;7610;7378;7650;8078
Костромская область;157;221;452;612;759;1317;1823;2476;2533;2639;3052;3325;3558;4229;4492;4557;4594;4427;4709
Курская область;264;353;501;1008;1403;1971;2783;3568;4539;4839;5509;5771;6430;7260;7658;7579;7226;7383;7661
Липецкая область;345;467;694;1134;1887;2347;2906;3670;4334;4764;5208;6305;6882;7598;8046;7945;7928;8453;9460
Московская область;2206;3100;4365;5669;6144;7170;7507;8856;9319;11087;12702;13898;15136;31784;31974;32870;33494;31584;32562
Орловская область;203;386;611;734;1196;1765;2000;2345;2691;2989;3286;3729;4451;4851;5007;5134;4928;5128;5436
Рязанская область;268;377;759;1220;1901;2489;3118;4080;4961;5600;6247;6516;7025;7560;8359;7923;8343;8729;9359
Смоленская область;352;472;604;1192;1608;2114;2505;3407;4028;4097;4240;4553;4960;5482;6100;5952;5938;6081;6449
Тамбовская область;333;497;716;985;1424;1808;2437;3253;4213;4700;4770;5232;5737;6257;6328;6262;6110;6243;6288
Тверская область;365;504;616;982;2111;3686;4838;6291;8703;7329;7235;7458;7889;8219;8145;8545;8466;8411;8900
Тульская область;477;691;1114;1627;1935;3346;4457;5556;6679;7019;7824;9595;10138;10652;10830;10437;10433;11064;11375
Ярославская область;459;727;943;1336;1760;2149;4166;5296;5322;5584;6141;6223;6774;7436;8072;8200;8401;8788;9557
г. Москва;19160;27000;52654;79816;90334;120032;144418;189882;220279;237055;243235;268199;284171;300316;308135;314092;308726;272869;269637
Северо-Западный      федеральный округ;8960;13129;19741;26025;38080;46659;56749;73517;85036;93021;104676;114370;123637;135635;144298;143354;148431;151622;156508
Республика Карелия;286;370;507;773;962;1128;1229;1571;1865;2406;2530;2485;3192;3577;4838;5140;5027;5375;5766
Республика Коми;501;725;922;1424;2142;2821;3675;4557;5213;5564;5986;6787;7350;7156;7172;6959;6848;7025;7104
Архангельская область;517;704;922;1146;1306;2013;2600;3186;4443;4828;5436;6302;6605;7512;9118;9518;9462;9208;9568
