Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
16. ТОРГОВЛЯ И УСЛУГИ НАСЕЛЕНИЮ;;;;;;;;;;;;;;;;;;;
УСЛУГИ НАСЕЛЕНИЮ;;;;;;;;;;;;;;;;;;;
16.13. ОБЪЕМ КОММУНАЛЬНЫХ УСЛУГ;;;;;;;;;;;;;;;;;;;
16.13.2. На душу населения;;;;;;;;;;;;;;;;;;;
(рублей);;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;590;845;1215;1710;2159;2901;3531;4217;5017;6101;7318;8461;8922;10137;10833;11572;12327;13052;13590
Центральный      федеральный округ;811;1076;1409;2046;2591;3359;3992;4933;5836;7110;8475;9665;10081;11788;12720;13374;13971;14648;15070
Белгородская область;507;774;977;1432;1734;2373;2833;3490;4281;5968;7393;8079;8521;9662;10513;10798;11315;11693;12243
Брянская область;363;541;797;1278;1669;1982;2595;3239;3991;4620;6056;8008;8199;8953;9716;10194;10871;11602;12157
Владимирская область;403;629;849;1463;2020;2867;3924;4932;5537;7366;7785;9322;9841;11603;12819;13612;13442;14358;14678
Воронежская область;307;472;696;961;1155;2021;2485;2944;3430;5438;6423;7255;7676;8631;9478;10219;11332;11770;12249
Ивановская область;402;599;950;1531;2208;2727;3190;3807;4665;6040;7637;8863;9366;10442;11462;11321;12295;12443;13054
Калужская область;359;560;1087;1556;1906;2583;3276;3981;4599;5752;7127;8140;8761;9961;11177;11939;12825;12624;12566
Костромская область;312;476;819;1137;1624;2274;2689;3613;4283;5004;6810;7615;8124;9417;9257;9878;10720;11465;12208
Курская область;228;530;920;1273;1692;2147;2667;2925;3693;4784;5924;6728;7518;9011;10405;11044;11810;12078;12829
Липецкая область;538;733;944;1417;1860;2214;3019;3498;4187;5085;7032;8022;8866;10236;10883;11339;12818;13433;13794
Московская область;665;1092;1682;2650;3405;4647;5771;7346;8894;10567;12656;14143;15054;18459;19918;20884;20991;20935;21084
Орловская область;364;606;973;1432;1713;2424;3001;3437;3832;4786;6473;7897;8663;10119;11649;12342;13585;14197;12902
Рязанская область;362;613;900;1346;1654;2311;3094;3692;4335;5503;7244;8457;8956;10460;11642;12377;13819;14722;15461
Смоленская область;480;658;929;1294;1643;2315;2931;3861;4298;5118;6700;7990;8283;8917;10206;10765;11179;11350;11585
Тамбовская область;457;656;976;1431;1664;2202;2708;3358;4101;5020;5715;6810;7836;9212;9886;10222;10865;11191;11890
Тверская область;348;633;989;1343;1842;2745;3043;3997;4231;5310;5977;6789;7963;8782;9125;10177;11279;11832;12421
Тульская область;481;655;1041;1465;2047;2952;3794;4381;5293;6354;7951;9771;10481;12287;13604;13453;13751;14599;15527
Ярославская область;344;783;1148;1575;2008;3770;4620;5475;4971;5851;7758;9167;9177;10136;11527;11584;12392;12795;14144
г. Москва;1811;2024;2218;3038;3700;4192;4500;5529;6607;7692;8636;9616;9537;11003;11496;12168;12678;14017;14398
Северо-Западный     федеральный округ;620;937;1435;2052;2586;3438;4168;4907;5681;6962;8721;9806;10294;10979;11835;12684;13737;14422;15221
Республика Карелия;543;716;1156;1910;2596;3133;3821;4615;4894;6032;7993;9092;9440;10588;11234;11310;12771;14312;14968
Республика Коми;584;1098;1442;1972;3079;3612;4454;5257;6660;8790;10083;11142;11755;12351;13350;14446;14940;15879;17001
