Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
16. ТОРГОВЛЯ И УСЛУГИ НАСЕЛЕНИЮ;;;;;;;;;;;;;;;;;;;
РОЗНИЧНАЯ ТОРГОВЛЯ;;;;;;;;;;;;;;;;;;;
16.6. СТРУКТУРА ОБОРОТА РОЗНИЧНОЙ ТОРГОВЛИ;;;;;;;;;;;;;;;;;;;
16.6.1.  Пищевые продукты, включая напитки, и табачные изделия1);;;;;;;;;;;;;;;;;;;
"(в фактически действовавших ценах; в процентах от общего объема оборота розничной торговли субъекта Российской Федерации)";;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;46,5;46,2;46,6;46,2;45,7;45,7;45,3;45,0;46,6;48,6;48,5;47,7;46,6;47,0;47,0;48,7;48,6;48,4;47,7
Центральный     федеральный округ;42,6;41,9;42,6;43,0;42,9;43,5;43,6;44,8;46,9;49,1;49,6;48,4;47,9;49,0;48,9;50,3;50,1;50,1;49,7
Белгородская область;44,6;46,0;46,5;46,7;47,7;47,6;40,4;37,8;38,9;46,5;47,0;39,8;38,8;38,1;40,5;39,8;39,3;38,5;38,9
Брянская область;51,9;53,2;52,3;49,8;49,6;48,1;46,8;46,8;49,4;52,4;52,8;49,3;47,2;46,6;46,4;47,0;47,5;45,8;46,0
Владимирская область;52,3;51,9;51,4;51,2;51,1;50,3;50,8;49,4;50,5;50,5;51,6;51,1;51,4;51,8;51,4;52,1;51,9;52,2;51,9
Воронежская область;46,6;45,9;48,3;50,9;45,0;41,7;38,1;37,2;38,4;37,9;41,2;38,3;38,3;39,7;40,4;42,6;43,2;43,0;41,5
Ивановская область;47,3;52,1;48,5;48,5;49,7;50,6;52,0;47,7;49,3;53,8;51,5;49,2;46,3;50,9;47,4;50,3;50,2;49,7;49,7
Калужская область;47,4;48,5;47,5;48,2;45,2;45,8;43,6;47,2;51,3;52,8;52,5;50,3;51,2;51,7;50,5;51,1;49,8;49,7;49,5
Костромская область;50,0;49,5;49,4;50,4;47,5;46,9;51,7;52,1;52,5;51,5;46,3;46,7;48,0;48,0;48,6;49,2;48,8;48,2;47,9
Курская область;43,2;43,7;43,1;43,3;43,1;44,3;42,3;42,2;43,1;51,8;47,4;45,8;45,9;45,1;47,2;48,5;48,9;48,1;48,0
