Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
16. ТОРГОВЛЯ И УСЛУГИ НАСЕЛЕНИЮ;;;;;;;;;;;;;;;;;;;
РОЗНИЧНАЯ ТОРГОВЛЯ;;;;;;;;;;;;;;;;;;;
16.6. СТРУКТУРА ОБОРОТА РОЗНИЧНОЙ ТОРГОВЛИ;;;;;;;;;;;;;;;;;;;
16.6.2. Непродовольственные товары1);;;;;;;;;;;;;;;;;;;
"(в фактически действовавших ценах; в процентах от общего объема оборота розничной торговли субъекта Российской Федерации)";;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;53,5;53,8;53,4;53,8;54,3;54,3;54,7;55,0;53,4;51,4;51,5;52,3;53,4;53,0;53,0;51,3;51,4;51,6;52,3
Центральный     федеральный округ;57,4;58,1;57,4;57,0;57,1;56,5;56,4;55,2;53,1;50,9;50,4;51,6;52,1;51,0;51,1;49,7;49,9;49,9;50,3
Белгородская область;55,4;54,0;53,5;53,3;52,3;52,4;59,6;62,2;61,1;53,5;53,0;60,2;61,2;61,9;59,5;60,2;60,7;61,5;61,1
Брянская область;48,1;46,8;47,7;50,2;50,4;51,9;53,2;53,2;50,6;47,6;47,2;50,7;52,8;53,4;53,6;53,0;52,5;54,2;54,0
Владимирская область;47,7;48,1;48,6;48,8;48,9;49,7;49,2;50,6;49,5;49,5;48,4;48,9;48,6;48,2;48,6;47,9;48,1;47,8;48,1
Воронежская область;53,4;54,1;51,7;49,1;55,0;58,3;61,9;62,8;61,6;62,1;58,8;61,7;61,7;60,3;59,6;57,4;56,8;57,0;58,5
Ивановская область;52,7;47,9;51,5;51,5;50,3;49,4;48,0;52,3;50,7;46,2;48,5;50,8;53,7;49,1;52,6;49,7;49,8;50,3;50,3
Калужская область;52,6;51,5;52,5;51,8;54,8;54,2;56,4;52,8;48,7;47,2;47,5;49,7;48,8;48,3;49,5;48,9;50,2;50,3;50,5
Костромская область;50,0;50,5;50,6;49,6;52,5;53,1;48,3;47,9;47,5;48,5;53,7;53,3;52,0;52,0;51,4;50,8;51,2;51,8;52,1
Курская область;56,8;56,3;56,9;56,7;56,9;55,7;57,7;57,8;56,9;48,2;52,6;54,2;54,1;54,9;52,8;51,5;51,1;51,9;52,0
Липецкая область;53,0;54,2;56,3;58,1;58,3;58,6;58,0;56,3;56,3;57,6;57,4;55,8;57,7;57,8;56,0;54,7;53,4;53,1;53,2
Московская область;54,6;54,8;56,2;54,0;54,8;55,8;56,2;56,7;54,6;51,6;50,7;54,1;54,6;51,7;53,4;51,0;51,6;52,6;53,8
Орловская область;56,9;55,5;55,3;56,1;56,7;52,3;52,8;54,3;56,6;54,9;55,4;54,9;56,2;56,2;56,4;56,1;55,1;54,7;54,5
Рязанская область;48,3;48,6;49,4;49,8;49,9;51,3;53,9;53,4;50,2;48,8;48,8;51,4;52,7;52,5;52,5;51,9;51,5;51,3;51,7
Смоленская область;44,5;45,7;46,0;46,4;48,5;50,8;51,6;52,9;49,0;48,6;50,7;48,3;49,7;49,9;50,3;51,7;51,9;51,8;52,7
Тамбовская область;56,4;57,8;57,9;57,4;58,2;56,7;59,1;60,3;56,2;50,7;50,0;52,1;52,8;52,2;52,0;51,5;49,9;49,8;50,5
Тверская область;52,4;53,8;52,3;49,9;55,4;55,6;48,9;52,1;50,0;50,0;50,0;50,4;50,9;50,9;51,8;48,7;49,5;47,7;48,1
Тульская область;48,1;50,0;50,8;53,7;54,9;49,0;54,9;52,2;52,4;50,3;51,1;51,2;53,1;52,1;52,0;51,5;51,7;50,9;51,1
Ярославская область;48,4;49,5;49,6;49,6;49,7;50,9;51,5;52,0;49,2;44,7;46,2;51,2;52,3;52,1;51,5;49,6;49,0;49,1;49,7
г. Москва;59,6;60,5;59,4;59,2;59,0;57,8;57,1;54,6;52,1;50,4;49,6;49,4;49,7;48,8;48,4;46,8;47,0;46,4;46,4
Северо-Западный     федеральный округ;51,0;50,8;49,9;51,9;52,5;54,4;54,9;56,1;53,8;51,6;52,5;54,2;56,3;56,7;56,4;54,1;54,3;54,9;56,6
Республика Карелия;44,9;47,0;48,2;47,9;47,4;47,9;48,0;48,3;45,5;45,1;44,8;44,9;46,2;45,7;45,0;41,9;42,2;43,0;45,4
Республика Коми;42,0;39,9;40,6;43,0;46,3;49,0;53,2;53,4;49,9;48,5;49,1;49,8;50,9;50,6;49,7;48,2;50,1;50,6;50,9
Архангельская область;46,1;45,9;45,1;46,9;49,7;49,3;48,8;48,9;47,3;47,6;48,0;47,2;47,0;47,2;45,8;43,5;44,1;46,1;47,4
в том числе: ;;;;;;;;;;;;;;;;;;;
Ненецкий автономный округ;32,1;32,7;31,7;30,9;31,9;35,1;37,0;34,9;33,9;34,2;35,7;33,4;33,5;33,4;33,3;32,1;32,4;34,1;34,9
Архангельская область     без автономного округа;;;;;;;;;;;;;;47,8;46,3;44,0;44,5;46,6;47,8
Вологодская область;36,4;36,5;38,9;38,2;39,5;43,4;46,5;46,4;44,0;43,7;43,0;44,5;47,0;47,0;44,6;42,2;42,3;42,4;43,2
Калининградская область;54,9;55,2;55,0;54,3;53,9;54,2;54,0;52,7;51,9;51,7;51,4;50,9;52,5;53,9;53,0;49,4;50,2;50,3;51,6
Ленинградская область;43,8;38,6;40,3;42,7;44,0;44,3;48,5;53,2;55,5;53,4;53,2;53,9;54,5;54,0;53,5;50,2;49,4;49,6;52,1
Мурманская область;44,7;45,6;46,2;46,7;46,7;46,2;46,8;47,1;46,4;46,0;45,9;44,8;45,8;45,9;45,1;39,4;41,2;41,1;41,0
