Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
16. ТОРГОВЛЯ И УСЛУГИ НАСЕЛЕНИЮ;;;;;;;;;;;;;;;;;;;
ОПТОВАЯ ТОРГОВЛЯ;;;;;;;;;;;;;;;;;;;
 16.8. ОБОРОТ ОПТОВОЙ ТОРГОВЛИ;;;;;;;;;;;;;;;;;;;
16.8.2.  Оборот оптовой торговли организаций оптовой торговли;;;;;;;;;;;;;;;;;;;
(миллионов рублей);;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация, млрд руб.;3133,7;4221,7;5465,6;7249,6;9170,5;11007,5;14758,0;19604,6;25549,6;23514,8;25955,6;31205,7;33595,7;35673,4;41434,5;46732,3;50324,6;56725,4;63648,5
Центральный федеральный округ;1516475;2047478;2649223;3706384;4570281;5616802;7774526;10557866;14187007;13672191;14919359;18386490;19213601;19778552;22250764;24735977;25607506;29235531;33322663
Белгородская область;15094;16820;18706;26968;42609;60428;112937;155307;192106;191081;210045;215624;249285;274922;385391;472549;497288;541262;589451
Брянская область;12406;14661;19704;29253;37016;41466;47854;59125;69877;74923;96690;112144;121386;145686;170945;188693;172695;180060;195906
Владимирская область;7385;10090;14917;22350;20336;25332;32822;63148;77815;89031;106854;100667;121172;124310;133019;187317;201085;203201;216400
Воронежская область;22521;22492;29072;50607;62616;80565;92716;100852;113542;135071;173050;219229;308348;327811;413280;792907;704677;825895;910820
Ивановская область;8621;10860;11914;15130;19736;21812;21571;35597;47096;61780;84758;101428;129706;149135;174204;213727;237456;233829;255883
Калужская область;5901;6589;16050;32457;35147;37814;44685;54718;72048;88180;81806;79045;100781;105887;109918;128357;160411;201779;244866
Костромская область;4804;7906;8594;6556;8592;10534;14034;25233;30337;30365;50457;59602;75735;82501;81291;99443;109050;100585;98618
Курская область;11976;14549;19951;29182;31805;37318;48346;60111;61996;53666;70495;83906;106841;122303;178010;214059;205571;225298;258248
Липецкая область;12311;13419;16316;26447;45687;53620;68215;83627;110550;112903;145206;169919;183625;189833;228209;270322;249911;265529;282936
Московская область;68305;69571;127900;241003;516846;731386;1115528;1527578;2159087;2071871;2731398;3347054;2656329;2402625;2195789;2600651;2680134;3705844;3885721
Орловская область;15884;20431;21422;21537;21121;24616;27650;34734;41553;38708;45287;48843;65866;93899;107969;145218;146333;135572;130192
Рязанская область;16924;22033;29660;41491;64995;75786;101826;79068;89793;99123;126029;149251;175089;186992;278702;301604;299294;265827;291131
Смоленская область;9482;10689;11917;13489;11147;12655;14124;21472;40124;37941;55763;72532;99215;131731;199248;236251;260976;262823;322886
Тамбовская область;9443;11361;13092;13651;19041;22809;29844;47937;65215;70429;87015;71730;92597;105784;118606;168802;173648;168791;205171
Тверская область;7811;13771;16973;16725;19873;28701;41803;68475;87922;81566;116227;113456;99671;90623;110797;124701;147075;152456;164008
Тульская область;11126;20387;27500;47646;68842;87123;92226;94752;100747;89419;109747;149370;156370;156016;167394;213188;242275;252377;298562
Ярославская область;31182;54719;83583;94288;109929;122166;137565;167692;160405;98949;115278;145378;173597;185571;231302;308227;351797;329991;370991
г. Москва;1245299;1707131;2161953;2977603;3434942;4142670;5730781;7878440;10666793;10247183;10513253;13147312;14297987;14902925;16966689;18069963;18767829;21184411;24600873
Северо-Западный    федеральный округ;294863;412267;539290;688858;824098;1005994;1241820;1610376;2492153;2052069;2250195;2550856;2624557;3205612;4741636;4836387;6444112;7242606;7941295
Республика Карелия;6036;6445;15697;21437;25709;37066;44504;56556;38852;29425;34517;38572;41200;42327;46433;54101;54723;89931;85514
Республика Коми;9146;13752;17216;18778;22185;28025;30754;38852;49662;38674;45126;51829;52094;52125;55804;65627;57979;63595;62749
Архангельская область;21825;32469;24395;24685;26661;33283;36396;57546;75860;65979;73575;83262;93161;94075;113514;118276;126998;125555;142802
 в том числе: ;;;;;;;;;;;;;;;;;;;
Ненецкий автономный округ;67;156;117;279;550;835;1244;423;802;668;511;988;977;576;1168;787;707;430;675
Архангельская область    без автономного округа;;;;;;;;;;;;;;93500;112346;117488;126291;125125;142127
Вологодская область;12023;25573;28832;44366;52082;56810;63412;70645;67951;61685;84725;105887;123257;117183;126367;185105;188850;209579;239610
Калинингpадская область;6843;27974;44704;53529;54962;94508;140674;169150;173600;124662;122728;107302;96472;137182;187574;215030;226862;252841;292514
Ленинградская область;8821;13733;18748;24388;32019;42318;46832;68182;97902;85575;144997;161338;202136;237879;289809;303329;348000;354207;386593
Мурманская область;14439;16685;22218;26677;37104;42881;49195;61935;75633;59992;72091;88123;94555;99676;136301;140149;138156;138055;129635
Новгородская область;8194;10937;13249;14466;20377;20443;25576;35596;27899;21103;24103;26095;32285;36909;48039;59788;67322;71648;81656
Псковская область;6471;11048;12905;16708;17278;18565;21627;29886;34440;29729;40150;41913;47745;58469;68830;79040;71930;76615;82994
г. Санкт-Петербург;201065;253651;341325;443822;535719;632095;782850;1022028;1850356;1535245;1608181;1846537;1841653;2329787;3668966;3615942;5163291;5860581;6437228
Южный федеральный округ1);168109;235477;302220;417911;522947;680926;863228;1189510;1389364;1180139;1311710;1559032;1794563;1994544;2275036;2745331;3300582;3483103;3831979
Республика Адыгея;1913;1681;1445;2130;2220;2393;3375;10377;12779;12220;13038;14932;19878;20045;23961;29522;31987;28634;26754
