Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;
16. ТОРГОВЛЯ И УСЛУГИ НАСЕЛЕНИЮ;;;;;;;;;;;;;;;;;;;;
УСЛУГИ НАСЕЛЕНИЮ;;;;;;;;;;;;;;;;;;;;
16.9. ОБЪЕМ ПЛАТНЫХ УСЛУГ ;;;;;;;;;;;;;;;;;;;;
16.9.2. На душу населения;;;;;;;;;;;;;;;;;;;;
(рублей);;;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;
Российская Федерация;4141;5561;7544;9891;12423;15829;19566;23982;28580;31547;34606;38756;42156;48273;51116;54990;58881;62730;66085;
Центральный    федеральный округ;6583;8576;11355;15141;18422;22547;27464;33039;38192;41335;44316;48640;52246;60392;64585;68978;76082;81004;84000;
Белгородская область;2102;3135;3910;5140;6876;9023;11507;14880;20133;24717;29004;32444;34524;41566;45571;48026;50066;52123;53846;
Брянская область;2498;3591;4703;6123;8220;10290;12958;15771;19035;20882;23507;26872;28719;32100;34482;36667;38761;41037;44094;
Владимирская область;1976;2709;3713;5162;6828;9378;12042;15372;18509;23039;26829;30292;34645;42169;45414;47744;48010;49670;50883;
Воронежская область;2030;3091;4263;5380;6469;8933;11312;13840;16969;20755;25435;29360;33225;39039;42730;47335;50649;53464;55376;
Ивановская область;2260;2790;3901;5341;7076;9006;10715;13220;15603;18375;21648;24819;26963;31149;35501;37212;39116;41024;43447;
Калужская область;2179;3096;4464;6575;8005;10287;13304;16831;20618;23771;26707;29976;32941;37798;40983;43042;44728;46439;48700;
Костромская область;1666;2308;3343;4324;5659;7825;10056;13006;14791;16439;21778;24881;27379;31946;34496;36823;38456;40017;42300;
Курская область;1628;2433;3408;4883;6434;9117;13005;16118;20764;22958;25470;27824;30717;35747;39983;43248;45459;46942;49274;
Липецкая область;2223;3086;4001;5701;7634;9648;12553;15265;18784;22120;26332;30136;33901;39476;43973;47735;51403;54678;57446;
Московская область;3845;5564;7633;10097;12809;15984;19998;24309;29089;31992;36539;39969;43613;57044;59529;62139;63492;65820;67330;
Орловская область;1891;2792;4036;5567;6995;9081;10611;12401;14373;18362;21395;25607;28695;33673;36817;40355;43089;45654;46586;
Рязанская область;1715;2665;3891;5286;7076;8961;11145;13699;16533;19199;23403;26285;28163;30918;33307;35166;38169;40999;44280;
Смоленская область;2288;2885;3682;5372;6846;8806;10914;13752;16159;17312;20070;22971;24564;27569;31084;32482;33558;35264;36783;
Тамбовская область;2139;3194;4270;5800;7249;9330;11473;14493;19403;22050;24568;27560;31135;36084;39810;42253;44737;46382;48610;
Тверская область;1843;2698;3821;5511;8174;11553;14342;17918;20707;22229;22506;25098;27951;31203;31832;35393;38188;40337;43588;
Тульская область;2196;2955;4374;5812;7578;10451;13125;15854;19496;22242;24794;29117;32187;36250;39439;42641;43927;46531;49038;
Ярославская область;2790;4079;5401;7156;9243;13047;17872;21978;21220;24303;25259;27857;29888;32710;36181;37997;40921;43346;47222;
г. Москва;18030;22191;28512;37380;43601;50894;59886;70413;78974;82104;83233;89307;92713;102795;108958;116449;134180;144313;148352;
Северо-Западный     федеральный округ;4100;5760;7976;10622;14139;18246;22488;27820;33183;36250;40835;45534;49347;53352;56233;59657;63458;67818;72353;
Республика Карелия;3056;4049;5523;7941;10314;13224;16266;19913;21313;24148;28374;31594;35494;39476;43125;45695;49000;53475;56538;
Республика Коми;3458;5525;7325;10014;13708;16967;21381;25940;30937;35032;38456;42621;45695;50733;52675;53332;55234;57366;59864;
Архангельская область;2806;3913;5653;7090;10423;13999;18575;25538;31370;35446;37901;43057;47635;45357;50208;54051;56264;59013;62005;
в том числе: ;;;;;;;;;;;;;;;;;;;;
Ненецкий автономный округ;2054;2841;3613;5385;6774;7765;12999;18735;26784;38926;38980;41134;49317;54752;58169;62355;65928;62046;68982;
Архангельская область     без автономного округа;;;;;;;;;;;;;;45008;49908;53732;55888;58894;61728;
Вологодская область;2932;4058;5627;6957;9196;12855;16698;20102;24050;26156;28879;32761;34458;38770;42559;44823;46006;47286;49349;
Калинингpадская область;3133;4399;6191;7761;9736;12818;16905;21057;25551;28515;31661;33525;36025;39617;43323;47096;52243;56645;59692;
Ленинградская область;1883;2767;4037;5099;6381;8805;10951;12728;15106;18320;21442;24200;26858;30672;32772;35451;38684;40842;42897;
Мурманская область;4618;6857;9951;13864;18723;27048;33325;38532;43664;48837;47426;50869;55018;65337;71273;71921;74718;74736;79716;
Новгородская область;2823;3660;5059;7064;9526;12047;14749;17956;22057;25660;30532;36066;41753;46259;51113;53581;53778;52845;54034;
Псковская область;1950;2843;4168;5790;7851;9858;12760;15180;18287;21517;24136;27327;29251;30022;32178;36208;38327;40095;42478;
г. Санкт-Петербург;6536;9004;12254;16413;21654;26889;32020;39962;47850;50120;57816;64208;68883;73361;74866;79496;85162;92941;100318;
Южный              федеральный округ;3048;4272;5735;7579;9585;12351;15416;19388;23367;26853;29973;33881;37641;45175;43954;53523;57226;61109;65405;
Республика Адыгея;1714;2190;2702;3885;5443;7114;7658;9181;11978;13687;14279;16710;19059;22846;25109;25571;28027;29343;29718;
Республика Калмыкия;1173;1365;1605;2106;3150;3928;6104;7254;8975;9758;10753;12005;13578;15155;16383;17412;18077;19730;21358;
Республика Крым;;;;;;;;;;;;;;;4576;38797;41947;44651;45221;
Краснодарский край;3732;5241;6462;8463;10866;14483;16973;22434;26602;31087;35636;40760;45510;58692;66466;74427;80525;85876;92846;
Астраханская область;2924;3889;5076;6748;8228;10713;13191;15306;18312;21484;24256;26529;28665;31231;34227;34991;36401;38554;40600;
Волгоградская область;2651;3978;5889;7881;9650;12287;17309;22078;27087;31591;32702;36821;41675;44214;47024;51536;49560;52628;55531;
Ростовская область;2794;3827;5529;7293;9209;11357;14348;16913;20516;22596;25659;28610;31066;36358;40399;44256;47532;50761;54809;
г. Севастополь;;;;;;;;;;;;;;;5967;51829;71135;77497;81672;
Северо-Кавказский     федеральный округ;2396;2844;3938;4529;5880;8041;9953;13051;15494;18023;20491;23274;25575;31205;34608;37372;38809;41369;43096;
Республика Дагестан;942;1409;1793;2611;4662;7253;9334;12227;15601;18776;21019;22913;25068;29038;32379;35264;36031;38961;40058;
Республика Ингушетия ;692;908;1098;1579;2445;2572;5745;13548;14911;16344;18108;19233;20249;20217;20903;21220;20963;23466;23552;
Кабардино-Балкарская Республика;2032;2906;3869;5390;6346;7790;9226;10473;12586;14819;17361;20210;22087;25482;27957;30410;32156;33932;36300;
Карачаево-Черкесская Республика;1633;2100;2881;3745;4803;6735;8957;10139;12946;14413;17771;19507;21497;23886;25049;26098;27767;29333;30913;
Республика Северная Осетия – Алания;4019;4788;5195;6846;8250;9720;12828;15028;17591;20443;22972;26912;28914;31041;33022;35443;36924;38797;40867;
Чеченская Республика ;…;…;…;…;…;…;…;4441;5399;6799;8361;10988;11000;22359;27807;30992;33477;36967;38559;
Ставропольский край;3774;5116;6291;7934;9436;12868;15061;18291;20688;23492;26599;30609;34727;42526;46578;49994;51879;54268;56912;
Приволжский     федеральный округ;2683;3770;5125;6782;8877;11881;14839;18753;23444;26572;29330;33134;36100;40792;43835;46081;48057;50852;53589;
Республика Башкортостан;2936;4445;6193;8376;11113;14653;18652;23777;31402;35243;35308;39478;44052;48354;53760;56876;58987;61474;64418;
Республика Марий Эл;1625;2394;3225;4232;5881;7679;9946;12622;15498;18234;20289;22792;24812;26959;28505;29802;30823;33195;35318;
Республика Мордовия;1871;2382;3155;4010;5061;6712;8445;10498;12989;15749;18730;20989;23090;25480;27374;28707;29821;31051;32515;
Республика Татарстан;2504;3454;5100;6980;9695;14586;18502;24788;31426;35178;40710;46438;50128;55438;59731;64138;66866;68732;71476;
Удмуртская Республика;2394;3447;4743;6343;7610;9743;12134;14864;17640;19256;22179;24550;26908;32287;34598;35453;38755;41687;43560;
Чувашская Республика;2372;3281;4663;6323;7999;9827;12330;15473;18800;20646;22469;25273;27586;30605;32239;34057;36503;39086;41386;
Пермский край;3559;4904;6268;8195;10504;14381;17067;20981;25731;29600;34329;39086;42705;47159;49679;50562;53213;57699;61218;
Кировская область;2446;3455;4612;5915;7357;9654;11620;15400;19452;22375;23667;26759;28872;34322;36724;38164;39796;42102;44304;
Нижегородская область;2612;3419;4378;5495;7145;9956;12916;15827;20130;23632;26749;30285;34197;42840;45548;47154;49412;53535;57043;
Оренбургская область;2283;3210;4284;5756;7238;9314;11119;14610;19586;23209;25613;28959;32058;36680;39912;41988;40420;42032;45133;
Пензенская область;1971;3010;3940;5422;7034;9142;11371;13857;16855;18903;20855;22735;25118;29585;31925;35294;36982;39602;41692;
Самарская область;3749;5112;7095;9336;12767;16287;20468;25362;29674;33053;34822;37928;39002;42299;45088;47397;49214;52155;54936;
Саратовская область;2312;3182;4264;5465;6809;8830;10821;13156;15978;18088;21277;25886;27277;30455;31641;32527;34836;37748;40012;
Ульяновская область;2399;3705;4920;6461;8230;10372;12588;15324;18438;20081;23329;26593;29633;33169;35488;38005;39692;41628;43920;
Уральский       федеральный округ;3678;5295;7262;9468;11757;15067;19356;23860;28854;31674;34406;39769;42617;48016;52066;56015;59042;63080;67846;
