Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
17. ТРАНСПОРТ;;;;;;;;;;;;;;;;;;;
17.13. ЧИСЛО ЛИЦ, ПОГИБШИХ В ДОРОЖНО-ТРАНСПОРТНЫХ ПРОИСШЕСТВИЯХ на 100 000 человек населения 1);;;;;;;;;;;;;;;;;;;
(человек);;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;20,2;21,2;22,9;24,6;24,0;23,7;22,9;23,3;21,0;19,4;18,6;19,6;19,5;18,8;18,7;15,8;13,8;13,0;12,4
Центральный       федеральный округ;22,8;23,4;26,7;27,3;26,2;25,2;25,0;25,6;21,7;19,7;18,3;19,5;18,9;17,8;19,0;15,6;13,3;12,1;11,4
Белгородская область;16,4;18,0;21,1;21,7;21,4;21,2;20,3;19,2;17,1;16,6;16,4;18,8;18,5;16,6;17,5;13,4;13,7;10,5;10,0
Брянская область;18,2;18,1;18,7;19,1;21,0;22,8;18,9;20,9;19,0;17,4;18,3;21,2;18,9;20,9;22,5;19,8;14,1;12,7;14,8
Владимирская область;33,5;37,1;42,4;47,2;39,4;34,4;35,9;40,4;35,1;30,1;30,9;34,2;31,5;30,6;31,6;27,8;22,6;21,2;19,2
Воронежская область;22,7;22,9;25,5;27,8;27,0;25,7;24,4;29,2;25,1;23,9;22,9;24,4;26,4;25,3;27,2;23,3;20,9;20,3;19,0
Ивановская область;19,8;15,6;22,9;19,7;17,3;21,7;20,3;20,5;17,0;17,7;15,9;16,6;17,8;14,6;14,7;12,3;10,3;11,1;8,0
Калужская область;26,9;24,7;34,5;32,9;33,1;31,7;27,9;33,1;35,1;27,7;26,3;33,4;36,5;30,7;37,5;26,5;20,4;17,1;18,9
Костромская область;19,3;22,3;25,0;21,5;23,6;24,1;26,8;20,4;20,4;15,8;14,2;15,2;12,1;13,7;14,5;13,2;7,7;9,9;10,0
Курская область;16,5;16,1;18,2;20,6;23,7;23,6;26,3;28,1;24,1;22,1;20,7;23,6;27,4;23,4;23,5;21,8;16,1;18,0;18,0
Липецкая область;24,3;24,7;26,5;25,7;28,0;28,1;26,0;23,6;24,5;23,9;23,9;24,6;23,3;22,6;24,4;18,3;18,9;20,8;18,0
Московская область;40,8;41,4;45,2;45,9;44,7;41,6;41,4;41,7;32,4;28,7;26,1;25,7;24,4;22,4;23,5;19,1;16,0;14,3;12,4
Орловская область;25,2;25,8;26,2;28,1;27,1;28,5;25,5;27,0;26,7;26,6;22,2;26,9;23,1;18,2;22,9;19,3;16,9;14,9;15,1
Рязанская область;34,8;31,9;35,2;38,5;34,9;34,8;36,6;38,0;31,8;30,0;29,1;32,9;32,3;26,9;28,7;25,8;22,7;19,8;19,6
Смоленская область;27,9;28,7;34,6;32,7;29,4;31,4;32,2;31,8;28,5;26,6;22,6;28,3;22,4;26,0;25,8;19,0;15,7;13,8;15,1
Тамбовская область;18,0;20,5;26,5;23,9;23,1;25,5;23,0;22,9;22,4;20,0;19,8;19,5;23,0;21,6;23,5;19,1;17,6;14,0;15,8
Тверская область;24,9;32,5;39,1;39,1;36,9;36,9;36,1;36,3;30,7;23,2;21,8;23,3;22,5;23,2;26,2;20,8;20,6;17,2;16,1
Тульская область;20,2;23,4;25,2;28,0;29,6;26,3;30,1;29,2;28,8;28,1;25,7;27,1;25,1;24,0;25,6;24,2;21,3;20,5;19,2
Ярославская область;24,6;24,0;26,5;28,3;27,4;28,7;26,7;29,8;24,7;23,6;19,9;22,4;22,3;20,6;21,7;18,3;17,3;14,1;13,5
г. Москва;9,8;10,1;12,2;12,7;11,2;10,2;10,8;10,4;7,7;7,3;6,7;6,7;6,8;7,0;7,3;5,5;4,5;4,0;3,7
Северо-Западный      федеральный округ;19,8;20,7;21,3;23,8;24,5;23,9;23,6;22,4;19,7;18,0;16,6;18,5;18,2;17,1;17,5;14,7;12,3;11,4;10,9
Республика Карелия;16,1;20,4;15,5;23,1;23,0;19,3;20,6;16,6;12,5;17,0;16,4;16,1;17,2;17,1;15,0;14,7;14,3;16,3;12,1
Республика Коми;14,9;17,9;14,6;18,4;18,0;23,8;16,0;16,9;12,9;14,8;14,0;14,0;15,1;15,1;16,2;14,5;11,8;10,5;12,1
Архангельская область;15,8;16,1;18,6;19,2;20,6;21,8;21,0;17,7;16,1;17,4;16,2;17,8;18,0;16,4;18,2;12,0;12,9;11,0;11,0
в том числе:;;;;;;;;;;;;;;;;;;;
Ненецкий автономный округ;7,3;26,9;4,8;9,6;9,5;21,5;9,6;16,7;14,3;9,5;9,5;14,2;9,4;7,0;6,9;11,5;9,1;6,8;6,8
Архангельская область    без автономного округа;16,1;15,8;19,0;19,5;20,9;21,8;21,3;17,7;16,2;17,7;16,5;17,9;18,4;16,7;18,6;12,0;13,1;11,2;11,1
Вологодская область;23,1;25,4;26,3;27,4;30,2;28,4;27,0;25,4;22,4;15,9;16,3;18,1;17,3;16,7;15,7;11,6;10,3;11,1;12,2
Калининградская область;21,8;23,9;27,9;29,8;27,7;28,6;28,0;23,0;22,3;18,9;16,7;19,0;20,3;18,0;17,0;17,3;17,2;12,3;11,1
Ленинградская область ;37,6;37,7;36,6;43,3;44,5;40,7;42,6;43,6;37,0;35,5;33,2;37,2;36,8;36,1;39,8;34,4;27,6;23,8;23,9
Мурманская область;10,0;10,8;10,6;12,3;12,4;12,3;10,7;10,1;8,4;10,5;12,9;10,6;10,8;7,6;10,7;7,3;8,0;7,9;8,9
Новгородская область;29,4;33,3;34,0;35,3;38,6;39,0;43,2;42,4;40,4;34,2;34,1;36,6;34,4;29,0;32,1;27,4;23,8;23,3;18,6
Псковская область;28,8;28,9;31,4;32,6;27,8;32,2;31,9;33,4;32,1;27,3;27,0;38,3;37,2;33,1;33,5;27,9;21,7;19,7;19,3
г. Санкт-Петербург ;14,1;13,3;14,7;16,4;17,6;15,6;15,9;14,8;12,8;10,7;8,2;9,6;8,9;8,7;8,0;6,8;4,5;4,9;4,3
Южный               федеральный округ;21,5;21,4;22,2;24,5;23,6;23,3;21,7;22,3;20,7;20,6;19,9;20,5;20,3;21,3;22,0;17,8;17,8;15,8;15,3
