Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
17. ТРАНСПОРТ;;;;;;;;;;;;;;;;;;;
17.6. ПЕРЕВОЗКИ ПАССАЖИРОВ АВТОБУСАМИ ОБЩЕГО ПОЛЬЗОВАНИЯ1);;;;;;;;;;;;;;;;;;;
(миллионов человек);;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;23001,1;22462,2;21920,6;20912,3;21018,3;16374,0;14733,6;14794,9;14717,8;13704,4;13433,7;13304,9;12766,2;11586,8;11554,3;11522,9;11295,8;11184,9;10912,1
Центральный  федеральный округ;6811,4;6928,0;6995,6;6799,3;6880,2;5596,8;4594,4;4256,2;4219,7;3998,1;3860,2;3771,9;3687,0;3483,7;3499,9;3451,6;3346,6;3380,0;3332,1
Белгородская область;221,6;225,4;211,5;209,6;187,2;69,0;138,6;140,8;155,7;155,1;152,5;151,1;145,9;134,1;119,2;115,6;108,0;105,5;92,9
Брянская область;222,2;220,6;200,0;202,6;179,0;133,0;98,0;82,2;77,3;72,6;67,5;64,6;57,6;42,2;84,4;95,0;83,6;106,2;87,6
Владимирская область;140,8;119,3;115,0;111,9;152,4;138,5;131,2;145,1;143,5;130,5;122,3;114,4;121,4;111,4;102,5;105,7;93,8;92,3;92,9
Воронежская область;362,5;409,3;438,2;471,2;424,9;420,9;371,2;361,3;354,0;342,6;326,7;300,1;279,7;275,1;254,7;252,6;218,1;201,1;224,0
Ивановская область;134,0;101,9;124,9;136,9;149,2;130,3;139,6;146,2;133,0;124,8;122,0;105,0;89,7;56,4;95,1;94,2;94,2;94,3;87,3
Калужская область;160,1;113,9;70,8;54,1;45,8;38,4;55,2;73,0;67,6;66,5;56,1;63,0;59,1;56,2;50,9;42,8;41,6;40,2;36,1
Костромская область;191,1;191,0;189,1;177,1;182,8;118,3;117,9;102,8;98,9;85,9;83,4;82,9;86,7;68,4;60,9;60,7;57,2;53,1;53,0
Курская область;221,6;219,9;218,0;202,0;224,7;115,5;126,2;124,3;127,7;124,2;127,6;136,9;138,8;131,5;128,8;114,6;125,9;121,9;118,0
Липецкая область;331,1;286,4;268,1;238,7;223,3;187,4;190,1;186,7;184,6;164,9;159,1;149,8;149,1;140,6;123,1;117,9;119,5;118,0;117,3
Московская область;935,7;862,1;892,8;876,7;892,1;852,0;786,4;670,4;681,1;646,0;619,1;619,6;599,1;571,7;571,6;569,4;585,3;589,2;625,0
Орловская область;180,8;169,3;168,0;159,8;140,1;79,7;81,7;68,3;72,6;79,8;75,6;63,6;63,8;58,6;55,3;57,1;50,0;50,0;49,9
Рязанская область;246,5;263,7;242,8;242,9;244,8;169,4;144,6;139,4;142,9;138,5;116,0;114,2;108,9;96,4;90,2;78,3;80,0;83,1;94,6
Смоленская область;111,9;125,1;202,2;210,4;212,3;154,3;140,7;130,9;127,8;100,8;102,4;105,5;104,8;91,6;81,4;81,4;70,5;52,9;47,9
Тамбовская область;180,1;166,5;152,5;132,3;133,1;78,7;81,6;86,9;90,1;91,3;91,4;92,4;92,9;97,2;106,4;108,0;105,8;71,3;67,8
Тверская область;345,8;381,9;353,0;269,0;230,9;73,8;64,3;75,3;88,4;73,7;75,6;72,8;65,8;52,6;55,4;52,9;45,1;46,1;44,3
Тульская область;252,6;238,0;269,5;260,7;221,9;102,4;114,5;126,8;136,5;127,9;119,3;115,1;106,0;82,7;85,9;92,2;78,4;65,8;66,7
Ярославская область;261,1;242,6;240,9;238,9;310,2;270,7;228,4;199,3;197,0;200,9;198,7;175,3;169,7;159,9;156,7;152,3;122,0;147,3;137,9
