Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
17. ТРАНСПОРТ;;;;;;;;;;;;;;;;;;;
"17.8. УДЕЛЬНЫЙ ВЕС АВТОМОБИЛЬНЫХ ДОРОГ С ТВЕРДЫМ ПОКРЫТИЕМ В ОБЩЕЙ ПРОТЯЖЕННОСТИ АВТОМОБИЛЬНЫХ ДОРОГ ОБЩЕГО ПОЛЬЗОВАНИЯ1);2)";;;;;;;;;;;;;;;;;;;
"( на конец года; в процентах)";;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;91,1;91,2;91,3;90,9;91,0;91,3;85,2;83,5;83,4;81,6;80,6;78,5;72,4;70,6;70,5;70,6;70,3;70,6;70,4
Центральный   федеральный округ;93,6;93,8;94,0;94,2;94,2;95,9;88,5;86,0;85,5;83,0;80,5;78,6;69,7;66,5;66,4;66,5;67,0;67,1;67,3
Белгородская область;88,4;89,0;89,9;91,0;91,6;91,8;91,9;92,1;92,5;92,5;92,6;93,0;93,1;91,7;89,8;90,3;90,7;91,2;91,2
Брянская область;99,7;99,8;99,8;99,8;99,8;99,8;99,8;99,0;99,2;93,5;93,3;93,3;69,8;64,4;65,1;64,6;65,0;65,5;65,9
Владимирская область;99,1;99,1;99,2;99,2;99,2;99,8;99,5;97,8;97,8;99,2;96,5;72,8;72,5;67,5;67,5;67,4;66,8;65,9;66,5
Воронежская область;97,7;97,8;97,8;97,9;97,9;97,9;94,0;93,9;92,7;93,4;93,5;93,1;63,2;58,7;59,1;59,0;60,7;61,9;62,1
Ивановская область;98,5;98,6;98,6;98,6;98,7;98,7;97,2;78,4;91,8;91,9;77,0;70,8;66,1;64,7;63,8;62,6;63,2;63,1;62,6
Калужская область;98,9;99,0;99,2;99,2;99,5;99,5;62,7;59,0;59,4;59,4;59,2;59,1;59,2;59,1;59,0;59,3;59,5;59,6;61,5
Костромская область;66,4;66,7;67,0;67,2;66,7;92,2;65,9;66,8;66,7;67,8;67,8;67,8;64,4;58,5;58,0;58,6;59,1;59,2;59,5
Курская область;95,4;96,0;96,7;96,9;97,0;97,0;85,9;86,4;83,1;83,1;80,9;80,5;63,0;61,7;62,6;63,0;63,4;62,5;64,2
