Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;
17. ТРАНСПОРТ;;;;;;;;;;;;;;;;;;;;
"17.9. УДЕЛЬНЫЙ ВЕС АВТОМОБИЛЬНЫХ ДОРОГ С УСОВЕРШЕНСТВОВАННЫМ ПОКРЫТИЕМ В ПРОТЯЖЕННОСТИ АВТОМОБИЛЬНЫХ ДОРОГ С ТВЕРДЫМ ПОКРЫТИЕМ ОБЩЕГО ПОЛЬЗОВАНИЯ1);2)";;;;;;;;;;;;;;;;;;;;
(в процентах);;;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;
Российская Федерация;67,7;68,0;68,3;68,4;68,5;68,7;68,5;68,8;68,3;67,8;67,5;65,8;63,3;62,7;62,4;62,3;62,3;62,4;62,2;
Центральный   федеральный округ;84,0;84,1;84,1;84,2;84,2;85,7;83,5;83,2;82,7;81,7;81,6;80,6;78,1;76,3;76,1;76,0;75,5;75,5;75,1;
Белгородская область;98,1;98,2;98,3;98,6;98,7;98,7;98,8;99,0;99,0;99,0;99,1;99,1;100,0;99,5;99,5;99,5;97,0;96,7;98,8;
Брянская область;97,0;96,9;96,9;97,0;97,0;97,0;97,0;96,8;96,6;96,8;96,6;96,6;94,0;92,3;92,4;92,7;92,3;91,8;91,9;
Владимирская область;88,4;88,5;88,6;88,6;88,6;95,8;92,1;90,6;90,6;88,8;89,9;79,7;80,1;77,8;77,5;77,3;77,1;76,9;76,2;
Воронежская область;99,8;99,7;99,7;99,7;99,7;99,7;99,5;99,4;99,3;98,8;98,7;98,7;94,8;93,3;92,9;91,7;90,1;88,9;84,8;
Ивановская область;72,7;72,8;72,2;71,8;71,4;71,5;71,8;69,1;71,3;71,0;63,0;59,2;56,3;52,1;51,9;53,4;53,2;53,7;56,9;
Калужская область;75,3;74,5;74,4;74,5;74,8;87,0;66,7;65,7;65,6;64,2;63,9;64,0;63,6;63,3;63,3;63,5;62,9;62,6;61,9;
Костромская область;58,3;58,1;58,1;58,3;58,2;71,4;58,7;58,7;58,7;59,1;58,8;58,8;57,3;54,9;54,0;54,8;54,1;53,7;53,0;
Курская область;99,7;99,7;99,6;99,7;99,7;99,8;99,3;99,0;98,7;98,7;98,8;98,5;91,9;91,2;90,9;90,9;91,0;90,5;90,4;
Липецкая область;94,7;94,7;94,7;94,8;94,8;95,1;95,1;94,9;91,9;91,2;90,4;89,3;73,3;69,2;67,7;67,5;67,0;66,2;66,1;
Московская область;90,2;90,5;90,8;90,9;90,9;91,1;87,4;87,0;84,4;81,1;82,2;82,0;81,8;81,5;81,8;81,6;81,3;81,8;80,5;
Орловская область;96,1;96,6;96,9;97,0;97,2;97,2;96,3;97,0;96,8;95,5;91,6;91,2;81,6;77,1;74,5;74,3;74,1;74,0;73,5;
Рязанская область;96,4;96,4;96,2;96,1;96,0;95,7;95,9;95,9;95,3;94,1;94,6;92,7;88,8;79,8;79,7;78,7;77,5;77,3;77,5;
Смоленская область;73,3;73,5;73,6;73,6;73,3;73,0;72,5;72,5;72,4;72,4;72,3;72,5;59,4;58,4;59,1;58,7;55,2;54,9;54,8;
Тамбовская область;97,4;97,1;97,1;97,1;97,1;97,2;97,6;97,5;97,3;97,3;96,7;95,2;90,0;91,6;91,4;92,4;92,4;92,3;92,0;
Тверская область;48,4;48,3;48,3;48,5;48,5;48,6;48,8;48,5;49,0;48,1;48,0;47,9;46,5;45,3;43,7;42,9;43,9;44,7;45,0;
Тульская область;94,6;94,8;94,8;94,7;94,8;94,8;94,9;94,8;94,7;94,9;94,9;89,7;70,2;65,0;65,9;66,1;70,5;70,9;70,6;
Ярославская область;85,1;85,3;85,0;84,8;84,8;84,7;84,7;84,6;83,7;81,1;82,5;82,4;76,8;80,0;78,3;78,3;77,6;77,0;76,5;
г. Москва;…;…;…;…;…;…;…;…;…;…;…;…;93,6;91,6;99,8;99,8;99,8;99,8;99,8;
Северо-Западный      федеральный округ;56,6;56,6;56,6;56,5;56,9;56,8;57,6;57,2;55,5;55,6;55,3;54,4;54,0;53,3;53,2;53,3;53,3;53,7;53,9;
Республика Карелия;49,6;49,7;50,1;50,5;51,2;51,2;51,1;51,3;51,2;51,3;51,6;51,4;50,2;49,3;49,9;50,5;50,3;50,6;50,3;
Республика Коми;75,3;74,5;73,8;73,7;73,8;71,6;72,0;71,6;70,9;69,9;70,5;72,1;71,9;70,4;69,3;68,2;68,4;68,6;68,4;
Архангельская область;35,8;36,1;35,4;35,2;35,2;35,0;36,4;35,5;30,8;30,9;30,9;32,1;33,4;33,6;34,1;33,9;33,9;34,4;35,0;
в том числе:;;;;;;;;;;;;;;;;;;;;
Ненецкий автономный округ;36,7;36,3;36,0;35,4;34,5;34,5;37,1;37,1;36,7;33,5;33,1;34,1;34,4;34,6;37,9;35,1;36,8;34,9;34,7;
Архангельская область     без автономного округа;35,7;36,1;35,4;35,2;35,3;35,1;36,4;35,5;30,7;30,8;30,8;32,0;33,4;33,6;34,1;33,9;33,8;34,4;35,0;
Вологодская область;47,0;47,1;47,1;47,8;49,1;49,2;49,1;49,4;47,9;49,2;48,3;47,4;44,1;42,1;41,8;42,7;43,5;44,1;44,3;
Калининградская область;76,3;76,3;76,5;76,4;76,4;76,6;79,3;79,4;79,4;77,6;76,7;75,3;76,3;73,0;70,9;70,5;70,3;70,4;71,4;
Ленинградская область;69,5;69,8;70,2;70,4;70,4;70,5;70,7;70,8;69,9;70,1;70,0;69,5;62,8;59,8;61,3;61,4;60,3;60,1;60,2;
Мурманская область;69,1;71,7;73,1;73,4;74,0;74,2;76,2;77,1;75,8;76,2;75,8;77,2;76,6;76,1;76,4;77,8;78,5;78,3;78,5;
Новгородская область;59,5;59,2;58,9;56,3;56,3;56,5;57,2;56,8;56,0;56,1;56,1;56,3;54,8;54,0;55,6;55,3;54,6;55,9;58,1;
Псковская область;49,0;49,1;49,1;49,2;49,4;49,3;51,6;51,3;48,1;47,5;47,2;43,2;42,9;46,0;43,9;43,5;43,8;43,9;43,0;
г. Санкт-Петербург;…;…;…;…;…;…;…;…;…;…;…;…;92,1;92,2;92,2;92,5;92,3;92,6;92,6;
Южный               федеральный округ;91,5;91,3;91,6;91,5;91,5;93,1;88,0;87,9;86,8;85,3;84,3;80,8;75,7;74,1;72,3;73,2;73,7;73,6;73,1;
Республика Адыгея;86,7;87,1;86,7;86,7;87,1;86,9;87,1;87,1;87,0;87,2;87,3;52,0;51,6;51,9;52,1;51,9;52,3;52,6;52,7;
Республика Калмыкия;73,6;72,3;75,2;74,9;74,1;74,9;74,8;74,9;72,4;72,9;72,9;76,3;75,4;74,9;73,0;74,1;73,8;73,3;73,2;
Республика Крым;;;;;;;;;;;;;;;56,1;65,2;67,5;67,1;65,8;
Краснодарский край;93,8;94,0;94,4;94,6;94,7;94,8;83,5;82,0;79,8;76,1;73,7;71,0;65,7;64,2;65,2;64,9;65,0;65,0;63,9;
Астраханская область;83,3;83,2;82,9;82,8;82,7;82,4;83,9;83,9;82,4;84,7;84,3;76,6;72,4;75,1;73,6;73,9;74,2;74,2;76,1;
Волгоградская область;98,5;98,6;98,7;98,7;98,7;98,7;96,0;96,7;96,6;96,5;96,5;96,6;94,3;92,9;92,9;92,8;92,7;92,6;92,5;
Ростовская область;90,5;90,1;90,2;90,1;90,1;98,2;90,1;91,3;91,2;91,4;91,6;92,1;83,2;78,3;78,4;78,5;79,2;79,2;79,5;
г. Севастополь;;;;;;;;;;;;;;;96,5;90,0;89,6;88,1;88,0;
Северо-Кавказский      федеральный округ;58,6;58,4;59,1;59,8;60,5;60,5;59,5;59,4;59,6;58,6;53,7;54,2;51,6;50,9;50,3;49,1;49,4;49,6;50,1;
Республика Дагестан;37,5;38,3;38,9;39,6;40,0;39,7;39,9;40,1;40,5;41,0;41,3;48,1;45,1;42,4;41,2;39,4;40,1;40,1;41,8;
Республика Ингушетия;51,6;52,1;54,1;55,5;56,0;58,3;60,9;61,3;61,8;61,9;34,3;50,7;50,2;50,6;51,3;43,4;44,0;44,7;44,0;
Кабардино-Балкарская     Республика;67,6;67,3;67,5;67,4;67,0;67,1;59,3;51,4;52,9;53,2;52,4;52,1;52,4;51,2;48,9;48,6;48,6;48,5;48,9;
Карачаево-Черкесская      Республика;61,4;61,5;61,5;61,6;61,6;61,6;59,1;57,8;57,7;54,3;54,0;53,6;45,4;41,4;42,4;41,6;41,9;44,4;44,8;
Республика Северная       Осетия – Алания;60,4;55,6;60,0;60,0;60,0;60,0;60,0;62,0;59,6;47,9;47,0;52,2;47,7;46,2;46,6;47,3;47,7;47,6;46,8;
Чеченская Республика;37,2;37,2;37,2;38,4;42,1;42,4;44,5;45,9;48,6;50,5;36,0;33,9;31,1;40,2;40,1;39,8;39,5;40,4;40,5;
Ставропольский край;83,9;84,0;83,9;85,2;85,4;85,6;87,4;87,4;86,0;85,6;84,0;82,0;71,7;68,8;68,6;68,4;68,3;68,6;68,5;
Приволжский     федеральный округ;72,3;72,6;72,8;73,0;73,1;73,3;73,5;74,4;74,7;72,7;72,8;72,6;67,6;67,1;66,0;66,1;65,6;65,8;65,7;
Республика Башкортостан;45,6;46,5;46,9;47,4;47,8;47,7;49,0;49,2;56,0;49,5;49,7;49,4;49,7;48,1;45,7;45,2;45,1;45,6;45,4;
Республика Марий Эл;89,7;89,8;90,0;90,0;90,1;90,3;90,0;90,6;90,7;90,0;89,6;89,0;85,7;85,2;83,8;82,7;82,7;81,5;82,0;
