Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;
18. ИНФОРМАЦИОННЫЕ И КОММУНИКАЦИОННЫЕ ТЕХНОЛОГИИ;;;;;;;;;;;;;;;;
18.1. ИСПОЛЬЗОВАНИЕ ИНФОРМАЦИОННЫХ И КОММУНИКАЦИОННЫХ ТЕХНОЛОГИЙ В ОРГАНИЗАЦИЯХ ;;;;;;;;;;;;;;;;
"18.1.2. Организации, использовавшие серверы1);2)";;;;;;;;;;;;;;;;
(в процентах от общего числа обследованных организаций  соответствующего субъекта Российской федерации);;;;;;;;;;;;;;;;
;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;8,3;8,4;9,3;11,3;13,0;14,5;16,0;18,2;19,7;18,9;19,7;26,6;47,7;50,8;50,6;53,4
Центральный  федеральный округ;9,4;9,2;10,5;12,2;14,0;15,0;15,1;17,2;20,7;20,3;21,8;30,3;52,0;54,9;55,3;56,8
Белгородская область;6,4;7,2;7,7;10,6;14,7;15,9;16,1;19,3;21,2;19,0;18,9;28,8;47,9;52,6;53,7;55,9
Брянская область;5,2;4,9;5,9;8,5;6,2;9,2;10,5;11,6;13,1;12,4;12,6;21,7;44,6;45,3;46,8;46,7
Владимирская область;5,8;6,0;6,5;8,1;10,7;14,6;17,9;20,7;22,1;17,6;18,4;28,8;52,5;55,8;52,4;57,2
Воронежская область;9,4;9,4;9,6;10,7;12,1;13,7;15,6;17,2;18,2;19,0;20,1;31,1;50,3;52,2;55,3;56,1
Ивановская область;6,7;7,3;7,1;8,6;10,7;10,5;12,9;15,6;16,9;17,5;20,7;29,6;50,5;56,1;51,8;52,3
Калужская область;8,6;5,9;6,7;6,7;9,1;11,1;11,4;14,8;19,8;19,9;22,0;30,6;48,7;54,1;53,9;54,3
Костромская область;4,0;4,9;5,2;5,3;7,3;8,5;10,5;11,8;15,6;14,3;16,2;24,1;38,4;40,8;42,9;43,0
Курская область;4,4;4,4;5,6;7,5;10,0;9,0;10,0;9,7;13,0;14,2;14,9;28,4;36,5;39,2;39,6;37,9
Липецкая область;6,9;8,0;9,9;10,9;11,3;10,8;11,5;13,6;20,3;19,6;20,6;32,0;47,8;49,9;47,8;50,7
Московская область;9,9;10,0;11,5;13,8;15,7;15,1;4,6;9,1;20,1;20,1;23,1;30,8;55,7;57,0;59,5;62,0
Орловская область;6,0;4,9;5,1;7,2;9,0;9,9;10,9;10,7;12,6;12,3;12,5;23,2;38,9;42,5;43,5;43,6
Рязанская область;9,7;9,2;11,3;10,8;12,8;13,6;16,1;20,6;22,7;21,0;21,0;24,0;43,4;47,9;44,9;49,4
Смоленская область;5,7;6,0;5,8;7,5;8,2;9,4;11,8;12,8;15,8;13,9;15,8;25,5;42,4;47,9;51,0;49,8
Тамбовская область;5,3;5,4;5,6;7,5;10,9;9,5;10,6;12,5;14,5;15,6;16,4;16,0;35,6;42,6;42,4;44,3
Тверская область;5,5;7,0;7,2;8,8;9,4;11,5;12,2;14,3;16,6;13,8;14,2;16,3;36,7;38,1;40,7;46,8
Тульская область;4,6;5,4;7,4;8,2;10,4;12,4;13,3;13,0;15,4;15,3;19,5;30,4;49,6;54,8;53,0;55,3
Ярославская область;7,0;7,9;9,8;12,1;14,5;14,4;16,6;18,7;20,2;20,0;23,1;29,8;57,6;62,9;60,8;62,2
г. Москва;22,7;21,1;24,0;26,6;30,5;35,3;39,3;41,7;42,0;42,5;44,1;54,0;83,7;79,1;74,8;72,4
Северо-Западный     федеральный округ;9,0;9,1;8,9;11,7;13,4;15,0;16,8;18,3;20,2;18,6;18,9;28,7;53,4;58,0;57,4;58,6
Республика Карелия;13,7;14,0;15,9;18,9;20,4;22,8;24,6;27,1;28,6;14,4;7,4;8,7;59,2;52,0;51,0;53,9
Республика Коми;7,1;7,1;9,4;12,4;13,7;15,1;16,0;9,4;8,7;7,2;5,7;4,2;36,7;44,7;46,4;48,9
Архангельская область;9,0;10,3;8,9;12,1;13,6;16,0;18,5;21,2;20,6;20,6;20,6;33,4;46,8;49,0;48,2;51,6
в том числе: ;;;;;;;;;;;;;;;;
Ненецкий автономный округ;12,5;18,8;8,0;17,1;21,9;24,4;26,2;27,7;27,3;23,6;24,7;49,0;43,9;53,6;55,1;51,1
Архангельская область     без автономного округа;8,6;9,3;9,0;11,4;12,5;14,9;17,5;20,3;19,7;20,2;20,1;31,3;47,2;48,5;47,5;51,7
Вологодская область;7,4;8,3;8,9;9,9;12,3;11,7;12,7;16,8;18,2;14,7;16,2;26,6;47,0;50,4;50,0;50,3
Калининградская область;8,6;7,8;7,1;10,7;10,9;12,6;14,5;16,3;16,5;16,1;16,3;23,9;53,3;57,4;56,1;53,7
Ленинградская область;6,6;6,5;7,0;10,7;12,5;13,9;15,3;16,6;18,9;18,0;17,6;30,7;56,2;65,0;59,1;60,5
Мурманская область;4,9;3,7;2,1;2,6;3,1;4,7;6,6;8,2;9,8;10,5;13,1;23,5;52,8;56,2;55,9;57,1
Новгородская область;8,2;7,8;7,0;9,6;10,2;12,8;14,1;15,3;20,3;21,2;17,7;30,1;47,6;55,2;52,1;55,5
Псковская область;5,9;6,2;5,3;6,4;8,1;8,0;8,9;10,1;17,4;14,1;15,2;23,1;42,2;51,4;47,3;52,4
г. Санкт-Петербург;13,0;13,3;13,9;18,3;21,4;24,5;27,8;32,3;33,9;32,4;32,8;47,1;71,0;73,5;75,0;72,3
Южный            федеральный округ;8,8;8,6;9,3;12,0;12,8;14,8;15,9;18,4;20,2;20,4;19,6;26,9;43,0;45,7;46,7;50,3
Республика Адыгея;10,3;15,9;14,3;12,9;11,4;13,0;10,6;12,2;12,6;18,0;18,0;22,6;46,1;48,7;49,4;50,5
Республика Калмыкия;0,4;7,3;5,4;10,0;8,4;12,8;16,7;17,5;17,9;14,6;18,6;25,6;40,9;39,7;38,5;35,1
Республика Крым;;;;;;;;;;;;28,5;66,9;46,7;46,9;44,4
Краснодарский край;9,1;8,5;10,2;12,3;13,4;16,0;18,2;20,5;22,7;21,4;21,3;25,2;45,4;50,0;51,8;52,9
Астраханская область;9,2;8,6;8,9;10,9;13,8;14,7;17,2;16,5;20,1;19,8;20,0;33,9;46,4;50,9;50,3;52,1
Волгоградская область;8,5;7,7;8,7;12,7;14,1;15,7;17,5;20,6;18,6;16,2;18,2;23,6;35,0;40,6;39,7;46,5
Ростовская область;9,2;9,0;9,2;11,5;11,7;13,4;13,1;16,5;20,4;23,5;19,4;29,7;44,0;44,6;46,5;53,8
г. Севастополь;;;;;;;;;;;;25,5;41,0;30,9;36,2;53,1
Северо-Кавказский     федеральный округ;6,0;6,3;7,7;10,2;11,3;13,1;15,8;17,1;17,6;17,1;18,9;28,8;41,7;43,4;40,7;39,4
Республика Дагестан;10,7;21,6;9,8;12,0;6,9;8,7;18,3;18,0;16,7;20,5;23,7;26,1;31,4;30,2;24,0;21,4
Республика Ингушетия;10,6;3,8;8,5;10,0;20,8;18,0;20,0;12,8;6,5;17,7;13,4;35,0;34,1;45,6;44,7;44,1
Кабардино-Балкарская      Республика;5,2;4,5;5,5;9,0;7,9;9,3;11,3;13,2;9,9;11,4;13,1;18,6;37,0;40,2;34,9;35,3
Карачаево-Черкесская       Республика;7,2;6,4;5,5;9,2;9,8;9,1;11,3;11,4;14,0;14,3;15,9;23,4;39,2;41,9;47,5;46,5
Республика Северная Осетия – Алания;5,1;5,5;7,1;7,5;10,1;11,8;13,3;15,5;16,5;17,1;16,9;27,5;36,6;39,1;46,7;50,1
Чеченская Республика;-;-;-;14,3;8,8;11,9;15,0;12,8;17,2;10,8;14,8;24,6;29,5;32,0;30,3;33,6
Ставропольский край;5,6;6,0;8,8;11,4;14,2;17,5;19,6;22,1;22,9;22,4;24,0;36,7;56,9;58,5;59,4;58,0
Приволжский       федеральный округ;6,9;7,2;8,4;9,9;11,5;13,2;15,1;17,3;18,0;17,5;18,1;20,8;45,0;48,1;48,2;52,0
Республика Башкортостан;6,8;6,5;7,6;6,9;12,6;14,3;16,1;18,7;19,3;19,5;20,8;25,8;43,7;53,2;54,0;54,4
Республика Марий Эл;6,5;5,3;6,0;6,7;5,7;6,0;7,4;8,8;12,2;12,8;15,1;14,8;44,5;42,3;42,1;43,9
Республика Мордовия;7,3;6,0;6,3;6,5;7,6;10,4;12,9;13,0;9,5;9,7;9,6;12,4;33,4;31,9;30,5;41,5
Республика Татарстан;5,2;7,0;9,5;11,7;13,2;15,9;17,2;20,4;23,8;22,3;24,5;31,9;56,0;58,0;58,8;61,1
Удмуртская Республика;6,5;7,4;6,0;9,0;12,3;14,5;16,1;17,1;15,9;16,0;16,9;16,6;50,1;46,9;46,7;53,9
Чувашская Республика;7,4;9,6;11,8;21,0;11,8;11,8;14,2;13,3;10,2;9,7;8,4;5,3;35,8;45,0;41,3;47,3
Пермский край;10,7;9,8;12,5;11,5;13,2;13,9;16,1;18,6;18,5;19,0;19,4;28,6;48,9;49,9;48,5;55,8
Кировская область;4,2;4,8;4,8;7,4;8,8;9,7;10,1;12,0;12,5;12,6;13,7;16,3;37,1;43,5;43,2;44,3
Нижегородская область;7,8;7,0;8,6;10,5;12,7;14,0;16,0;19,6;20,2;19,5;20,6;31,1;53,8;55,7;55,0;56,4
