Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;
18. ИНФОРМАЦИОННЫЕ И КОММУНИКАЦИОННЫЕ ТЕХНОЛОГИИ;;;;;;;;;;;;;;;;
18.1. ИСПОЛЬЗОВАНИЕ ИНФОРМАЦИОННЫХ И КОММУНИКАЦИОННЫХ ТЕХНОЛОГИЙ В ОРГАНИЗАЦИЯХ ;;;;;;;;;;;;;;;;
18.1.3. Организации, использовавшие локальные вычислительные сети1);;;;;;;;;;;;;;;;
(в процентах от общего числа обследованных организаций  соответствующего субъекта Российской федерации);;;;;;;;;;;;;;;;
;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;45,8;49,7;52,4;57,0;56,4;59,3;60,5;68,4;71,3;71,7;73,4;67,2;63,5;62,3;61,1;63,9
Центральный  федеральный округ;47,7;51,1;54,0;57,7;58,1;59,4;59,8;67,3;71,4;72,4;74,7;68,0;65,9;64,7;64,2;65,9
Белгородская область;36,7;40,5;43,9;51,7;59,1;71,3;71,2;72,6;76,0;75,6;77,2;68,8;68,0;67,5;66,9;69,2
Брянская область;28,6;32,7;34,6;41,3;43,5;50,5;53,8;57,5;60,7;61,9;65,3;60,9;62,9;64,2;65,9;66,0
Владимирская область;40,1;49,6;60,7;60,6;57,9;66,0;68,0;82,7;81,4;81,3;81,1;79,1;77,1;73,6;66,1;69,8
Воронежская область;59,2;60,4;56,3;54,6;49,6;51,4;53,1;66,1;70,2;72,1;74,2;64,5;68,3;59,7;63,8;64,7
Ивановская область;36,7;40,8;41,9;47,8;45,8;51,2;46,9;57,7;67,1;71,5;75,9;65,1;65,0;65,5;65,9;65,0
Калужская область;46,8;47,5;48,9;53,2;58,1;58,3;61,2;62,8;64,2;68,2;71,7;64,2;62,0;62,0;64,0;63,1
Костромская область;32,3;39,3;39,0;45,6;43,2;48,6;49,2;62,6;70,7;69,0;71,6;64,2;59,1;60,5;62,2;64,3
Курская область;28,6;29,3;41,2;46,5;57,6;49,4;49,8;50,5;55,2;57,7;59,9;58,7;59,1;58,8;55,5;55,3
Липецкая область;39,0;43,9;52,6;59,5;50,5;51,1;51,3;66,0;70,5;74,7;79,2;68,5;63,4;63,2;60,6;62,6
Московская область;52,3;57,1;59,9;61,6;64,4;64,7;60,7;67,5;75,1;76,7;76,9;67,9;65,9;63,6;64,9;68,2
Орловская область;39,7;40,2;36,7;38,3;44,3;42,5;44,3;53,4;61,2;61,3;62,0;53,5;54,2;54,2;53,4;55,6
Рязанская область;49,5;52,4;52,1;55,8;56,8;56,9;59,6;68,8;74,0;71,3;72,2;66,7;63,1;62,5;61,1;65,1
Смоленская область;32,3;37,1;37,8;46,8;45,6;42,5;46,7;65,6;62,9;65,0;69,8;61,8;60,7;61,2;61,7;61,6
Тамбовская область;35,7;43,7;47,1;54,1;60,3;49,3;47,5;48,7;58,4;63,0;67,9;69,7;69,3;71,1;72,2;73,2
Тверская область;40,0;40,9;45,0;49,4;46,9;52,3;52,8;60,6;62,4;57,7;60,4;54,1;45,2;46,2;46,9;54,6
Тульская область;39,2;41,8;43,6;49,8;48,6;53,8;54,1;65,0;68,5;67,5;72,4;66,0;64,6;65,4;64,9;68,6
Ярославская область;46,3;51,3;57,5;63,8;59,7;59,9;62,1;73,2;74,6;76,2;80,2;73,6;72,2;73,4;71,5;73,7
г. Москва;81,0;82,6;83,2;84,6;85,8;88,9;90,2;91,9;93,0;93,4;94,3;86,4;80,8;75,1;70,5;68,6
Северо-Западный     федеральный округ;53,1;57,5;57,1;61,9;59,5;61,5;62,8;71,9;75,2;75,7;77,1;72,6;67,0;66,8;65,7;66,9
Республика Карелия;61,1;60,5;68,1;70,0;69,2;71,9;70,1;80,9;89,0;83,1;85,8;84,6;77,0;63,8;62,9;62,6
Республика Коми;41,6;49,6;54,7;66,5;56,0;55,0;53,6;55,3;60,9;67,8;74,9;70,8;71,8;68,5;64,0;67,1
Архангельская область;54,7;58,3;55,5;61,6;56,1;60,3;61,9;74,2;76,9;78,0;78,9;71,3;62,8;62,1;62,8;67,4
в том числе: ;;;;;;;;;;    ;;;;;;
Ненецкий автономный округ;68,8;65,2;53,3;57,3;59,7;59,3;57,9;72,3;77,3;77,3;79,6;67,3;57,3;62,0;65,2;63,3
Архангельская область     без автономного округа;53,3;57,5;55,9;62,2;55,7;60,4;62,4;74,5;76,8;78,1;78,8;71,8;63,4;62,1;62,5;67,8
Вологодская область;42,1;47,8;47,0;50,7;53,7;57,0;53,0;63,3;65,7;65,0;69,2;61,6;59,9;61,1;63,2;62,8
Калининградская область;52,8;54,6;52,7;59,6;60,3;59,7;63,2;62,8;65,9;66,0;68,1;67,2;65,2;66,6;62,9;60,3
Ленинградская область;44,8;53,5;53,2;56,5;52,2;56,7;61,7;78,2;78,6;78,6;76,7;72,0;65,4;68,6;64,4;66,6
Мурманская область;59,0;64,8;63,2;68,6;69,1;71,7;72,0;78,9;81,2;79,8;82,1;76,8;71,8;69,3;69,5;69,6
Новгородская область;51,9;57,1;48,7;49,9;51,1;51,0;53,9;70,9;77,9;74,3;69,5;64,6;58,8;62,5;63,2;66,2
Псковская область;30,9;37,4;40,8;45,3;44,1;42,7;54,2;59,4;64,8;64,6;65,2;65,2;61,9;61,0;56,2;62,4
г. Санкт-Петербург;67,5;70,9;71,6;75,6;72,2;76,0;75,2;86,9;88,6;89,5;89,0;83,4;71,9;72,5;72,4;71,3
Южный        федеральный округ;48,4;49,6;51,3;57,1;56,1;59,6;58,0;67,3;68,5;67,4;71,1;61,7;57,9;57,9;59,8;62,7
Республика Адыгея;66,1;59,9;61,1;57,6;48,0;58,7;58,2;70,4;74,9;80,3;79,1;62,8;57,6;59,9;61,0;62,4
Республика Калмыкия;29,3;29,0;29,3;45,0;49,9;70,6;62,9;86,8;71,1;61,9;67,5;53,1;52,0;48,4;47,5;47,4
Республика Крым;;;;;;;;;;;;50,0;78,6;54,3;56,6;55,2
Краснодарский край;52,9;53,8;58,6;60,5;56,8;59,9;61,9;77,3;75,1;76,8;74,4;63,2;59,6;61,0;65,1;62,5
Астраханская область;49,6;44,9;44,5;50,8;60,1;56,5;60,3;65,2;63,8;61,7;68,7;62,9;61,3;65,0;65,5;67,8
Волгоградская область;40,5;44,0;46,6;51,9;49,1;52,5;53,3;65,8;68,8;62,9;68,2;60,6;51,5;56,1;54,7;61,6
Ростовская область;49,8;52,2;51,1;59,8;60,9;64,2;57,5;60,0;63,9;64,1;70,6;60,7;59,6;58,0;59,3;68,3
г. Севастополь;;;;;;;;;;;;40,0;58,0;38,3;43,8;63,3
Северо-Кавказский     федеральный округ;34,7;38,5;44,9;52,9;51,2;54,4;55,4;63,3;69,7;67,0;71,5;65,0;53,8;52,3;48,2;48,0
Республика Дагестан;42,3;47,0;37,4;53,3;45,8;45,8;43,9;84,0;94,3;86,0;87,1;80,6;37,4;36,6;26,4;23,0
Республика Ингушетия;16,7;11,3;10,6;16,0;22,9;24,0;22,2;38,5;51,6;62,9;49,6;46,6;46,7;52,6;50,2;50,0
Кабардино-Балкарская      Республика;34,0;35,0;44,7;38,3;39,0;41,3;44,3;46,5;52,9;56,9;60,0;45,5;43,1;43,5;38,6;38,7
Карачаево-Черкесская       Республика;26,4;29,9;29,1;34,5;33,6;34,7;35,6;40,4;55,4;56,9;60,0;46,6;48,5;49,3;52,4;51,5
Республика Северная Осетия – Алания;19,5;22,8;28,7;32,7;34,3;34,5;37,3;46,3;50,3;50,7;57,0;48,8;45,3;43,0;48,4;54,2
Чеченская Республика;-;-;-;28,6;16,5;19,5;26,4;66,4;68,4;55,1;66,3;71,3;41,8;41,6;46,6;57,6
Ставропольский край;42,3;47,5;57,4;72,0;70,8;79,0;81,9;80,8;83,8;82,7;85,9;76,6;76,0;71,8;70,1;70,0
Приволжский       федеральный округ;40,2;45,0;48,6;52,8;53,6;57,4;60,6;69,3;71,3;72,1;73,0;66,5;63,7;63,3;61,5;64,9
Республика Башкортостан;37,1;43,8;47,3;55,6;53,2;55,9;58,6;68,8;72,4;77,0;77,3;70,1;64,7;67,1;69,2;68,0
Республика Марий Эл;50,3;58,3;60,1;58,3;59,5;58,8;61,0;64,7;67,0;67,9;69,7;67,4;65,0;57,8;60,2;60,1
Республика Мордовия;36,4;39,7;33,0;45,5;43,0;51,2;56,7;59,7;62,2;66,9;68,0;64,0;56,8;49,7;51,1;57,9
Республика Татарстан;34,0;38,6;46,0;52,1;58,8;67,4;76,8;80,7;83,7;77,5;77,7;72,2;70,3;69,7;65,2;67,3
Удмуртская Республика;49,7;55,9;62,8;61,3;65,1;69,8;72,9;73,6;75,4;74,1;78,2;71,2;68,3;62,3;60,5;68,3
Чувашская Республика;48,5;55,4;59,0;60,8;46,4;54,4;55,2;62,9;68,3;71,9;74,3;72,1;72,7;74,2;71,4;71,7
Пермский край;52,5;55,7;63,2;57,7;53,9;54,5;55,5;69,4;72,2;76,6;77,5;72,0;67,9;64,4;60,2;64,8
Кировская область;33,1;37,8;38,8;46,2;51,1;49,8;50,6;61,1;62,2;64,6;70,7;59,1;56,3;62,8;61,8;67,5
Нижегородская область;40,9;46,0;46,9;50,5;53,5;58,1;62,1;72,1;73,1;75,2;79,4;70,3;68,5;68,2;66,8;65,8
Оренбургская область;35,4;40,7;47,4;50,7;56,4;61,5;69,5;75,0;74,8;76,1;78,2;67,9;75,0;73,7;70,2;68,2
Пензенская область;42,7;45,5;46,6;49,4;54,2;49,9;49,2;60,1;59,7;67,4;71,9;66,3;65,8;66,2;64,1;64,1
Самарская область;45,7;50,8;55,4;60,0;62,1;64,1;64,0;73,7;76,1;67,1;60,2;57,1;51,1;56,4;51,7;61,5
Саратовская область;42,9;42,8;39,8;44,0;43,0;48,6;53,1;64,2;67,5;69,2;69,1;59,7;56,7;49,9;51,6;58,9
Ульяновская область;28,8;32,5;36,0;44,4;47,2;53,0;54,4;64,7;63,3;64,7;68,0;64,7;64,3;62,4;60,3;59,5
Уральский     федеральный округ;52,2;55,7;61,7;64,8;63,0;67,2;66,9;73,9;77,3;78,2;79,3;73,1;67,5;66,8;65,1;67,8
Курганская область;28,7;30,3;34,9;44,6;40,6;50,0;62,2;63,7;68,3;65,8;62,1;52,7;42,4;52,9;50,6;55,1
Свердловская область;49,7;50,9;62,7;61,7;60,6;68,6;69,4;72,2;76,7;79,6;81,6;76,4;69,1;67,4;66,5;68,3
Тюменская область;62,1;67,8;69,9;73,5;74,9;75,3;69,0;77,7;81,9;81,5;83,2;78,0;74,5;72,7;67,7;70,3
в том числе:;;;;;;;;;;;;;;;;
Ханты-Мансийский   автономный округ – Югра;68,9;73,6;76,1;82,1;81,9;84,5;75,6;82,6;86,1;86,2;88,4;82,6;80,3;79,0;72,7;73,2
