Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;
18. ИНФОРМАЦИОННЫЕ И КОММУНИКАЦИОННЫЕ ТЕХНОЛОГИИ;;;;;;;;;;;;;;;;
18.2. ИСПОЛЬЗОВАНИЕ СЕТИ ИНТЕРНЕТ В ОРГАНИЗАЦИЯХ;;;;;;;;;;;;;;;;
18.2.1. Организации, использовавшие сеть Интернет1);;;;;;;;;;;;;;;;
(в процентах от общего числа обследованных организаций)  ;;;;;;;;;;;;;;;;
;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;43,4;48,8;53,3;61,3;67,8;73,7;78,3;82,4;84,8;86,9;88,1;89,0;88,1;88,7;88,9;91,1
Центральный  федеральный округ;43,0;48,0;52,7;60,1;67,7;70,6;75,5;80,3;82,8;85,9;87,9;90,0;90,8;91,1;92,4;93,4
Белгородская область;38,2;42,9;48,0;56,1;70,3;74,0;82,6;85,8;87,6;87,9;89,3;92,7;93,3;94,8;94,4;96,6
Брянская область;29,3;35,3;40,8;47,6;54,3;59,4;65,4;69,4;71,8;74,7;80,5;83,7;91,8;93,3;94,5;92,4
Владимирская область;36,4;41,4;48,5;57,5;65,3;76,6;83,8;87,9;88,3;90,0;90,6;92,7;93,1;91,9;90,3;94,5
Воронежская область;54,9;57,3;56,9;57,1;64,7;68,8;74,0;80,1;78,2;82,1;86,0;89,8;91,4;91,7;97,3;95,1
Ивановская область;30,6;35,8;38,3;49,2;57,4;61,4;69,0;78,5;84,7;88,4;91,0;90,8;91,4;94,2;93,9;93,3
Калужская область;42,5;44,2;47,8;52,5;60,3;63,2;67,6;73,3;76,9;81,5;83,3;88,0;91,6;91,7;93,9;93,6
Костромская область;23,3;32,6;33,8;43,2;52,3;61,2;68,7;76,4;84,9;83,1;84,9;84,1;78,9;81,0;86,5;88,4
Курская область;19,5;22,3;30,8;40,5;55,3;49,5;52,4;56,1;64,4;71,9;76,1;84,4;85,6;84,4;85,3;84,0
Липецкая область;32,7;40,6;50,4;67,6;66,8;68,8;70,2;78,9;80,7;86,9;90,3;93,7;93,4;94,3;93,2;94,6
Московская область;45,3;52,6;58,1;65,2;75,4;78,4;81,4;86,4;86,2;91,1;91,6;91,1;92,4;87,2;89,5;91,3
Орловская область;36,1;39,7;42,2;46,6;52,9;58,6;67,0;71,4;74,6;79,9;81,0;87,7;88,8;89,6;91,7;90,1
Рязанская область;47,2;52,1;55,1;61,8;67,7;73,2;80,0;84,0;85,8;84,8;87,2;89,0;91,8;93,8;93,0;94,2
Смоленская область;25,4;30,9;33,5;40,5;47,7;50,9;61,2;74,9;81,4;89,5;90,5;91,9;92,8;95,0;94,4;94,6
