Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;
18. ИНФОРМАЦИОННЫЕ И КОММУНИКАЦИОННЫЕ ТЕХНОЛОГИИ;;;;;;;;;;;;;;;;
18.3. ОРГАНИЗАЦИИ, ИМЕВШИЕ ВЕБ-САЙТ1);;;;;;;;;;;;;;;;
(в процентах от общего числа обследованных организаций соответствующего субъекта Российской Федерации) ;;;;;;;;;;;;;;;;
;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;13,5;14,4;14,8;21,1;19,8;22,8;24,1;28,5;33,0;37,8;41,3;40,3;42,6;45,9;47,4;50,9
Центральный    федеральный округ;16,6;17,0;18,0;25,3;23,9;25,7;27,7;32,3;36,1;41,3;44,4;43,6;47,1;50,8;53,1;56,8
Белгородская область;9,7;9,7;9,9;19,0;18,3;21,4;22,9;26,3;31,9;33,4;35,2;40,3;42,8;50,4;53,7;58,8
Брянская область;6,1;8,1;8,8;12,6;10,9;13,4;14,6;18,0;21,6;24,7;29,3;30,4;37,1;43,7;45,8;42,7
Владимирская область;11,5;11,0;14,4;19,1;19,6;24,7;27,2;32,7;40,0;42,7;45,9;44,8;48,9;50,0;50,7;58,1
Воронежская область;16,6;16,9;15,6;19,1;18,6;20,3;22,8;25,6;30,8;38,3;37,9;35,4;39,6;46,0;52,2;54,8
Ивановская область;7,9;8,0;8,5;16,2;15,9;17,4;19,7;26,6;31,2;37,6;41,4;40,9;44,9;49,0;51,0;53,9
Калужская область;14,8;15,6;15,8;19,2;17,0;19,3;22,1;26,6;30,4;35,1;37,5;37,1;43,7;45,7;49,7;54,8
Костромская область;6,3;8,7;7,6;13,9;12,3;15,5;17,9;22,5;25,2;30,0;32,5;34,7;36,8;39,8;42,6;43,3
Курская область;6,0;7,3;8,9;12,5;14,7;11,6;12,7;15,6;21,4;30,8;33,8;34,7;33,8;39,6;43,6;44,3
