Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;
18. ИНФОРМАЦИОННЫЕ И КОММУНИКАЦИОННЫЕ ТЕХНОЛОГИИ;;;;;;;;;;;;;;;;
18.4. ЧИСЛО ПЕРСОНАЛЬНЫХ КОМПЬЮТЕРОВ на 100 РАБОТНИКОВ;;;;;;;;;;;;;;;;
18.4.1. Всего1);;;;;;;;;;;;;;;;
(штук);;;;;;;;;;;;;;;;
;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;18;20;23;26;29;32;35;36;39;43;44;47;49;49;50;51
Центральный федеральный округ;20;24;26;29;33;37;40;42;45;50;50;54;56;56;56;57
Белгородская область;11;17;18;21;23;26;31;30;32;34;35;37;40;40;42;42
Брянская область;11;14;15;17;20;23;26;28;29;33;34;37;38;39;41;43
Владимирская область;12;15;17;20;24;28;30;33;36;37;39;42;43;44;44;46
Воронежская область;14;16;17;22;25;27;31;34;37;39;42;44;47;48;49;52
Ивановская область;13;15;19;21;24;28;32;35;37;42;44;49;48;49;50;52
Калужская область;16;19;21;24;26;30;33;35;39;43;44;47;48;49;49;50
Костромская область;14;18;21;24;26;29;32;35;39;42;42;45;46;47;48;49
Курская область;13;17;18;21;22;27;30;31;35;37;38;40;40;43;44;45
Липецкая область;11;14;17;20;21;25;28;28;32;36;38;41;41;43;42;43
Московская область;16;20;21;23;24;27;31;33;35;42;34;41;43;43;44;39
Орловская область;14;18;14;20;24;28;31;33;35;39;41;41;44;45;47;48
Рязанская область;15;20;22;24;25;28;31;33;36;37;41;43;47;47;47;53
Смоленская область;13;15;17;20;22;24;28;31;31;35;38;39;40;41;42;44
Тамбовская область;13;16;18;21;23;26;28;30;33;38;40;41;42;44;45;46
Тверская область;14;17;16;20;24;28;29;34;36;37;39;42;45;45;46;47
Тульская область;14;16;18;21;23;25;28;29;33;36;40;42;43;43;43;47
Ярославская область;16;18;20;26;28;32;34;35;40;42;44;45;48;49;50;53
г. Москва;40;43;48;49;54;59;59;63;66;72;76;80;80;77;78;78
Северо-Западный    федеральный округ;20;23;25;29;32;35;38;40;43;46;48;51;52;52;53;55
Республика Карелия;20;16;22;28;31;36;39;41;41;50;52;55;59;52;55;55
Республика Коми;16;19;23;25;28;32;34;37;38;38;39;44;46;47;45;49
Архангельская область;16;19;20;23;25;29;32;29;38;39;42;43;45;45;46;51
в том числе: ;;;;;;;;;;;;;;;;
Ненецкий автономный     округ;28;26;28;26;31;28;30;33;35;39;41;43;47;47;45;46
Архангельская область      без автономного округа;16;19;20;23;25;29;32;29;38;39;42;43;45;45;46;51
Вологодская область;16;20;22;24;27;31;35;37;39;42;45;48;50;49;50;54
Калининградская область;21;25;26;29;31;35;39;44;45;46;47;55;51;53;53;54
Ленинградская область;15;18;18;21;24;25;27;33;33;34;36;38;45;42;42;42
Мурманская область;20;23;21;27;29;32;35;36;37;42;43;47;49;46;47;49
Новгородская область;16;17;19;22;25;28;31;34;37;39;40;42;45;44;46;48
Псковская область;14;18;17;23;25;26;29;31;33;36;38;41;44;42;43;44
г. Санкт-Петербург;27;30;32;38;40;42;45;46;50;55;55;59;58;59;60;63
Южный            федеральный округ;15;19;19;23;26;28;31;33;37;42;43;41;43;45;45;46
Республика Адыгея;15;16;21;23;25;27;31;34;37;40;42;45;46;43;44;43
Республика Калмыкия;15;20;20;25;26;32;36;38;44;49;49;49;51;52;54;56
Республика Крым;;;;;;;;;;;;26;34;39;41;43
Краснодарский край;15;21;17;21;25;26;29;32;39;46;45;39;42;44;43;43
Астраханская область;14;16;19;24;27;32;32;33;36;42;41;44;46;47;50;47
Волгоградская область;15;17;19;22;24;27;30;31;34;39;41;43;40;43;47;47
Ростовская область;16;20;21;25;27;30;33;36;38;40;41;43;46;46;47;48
г. Севастополь;;;;;;;;;;;;43;46;52;50;60
Северо-Кавказский      федеральный округ;16;15;14;21;24;25;28;31;33;36;38;40;42;43;43;43
Республика Дагестан;9;12;10;15;18;20;27;27;27;33;34;34;34;35;34;33
Республика Ингушетия;11;9;12;11;17;17;18;22;29;43;46;45;45;40;37;38
Кабардино-Балкарская   Республика;14;17;18;20;25;25;28;31;32;35;36;40;48;50;37;31
Карачаево-Черкесская        Республика;15;18;20;20;23;23;28;30;33;36;37;39;41;42;44;45
Республика Северная         Осетия – Алания;15;13;15;16;17;23;24;27;29;32;37;36;38;39;40;43
