Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;
18. ИНФОРМАЦИОННЫЕ И КОММУНИКАЦИОННЫЕ ТЕХНОЛОГИИ;;;;;;;;;;;;
18.5. ИСПОЛЬЗОВАНИЕ ЭЛЕКТРОННОГО ДОКУМЕНТООБОРОТА В ОРГАНИЗАЦИЯХ;;;;;;;;;;;;
18.5.1. Организации, использовавшие системы электронного документооборота1);;;;;;;;;;;;
(в процентах от общего числа обследованных организаций соответствующего субъекта Российской Федерации);;;;;;;;;;;;
;2011;2012;2013;2014;2015;2016;2017;2018;;;;
Российская Федерация;61,9;60,4;61,7;58,9;62,7;66,1;66,1;68,6;;;;
Центральный   федеральный округ;59,2;58,8;61,0;59,4;63,8;68,4;69,4;71,5;;;;
Белгородская область;64,4;62,6;65,6;76,7;71,4;75,2;73,9;75,6;;;;
Брянская область;55,3;59,5;62,4;51,0;64,6;69,4;70,0;70,3;;;;
Владимирская область;62,7;59,1;62,7;70,4;61,1;67,6;66,6;73,1;;;;
Воронежская область;61,3;58,5;62,5;53,3;64,6;72,2;75,8;75,4;;;;
Ивановская область;64,7;66,1;68,6;62,1;71,5;77,6;74,8;76,0;;;;
Калужская область;51,0;59,2;60,4;56,3;61,3;67,9;69,7;72,0;;;;
Костромская область;63,5;59,6;62,5;56,0;59,8;64,1;67,2;68,7;;;;
Курская область;52,7;52,9;57,5;57,0;67,5;69,6;68,0;66,9;;;;
Липецкая область;60,0;61,4;65,3;64,2;74,7;79,3;79,1;78,8;;;;
Московская область;54,9;53,8;56,0;53,1;56,0;61,9;66,2;68,9;;;;
Орловская область;57,9;58,4;60,4;60,6;68,6;74,1;76,7;74,6;;;;
Рязанская область;65,9;60,9;63,4;61,9;66,4;73,5;71,7;73,7;;;;
Смоленская область;58,4;67,2;67,9;74,9;59,3;70,8;74,1;76,7;;;;
Тамбовская область;65,2;59,1;61,0;54,1;65,6;62,7;67,3;71,2;;;;
Тверская область;54,3;48,5;51,8;47,5;51,9;59,5;58,3;67,3;;;;
Тульская область;57,7;56,3;59,4;60,6;59,5;64,0;64,9;68,8;;;;
Ярославская область;59,6;61,5;64,9;57,5;69,5;74,0;71,9;74,0;;;;
г. Москва;64,9;64,7;62,9;66,9;71,3;71,1;70,5;71,2;;;;
Северо-Западный     федеральный округ;62,4;62,6;65,1;58,3;65,0;70,1;69,2;69,8;;;;
Республика Карелия;77,5;62,6;67,7;72,6;74,5;73,3;71,9;72,5;;;;
Республика Коми;58,5;64,7;70,3;52,1;56,5;66,5;62,8;66,9;;;;
Архангельская область;68,8;69,0;69,1;57,0;65,4;69,4;67,6;72,3;;;;
в том числе: ;;;;;;;;;;;;
Ненецкий автономный   округ;62,0;67,3;62,0;43,2;40,4;52,3;62,1;64,1;;;;
Архангельская область    без автономного округа;69,7;69,3;70,0;58,9;68,3;71,1;68,2;73,1;;;;
Вологодская область;59,2;55,5;59,6;51,4;66,1;71,0;71,7;70,2;;;;
Калининградская область;57,4;59,9;63,2;60,4;61,9;67,3;68,4;67,3;;;;
Ленинградская область;61,5;62,0;63,0;58,4;64,9;71,9;69,5;71,5;;;;
Мурманская область;64,0;65,3;70,2;57,3;66,5;66,5;66,6;66,1;;;;
Новгородская область;66,1;69,7;65,0;63,6;72,3;81,4;76,9;76,1;;;;
Псковская область;63,3;61,9;65,2;52,7;61,1;68,7;70,0;70,8;;;;
г. Санкт-Петербург;61,4;61,0;63,2;63,1;65,8;69,6;69,9;68,5;;;;
Южный          федеральный округ;62,0;58,1;58,7;54,0;56,9;60,6;63,3;66,3;;;;
Республика Адыгея;56,1;57,6;59,4;82,1;67,6;62,3;61,4;58,2;;;;
Республика Калмыкия;70,4;67,4;75,4;59,8;67,0;65,7;66,0;63,8;;;;
Республика Крым;;;;41,5;66,1;68,9;73,3;68,4;;;;
