Социально-экономические показатели по субъектам Российской Федерации;;;;;;
18. ИНФОРМАЦИОННЫЕ И КОММУНИКАЦИОННЫЕ ТЕХНОЛОГИИ;;;;;;
18.7. ИСПОЛЬЗОВАНИЕ СЕТИ ИНТЕРНЕТ НАСЕЛЕНИЕМ1);;;;;;
18.7.1.  Население, использовавшее сеть Интернет2);;;;;;
"(по данным выборочного обследования населения по вопросам использования ИКТ; в процентах от общей численности населения соответствующего субъекта Российской Федерации)";;;;;;
;2014;2015;2016;2017;2018;
Российская Федерация;70,5;73,4;76,4;79,8;83,8;
Центральный   федеральный округ;71,4;75,0;77,0;81,4;84,9;
Белгородская область;69,1;66,1;71,7;76,6;77,0;
Брянская область;61,0;63,9;73,5;75,3;82,1;
Владимирская область;64,9;67,2;71,1;76,5;76,0;
Воронежская область;62,4;66,4;75,9;78,7;84,1;
Ивановская область;67,9;74,6;75,1;81,7;81,1;
Калужская область;64,4;68,1;70,6;73,6;78,5;
Костромская область;66,0;67,0;71,8;76,5;79,0;
Курская область;63,6;62,3;77,9;77,4;78,3;
Липецкая область;65,9;69,4;74,7;79,9;84,3;
Московская область;73,0;79,8;79,8;90,4;92,0;
Орловская область;63,7;66,9;65,9;68,5;71,7;
Рязанская область;62,8;65,3;66,5;69,7;79,7;
Смоленская область;69,9;73,6;72,7;78,7;81,0;
Тамбовская область;62,5;70,5;70,8;74,3;77,6;
Тверская область;63,6;70,2;73,7;78,3;77,5;
Тульская область;73,0;74,5;79,3;82,4;86,4;
Ярославская область;68,7;72,4;74,5;75,7;77,3;
г. Москва;79,8;82,3;81,0;83,1;88,3;
Северо-Западный     федеральный округ;75,5;78,6;80,8;81,5;84,1;
Республика Карелия;73,8;75,4;78,5;81,2;82,0;
Республика Коми;69,7;79,0;77,9;79,6;84,1;
Архангельская область;72,3;75,3;78,0;77,7;83,1;
в том числе: ;;;;;;
Ненецкий автономный   округ;69,4;70,2;76,0;75,0;75,8;
Архангельская область    без автономного округа;72,4;75,5;78,1;77,8;83,4;
Вологодская область;60,1;65,2;66,5;76,0;77,6;
Калининградская область;78,8;78,4;78,4;81,1;83,3;
Ленинградская область;72,3;77,6;77,3;76,8;80,8;
Мурманская область;80,8;86,4;85,6;85,6;88,7;
Новгородская область;66,6;68,8;72,8;72,9;76,7;
Псковская область;63,6;71,5;75,1;76,4;77,5;
г. Санкт-Петербург;83,3;84,0;87,9;86,5;88,0;
Южный          федеральный округ;68,6;72,2;77,2;81,2;87,0;
Республика Адыгея;57,3;64,2;66,2;75,2;77,5;
Республика Калмыкия;65,5;74,3;77,9;81,3;82,7;
Республика Крым;…;75,3;76,2;82,8;86,7;
Краснодарский край;66,8;68,7;75,1;80,9;91,3;
Астраханская область;68,0;71,8;78,0;79,3;89,2;
Волгоградская область;72,2;73,8;77,5;79,0;81,4;
Ростовская область;70,1;74,2;80,8;83,0;85,8;
г. Севастополь;…;83,3;81,6;84,4;86,9;
Северо-Кавказский        федеральный округ;64,8;71,8;74,4;77,4;83,5;
Республика Дагестан;55,1;66,8;71,4;78,4;80,8;
Республика Ингушетия;67,7;58,7;72,4;73,7;85,5;
Кабардино-Балкарская   Республика;70,3;71,4;74,0;82,0;84,8;
Карачаево-Черкесская     Республика;57,5;65,9;69,9;76,9;79,1;
Республика Северная    Осетия – Алания;68,0;69,3;72,6;82,0;89,5;
Чеченская Республика;76,3;89,1;76,0;63,0;90,0;
Ставропольский край;68,1;73,1;78,4;80,8;82,0;
Приволжский      федеральный округ;68,0;69,9;74,0;78,7;82,9;
Республика Башкортостан;65,5;69,8;75,1;82,0;88,2;
Республика Марий Эл;61,1;67,7;64,5;79,6;71,1;
Республика Мордовия;64,6;68,9;70,1;70,3;71,8;
Республика Татарстан;73,4;77,3;84,0;91,2;91,3;
Удмуртская Республика;69,2;68,3;73,8;76,1;77,5;
