Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;;;;
18. ИНФОРМАЦИОННЫЕ И КОММУНИКАЦИОННЫЕ ТЕХНОЛОГИИ;;;;;;;;;;;;;;;;;;;;;;;
18.8. ЧИСЛО ПОДКЛЮЧЕННЫХ АБОНЕНТСКИХ УСТРОЙСТВ МОБИЛЬНОЙ СВЯЗИ на 1000 человек населения;;;;;;;;;;;;;;;;;;;;;;;
"(на конец года; штук)";;;;;;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;;;;
Российская Федерация;22,3;53,0;121,0;247,0;496,0;862,6;1080,8;1199,0;1397,8;1613,8;1663,7;1790,3;1826,9;1933,3;1908,4;1937,8;1977,9;2002,6;1969,4;;;;
Центральный федеральный округ;55,0;118,0;222,0;383,0;656,0;953,2;1228,7;1360,2;1548,6;1545,7;1823,4;1990,2;2045,8;2206,0;2158,8;2219,7;2295,0;2409,9;2364,7;;;;
Белгородская область;4,0;9,0;30,0;89,0;300,0;550,1;1095,9;1115,6;1211,0;1206,6;1422,0;1592,9;1669,0;1733,1;1788,8;1803,6;1819,0;1844,2;1833,4;;;;
Брянская область;3,0;3,0;21,0;66,0;219,0;458,7;966,2;996,9;1108,2;1114,8;1480,7;1548,9;1655,4;1700,6;1694,1;1742,6;1670,9;1768,4;1726,7;;;;
Владимирская область;6,0;20,0;64,0;177,0;466,0;773,0;1007,2;1137,9;1326,4;1333,9;1501,9;1606,5;1624,4;1661,8;1713,3;1719,0;1691,6;1770,8;1707,2;;;;
Воронежская область;6,0;14,0;36,0;86,0;245,0;447,0;821,5;852,1;954,1;955,8;1325,8;1598,4;1624,1;1687,9;1725,0;1790,3;1745,0;1794,8;1810,8;;;;
Ивановская область;1,0;3,0;63,0;155,0;417,0;766,7;1038,7;1185,0;1399,2;1407,8;1614,6;1777,4;1766,7;1701,4;1706,0;1690,8;1648,5;1624,8;1574,9;;;;
Калужская область;10,0;33,0;97,0;222,0;518,0;785,8;1016,5;1162,9;1402,6;1403,4;1570,5;1740,2;1774,9;1895,2;1879,0;1922,4;1863,6;1992,7;1956,8;;;;
Костромская область;5,0;14,0;46,0;135,0;444,0;744,2;1034,3;1192,8;1421,8;1432,1;1774,7;2050,4;1793,3;1735,1;1823,9;1710,7;1718,1;1774,0;1721,6;;;;
Курская область;5,0;7,0;25,0;63,0;290,0;607,9;1102,7;1169,9;1230,3;1239,4;1550,1;1690,3;1693,9;1734,6;1752,8;1777,9;1808,9;1846,9;1823,8;;;;
