Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
19. НАУКА И ИННОВАЦИИ;;;;;;;;;;;;;;;;;;;
19.11. ИСПОЛЬЗУЕМЫЕ ПЕРЕДОВЫЕ ПРОИЗВОДСТВЕННЫЕ ТЕХНОЛОГИИ;;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;70069;80012;93412;107015;119639;140983;168311;180324;184374;201586;203330;191650;191372;193830;204546;218018;232388;240054;254927
Центральный федеральный округ;22632;22894;29007;33503;40134;46683;58929;64263;60124;67880;68945;63078;62796;60829;65591;69588;72648;77966;76405
Белгородская область;470;446;690;505;755;550;689;963;1207;981;1215;1030;1614;1421;1837;1970;2335;2408;2444
Брянская область;304;350;464;490;569;690;602;589;799;908;1021;1066;1221;1225;1281;1456;1512;1603;2036
Владимирская область;759;915;1177;1565;1597;1653;1863;2554;2835;3368;2972;3239;3211;3310;3446;3892;5283;6728;6810
Воронежская область;1200;957;1087;1670;1833;1805;1844;1449;1641;1756;2293;1755;1666;1897;1974;2160;2275;2538;2678
Ивановская область;231;308;401;353;230;432;497;582;606;709;512;486;624;744;856;935;720;933;1020
Калужская область;1183;684;1429;1449;1859;2130;4451;3785;3689;4301;4858;2316;2094;2057;2130;2446;2387;3176;4473
Костромская область;77;126;272;296;636;1027;758;845;915;1095;1623;1069;1302;1541;1634;1608;1666;1668;1678
Курская область;341;414;440;453;473;1341;1546;1752;1525;1558;1525;1588;1571;1314;1323;1293;1291;1291;1487
Липецкая область;591;579;333;427;478;646;978;2051;2188;1751;2212;2265;2511;3653;3174;3221;3401;3422;2645
Московская область;5195;6414;7431;8706;11321;12771;16213;14399;9894;10349;11686;15159;14310;14458;17174;16467;16532;16819;18980
Орловская область;401;540;460;585;790;1013;988;1070;1130;1264;1377;1471;1424;1479;1559;1460;1647;1498;1554
Рязанская область;186;273;381;278;317;390;500;547;618;500;528;1076;1032;1362;1311;1411;1445;1603;1728
Смоленская область;704;681;1208;1357;1102;1262;510;661;1000;1078;1076;1171;1302;1252;1278;1412;1672;1750;1841
Тамбовская область;147;254;470;550;818;1336;1751;2249;2558;2652;2086;2248;2005;1966;2069;2023;1981;1933;2008
Тверская область;425;563;811;1039;1373;1501;1963;2078;2240;2421;2488;2394;2746;3356;3761;3952;4193;4206;4604
Тульская область;2043;2534;3410;3790;4486;5678;6623;7759;9172;9767;8185;4898;3540;2123;2250;2229;2546;2867;3014
Ярославская область;719;1031;1106;1407;1256;1401;1647;2690;2856;3283;3267;2642;2675;2841;2889;2815;2962;2874;2851
г. Москва;7656;5825;7437;8583;10241;11057;15506;18240;15521;20139;20021;17205;17948;14830;15645;18838;18800;20649;14554
Северо-Западный федеральный округ;4708;6222;6893;7340;7704;8031;10901;11671;13452;14473;16622;17894;17473;18313;19478;20081;21653;22204;24093
Республика Карелия;427;853;915;544;595;476;547;549;658;627;751;1191;572;551;498;537;614;660;719
Республика Коми;18;18;18;216;245;82;131;258;422;467;550;609;491;529;564;710;779;910;1036
Архангельская область;465;547;378;300;388;448;494;729;846;1146;1298;1414;1367;1384;1362;1426;1416;1480;1484
в том числе:;;;;;;;;;;;;;;;;;;;
Ненецкий автономный округ;5;10;15;10;8;17;23;14;18;33;15;18;25;8;...1);25;36;63;78
Архангельская область    без автономного округа;460;537;363;290;380;431;471;715;828;1113;1283;1396;1342;1376;...1);1401;1380;1417;1406
Вологодская область;108;751;944;1073;1210;1791;3027;2765;2949;2942;3209;2228;2196;2184;2379;2533;2624;2992;2833
Калинингpадская область;377;495;659;693;646;686;785;1067;1060;894;916;1040;1050;1044;812;795;854;859;908
Ленинградская область;106;104;102;116;151;124;254;258;439;676;913;1195;1178;1532;1648;1641;1695;1879;2325
Мурманская область;212;208;465;522;507;660;729;828;1035;1055;1112;1557;1154;1106;1135;1201;1236;1145;1380
Новгородская область;658;775;860;1020;1197;1073;1144;1326;1210;1411;1680;1944;1786;1684;1864;1866;2092;1983;1927
Псковская область;244;224;239;289;392;677;762;906;1207;1502;1609;1594;1140;1171;1292;1273;1317;1363;1928
г. Санкт-Петербург;2093;2247;2313;2567;2373;2014;3028;2985;3626;3753;4584;5122;6539;7128;7924;8099;9026;8933;9553
Южный           федеральный округ;3758;3806;3905;3355;3504;4718;6385;7069;7748;8301;7743;7522;7848;8290;9749;10850;12308;13264;14037
Республика Адыгея;2;2;3;-;-;-;-;8;15;26;120;128;141;155;164;187;230;277;389
Республика Калмыкия;3;5;12;9;11;9;7;7;6;6;6;16;15;14;34;49;85;90;113
Республика Крым;;;;;;;;;;;;;;;66;75;102;86;85
Краснодарский край;339;421;452;459;569;1098;2240;1974;2088;2070;2159;2128;2261;2575;3436;4460;5163;6184;6656
Астраханская область;4;19;35;48;80;118;167;202;282;490;551;591;554;391;438;524;587;533;573
Волгоградская область;1916;1292;1150;1101;1097;1603;1921;2624;2941;3182;2243;1989;2055;2223;2404;2400;2511;2502;2486
Ростовская область;1494;2067;2253;1738;1747;1890;2050;2254;2416;2527;2664;2670;2822;2932;3104;3047;3314;3368;3514
г. Севастополь;;;;;;;;;;;;;;;103;108;316;224;221
Северо-Кавказский федеральный округ;740;808;1393;1437;1816;1984;2282;2326;2505;3135;3282;2012;1852;2132;2234;2338;2710;2911;3077
Республика Дагестан;534;486;1042;1093;1349;1408;1585;1604;1762;1769;1793;566;437;426;431;424;578;606;408
Республика Ингушетия;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16;24;28
Кабардино-Балкарская Республика;124;136;97;90;104;101;62;29;29;79;192;263;307;…1);…1);262;270;287;283
Карачаево-Черкесская Республика;-;-;-;-;-;-;-;-;-;59;70;87;76;80;84;90;93;95;110
Республика Северная Осетия – Алания;18;18;18;18;18;18;18;18;18;18;18;19;19;…1);...1);30;151;157;184
Чеченская Республика ;….;….;….;….;….;….;….;….;….;344;298;157;194;231;322;356;317;256;194
Ставропольский край;64;168;236;236;345;457;617;675;696;866;911;920;819;1094;1126;1176;1285;1486;1870
Приволжский федеральный округ;24649;29755;31738;38578;42948;50086;58128;59817;63713;64912;57394;55822;54976;57076;59643;64064;67118;64989;76228
