Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;  
19. НАУКА И ИННОВАЦИИ;;;;;;;;;;;;;;;;;;;;
19.12. ИННОВАЦИОННАЯ АКТИВНОСТЬ ОРГАНИЗАЦИЙ;;;;;;;;;;;;;;;;;;;;
19.12.2. Удельный вес организаций, осуществлявших технологические инновации, в общем числе обследованных организаций в 2000-2016 гг.1);;;;;;;;;;;;;;;;;;;;
(в процентах);;;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;;;
Российская Федерация;8,8;8,5;9,0;9,5;9,6;9,7;8,6;8,5;8,0;7,7;7,9;8,9;9,1;8,9;8,8;8,3;7,3;;;
Центральный       федеральный округ;10,0;9,0;10,0;9,7;10,2;10,3;9,1;8,7;8,0;7,4;7,3;8,8;9,7;9,6;9,8;9,8;9,0;;;
Белгородская область;7,9;11,4;10,1;10,1;8,2;8,7;10,4;14,1;9,5;8,5;8,7;9,9;7,6;9,4;10,5;11,7;13,0;;;
Брянская область;6,0;4,9;7,1;5,4;5,8;6,2;6,3;7,8;5,7;5,5;6,9;8,2;8,1;7,2;6,7;7,0;6,2;;;
Владимирская область;8,3;9,1;9,0;7,3;9,9;10,7;12,9;9,8;7,2;8,9;8,2;9,3;11,8;10,0;11,6;10,0;8,9;;;
Воронежская область;20,1;14,5;12,0;13,2;13,6;12,2;11,1;9,4;9,5;7,5;8,0;8,6;8,2;9,3;9,9;10,5;8,8;;;
Ивановская область;5,4;7,8;6,1;3,5;5,9;4,5;3,6;3,3;4,7;5,1;5,5;4,5;7,1;7,5;5,2;3,5;2,4;;;
Калужская область;12,7;10,3;11,0;10,6;12,7;14,0;12,0;11,1;7,8;7,1;7,2;6,9;8,5;9,2;7,9;9,1;6,7;;;
Костромская область;3,6;6,8;7,4;9,7;9,2;9,2;7,2;7,6;10,1;8,0;6,0;8,0;5,1;5,0;5,5;7,3;7,9;;;
Курская область;4,3;3,4;3,5;4,2;2,7;6,7;8,5;9,1;8,2;7,0;4,8;11,1;10,2;7,2;6,9;5,5;4,8;;;
Липецкая область;9,3;8,5;8,9;7,6;9,1;11,6;9,5;8,5;8,4;7,8;8,2;8,8;12,9;15,6;17,1;18,8;18,0;;;
Московская область;10,9;10,9;10,9;11,8;10,8;10,0;8,1;8,1;6,5;6,1;6,1;5,8;7,3;7,2;7,7;7,2;7,1;;;
Орловская область;12,1;14,4;17,4;16,9;17,6;19,6;13,4;10,4;10,1;12,9;9,3;8,8;8,9;6,8;7,2;7,5;5,8;;;
Рязанская область;4,7;5,2;5,6;6,3;7,6;7,0;6,2;4,3;7,6;5,0;5,8;7,4;9,8;10,5;11,3;11,2;8,7;;;
Смоленская область;6,4;6,5;5,7;6,1;5,2;5,0;6,6;6,8;4,7;6,3;5,2;5,8;5,7;5,6;5,9;6,2;6,2;;;
Тамбовская область;8,8;7,6;13,7;8,9;9,0;5,5;8,8;8,1;5,4;4,5;4,0;5,0;7,3;7,8;8,2;8,5;10,0;;;
Тверская область;7,8;4,8;5,4;6,3;5,3;4,7;4,7;4,8;5,5;3,5;4,6;6,9;8,8;9,2;7,4;7,1;7,5;;;
Тульская область;9,6;10,9;12,6;10,0;11,2;15,6;12,7;11,3;12,4;8,0;10,5;10,5;12,6;12,1;12,9;11,8;10,3;;;
Ярославская область;6,3;7,8;8,4;8,6;8,3;8,5;5,4;7,3;6,7;7,5;8,7;10,7;11,2;9,8;9,6;7,5;6,4;;;
г. Москва;17,6;11,0;16,4;15,4;18,1;17,6;13,2;11,6;13,8;12,8;11,6;16,9;17,7;17,4;18,0;18,5;14,9;;;
Северо-Западный       федеральный округ;7,7;8,8;8,6;8,6;9,1;9,4;9,1;8,1;7,6;8,2;7,6;9,5;9,5;9,2;8,9;8,1;7,1;;;
Республика Карелия;1,7;5,6;3,4;3,2;5,9;5,6;6,1;5,8;6,1;4,6;5,1;8,1;9,8;5,2;6,0;5,3;4,0;;;
Республика Коми;5,5;3,7;7,0;5,1;8,2;7,1;7,3;6,4;9,3;5,8;6,6;4,5;5,8;6,5;7,5;3,6;3,1;;;
