Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
19. НАУКА И ИННОВАЦИИ;;;;;;;;;;;;;;;;;;;
19.14. ОБЪЕМ ИННОВАЦИОННЫХ ТОВАРОВ, РАБОТ, УСЛУГ;;;;;;;;;;;;;;;;;;;
19.14.1. Всего;;;;;;;;;;;;;;;;;;;
(миллионов рублей);;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;154682,4;183000,9;207151,1;315603,5;435122,2;545540,0;777458,1;958928,7;1103365,5;934589,0;1243712,5;2106740,7;2872905,1;3507866,0;3579923,8;3843428,7;4364321,7;4166998,7;4516276,4
Центральный    федеральный округ;49261,3;44388,1;45592,3;57548,9;95532,3;112352,7;149890,1;224447,5;281388,4;241621,3;290757,6;480327,4;938153,2;1164102,4;1091170,3;1491536,1;1677915,6;1119964,2;1181418,5
Белгородская область;341,4;3266,7;1422,1;2376,3;1897,9;2206,9;2052,7;13377,9;32978,9;10437,5;9391,6;15457,4;21683,4;21246,5;23098,3;29348,1;56411,5;101169,6;139301,4
Брянская область;324,2;405,6;1186,0;1125,9;2606,1;4461,4;5057,6;8161,4;10155,1;9913,6;4434,4;5807,6;11171,2;6654,9;8312,3;25445,2;30150,2;12198,6;6235,7
Владимирская область;1629,4;2137,0;2289,9;2920,2;2413,2;3390,6;7047,5;7023,3;5110,4;4665,0;4958,0;17029,9;26496,9;24829,9;22782,1;27015,3;21262,5;34029,9;17097,6
Воронежская область;990,5;1143,2;1677,3;1735,8;3644,7;6407,7;5420,5;16037,5;11196,4;7505,1;13431,8;15588,5;16169,4;13520,8;24742,4;50120,6;27123,6;32481,8;36250,3
Ивановская область;302,5;658,1;347,6;410,9;230,2;452,3;955,4;2496,0;2526,9;1619,6;2479,9;2492,8;514,7;463,1;795,2;1342,5;261,5;219,2;732,1
Калужская область;1890,6;2119,9;2893,9;3327,4;3524,6;2715,1;4020,5;4724,5;4302,0;4386,6;7190,6;15667,6;19439,8;15924,8;13724,3;14833,8;13978,0;16574,3;21001,5
Костромская область;266,4;697,5;286,0;759,4;1221,9;1523,5;724,6;980,7;1695,7;2095,8;2159,2;3299,0;3451,8;2272,1;2504,8;2198,4;9140,0;14590,9;11621,3
Курская область;739,8;875,2;794,0;614,1;766,0;1428,8;2285,1;2445,5;1390,8;467,7;1007,7;4738,5;6364,0;8591,3;13363,3;15087,2;24698,8;30361,0;48761,8
Липецкая область;1053,2;1101,2;344,7;7497,4;7970,2;6937,6;6212,7;10109,4;16192,2;31491,9;31511,2;37106,0;43584,4;54860,5;63282,1;64830,1;66242,7;63108,2;65606,1
Московская область;7498,4;7163,1;11141,5;8463,0;33544,6;40005,3;56471,6;84382,8;104067,6;86496,6;90231,3;104854,7;179782,0;237539,0;268459,2;294032,1;357057,7;384328,6;357737,7
Орловская область;1001,3;2082,0;1309,3;1125,2;1413,7;1352,3;1788,9;2538,7;4428,3;2033,3;5868,9;5288,8;960,1;1143,8;885,1;748,5;869,7;1428,8;1481,7
Рязанская область;1251,1;1667,0;2382,5;1665,6;1225,2;1775,3;1100,2;2933,6;3711,6;5436,3;4497,5;5891,5;5246,6;5930,9;7293,7;8242,6;17542,2;19887,4;18871,3
Смоленская область;146,9;251,0;382,4;494,7;609,2;346,6;942,9;1657,7;2431,5;4417,5;2367,0;2400,2;3152,0;5334,1;10438,8;5539,7;3997,4;10137,5;5585,9
Тамбовская область;233,9;324,4;683,9;784,4;1447,2;1030,9;1768,3;3513,6;3135,8;3161,7;2104,6;3667,2;3533,8;2624,3;6278,0;7165,4;8332,2;12962,6;18451,0
Тверская область;2325,5;1627,8;1310,3;3448,7;2272,1;2992,6;8194,4;3345,5;13878,2;16679,6;14948,3;18257,8;17155,6;18270,7;4489,6;12834,6;15724,2;10053,9;16079,5
Тульская область;1389,2;1074,9;1369,2;986,8;1774,0;2270,2;2631,0;3543,6;2675,5;3328,2;8395,6;39152,4;50684,6;35378,7;41881,3;63110,9;66102,3;80875,4;84218,3
Ярославская область;2156,6;4926,8;2248,9;4151,5;4269,1;4244,7;6004,7;6607,9;17607,0;11742,1;21237,0;24735,2;34230,5;22812,3;26801,0;18057,8;48151,9;46557,6;48840,9
г. Москва;25720,2;12866,8;13522,5;15661,7;24702,3;28811,0;37211,5;50567,9;43904,4;35743,1;64543,2;158892,6;494532,2;686704,6;552039,1;851583,4;910869,1;248998,8;283544,6
Северо-Западный      федеральный округ;25538,8;34360,7;26682,5;33454,7;24417,8;40598,2;80530,7;79802,9;89528,7;77349,9;120105,5;196049,1;298020,1;409750,4;354113,0;375614,4;337196,7;458765,7;487714,8
Республика Карелия;3465,4;336,4;68,5;58,7;219,1;185,8;321,1;239,2;538,0;1367,4;1058,7;298,5;361,4;209,8;193,5;187,7;455,2;559,9;4927,4
Республика Коми;1341,0;2371,3;659,1;236,4;1000,8;-;8382,8;10450,0;10830,0;1408,4;8830,3;28696,3;24165,9;22346,8;23191,2;16952,7;12762,4;1931,9;7852,9
Архангельская область;588,6;828,0;4987,6;3920,7;2437,9;369,1;310,9;116,9;208,5;679,5;1024,5;576,1;22569,7;132732,2;5411,0;12152,2;2011,9;99201,9;38880,4
в том числе: ;;;;;;;;;;;;;;;;;;;
Ненецкий автономный округ;-;-;-;-;-;-;26,9;-;9,6;37,4;20,9;36,7;-;-;-;5,4;14,5;18,0;28,1
Архангельская область    без автономного округа;588,6;828,0;4987,6;3920,7;2437,9;369,1;-;1169,0;198,9;642,1;1003,6;539,4;22569,7;132732,2;5411,0;12146,7;1997,4;99183,9;38852,3
Вологодская область;7398,1;7420,3;2349,6;13589,8;7760,0;10106,8;15464,8;25081,8;25888,7;7116,7;5570,1;15394,7;16593,1;17317,9;79138,5;109044,2;23912,0;17869,4;14158,7
Калинингpадская область;159,2;259,7;708,8;808,7;1481,9;5573,4;8031,8;14725,4;14222,1;4395,8;222,6;456,9;850,3;395,9;376,6;1271,4;994,7;1244,4;1775,2
Ленинградская область;694,4;948,5;905,8;490,6;639,2;914,5;892,0;1033,6;4933,7;5594,2;9959,2;11770,6;4939,1;14077,0;32776,6;13906,7;20565,3;22072,5;33282,5
Мурманская область;3199,6;3349,3;4097,1;5073,7;1578,5;2877,4;644,0;276,9;244,6;345,8;792,5;295,6;251,0;1815,9;8299,7;4373,0;3965,9;3083,8;2223,0
Новгородская область;3170,6;3164,3;1879,3;2417,0;826,1;9956,1;4313,5;6855,3;10484,1;6634,0;7037,8;5542,5;4017,3;5976,6;4835,8;6654,9;5681,9;7467,4;4076,9
