Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
19. НАУКА И ИННОВАЦИИ;;;;;;;;;;;;;;;;;;;
19.14. ОБЪЕМ ИННОВАЦИОННЫХ ТОВАРОВ, РАБОТ, УСЛУГ;;;;;;;;;;;;;;;;;;;
19.14.2. В процентах от общего объема отгруженных товаров, выполненных работ, услуг ;;;;;;;;;;;;;;;;;;;
(в процентах);;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;4,4;4,1;4,2;4,6;5,3;5,0;4,7;4,6;5,0;4,5;4,8;6,3;8,0;9,2;8,7;8,4;8,5;7,2;6,5
Центральный    федеральный округ;7,4;3,8;4,3;4,8;5,9;5,6;3,7;3,9;4,6;4,4;4,3;5,5;10,2;11,4;9,6;12,8;11,6;6,9;6,2
Белгородская область;1,2;7,6;2,8;3,5;1,9;1,5;1,1;5,3;10,4;4,1;2,6;3,7;4,0;4,3;4,4;5,0;7,3;11,6;14,9
Брянская область;2,7;2,5;6,2;5,6;9,8;11,3;8,2;9,6;11,3;12,3;4,7;6,0;10,2;5,4;6,5;16,5;18,8;7,3;3,3
Владимирская область;5,4;5,5;5,1;5,6;3,8;4,0;7,3;5,5;3,1;3,2;2,3;7,4;10,6;9,4;8,3;9,6;5,8;8,1;3,6
Воронежская область;3,1;3,0;4,0;3,8;5,5;7,3;5,0;11,5;7,3;4,6;7,1;6,3;5,6;4,6;7,2;12,4;5,9;6,1;5,9
Ивановская область;2,7;4,1;1,9;1,9;0,9;1,3;1,9;4,3;4,4;3,2;3,5;3,1;0,6;0,5;0,9;1,5;0,2;0,2;0,6
Калужская область;10,3;8,5;9,9;8,7;8,0;5,3;5,6;5,4;3,0;2,7;2,8;4,6;4,5;3,6;2,7;3,2;2,7;2,7;2,7
Костромская область;2,5;5,5;1,9;3,8;5,0;4,8;1,7;1,5;3,0;3,8;3,1;3,5;3,1;1,9;2,0;1,8;6,7;9,9;7,5
Курская область;3,2;3,2;2,4;1,4;1,2;2,0;2,5;2,1;1,0;0,4;0,6;2,5;3,2;4,3;6,5;6,2;7,6;8,4;12,0
Липецкая область;1,9;1,7;0,4;6,5;4,6;3,9;2,7;3,6;4,7;12,5;9,8;9,9;10,9;13,3;13,6;12,3;10,5;9,3;7,7
Московская область;15,3;2,2;4,8;6,6;7,4;7,4;5,2;6,3;9,9;9,4;8,1;6,9;10,5;12,7;12,9;13,7;15,8;14,7;13,2
Орловская область;7,7;8,0;6,9;4,1;10,8;9,7;4,9;4,7;8,0;4,7;9,9;7,7;1,1;1,4;1,0;0,9;0,5;1,1;1,0
Рязанская область;8,1;15,3;8,3;6,0;6,4;6,4;1,6;3,0;1,0;5,0;3,3;3,6;2,8;2,8;3,2;3,5;6,2;6,8;5,8
Смоленская область;6,5;6,7;5,0;3,3;2,9;3,2;1,1;1,6;1,5;3,9;2,3;1,5;1,9;3,0;5,9;2,7;1,8;4,4;2,2
Тамбовская область;0,5;0,8;1,1;1,1;1,2;0,5;3,3;6,3;6,3;6,1;3,6;5,3;4,4;3,0;6,3;6,1;4,5;7,9;9,3
