Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;
19. НАУКА И ИННОВАЦИИ;;;;;;;;;;;;;;;;;;;;
19.2. ЧИСЛЕННОСТЬ ПЕРСОНАЛА, ЗАНЯТОГО НАУЧНЫМИ ИССЛЕДОВАНИЯМИ И РАЗРАБОТКАМИ;;;;;;;;;;;;;;;;;;;;
(человек);;;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;
Российская Федерация;887729;885568;870878;858470;839338;813207;807066;801135;761252;742433;736540;735273;726318;727029;732274;738857;722291;707887;682580;
Центральный     федеральный округ;455985;453329;440577;431718;420375;408330;411958;415522;396272;385392;381795;380363;373461;375087;381047;380140;372293;362463;341909;
Белгородская область;1953;1677;1788;1487;1321;1289;1297;1314;1189;1185;1189;1198;1244;1227;1373;1749;1717;1655;1498;
Брянская область;2611;2464;2034;2115;1816;1927;1770;1950;2010;1352;790;1172;958;665;931;805;630;688;668;
Владимирская область;9499;9197;8873;8244;8638;7913;7640;7453;7075;6638;4871;5131;4959;4919;5684;5697;5421;5365;5082;
Воронежская область;13140;12979;14487;13993;13772;13806;14144;14984;14651;14677;13184;14106;10799;10763;10865;10600;10334;10654;10986;
Ивановская область;1557;1574;1554;1417;1289;1105;918;892;732;774;749;644;852;816;836;634;618;574;615;
Калужская область;11881;11654;11835;13644;10778;10413;10708;10920;10386;10374;10091;10422;10362;10528;10570;10170;9963;9275;8958;
Костромская область;305;344;249;219;159;147;139;137;146;134;116;109;119;127;119;129;121;114;138;
Курская область;2016;1980;1879;1830;1641;1571;3469;3377;3185;2955;2944;3128;3018;3016;2984;2891;2846;2719;2560;
Липецкая область;547;348;371;367;367;362;417;352;353;369;323;326;365;379;443;700;616;530;556;
Московская область;100601;101518;90561;96328;90755;88681;91062;88114;84375;83653;84574;86130;86349;85856;87780;85864;87706;86579;86796;
Орловская область;1900;1856;1908;1508;1260;920;1082;1006;936;844;797;844;809;677;677;915;878;837;733;
Рязанская область;3637;3208;3149;3030;2976;3311;3461;3584;3555;3064;2373;2265;2391;2440;2525;3100;2718;2461;2516;
Смоленская область;1102;1074;926;1072;986;944;1170;1094;1031;964;873;760;809;735;772;714;761;903;850;
Тамбовская область;2933;3069;3168;2827;2825;2800;2285;2282;2038;1964;1665;1807;1710;1644;1625;1594;1165;1125;1047;
Тверская область;5978;6363;6192;6007;5628;5499;5430;5340;5505;5089;4851;4625;4478;4229;4317;4596;4430;3971;3703;
Тульская область;10241;10198;9811;10131;10304;9959;10359;7544;5754;5521;4992;3759;3581;3499;3872;4154;4237;4142;4171;
Ярославская область;9259;9145;8545;7876;7593;6608;6660;7190;6739;6358;6187;6311;6313;6148;6169;6319;6404;6354;6170;
г. Москва;276825;274681;273247;259623;258267;251075;249947;257989;246612;239477;241226;237626;234345;237419;239505;239509;231728;224517;204862;
Северо-Западный    федеральный округ;116812;115017;112478;110738;107928;104752;103635;103864;99556;97633;95826;97221;97710;95674;96726;98062;95118;94525;91658;
Республика Карелия;1307;1171;1266;1205;1140;935;867;945;951;907;934;978;986;996;1149;1202;1207;1168;1201;
Республика Коми;2170;2145;2303;2103;2297;2047;2049;2089;2105;1889;1806;1748;1809;1769;1791;1981;1909;1655;1489;
Архангельская область;1316;1546;1460;1410;1527;1496;3065;3011;2971;1473;1148;1064;1143;1128;1165;1107;1094;1021;994;
в том числе: ;;;;;;;;;;;;;;;;;;;;
Ненецкий автономный округ;22;25;23;20;24;24;24;31;43;81;75;58;66;64;60;62;59;22;24;
Архангельская область    без автономного округа;1294;1521;1437;1390;1503;1472;3041;2980;2928;1392;1073;1006;1077;1064;1105;1045;1035;999;970;
Вологодская область;424;415;423;451;563;464;561;469;483;466;482;410;424;463;498;541;509;464;551;
Калининградская область;2533;2415;2368;2150;2086;2075;2023;1961;1897;1799;1859;1990;1955;2020;2103;2128;2057;1788;1113;
Ленинградская область;6246;6384;6129;6596;6446;6388;6422;6467;6374;6463;6477;6431;6476;6409;7135;7229;7247;7265;7190;
Мурманская область;2765;2815;2720;2604;2536;2345;2195;2102;2071;2057;2097;2102;2382;2322;2359;2342;2265;2138;2028;
Новгородская область;1253;1086;1093;1149;969;861;876;849;820;873;892;982;1130;1169;1175;1638;1602;1739;1845;
Псковская область;427;306;364;355;353;280;287;262;230;276;318;516;745;625;624;818;278;236;216;
г. Санкт-Петербург;98371;96734;94352;92715;90011;87861;85290;85709;81654;81430;79813;81000;80660;78773;78727;79076;76950;77051;75031;
Южный федеральный округ;31752;31937;31001;30047;29648;28875;29290;30458;27492;27695;28109;27738;23964;24263;27825;30130;28011;26922;26431;
Республика Адыгея;168;178;184;172;162;163;361;361;320;327;330;357;316;326;305;279;282;283;271;
Республика Калмыкия;205;253;245;242;241;221;227;217;214;199;203;190;181;183;213;175;184;158;147;
Республика Крым;;;;;;;;;;;;;;;1550;1676;2096;2113;1995;
Краснодарский край;7332;8139;8498;8198;7872;7000;7324;6997;6452;6379;6256;6059;6504;6872;7585;9265;7532;6916;6918;
Астраханская область;1669;1786;1707;1716;1625;1621;1444;1859;1047;942;917;966;1014;1083;904;933;692;653;637;
