Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
19. НАУКА И ИННОВАЦИИ;;;;;;;;;;;;;;;;;;;
19.3. ЧИСЛЕННОСТЬ ПЕРСОНАЛА, ЗАНЯТОГО НАУЧНЫМИ ИССЛЕДОВАНИЯМИ И РАЗРАБОТКАМИ, ПО КАТЕГОРИЯМ ;;;;;;;;;;;;;;;;;;;
19.3.4. Прочие;;;;;;;;;;;;;;;;;;;
(человек);;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;146085;149043;148967;147752;144594;140549;138517;135665;130461;126156;124636;120471;119003;121248;121647;122585;119556;118057;116413
Центральный     федеральный округ;70663;71980;71547;70224;68540;66356;68494;69617;66752;63367;62401;61379;62524;63509;66148;65417;62893;62903;62039
Белгородская область;359;322;397;287;252;242;245;244;167;107;106;76;85;91;221;233;250;260;269
Брянская область;312;236;283;161;153;170;161;264;236;171;135;138;93;81;91;95;93;104;90
Владимирская область;2129;2091;1996;1851;1922;1802;1759;1696;1611;1750;1306;1282;1137;1046;1086;983;987;996;913
Воронежская область;1350;1405;2076;1776;1742;1650;1830;1853;1980;2480;2132;2134;1384;1563;1716;1780;1677;1744;1889
Ивановская область;323;317;309;285;231;191;149;135;90;87;76;43;63;60;55;64;60;49;43
Калужская область;2874;2758;2828;3280;2735;2642;2858;2806;2558;2684;2358;2458;2564;2726;2722;2683;2527;2408;2333
Костромская область;61;72;45;39;27;27;29;28;26;27;24;30;28;32;35;47;50;44;29
Курская область;235;253;233;203;167;158;349;332;416;422;413;412;410;424;635;617;568;531;589
Липецкая область;103;90;85;71;66;39;93;46;45;30;32;36;33;33;40;58;58;22;27
Московская область;17080;17522;15761;17092;16071;16639;17675;17200;16656;15979;17064;17423;18072;17892;18672;18981;17818;17335;17206
Орловская область;164;162;175;157;128;96;133;106;105;93;63;74;59;62;59;85;87;83;77
Рязанская область;713;619;600;609;589;605;594;570;535;585;358;301;260;277;301;331;305;316;347
Смоленская область;220;196;165;185;134;172;196;152;161;184;157;80;77;84;76;73;82;91;58
Тамбовская область;657;672;683;613;610;661;548;557;500;494;463;423;415;399;424;351;288;269;212
Тверская область;1596;1036;1020;933;843;732;748;713;834;775;777;705;690;715;742;722;783;760;727
Тульская область;2369;2477;2623;2867;2728;2607;2931;1752;1220;911;916;443;357;343;301;365;372;411;357
Ярославская область;1380;1459;1374;1225;1172;892;974;885;801;708;722;738;707;685;708;708;647;647;636
г. Москва;38738;40293;40894;38590;38970;37031;37222;40278;38811;35880;35299;34583;36090;36996;38264;37241;36241;36833;36237
Северо-Западный     федеральный округ;19360;19243;18692;18628;18818;18205;17753;17687;17228;17518;16797;17150;16100;15951;16277;16433;16966;16061;15944
Республика Карелия;229;208;219;206;217;102;104;167;169;167;165;160;162;163;157;186;202;188;239
Республика Коми;405;397;405;391;420;352;393;366;354;305;302;277;317;280;196;300;331;299;244
Архангельская область;221;274;259;231;303;279;208;193;259;245;201;176;154;120;122;129;113;93;88
в том числе:;;;;;;;;;;;;;;;;;;;
Ненецкий автономный округ;4;6;5;3;4;4;4;4;12;43;32;27;28;25;22;22;23;2;1
Архангельская область      без автономного округа;217;268;254;228;299;275;204;189;247;202;169;149;126;95;100;107;90;91;87
Вологодская область;60;64;76;85;102;91;89;70;45;42;51;31;31;38;57;64;49;51;74
Калининградская область;567;509;468;437;441;424;422;418;388;363;419;435;443;430;559;362;312;283;163
Ленинградская область;1846;1857;1702;1798;1798;1830;1846;1766;1832;1832;1829;1561;1631;1782;1863;1951;2092;1993;2052
Мурманская область;471;466;449;425;380;325;317;324;340;334;356;349;574;569;352;320;357;345;489
Новгородская область;165;145;152;162;132;110;104;101;109;111;123;162;138;150;176;243;252;150;140
Псковская область;39;33;30;30;29;28;17;17;10;18;18;92;14;13;10;11;4;4;7
