Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
19. НАУКА И ИННОВАЦИИ;;;;;;;;;;;;;;;;;;;
19.6. ВНУТРЕННИЕ ТЕКУЩИЕ ЗАТРАТЫ НА НАУЧНЫЕ ИССЛЕДОВАНИЯ И РАЗРАБОТКИ ПО ВИДАМ ЗАТРАТ  ;;;;;;;;;;;;;;;;;;;
19.6.2. Оплата труда ;;;;;;;;;;;;;;;;;;;
(миллионов рублей);;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;27762,7;39802,9;52661,0;65142,7;77739,6;94274,4;119354,7;157514,4;193344,9;217897;241472,2;275925,1;307881,7;334769,1;372215,5;398143,7;402793,5;437788,8;457267,1
Центральный       федеральный округ;14461,6;19490,7;26613,1;33146,1;39861,8;48552,0;62813,3;84677,7;103984,1;118701,7;130149,6;150170,5;164889,0;180411,1;200040,1;214442,6;209433,6;233719,4;241855,1
Белгородская область;39,7;56,8;77,9;85,7;93,3;131,8;179,1;246,2;309,1;358,4;445,4;485,2;436,3;417,2;601,6;622,3;661,8;666,7;904,5
Брянская область;18,7;36,2;44,2;61,4;61,8;83,6;76,1;100,3;111,7;102;104,5;133,5;122,3;147,5;165,9;203,4;191,8;318,0;288,4
Владимирская область;148,4;191,4;265,8;322,0;385,8;439,7;469,8;628,4;846,1;899,8;895,4;1061,8;1160,0;1410,6;1525,3;1650,5;1957,7;2176,1;2231,3
Воронежская область;254,1;393,0;585,7;643,9;809,7;1035,1;1389,1;1708,2;1841,4;2174,5;2043,4;1997,7;2587,8;2538,2;2848,3;2791,6;2738,6;3382,3;3923,3
Ивановская область;33,9;54,9;70,4;76,4;82,3;101,5;115,2;182,6;220,0;223,8;260,3;297,6;323,6;298,2;354,7;373,2;338,8;330,0;378,3
Калужская область;265,0;419,1;582,4;895,9;852,9;1058,8;1334,9;1719,3;2156,5;2472;2745,9;3463,1;4211,5;3913,9;3839,9;3866,5;3447,2;2603,9;3124,1
Костромская область;5,6;9,5;9,2;10,7;9,1;10,7;12,2;16;19,5;25,7;28,4;26,8;37,8;46,0;41,8;60,6;57,7;52,4;80,1
Курская область;55,1;83,3;106,2;128,2;171,3;193,1;374,6;496,8;636,6;582,2;692,2;619,9;784,4;826,4;980,3;1091,8;811,8;1115,8;974,1
Липецкая область;12,1;11,0;17,8;21,6;26,1;20,1;36;43,2;41,4;38,6;40,7;59,0;69,0;102,6;134,7;183,5;156,7;150,8;197,0
Московская область;2908,2;4044,4;5115,1;6463,7;7476,4;8346,5;11833,2;15463,7;19587,1;23515,4;28896,3;33888,5;35241,7;38406,6;41171,2;45682,5;47693,5;52128,8;56384,0
Орловская область;33,9;46,8;56,6;51,0;53,7;61,6;119,6;142,9;139,4;152,4;156,6;141,5;155,4;152,7;155,5;207,9;225,8;248,5;257,8
Рязанская область;70,5;100,6;136,4;182,0;211,4;268,4;300,5;366,6;433,0;405,5;510,5;583,7;595,3;688,4;686,6;979,6;850,4;700,3;824,5
Смоленская область;31,3;46,4;50,3;71,4;75,9;83,3;161,6;312;346,4;412,1;352,5;297,2;483,4;380,0;412,3;533,8;569,2;678,3;784,1
Тамбовская область;52,1;83,3;101,4;128,3;154,8;183,4;185,5;251,2;280,3;311,9;322,6;354,3;437,3;372,7;408,6;547,2;461,9;435,0;452,8
Тверская область;191,9;319,4;454,6;564,9;625,0;800,8;1001;1215,1;1571,5;1472;1527,6;1726,3;1948,4;2000,4;2208,4;2284,8;2124,2;2103,4;1962,5
Тульская область;171,3;372,3;390,5;301,5;346,8;462,6;457,1;505,7;606;627,4;695,2;766,1;882,3;1182,0;1537,7;1929,8;2114,6;2609,7;2927,5
Ярославская область;201,8;328,2;394,7;570,5;588,0;655,6;885,2;1074,9;1361,1;1245;1297,1;1565,8;1519,7;1629,1;1903,4;2098,6;2567,0;2239,4;2040,8
г. Москва;9968,0;12894,2;18153,9;22566,7;27837,5;34615,5;43882,6;60204,5;73477,4;83682,9;89134,9;102702,6;113892,9;125898,6;141063,9;149334,7;142465,0;161780,1;164120,1
Северо-Западный      федеральный округ;4018,9;5845,9;7415,4;9337,6;11122,0;13737,6;17423,9;22586,9;28253,5;31953,1;36146,1;40553,2;44942,5;49310,6;53595,5;57323,2;60451,1;65801,5;66604,9
Республика Карелия;32,9;43,7;61,1;59,2;83,2;90,9;132,6;221,8;319,7;346,2;367,1;442,0;479,1;518,3;607,7;589,2;547,8;529,2;666,3
