Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
19. НАУКА И ИННОВАЦИИ;;;;;;;;;;;;;;;;;;;
19.6. ВНУТРЕННИЕ ТЕКУЩИЕ ЗАТРАТЫ НА НАУЧНЫЕ ИССЛЕДОВАНИЯ И РАЗРАБОТКИ ПО ВИДАМ ЗАТРАТ ;;;;;;;;;;;;;;;;;;;
19.6.3. Страховые взносы на  ОПС, ОМС, ОСС1);;;;;;;;;;;;;;;;;;;
(миллионов рублей);;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;10419,2;13497,0;17108,5;20659,6;23439,8;22597,4;28352,9;34565,9;40020,3;43723,5;47904,6;68647,5;75417,7;82806,3;92645,2;104167,6;105441,3;114318,8;119930,8
Центральный    федеральный округ;5438,4;6548,9;8605,7;10532,5;11890,4;11631,1;15201,7;18118,0;21099,1;23339,0;25717,9;36491,6;39664,1;43259,7;48749,1;55635,1;53959,4;60207,8;61937,0
Белгородская область;13,7;17,8;25,6;25,2;29,5;28,5;39,9;50,6;73,8;64,7;106,7;155,3;127,1;119,2;161,3;158,9;176,2;180,1;254,7
Брянская область;6,0;12,7;14,7;20,1;21,1;22,1;18,9;24,3;28,8;24,9;24,3;39,7;36,4;42,6;47,8;57,2;56,2;90,8;82,1
Владимирская область;55,5;64,4;86,3;103,2;132,7;109,9;115,7;154,6;209,5;208,7;206,9;312,7;329,0;358,5;402,0;463,5;503,5;583,3;591,2
Воронежская область;76,0;138,1;201,3;218,0;263,2;257,6;302,3;357,3;403,3;466,3;543,6;583,8;724,0;702,2;733,5;752,6;727,1;865,4;1030,1
Ивановская область;12,6;19,5;24,6;23,3;27,2;24,7;28,2;43,9;47,3;50,2;53,4;77,9;80,7;83,0;97,3;100,6;93,2;91,7;106,4
Калужская область;101,5;147,1;199,4;307,1;275,6;264,1;327,2;408,8;494,7;542,9;594,8;951,9;1074,1;1033,6;987,0;931,8;914,8;652,0;900,0
Костромская область;1,2;1,7;2,5;2,5;2,9;3,3;3,1;3,9;5,0;6,1;7,3;8,6;11,3;13,3;12,3;16,6;16,5;15,5;24,7
Курская область;21,0;30,0;34,8;46,4;56,3;49,2;90,4;104,5;157,5;116,7;165,9;180,2;196,0;231,0;288,0;285,9;270,6;276,4;220,0
Липецкая область;4,4;4,1;7,4;5,4;7,8;5,3;7,8;7,7;9,9;10,2;10,1;18,2;20,4;29,8;40,0;53,1;45,7;41,4;55,5
Московская область;1075,6;1388,2;1600,6;2081,1;2282,0;2015,7;2867,9;3470,0;4161,8;4877,0;5650,7;8180,4;8374,9;9403,6;10191,5;12029,5;12511,8;13645,5;14853,5
Орловская область;13,7;16,6;19,4;16,8;17,0;15,0;30,3;36,7;34,0;39,6;39,2;46,4;42,2;42,8;44,0;61,3;62,3;72,4;80,2
Рязанская область;27,1;35,8;46,3;53,4;70,9;65,2;70,0;85,5;99,3;86,3;85,2;145,7;150,2;180,3;182,6;260,3;232,5;192,0;212,7
Смоленская область;12,2;14,9;22,9;27,5;24,9;21,9;36,2;53,2;68,3;65,2;61,0;72,8;88,2;98,0;93,6;134,9;142,6;170,8;195,9
Тамбовская область;19,3;27,6;34,2;44,4;52,8;47,1;46,0;61,4;64,9;72,1;76,0;109,3;114,7;101,4;117,6;162,2;130,7;119,0;129,4
Тверская область;63,6;96,0;120,4;153,8;167,5;174,5;215,1;247,1;297,5;260,1;303,6;428,1;458,8;495,1;551,8;601,6;592,6;568,6;508,6
Тульская область;62,7;68,5;138,0;102,9;118,0;118,4;112,6;122,8;142,9;155,8;166,5;224,6;185,7;210,4;279,6;522,1;575,2;729,8;836,7
Ярославская область;79,4;118,0;141,0;197,2;198,4;169,4;222,5;272,2;345,7;291,5;310,7;491,4;435,5;454,2;543,7;624,4;757,1;679,3;610,0
г. Москва;3792,8;4348,1;5886,5;7104,2;8142,5;8239,3;10667,5;12613,5;14454,8;16000,6;17312,0;24464,7;27214,8;29660,8;33975,5;38418,6;36123,9;41233,7;41245,2
Северо-Западный     федеральный округ;1502,0;1980,5;2430,9;2932,5;3324,7;3221,3;3901,8;4867,6;5750,0;6305,7;6699,8;9906,5;10946,1;11792,2;13101,3;14537,6;15683,3;16974,1;17648,1
Республика Карелия;12,5;15,3;21,2;21,1;29,1;22,9;33,2;54,0;71,3;73,4;83,4;134,3;131,8;143,1;156,7;166,4;157,0;150,2;189,3
Республика Коми;46,5;57,1;65,2;70,4;97,5;73,9;101,4;137,9;165,3;164,0;166,9;239,8;258,7;327,0;294,2;363,4;363,4;386,4;353,8
Архангельская область;19,0;26,0;34,9;38,5;45,5;40,6;152,3;71,4;82,4;192,5;96,0;137,1;160,0;185,6;199,3;219,8;232,7;256,0;277,2
в том числе:;;;;;;;;;;;;;;;;;;;
Ненецкий автономный округ;0,2;0,2;0,3;0,3;0,8;0,5;0,7;1,0;1,5;2,7;4,4;4,6;9,6;5,4;6,4;6,3;2,6;4,7;5,4
Архангельская область     без автономного округа;18,8;25,8;34,6;38,2;44,7;40,1;151,6;70,4;80,9;189,8;91,6;132,5;150,4;180,2;192,9;213,5;230,1;251,3;271,8
Вологодская область;5,3;7,5;9,2;8,2;10,4;9,7;18,5;24,4;33,2;46,9;40,8;53,8;43,7;46,7;53,5;53,1;58,9;65,8;95,3
Калининградская область;18,3;36,9;49,0;47,9;51,1;46,4;56,6;73,7;92,1;123,2;163,0;214,7;126,3;162,0;143,7;162,5;179,5;157,8;128,4
Ленинградская область;72,0;106,6;125,4;153,7;185,9;174,6;212,5;295,3;417,1;426,8;422,0;632,0;826,2;610,6;752,1;1010,3;966,8;1022,2;1067,6
Мурманская область;57,4;65,9;86,6;89,8;104,3;94,6;96,7;140,8;176,9;183,3;182,3;301,3;336,8;362,1;396,6;435,4;396,2;391,5;459,2
Новгородская область;10,5;16,7;16,8;22,9;33,1;23,7;29,8;47,1;63,0;71,5;75,1;121,2;158,3;147,3;118,5;146,9;243,4;296,7;291,1
Псковская область;1,6;1,7;3,2;3,8;3,2;3,3;4,3;7,7;6,9;7,5;7,8;12,7;16,7;22,7;21,1;34,6;34,5;26,2;32,0
г. Санкт-Петербург;1259,0;1646,7;2019,4;2476,3;2764,5;2731,7;3196,7;4015,4;4641,8;5016,5;5462,5;8059,6;8887,7;9785,1;10965,5;11945,1;13050,9;14221,3;14754,1
Южный              федеральный округ;264,8;383,8;498,9;607,1;740,8;704,2;868,0;1091,7;1193,7;1233,0;1344,8;1754,7;2009,1;2153,6;2845,3;3140,7;3001,1;3161,3;3522,1
Республика Адыгея;1,4;1,3;2,0;2,3;1,2;2,3;5,3;4,8;6,6;9,2;8,8;28,5;26,6;24,4;28,4;32,4;31,6;31,8;38,0
Республика Калмыкия;0,5;1,6;2,1;2,5;2,0;3,1;6,5;6,8;9,6;9,7;10,6;13,3;11,1;13,0;14,5;15,5;12,3;12,3;15,8
Республика Крым;;;;;;;;;;;;;;;110,4;198,0;218,7;216,4;257,9
Краснодарский край;67,0;104,9;138,2;171,4;189,1;164,0;231,0;282,6;316,6;289,4;310,6;354,3;499,1;553,8;776,9;878,0;630,5;661,6;765,2
Астраханская область;24,0;35,3;40,0;41,1;46,2;41,6;46,3;30,8;29,6;39,2;39,5;75,5;65,8;80,0;80,0;81,4;64,2;75,2;90,3
Волгоградская область;43,5;63,1;68,3;85,5;88,8;99,1;136,9;171,6;193,0;213,5;238,9;333,2;348,7;401,8;453,1;377,2;406,9;426,2;399,2
Ростовская область;128,4;177,6;248,3;304,3;413,5;394,1;442,0;595,1;638,3;672,0;736,6;949,9;1057,9;1080,7;1320,1;1435,6;1515,8;1604,6;1799,7
г. Севастополь;;;;;;;;;;;;;;;61,9;122,6;121,1;133,2;156,0
Северо-Кавказский      федеральный округ ;49,9;60,9;73,6;80,5;109,7;101,3;133,4;199,0;254,7;293,3;300,9;437,2;399,9;495,5;561,1;601,2;581,6;616,1;724,5
Республика Дагестан;11,2;14,7;16,5;22,4;27,8;24,1;37,3;57,9;76,7;92,0;89,8;119,4;128,7;141,0;154,1;160,2;153,6;157,6;189,9
Республика Ингушетия;-;0,2;0,3;0,3;0,4;0,6;0,7;1,2;1,4;1,9;2,9;5,6;7,6;8,4;9,9;8,0;9,1;13,6;16,4
Кабардино-Балкарская       Республика;4,2;5,5;8,5;9,2;9,2;10,5;20,1;33,5;41,4;42,3;45,4;62,1;58,4;73,9;73,8;84,8;86,7;95,2;107,7
