Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
19. НАУКА И ИННОВАЦИИ;;;;;;;;;;;;;;;;;;;
19.6. ВНУТРЕННИЕ ТЕКУЩИЕ ЗАТРАТЫ НА НАУЧНЫЕ ИССЛЕДОВАНИЯ И РАЗРАБОТКИ ПО ВИДАМ ЗАТРАТ ;;;;;;;;;;;;;;;;;;;
19.6.4. Приобретение оборудования ;;;;;;;;;;;;;;;;;;;
(миллионов рублей);;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;3433,4;4553,7;6348,0;8528,5;7800,4;9936,2;12417,6;14027,4;14604,2;16144,7;18067,7;20065,2;25365,8;23529,5;26062,4;28480,2;24412,2;21750,6;19610,5
Центральный       федеральный округ;1090,2;2070,4;3039,8;4934,0;3850,3;5011,0;6095,9;7664,0;7877,7;9742,5;9165,8;10755,0;10626,8;11092,7;12370,0;12803,3;11534,3;9332,6;10716,9
Белгородская область;3,8;3,1;10,0;2,8;4,0;4,3;10,1;15,9;117,5;16,9;105,5;98,8;251,9;125,7;148,6;150,8;94,1;61,7;59,6
Брянская область;0,8;5,3;2,3;2,8;1,6;1,9;1,7;4,8;6,3;24,6;15,7;23,4;30,5;29,8;8,2;3,1;48,4;90,2;57,4
Владимирская область;6,8;7,2;7,7;12,2;19,4;18,7;30,9;90,5;45,3;48,6;50,6;10,2;13,0;23,9;44,2;15,2;10,0;5,5;11,1
Воронежская область;3,2;15,4;15,3;24,2;26,0;15,6;46,1;75,9;122,5;104,5;190,5;207,3;246,6;173,8;215,1;222,7;89,1;100,7;106,9
Ивановская область;2,8;4,8;4,7;5,5;5,1;8,0;5,5;6,7;71,3;14,5;13,3;13,3;54,9;43,9;65,5;52,3;26,1;23,5;25,2
Калужская область;6,1;7,7;8,3;7,6;51,1;28,4;23,6;58,9;79,2;87,4;117,5;84,4;310,6;212,5;492,7;386,4;256,5;354,6;353,0
Костромская область;0,3;0,4;0,5;0,6;0,4;0,7;0,1;0,6;0,6;0,5;0,9;1,0;1,4;2,7;3,2;6,0;9,4;3,3;8,9
Курская область;6,1;4,7;3,2;28,7;4,6;2,0;2,6;4,4;8,6;19;25,9;47,2;17,8;7,3;5,3;16,1;10,3;25,6;38,4
Липецкая область;0,0;0,2;0,2;0,5;2,2;0,3;0,5;0,7;0,5;0,4;-;0,0;7,2;-;0,9;4,5;0,2;2,8;2,0
Московская область;177,9;269,7;329,8;1502,3;666,6;729,3;806,1;1330,4;1687,8;1497,2;1425,7;2030,5;2133,4;2157,4;2887,8;3229,4;3068,2;2208,5;3088,9
Орловская область;1,6;1,4;0,7;1,9;3,3;2,0;5,4;20,5;14,4;15,8;10,4;4,6;6,2;7,2;30,1;9,0;71,2;73,7;45,0
Рязанская область;2,2;3,5;3,2;3,6;3,3;2,3;4,2;14,8;9,8;5,7;2,3;15,3;13,9;10,0;20,1;6,0;6,7;11,6;27,3
Смоленская область;1,6;3,1;1,5;1,2;0,8;3,1;15,4;9,2;2,2;2,7;2,8;1,7;2,5;1,3;0,7;34,4;0,9;20,7;17,8
Тамбовская область;1,0;0,8;1,1;2,3;6,1;3,3;6,1;5,3;5,7;3,8;5,9;21,8;17,4;19,4;14,1;11,6;10,4;11,7;14,1
Тверская область;13,5;24,6;15,9;22,6;44,0;38,5;157,4;504,4;218,2;331;261,3;48,8;538,1;24,4;34,0;59,3;210,3;35,7;10,6
Тульская область;12,1;55,2;75,3;91,0;61,6;86,6;79,6;5,4;4,5;2,5;8,1;3,0;0,4;1,8;2,3;1,3;6,7;17,7;8,1
Ярославская область;6,9;37,3;49,1;52,1;16,0;33,1;145;74,3;106,5;90,1;70,2;95,2;320,3;131,0;184,9;414,3;788,6;664,5;419,7
г. Москва;843,5;1625,9;2511,1;3172,2;2934,1;4032,8;4755,4;5441,2;5376,7;7477,2;6859,2;8048,3;6660,7;8120,6;8212,0;8180,8;6827,1;5620,7;6422,9
Северо-Западный      федеральный округ;238,8;472,3;464,3;487,3;695,3;789,1;1265,8;1446,1;1405,4;1718,9;2250,0;2849,9;6140,0;5389,6;6097,5;6269,3;5885,9;4380,4;3323,0
Республика Карелия;2,3;6,2;9,1;17,8;18,5;7,7;20,9;21,1;40,2;13,0;16,5;13,7;8,1;15,6;21,3;15,2;16,3;14,3;13,4
Республика Коми;9,4;24,0;16,8;50,0;32,2;55,1;44,4;51,3;44,9;70,5;25,4;39,2;32,5;28,2;89,2;72,8;41,4;6,4;12,4
Архангельская область;3,5;4,0;11,5;9,8;11,0;7,6;13,6;8,1;11,6;16,7;8,1;47,8;47,8;25,9;11,2;123,5;35,6;45,7;4,1
