Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
19. НАУКА И ИННОВАЦИИ;;;;;;;;;;;;;;;;;;;
19.7. КАПИТАЛЬНЫЕ  ЗАТРАТЫ НА НАУЧНЫЕ ИССЛЕДОВАНИЯ И РАЗРАБОТКИ;;;;;;;;;;;;;;;;;;;
(миллионов рублей);;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;2823,8;4753,3;6761,2;8659,7;8829,4;9665,6;11020,5;18162,6;20208,2;24828,1;33926,4;42039,9;44808,0;49848,8;52119,1;60381,0;70036,5;68895,2;67558,2
Центральный         федеральный округ;847,9;1447,4;2608,0;3449,3;3891,0;4217,7;4605,3;9998,0;11250,0;13888,0;19324,9;21546,4;20172,4;24067,5;24834,1;30430,8;33894,1;32021,0;32524,7
Белгородская область;2,4;9,3;2,0;6,4;2,7;2,4;1,1;5,4;23,1;21,4;15,6;6,7;47,9;72,8;12,5;8,4;19,4;8,7;27,1
Брянская область;0,0;0,1;-;0,7;2,1;0,4;0,4;0,4;3,3;29,2;0,7;5,1;9,1;7,8;39,8;27,1;-;-;0,1
Владимирская область;3,8;5,0;6,4;6,6;7,1;36,6;15,6;14,1;71,8;59,0;16,2;49,0;81,6;69,7;58,9;90,4;56,3;3,8;4,9
Воронежская область;1,2;3,1;6,6;8,3;41,7;99,1;66,4;79,2;156,8;312,8;258,4;251,9;130,4;323,7;225,7;245,5;211,8;330,1;158,4
Ивановская область;1,5;3,1;4,9;8,4;11,2;9,3;9,0;18,9;16,7;10,0;26,4;3,6;13,3;14,3;14,9;9,8;8,5;8,8;20,7
Калужская область;46,9;41,8;130,9;102,8;140,4;203,0;103,7;148,3;137,9;275,2;297,3;1082,7;715,3;1282,0;1493,3;1261,2;1315,9;415,5;199,2
Костромская область;0,0;0,5;0,4;0,3;0,1;0,1;0,2;0,1;0,2;0,4;0,2;0,1;0,6;-;-;-;0,0;1,9;-
Курская область;0,2;0,1;0,6;0,1;0,4;59,5;34,8;16,7;84,1;29,7;35,9;3,9;105,1;170,3;95,3;14,6;29,7;53,7;5,5
Липецкая область;0,6;-;-;-;0,1;-;0,1;0,2;0,1;0,9;1,0;3,4;17,6;12,6;25,8;58,3;13,1;16,9;47,9
Московская область;342,3;516,5;1141,7;844,4;1273,6;960,8;1037,3;2210,4;3077,2;3938,7;3219,9;6711,0;5223,2;6842,6;6441,6;6953,7;6050,7;7215,7;9621,0
Орловская область;0,2;0,5;0,7;0,6;1,0;1,1;3,8;92,9;10,1;-;0,1;15,1;69,0;113,5;7,5;9,7;1,4;0,5;5,9
Рязанская область;0,2;1,6;0,5;0,0;0,0;2,9;1,1;112,7;24,7;1,5;7,9;30,1;27,0;10,4;16,5;4,5;10,2;46,2;74,3
Смоленская область;2,0;1,4;5,1;1,3;1,5;1,2;15,3;62,7;13,3;25,2;19,2;10,0;10,9;16,2;31,3;66,6;29,7;25,6;21,5
Тамбовская область;3,5;3,1;3,7;10,4;6,1;18,5;6,7;20,1;12,1;11,2;24,7;23,5;11,5;19,1;35,5;38,7;48,6;17,7;44,6
Тверская область;4,2;12,5;38,3;51,0;61,8;37,6;75,6;110,6;76,2;38,3;130,5;190,1;96,9;172,1;231,2;70,8;132,2;173,1;59,8
Тульская область;9,6;1,3;1,9;5,1;2,9;6,5;12,5;6,1;6,4;2,4;2,0;3,9;1,7;2,4;1,0;2,4;1,7;2,4;1,0
Ярославская область;30,9;46,7;46,0;76,2;53,3;114,6;143,6;142,2;256,2;228,9;110,7;285,7;251,3;997,4;959,2;601,8;164,8;476,9;94,9
г. Москва;398,3;800,8;1218,5;2326,8;2285,1;2664,1;3077,8;6956,8;7279,8;8903,6;15158,1;12870,5;13360,0;13940,7;15144,0;20967,2;25800,1;23223,5;22137,8
Северо-Западный       федеральный округ;687,8;903,8;1355,2;1948,0;813,7;1068,3;1373,0;1788,7;1817,6;2870,0;3792,5;4756,9;6496,1;7067,2;7117,9;7517,6;8524,4;7079,8;7403,9
Республика Карелия;0,3;0,3;-;0,3;8,5;0,0;0,1;0,7;1,1;1,7;0,7;5,5;49,3;40,9;19,1;73,4;78,7;22,7;26,9
Республика Коми;23,8;20,8;7,0;12,6;24,3;27,3;58,8;73,2;55,4;184,3;43,5;59,1;25,9;18,6;27,2;15,8;63,0;34,3;68,2
Архангельская область;12,8;35,2;15,2;10,9;19,8;21,1;9,6;16,9;20,2;17,2;15,7;45,3;44,4;23,7;27,1;26,7;87,5;71,5;71,3
в том числе:;;;;;;;;;;;;;;;;;;;
Ненецкий       автономный округ;-;-;-;-;-;0,0;-;-;-;0,6;-;-;0,0;-;-;-;0,0;-;0,0
Архангельская область без автономного округа;12,8;35,2;15,2;10,9;19,8;..;9,6;16,9;20,2;16,6;15,7;45,3;44,4;23,7;27,1;26,7;87,4;71,5;71,3
Вологодская область;1,7;0,6;1,3;5,2;3,0;0,0;-;3,8;15,9;33,7;0,3;-;1,0;2,3;4,1;0,6;0,8;39,2;41,8
Калининградская область;2,2;2,9;4,8;4,4;8,3;5,4;8,5;6,3;11,6;5,4;11,6;4,8;6,7;10,6;8,4;22,1;38,1;30,2;101,6
Ленинградская область;413,9;515,5;969,5;1134,8;81,1;71,1;73,7;109,5;155,3;67,8;302,8;30,8;375,7;86,3;404,6;257,2;373,2;441,2;403,7
Мурманская область;24,1;22,1;29,2;138,8;60,1;48,3;54,3;86,2;105,4;93,8;53,1;98,7;42,5;57,6;72,5;32,6;36,4;30,2;65,5
