Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
19. НАУКА И ИННОВАЦИИ;;;;;;;;;;;;;;;;;;;
19.9. ПОСТУПЛЕНИЕ ПАТЕНТНЫХ ЗАЯВОК И ВЫДАЧА ПАТЕНТОВ В РОССИИ;;;;;;;;;;;;;;;;;;;
19.9.1. Подано патентных заявок на изобретения1);;;;;;;;;;;;;;;;;;;
(единиц);;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;23377;24777;23712;24969;22985;23644;27884;27505;27712;25298;28722;26495;28701;28765;24072;29269;26795;22765;24926
Центральный федеральный округ;9954;9818;9875;11718;9885;10410;13983;13473;13377;12602;14628;12596;14352;14626;11666;16886;14116;11530;13832
Белгородская область;106;122;81;87;107;118;185;162;117;132;117;136;117;152;199;149;153;160;163
Брянская область;60;58;51;53;53;85;67;76;49;64;52;63;61;54;63;55;75;65;63
Владимирская область;165;177;170;147;152;140;144;151;155;119;190;167;228;207;275;260;221;226;252
Воронежская область;424;25;491;517;578;540;555;679;615;423;551;740;634;569;624;671;571;452;471
Ивановская область;103;122;107;118;116;125;2575;1022;577;614;658;722;762;474;288;310;458;649;577
Калужская область;181;240;158;159;147;133;133;167;150;133;118;124;120;122;78;105;168;218;179
Костромская область;50;49;43;42;44;41;49;51;79;43;41;34;49;29;39;41;36;44;47
Курская область;217;232;128;148;138;148;155;244;207;301;216;211;201;264;244;233;341;232;305
Липецкая область;95;138;113;139;116;101;75;78;105;80;81;83;75;84;99;87;55;56;49
Московская область;1799;1649;1901;22232;1561;1540;1443;1501;1608;1228;1329;1371;2429;1972;1578;1497;2293;3126;3408
Орловская область;145;202;139;173;183;241;259;189;188;205;160;160;101;129;88;50;65;56;63
Рязанская область;236;213;191;215;201;209;178;142;147;133;152;128;99;131;123;135;189;148;179
Смоленская область;53;61;69;71;65;59;76;80;69;78;82;67;68;58;59;58;38;44;32
Тамбовская область;81;106;86;85;99;85;113;94;96;96;84;98;110;104;93;74;114;66;80
Тверская область;161;149;140;165;178;129;148;117;107;108;97;84;114;138;139;158;143;151;155
Тульская область;348;357;308;301;251;234;234;215;172;207;174;204;137;216;168;185;198;147;139
Ярославская область;154;184;207;197;256;164;201;188;236;158;168;203;206;214;166;137;164;143;185
г. Москва;5576;5734;5492;6869;5640;6318;7393;8317;8700;8480;10358;8001;8841;9709;7343;12681;8834;5547;7485
Северо-Западный федеральный округ;2503;2620;2248;2157;2359;2250;2423;2442;2420;2095;2259;2549;2289;2145;2174;2258;2493;2156;2205
Республика Карелия;18;27;11;15;22;10;28;20;20;24;23;28;26;19;31;32;41;33;27
Республика Коми;57;51;53;48;46;55;50;50;40;33;51;39;33;36;44;39;49;38;50
Архангельская область;78;77;59;63;41;78;100;75;62;42;51;82;47;58;88;97;50;97;99
в том числе:;;;;;;;;;;;;;;;;;;;
Ненецкий автономный округ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-
Архангельская область    без автономного округа;78;77;59;63;41;78;100;75;62;42;51;82;47;58;88;97;49;97;99
Вологодская область;113;96;112;126;135;90;112;113;91;96;79;83;66;68;82;86;70;83;77
Калининградская область;108;91;82;67;89;65;79;78;76;74;86;63;68;58;58;69;52;78;61
Ленинградская область;243;209;167;143;140;135;153;119;131;100;235;227;187;102;96;77;88;79;93
Мурманская область;66;43;36;36;53;48;44;34;37;27;39;43;58;31;31;36;29;30;18
Новгородская область;42;36;24;40;40;46;25;39;22;20;49;54;38;45;53;46;49;48;45
Псковская область;27;17;14;19;30;34;38;38;46;31;49;47;53;49;53;41;38;39;42
г. Санкт-Петербург;1751;1973;1690;1600;1763;1689;1794;1876;1895;1648;1597;1883;1713;1679;1638;1735;2027;1631;1693
Южный           федеральный округ;1582;2066;2875;2139;1768;1693;1828;1804;1822;1765;1661;1484;1585;1615;1566;1648;1915;1543;1610
Республика Адыгея;1;6;2;3;8;2;3;5;5;20;6;5;4;5;9;5;9;5;12
Республика Калмыкия;22;18;3;6;1;5;3;1;2;2;-;3;5;12;34;45;13;15;33
Республика Крым;;;;;;;;;;;;;;;26;58;57;84;73
Краснодарский край;654;1082;1944;1091;654;581;596;552;598;443;536;485;513;478;492;476;707;526;508
Астраханская область;70;65;79;78;73;99;94;133;105;136;103;84;93;88;79;86;91;85;60
Волгоградская область;319;334;361;346;404;397;454;512;387;406;358;279;277;268;263;288;234;298;270
Ростовская область;516;561;486;615;628;609;678;601;725;758;658;628;693;764;689;748;711;472;612
г. Севастополь;;;;;;;;;;;;;;;22;49;93;58;42
Северо-Кавказский федеральный округ;464;1069;381;453;516;534;724;751;1082;1134;1900;1176;1539;1666;683;477;555;638;428
Республика Дагестан;120;28;94;109;109;120;143;277;574;621;1418;703;1096;1188;285;104;191;297;107
Республика Ингушетия;-;102;-;3;-;2;-;1;-;1;-;1;2;1;1;-;-;6;2
Кабардино-Балкарская Республика;53;52;36;49;52;50;94;63;58;71;71;91;81;116;72;73;50;43;63
Карачаево-Черкесская Республика;1;58;9;3;20;6;9;12;15;17;3;25;14;27;15;5;12;10;8
