Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
19. НАУКА И ИННОВАЦИИ;;;;;;;;;;;;;;;;;;;
19.9. ПОСТУПЛЕНИЕ ПАТЕНТНЫХ ЗАЯВОК И ВЫДАЧА ПАТЕНТОВ В РОССИИ;;;;;;;;;;;;;;;;;;;
19.9.4.  Выдано патентов на полезные модели1);;;;;;;;;;;;;;;;;;;
(единиц);;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;4041;4738;5448;8053;8230;6958;9165;9311;9250;10500;10187;10571;11152;12154;12267;8390;8474;8376;9391
Центральный федеральный округ;1868;2000;2272;3269;3421;2719;3476;3643;3786;4428;4312;4458;4594;5197;4894;3227;3443;3315;3597
Белгородская область;23;15;23;29;52;45;31;50;55;53;68;89;74;106;89;90;86;85;105
Брянская область;18;32;27;22;20;10;19;23;31;26;47;66;53;68;63;60;103;94;131
Владимирская область;35;39;49;76;57;46;59;81;71;94;83;65;74;100;71;38;42;29;65
Воронежская область;41;80;73;136;124;70;110;112;93;94;111;158;166;158;154;105;101;129;115
Ивановская область;46;36;30;60;51;35;36;43;41;50;49;45;61;50;50;35;42;40;33
Калужская область;74;92;119;179;100;58;82;97;72;57;51;37;42;60;47;26;27;43;34
Костромская область;3;24;3;18;15;19;16;24;27;18;22;24;11;24;21;25;20;11;16
Курская область;23;24;22;55;56;59;75;96;86;94;82;89;74;102;77;71;87;57;60
Липецкая область;18;39;36;33;15;10;15;9;19;27;21;19;30;33;29;12;20;14;22
Московская область;133;177;350;451;518;448;512;571;656;824;791;793;748;851;786;511;549;558;649
Орловская область;20;28;30;47;46;31;32;16;51;29;46;45;59;51;41;29;29;23;22
Рязанская область;54;54;43;80;77;82;107;114;103;97;82;68;74;80;73;88;85;90;115
Смоленская область;12;13;9;28;9;4;16;8;10;9;14;9;14;28;10;10;16;19;11
Тамбовская область;3;-;1;6;6;5;10;20;21;22;32;32;19;24;33;14;24;27;21
Тверская область;110;94;78;87;94;69;62;74;76;98;95;90;95;101;101;71;64;67;58
  Тульская область;78;65;58;70;80;78;100;80;91;73;72;88;84;71;92;45;60;44;32
Ярославская область;43;48;62;117;98;65;133;99;92;105;97;99;112;107;102;81;96;96;97
г. Москва;1134;1140;1259;1775;2003;1585;2061;2126;2191;2658;2549;2642;2804;3183;3055;1916;1992;1889;2011
Северо-Западный федеральный округ;545;650;689;1019;904;854;1007;1047;916;1165;1027;1087;1289;1327;1382;1058;1011;1202;1425
Республика Карелия;6;4;4;11;8;5;14;9;6;9;11;21;24;41;41;31;34;39;44
Республика Коми;6;10;7;8;7;9;17;18;10;6;8;9;13;15;13;7;7;4;15
Архангельская область;10;7;19;20;24;14;11;14;32;22;31;34;34;37;49;26;26;31;38
в том числе:;;;;;;;;;;;;;;;;;;;
Ненецкий автономный округ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;-;-
Архангельская область    без автономного округа;10;7;19;20;24;14;11;14;32;22;31;34;34;37;47;26;25;31;38
