Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
2. ТРУД;;;;;;;;;;;;;;;;;;;
ЗАНЯТОСТЬ И БЕЗРАБОТИЦА;;;;;;;;;;;;;;;;;;;
2.11. НАГРУЗКА НЕЗАНЯТОГО НАСЕЛЕНИЯ, СОСТОЯЩЕГО НА РЕГИСТРАЦИОННОМ УЧЕТЕ В ОРГАНАХ СЛУЖБЫ ЗАНЯТОСТИ НАСЕЛЕНИЯ, В РАСЧЕТЕ НА ОДНУ ЗАЯВЛЕННУЮ ВАКАНСИЮ1);;;;;;;;;;;;;;;;;;;
"(на конец года; человек)";;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;1,6;1,5;2,1;2,3;2,7;2,5;2,0;1,5;1,9;3,2;1,8;1,2;0,9;0,8;0,7;1,0;0,9;0,6;0,5
Центральный   федеральный округ;0,9;0,8;1,0;0,9;1,0;1,0;0,9;0,7;0,8;1,5;1,0;0,8;0,6;0,4;0,5;0,7;0,6;0,4;0,4
Белгородская область;1,2;1,3;1,8;2,1;2,0;1,6;1,5;0,9;1,9;2,0;1,2;1,0;0,9;0,6;0,4;0,4;0,3;0,3;0,3
Брянская область;4,5;3,3;2,8;2,7;3,5;2,9;2,4;1,4;3,0;4,7;2,3;1,5;1,2;0,7;0,8;1,2;0,8;0,7;0,5
Владимирская область;4,0;3,0;2,8;2,6;3,4;2,5;1,8;1,3;2,8;5,4;2,3;1,7;1,1;0,8;0,9;1,5;0,8;0,7;0,5
Воронежская область;1,6;1,8;2,6;3,3;3,2;2,4;2,6;2,4;2,6;3,4;2,0;1,5;1,3;0,6;0,8;0,3;0,5;0,5;0,4
Ивановская область;1,6;1,3;1,6;1,6;2,8;2,1;1,2;1,2;3,8;5,0;2,2;1,6;0,7;0,5;0,6;1,3;1,1;0,7;0,5
Калужская область;0,9;0,9;0,9;0,7;1,0;0,7;0,6;0,4;0,5;1,3;0,9;0,6;0,5;0,3;0,5;0,9;0,6;0,5;0,3
Костромская область;1,2;1,1;1,4;1,3;1,5;1,1;0,9;1,3;2,6;2,3;1,3;1,0;0,8;0,5;0,6;0,8;0,6;0,6;0,5
Курская область;1,7;1,3;1,8;2,0;2,1;2,4;1,9;1,4;1,7;5,8;3,5;2,8;1,7;1,3;1,1;1,6;0,9;0,6;0,6
