Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
 2. ТРУД;;;;;;;;;;;;;;;;;;;
КАДРЫ ГОСУДАРСТВЕННЫХ ОРГАНОВ И ОРГАНОВ МЕСТНОГО САМОУПРАВЛЕНИЯ;;;;;;;;;;;;;;;;;;;
2.15. ЧИСЛЕННОСТЬ РАБОТНИКОВ ТЕРРИТОРИАЛЬНЫХ ОРГАНОВ ФЕДЕРАЛЬНЫХ ОРГАНОВ ИСПОЛНИТЕЛЬНОЙ ВЛАСТИ;;;;;;;;;;;;;;;;;;;
(человек);;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;374426;348283;418003;432380;433633;560205;616083;626363;634342;647310;635415;603371;575465;552414;1212155;1188919;1165921;1193910;1184537
Центральный федеральный округ;87450;81307;99397;103345;102547;135674;150164;151966;154293;158910;156101;149473;140959;135763;306401;297453;289868;295321;295121
Белгородская область;3827;3484;4983;5234;5181;6427;7024;7068;7191;7309;7255;6929;6558;6356;11574;11277;11076;11248;11262
Брянская область;4486;3964;5536;5717;5571;6845;7409;7446;7488;7604;7462;7239;6909;6662;12672;12095;11783;12268;12201
Владимирская область;4049;3250;3701;3860;3906;5151;5649;5649;5730;5783;5754;5537;5121;5015;11125;10741;10701;10854;10659
Воронежская область;6171;5797;6134;6444;6254;7846;8838;8941;9346;9568;9209;8864;8375;7881;16607;15567;15032;15456;15407
Ивановская область;3644;3115;3480;3587;3531;4249;4773;4765;4810;4918;4752;4577;4329;4063;8955;8472;8190;8216;8132
Калужская область;3343;2941;3381;3493;3319;4588;4948;5034;5139;5214;5187;4898;4570;4404;8721;8425;8022;8387;8313
Костромская область;2930;2629;2809;2895;2865;3661;4049;4109;4199;4308;4078;3896;3526;3418;7926;7475;6605;6923;6801
Курская область;3701;3375;4082;4199;4192;5486;5974;5908;5976;6109;6063;5825;5506;5244;10982;10485;10109;10236;10017
Липецкая область;3022;2765;3133;3194;3206;4272;4773;4852;4958;4987;4913;4639;4468;4234;9649;9063;8556;9001;8646
Московская область;12033;10919;12696;14024;13813;18275;20737;20364;20919;21910;20710;21484;19911;20240;45990;45790;45171;45856;46381
Орловская область;2936;2725;3043;3173;3152;3940;4320;4650;4798;4826;4712;4431;4091;3959;7977;7518;7422;7533;7389
Рязанская область;3463;3227;3487;3644;3592;4789;5129;5196;5288;5356;5288;4932;4477;4382;9625;9112;8701;9057;8911
