Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;
2. ТРУД;;;;;;;;;;;;;;;;;;
КАДРЫ ГОСУДАРСТВЕННЫХ ОРГАНОВ И ОРГАНОВ МЕСТНОГО САМОУПРАВЛЕНИЯ;;;;;;;;;;;;;;;;;;
ЧИСЛЕННОСТЬ РАБОТНИКОВ ОРГАНОВ МЕСТНОГО САМОУПРАВЛЕНИЯ1);;;;;;;;;;;;;;;;;;
2.17.2. В представительных органов;;;;;;;;;;;;;;;;;;
(человек);;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;3062;6337;6685;7557;8475;9714;10866;13377;14601;14663;14951;15413;15489;15435;14677;13808;13380;13202
Центральный федеральный округ;1695;2837;2911;2980;3652;3693;2365;2617;2945;2903;2866;2973;2938;2927;2593;2510;2392;2337
Белгородская область;8;24;34;34;41;43;71;70;50;55;52;58;54;48;59;60;69;80
Брянская область;85;99;101;121;129;132;286;188;173;153;151;161;153;166;155;130;125;123
Владимирская область;16;154;154;142;150;138;141;143;163;153;144;159;168;147;116;105;105;113
Воронежская область;…;86;107;119;118;112;159;193;313;240;227;232;211;214;215;210;212;214
Ивановская область;25;22;23;26;36;38;85;117;164;167;157;148;149;143;155;153;146;139
Калужская область;46;60;68;58;58;45;54;70;68;66;68;50;57;61;63;63;66;70
Костромская область;15;16;16;16;16;20;38;77;95;93;73;75;76;73;63;60;64;61
Курская область;20;23;23;21;34;33;86;105;104;94;86;92;103;100;95;95;97;100
Липецкая область;118;127;128;132;138;161;163;150;145;139;134;140;144;143;101;88;84;83
Московская область;…;…;6;…;…;6;146;225;283;414;477;569;619;706;534;529;429;399
Орловская область;30;40;43;44;47;46;67;74;75;76;74;96;100;97;93;82;89;90
Рязанская область;61;79;72;87;86;105;117;135;135;146;152;119;111;111;105;105;111;107
Смоленская область;76;69;72;71;66;71;93;136;143;143;149;212;211;215;200;204;197;192
Тамбовская область;1057;1866;1882;1907;2537;2520;431;430;425;398;329;249;245;235;216;208;203;195
Тверская область;48;57;53;49;43;42;110;110;124;178;200;202;204;184;176;166;155;137
Тульская область;64;88;102;124;121;144;275;339;434;345;348;350;270;211;182;186;178;174
Ярославская область;26;27;27;29;32;37;43;55;51;43;45;52;60;65;57;58;54;52
г. Москва;...;...;...;...;...;-;...;...;...;...;-;9;3;8;8;8;8;8
Северо-Западный федеральный округ;219;558;582;685;692;691;1137;1197;1286;1297;1334;1444;1457;1429;1409;1368;1347;1346
Республика Карелия;2;2;2;3;16;13;19;35;43;39;38;48;48;42;41;42;27;27
Республика Коми;...;...;...;...;...;-;83;39;39;41;36;35;27;30;31;37;8;10
Архангельская область;...;28;33;37;41;62;117;136;152;161;183;198;189;183;190;176;171;174
в том числе: ;;;;;;;;;;;;;;;;;;
Ненецкий автономный округ;...;6;8;8;8;9;17;21;24;26;30;35;31;23;30;28;27;26
Архангельская область без автономного округа;...;22;25;29;33;53;100;115;128;135;153;163;158;160;160;148;144;148
Вологодская область;118;318;316;377;352;279;110;115;117;101;94;103;117;108;110;122;135;159
Калининградская область;...;...;10;12;21;32;115;156;189;220;221;234;248;217;170;136;131;117
Ленинградская область;17;27;21;22;22;13;117;131;128;126;149;175;174;185;190;193;202;197
Мурманская область;53;59;77;80;71;79;113;118;119;116;119;123;116;116;116;110;113;110
Новгородская область;...;...;...;...;...;11;10;12;20;20;21;21;22;26;26;23;22;24
Псковская область;29;31;28;34;39;38;37;41;65;67;65;86;88;81;89;89;85;76
г. Санкт-Петербург;...;93;95;120;130;164;416;414;414;406;408;421;428;441;446;440;453;452
Южный                    федеральный округ;161;337;344;444;491;635;777;909;1048;1069;1114;1129;1142;1162;1380;1312;1265;1219
Республика Адыгея;...;...;...;...;7;-;18;55;71;71;73;75;66;71;69;67;73;70
Республика Калмыкия;...;...;...;...;...;18;23;26;27;28;39;38;39;40;29;23;22;21
Республика Крым;;;;;;;;;;;;;;…;306;289;265;253
Краснодарский край;34;116;119;179;148;204;203;231;250;252;263;274;281;295;310;311;311;311
Астраханская область;...;...;...;...;27;38;83;90;89;115;106;72;71;75;70;76;74;76
Волгоградская область;127;111;114;141;183;199;213;252;332;290;318;352;365;345;258;230;201;196
Ростовская область;;110;111;124;126;176;237;255;279;313;315;318;320;336;310;290;298;271
г. Севастополь;;;;;;;;;;;;;;…;28;26;21;21
Северо-Кавказский   федеральный округ;42;79;85;105;115;218;324;371;465;507;696;785;952;979;954;914;919;941
Республика Дагестан;6;7;8;7;;8;36;9;20;11;20;30;57;66;56;47;62;82
Республика Ингушетия;...;...;...;...;...;-;...;...;...;...;114;135;181;184;183;181;187;185
Кабардино-Балкарская Республика;...;...;...;...;...;-;...;...;16;28;28;32;36;40;47;53;58;56
Карачаево-Черкесская Республика;5;5;7;6;4;5;10;15;23;24;25;40;48;53;56;59;56;59
Республика Северная Осетия - Алания;...;...;...;...;...;-;...;...;17;39;50;52;58;59;58;67;61;65
Чеченская Республика;...;...;...;...;...;…;...;...;...;...;73;118;139;141;143;142;144;143
Ставропольский край;31;67;70;92;111;205;278;347;389;405;386;378;433;436;411;365;351;351
Приволжский федеральный округ;470;537;577;754;810;1114;3262;4466;4718;4704;4689;4661;4505;4450;4126;3584;3440;3375
Республика Башкортостан;...;...;...;47;101;91;26;329;347;341;343;348;333;284;270;263;270;270
Республика Марий Эл;...;...;...;...;...;-;18;19;29;39;38;46;48;49;48;49;50;49
Республика Мордовия;...;...;...;...;...;-;5;3;7;6;6;3;3;3;3;3;3;3
Республика Татарстан;...;...;...;...;...;-;960;1301;1244;1228;1243;1187;1097;1042;1113;1175;1179;1205
Удмуртская Республика;96;102;106;137;137;137;338;568;641;662;631;641;607;633;609;189;129;126
Чувашская Республика;...;...;...;...;...;-;12;15;17;16;16;28;36;36;35;38;38;38
Пермский край;59;62;75;84;96;105;292;335;416;378;392;408;459;477;428;434;415;347
Кировская область;...;5;5;5;4;6;130;208;251;261;260;280;282;287;275;110;87;88
Нижегородская область;57;64;77;121;133;164;222;259;293;296;293;349;374;371;341;329;333;323
Оренбургская область;4;8;8;10;9;20;61;83;96;100;107;95;99;103;83;75;82;81
Пензенская область;44;45;50;52;31;121;88;87;86;85;48;47;49;52;50;56;55;54
Самарская область;73;90;92;107;106;235;428;471;537;550;580;585;546;540;368;341;303;307
Саратовская область;97;96;85;105;99;103;445;509;490;550;539;430;380;373;337;340;331;323
Ульяновская область;40;65;79;86;94;132;237;279;264;192;193;214;192;200;166;182;165;161
Уральский               федеральный округ;199;254;384;446;487;789;1066;1325;1362;1398;1397;1499;1497;1470;1435;1389;1341;1333
Курганская область;1;1;1;2;2;38;46;69;57;51;52;54;54;54;59;66;70;71
Свердловская область;35;68;66;73;85;273;328;365;413;429;435;386;423;387;387;371;365;358
Тюменская область;30;20;98;141;151;172;316;473;449;483;477;589;569;578;528;468;414;402
в том числе:;;;;;;;;;;;;;;;;;;
Ханты-Мансийский автономный округ - Югра;30;20;44;75;76;90;141;226;254;259;265;411;390;398;362;311;265;266
Ямало-Ненецкий автономный округ;...;...;...;8;18;20;59;119;57;85;78;48;47;50;44;41;36;32
Тюменская область без автономных округов;...;...;54;58;57;62;116;128;138;139;134;130;132;130;122;116;113;104
Челябинская область;133;165;219;230;249;306;376;418;443;435;433;470;451;451;461;484;492;502
Сибирский         федеральный округ2);131;1462;1485;1718;1766;2002;1269;1684;1890;1896;1974;2025;2083;2065;1932;1877;1823;1625
Республика Алтай;...;17;10;16;14;14;18;23;31;30;29;41;39;37;37;37;37;45
Республика Тыва;...;1214;1237;1297;1265;1316;36;36;40;97;102;93;111;107;100;104;109;108
Республика Хакасия;19;8;8;33;34;57;68;77;85;86;89;95;94;94;82;76;74;72
Алтайский край;...;...;...;...;...;46;47;51;58;63;60;57;57;56;56;51;46;45
Красноярский край;6;81;84;116;107;170;370;484;489;464;551;556;553;548;459;427;407;393
Иркутская область;...;...;...;...;...;-;81;122;208;210;208;230;224;215;192;189;187;185
Кемеровская область;30;38;59;60;88;83;99;106;108;121;130;135;136;139;145;145;145;151
Новосибирская область;6;6;6;6;62;65;120;305;275;261;274;275;283;271;308;312;293;297
Омская область;64;65;70;138;144;155;158;167;169;158;147;159;187;187;180;182;187;180
Томская область;3;30;8;49;48;58;99;105;182;172;151;157;158;159;155;144;152;149
Дальневосточный     федеральный округ2);145;273;317;425;462;572;666;808;887;889;881;897;915;953;848;854;853;1026
Республика Бурятия;...;...;...;...;...;...;30;87;132;117;115;114;124;134;125;124;121;126
Республика Саха (Якутия);...;17;36;56;58;68;15;23;44;47;48;24;28;40;41;47;46;53
Забайкальский край;3;3;3;3;4;38;143;121;113;117;118;113;117;118;93;86;65;58
Камчатский край;34;32;35;48;51;53;62;101;111;91;89;108;119;120;115;125;119;116
Приморский край;45;55;68;125;150;203;218;252;270;267;254;268;272;296;270;274;277;268
Хабаровский край;2;2;4;4;1;8;14;22;71;67;67;78;84;86;83;85;85;84
Амурская область;...;74;75;93;97;107;171;169;172;184;171;161;164;162;143;142;138;136
Магаданская область;...;...;...;...;...;14;24;36;41;43;46;56;54;52;55;46;47;44
Сахалинская область;53;78;79;81;84;93;159;176;150;155;164;164;154;157;102;99;104;102
Еврейская автономная область;11;15;20;18;21;26;...;26;23;23;27;25;25;27;26;25;26;26
Чукотский автономный округ;-;-;-;-;-;-;3;3;5;12;15;13;15;13;13;11;11;13
?????;;;;;;;;;;;;;;;;;;
1) Включая избирательные комиссии муниципальных образований.;;;;;;;;;;;;;;;;;;
2)  Данные за 2000-2017 гг. по Сибирскому и Дальневосточному федеральным округам приведены в составе субъектов Российской Федерации до вступления в силу Указа Президента Российской Федерации от 3 ноября 2018 г. № 632.;;;;;;;;;;;;;;;;;;
