Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
2. ТРУД;;;;;;;;;;;;;;;;;;;
ЗАНЯТОСТЬ И БЕЗРАБОТИЦА;;;;;;;;;;;;;;;;;;;
2.5. УРОВЕНЬ ЗАНЯТОСТИ НАСЕЛЕНИЯ1);;;;;;;;;;;;;;;;;;;
"(по данным выборочных обследований рабочей силы; в процентах)";;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;58,5;58,4;59,8;59,4;60,3;61,3;61,7;63,1;63,2;62,0;62,7;63,9;64,9;64,8;65,3;65,3;65,7;59,5;59,8
Центральный федеральный округ;60,7;61,2;62,4;62,3;63,2;63,8;64,2;65,8;65,5;64,2;65,1;66,3;67,8;67,5;68,4;68,2;69,0;61,9;62,4
Белгородская область ;61,7;61,4;57,6;56,7;59,0;57,5;60,6;59,2;61,3;62,9;61,6;61,4;63,7;65,4;66,1;65,7;67,3;60,5;60,6
Брянская область;54,1;55,6;55,4;57,7;57,8;58,9;60,4;60,8;60,5;56,6;60,2;61,1;63,3;62,6;63,4;63,5;64,3;56,8;57,2
Владимирская область;57,6;58,3;60,4;59,8;62,0;62,7;60,8;63,9;64,1;60,9;63,0;65,0;67,2;67,1;66,8;66,9;65,7;58,9;58,7
Воронежская область;56,8;54,2;56,6;55,7;54,8;58,2;60,5;59,2;59,7;58,2;58,4;60,3;61,0;61,0;62,0;62,5;63,0;56,4;57,3
Ивановская область;57,4;58,8;58,4;59,2;62,0;61,0;61,8;63,1;63,4;57,7;61,6;62,7;64,2;63,9;64,3;65,3;64,8;59,3;58,2
Калужская область;62,1;62,1;59,7;62,5;63,9;64,7;63,7;65,2;65,9;67,0;65,9;66,7;67,4;67,4;66,5;66,8;67,8;60,4;61,7
Костромская область;59,9;61,1;61,8;60,1;61,6;62,8;63,9;66,5;65,8;63,4;64,6;65,3;66,7;65,2;64,6;62,6;63,6;57,2;56,6
Курская область;58,9;56,7;60,2;56,5;58,8;61,2;60,4;62,9;62,1;59,7;60,6;61,4;62,5;63,8;64,5;64,7;64,9;58,0;58,2
Липецкая область;58,3;59,6;61,4;61,5;60,5;57,8;61,9;63,6;63,1;63,4;64,4;63,7;68,2;65,8;64,9;65,0;65,9;59,0;59,6
Московская область;64,0;63,6;64,3;65,9;67,3;66,0;66,7;70,2;69,0;67,0;68,5;69,1;70,7;69,6;69,1;69,2;69,7;64,3;65,0
Орловская область;59,4;59,0;62,1;59,7;61,6;61,2;63,5;62,4;60,5;58,4;58,7;60,0;61,6;61,8;62,3;61,8;62,2;55,1;55,0
Рязанская область;56,2;54,2;59,5;56,8;58,9;62,0;59,1;62,5;58,8;57,3;57,6;59,1;60,6;60,1;58,9;59,2;60,2;53,6;52,8
Смоленская область;57,5;58,5;58,6;57,7;59,5;61,9;61,4;63,6;61,8;65,3;64,8;65,4;67,3;66,7;66,1;66,4;65,6;60,1;59,5
Тамбовская область;56,6;50,5;55,0;55,2;52,8;57,5;58,5;56,8;59,3;58,0;59,5;59,8;61,0;60,8;61,0;61,4;61,8;54,6;54,5
Тверская область;58,1;58,8;61,8;59,7;60,9;62,8;62,9;65,1;63,2;64,8;63,4;64,9;66,9;66,3;66,7;66,5;65,8;59,5;60,1
Тульская область;55,9;58,9;57,4;58,6;61,1;60,2;63,4;64,0;61,1;61,0;61,9;63,1;64,5;64,2;65,7;66,1;66,6;58,5;59,1
Ярославская область;63,6;62,4;63,9;63,8;63,1;64,7;66,4;64,9;65,6;63,8;62,5;65,2;66,5;66,0;69,5;67,8;66,3;58,5;59,0
г. Москва;63,9;66,4;67,6;67,1;67,4;68,0;67,2;69,1;69,5;67,9;69,0;70,8;71,6;71,8;74,0;73,4;75,1;66,6;67,4
Северо-Западный федеральный округ;60,0;61,2;62,5;62,3;63,4;65,1;66,6;67,8;67,5;66,3;66,6;67,7;68,7;67,8;67,8;67,9;68,3;61,9;61,7
Республика Карелия;59,4;60,7;61,9;61,2;63,7;62,0;67,0;65,2;63,7;61,9;62,2;62,2;62,3;61,1;61,7;61,9;62,2;55,8;54,8
Республика Коми;59,1;58,4;60,3;59,8;58,2;61,0;61,0;62,9;67,9;62,5;64,3;64,6;66,3;66,9;65,7;66,2;64,6;59,0;59,4
Архангельская область;59,5;61,7;62,7;61,2;61,5;64,1;64,9;64,8;63,0;63,4;63,1;65,5;64,4;63,4;62,1;63,0;61,9;57,1;56,2
в том числе: ;;;;;;;;;;;;;;;;;;;
Ненецкий автономный округ;65,7;67,7;64,7;67,5;69,4;65,1;71,7;68,5;69,0;67,9;68,7;65,4;66,7;66,7;67,4;66,2;67,1;60,4;60,5
Архангельская область без автономного округа;59,4;61,5;62,6;61,0;61,2;64,1;64,7;64,7;62,8;63,2;62,9;65,5;64,3;63,3;61,9;62,8;61,7;57,0;56,1
Вологодская область;62,3;61,4;63,2;62,2;61,2;64,9;66,0;66,4;65,4;65,6;64,5;64,6;65,9;64,5;65,2;63,5;64,3;56,8;56,5
Калининградская область;55,9;54,1;60,2;61,4;62,1;64,6;65,4;67,2;64,9;60,9;61,7;64,6;65,5;67,1;67,4;67,2;66,3;60,3;60,9
Ленинградская область;58,8;62,1;59,4;60,4;63,2;63,6;65,2;67,9;66,5;65,7;67,1;68,5;69,3;67,5;66,6;66,6;66,8;61,7;60,6
Мурманская область;62,5;62,2;64,6;64,4;62,3;66,4;67,9;66,5;69,6;69,7;69,0;67,5;69,2;69,0;69,3;69,3;68,8;64,8;63,2
Новгородская область;60,7;62,2;59,7;63,5;62,1;62,3;62,1;62,6;63,7;64,3;65,2;66,5;66,5;66,8;66,1;66,6;66,3;58,3;58,3
Псковская область;54,2;55,0;53,6;57,2;61,0;61,1;61,5;63,5;62,7;59,1;60,5;62,5;64,0;63,8;63,3;62,6;63,5;54,5;55,5
г. Санкт-Петербург;61,5;63,3;65,7;64,4;66,6;68,0;70,1;71,9;71,4;70,5;70,3;71,4;72,8;71,3;71,9;72,2;73,5;66,5;66,6
Южный          федеральный округ;54,7;54,5;56,5;54,0;57,2;57,3;58,4;60,3;60,9;59,5;59,6;60,5;61,6;61,4;61,6;62,0;62,6;56,4;56,9
Республика Адыгея;51,7;50,5;51,3;47,0;46,6;51,9;51,7;55,4;55,7;54,3;55,3;56,2;56,5;58,3;55,5;55,7;55,5;49,2;49,5
Республика Калмыкия;51,5;51,2;52,2;53,2;48,9;54,8;55,3;56,7;57,5;57,0;57,1;58,2;58,5;57,6;61,6;61,7;62,5;57,2;56,6
Республика Крым;;;;;;;;;;;;;;;…;60,1;59,2;53,8;53,4
Краснодарский край;54,5;54,2;57,5;53,4;55,8;56,9;58,0;59,8;62,1;60,4;60,0;60,4;61,6;60,9;61,1;62,6;63,5;57,5;58,3
Астраханская область;58,5;59,6;56,1;60,7;59,7;56,7;64,3;61,6;63,4;61,1;61,7;62,6;61,7;64,0;64,5;64,5;63,8;60,2;57,7
Волгоградская область;57,7;57,0;59,6;55,1;59,2;59,4;60,0;61,9;58,7;58,6;59,7;61,5;62,8;63,0;62,5;62,5;62,5;55,9;57,4
Ростовская область;52,8;52,9;54,3;53,2;58,8;57,3;57,5;60,2;61,1;59,4;59,2;60,3;61,5;60,9;61,7;61,9;63,8;56,6;56,9
г. Севастополь;;;;;;;;;;;;;;;…;62,2;59,6;54,7;58,2
Северо-Кавказский федеральный округ;48,7;48,1;49,2;48,5;48,3;51,5;47,7;50,9;53,5;54,1;53,3;55,2;56,7;57,3;58,7;58,0;58,3;54,4;55,5
Республика Дагестан;43,8;40,7;47,4;45,4;44,1;50,3;50,4;51,7;58,3;56,4;53,2;57,2;56,2;55,9;56,7;55,0;55,8;52,8;53,5
Республика Ингушетия;32,7;35,0;28,9;17,9;25,3;22,5;16,5;27,4;24,7;30,0;32,2;35,2;36,2;38,6;49,4;50,2;50,8;55,5;53,7
Кабардино-Балкарская Республика;52,8;47,5;46,0;45,7;43,2;44,0;51,5;50,4;47,6;50,2;50,6;50,6;54,4;58,7;61,6;60,4;61,1;57,0;58,8
Карачаево-Черкесская Республика;46,5;47,4;52,9;47,7;47,9;54,3;49,9;53,3;51,4;58,5;58,8;58,9;61,4;57,6;56,7;53,5;53,6;48,5;50,5
Республика Северная Осетия – Алания;47,3;56,8;57,5;57,8;55,6;56,8;53,7;53,8;60,7;62,1;64,3;62,0;61,9;60,6;60,1;58,4;57,4;52,1;56,3
Чеченская Республика;…;…;…;…;…;…;19,4;29,6;38,7;44,9;38,3;41,5;49,6;56,2;58,0;58,8;58,8;57,1;56,9
Ставропольский край;53,7;53,9;52,0;54,3;55,1;57,2;56,5;60,2;58,7;57,1;59,1;60,4;61,6;60,5;61,5;61,8;62,1;55,4;56,7
Приволжский федеральный округ;59,5;59,4;60,4;59,6;60,1;60,9;62,0;62,8;62,7;61,8;62,7;63,9;64,9;64,7;65,3;65,6;65,9;58,9;58,9
Республика Башкортостан;57,4;56,1;58,3;59,2;58,0;60,5;59,9;61,2;61,8;60,5;59,9;62,2;62,7;61,2;61,8;62,6;63,0;57,0;56,6
Республика Марий Эл;58,4;59,5;57,7;57,6;61,9;61,6;58,3;62,6;61,7;59,0;61,4;61,9;64,1;65,0;64,5;65,1;64,0;58,1;56,4
Республика Мордовия;57,4;56,6;56,9;57,6;61,0;59,5;62,2;65,8;69,2;66,3;66,2;67,3;67,2;67,7;68,0;67,9;68,1;60,7;58,3
Республика Татарстан;61,0;60,9;62,8;61,1;60,1;60,5;61,5;62,1;63,9;62,2;64,7;66,4;67,5;67,3;68,1;68,5;68,7;62,0;61,9
Удмуртская Республика;60,7;61,4;62,6;62,4;61,0;62,7;64,2;64,0;64,6;65,5;63,8;66,7;67,4;67,5;68,2;68,5;67,6;61,2;60,8
Чувашская Республика;62,1;59,8;60,8;60,9;58,5;58,2;62,3;62,0;62,7;61,0;61,8;63,6;64,7;66,4;68,9;68,3;66,1;58,5;58,1
Пермский край;58,6;61,2;60,3;59,3;61,2;59,8;62,2;62,5;62,0;61,5;62,7;63,6;63,5;62,3;60,8;61,8;63,0;56,2;56,2
