Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
2. ТРУД;;;;;;;;;;;;;;;;;;;
ЗАНЯТОСТЬ И БЕЗРАБОТИЦА;;;;;;;;;;;;;;;;;;;
2.6. ЧИСЛЕННОСТЬ БЕЗРАБОТНЫХ1);;;;;;;;;;;;;;;;;;;
"(по данным выборочных обследований рабочей силы; тысяч человек)";;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;7700;6424;5698;5934;5666;5242;5250;4519;4697;6284;5544;4922;4131;4137;3889;4264;4243;3969;3658
Центральный         федеральный округ;1516;1165;1000;1002;930;852;815;636;733;1193;961;858;659;698;655;745;755;692;620
Белгородская область;45;48;58;60;46;42;43;31;30;37;41;33;29;32;32;33;33;32;33
Брянская область;89;64;54;48;58;44;45;42;42;68;52;45;33;33;32;29;29;27;24
Владимирская область;95;80;84;81;73;73;86;54;45;66;47;44;34;29;33;42;41;35;34
Воронежская область;119;106;101;92;96;88;64;59;61;101;87;76;65;54;53;52;52;51;43
Ивановская область;61;34;39;36;27;40;23;24;30;59;42;37;35;29;23;31;30;25;22
Калужская область;49;33;35;33;35;31;30;27;26;35;38;31;24;25;22;23;23;22;21
Костромская область;33;22;18;22;22;18;18;12;18;30;21;18;17;17;15;17;18;17;14
Курская область;66;64;44;50;44;44;42;29;37;51;48;36;29;27;23;24;24;23;23
Липецкая область;52;38;30;27;26;48;30;17;31;35;28;30;23;22;22;24;24;23;23
Московская область;284;197;152;160;140;118;111;79;106;187;131;148;116;108;105;129;133;131;111
Орловская область;38;34;30;34;27;26;25;23;24;39;35;24;21;23;20;24;25;25;18
Рязанская область;58;64;50;49;34;32;28;22;31;52;48;41;26;26;24;25;24;22;22
Смоленская область;67;53;60;56;48;41;44;37;37;44;41;41;31;28;27;33;31;30;26
Тамбовская область;48;63;53;50;50;48;49;50;52;50;43;36;26;25;23;24;24;22;21
Тверская область;69;55;35;47;39;42;33;30;36;58;47;43;36;38;38;39;40;31;28
Тульская область;83;44;49;43;39;40;23;22;27;49;47;43;37;34;33;33;33;31;31
Ярославская область;55;49;27;41;32;27;21;24;41;55;51;34;23;30;26;37;45;44;36
г. Москва;205;116;81;74;96;50;99;52;59;176;115;95;55;117;104;125;127;100;90
Северо-Западный        федеральный округ;710;557;460;516;443;409;373;317;385;529;453;391;302;327;310;360;351;320;295
Республика Карелия;43;33;30;31;28;33;12;22;30;34;32;28;23;27;26;29;30;27;27
Республика Коми;66;76;49;67;66;60;65;54;39;59;52;41;31;35;29;33;40;35;32
Архангельская область;90;61;58;70;49;38;41;37;46;48;46;39;34;38;44;42;42;38;37
в том числе: ;;;;;;;;;;;;;;;;;;;
Ненецкий автономный округ;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2
Архангельская область      без автономного округа;87;60;56;68;47;35;39;35;44;46;44;37;33;37;43;40;40;36;35
Вологодская область;55;59;39;31;40;34;36;26;37;52;51;47;37;38;35;42;40;31;29
Калининградская область;77;39;35;38;33;33;22;18;46;56;52;48;39;30;29;30;31;27;25
Ленинградская область;82;62;59;75;62;66;54;37;58;67;50;42;32;41;43;49;44;45;40
Мурманская область;73;69;54;52;54;44;33;30;33;37;42;41;36;34;31;35;34;31;29
Новгородская область;28;23;22;18;21;20;19;18;17;21;19;17;14;16;12;15;16;15;13
Псковская область;43;37;28;30;20;23;27;18;24;39;34;33;23;24;22;23;22;21;18
г. Санкт-Петербург;153;98;86;105;70;57;64;58;57;117;74;56;33;43;39;62;50;50;45
Южный         федеральный округ;870;761;644;750;651;562;563;490;454;605;530;490;434;452;434;546;521;495;459
Республика Адыгея;29;28;27;29;33;26;28;21;15;15;19;17;17;17;17;18;18;18;17
Республика Калмыкия;30;27;25;24;31;27;25;22;24;25;22;21;19;18;16;15;15;14;13
Республика Крым;;;;;;;;;;;;;;;…;69;62;58;54
Краснодарский край;309;257;186;238;210;179;178;168;125;190;173;153;147;160;149;162;159;158;145
Астраханская область;58;53;52;52;60;61;42;45;39;52;43;47;41;40;40;40;40;40;39
Волгоградская область;126;125;114;144;126;88;117;86;108;138;105;92;80;89;87;95;88;77;72
Ростовская область;319;272;240;263;192;182;173;147;143;184;167;159;130;129;126;130;126;120;109
г. Севастополь;;;;;;;;;;;;;;;…;17;12;9;9
Северо-Кавказский        федеральный округ;668;611;581;575;642;613;915;807;671;701;719;643;587;586;507;499;500;501;491
Республика Дагестан;255;281;260;213;300;264;270;253;175;171;189;172;155;153;135;140;146;163;160
Республика Ингушетия;31;51;66;68;58;111;64;66;78;95;89;92;96;88;63;68;70;68;66
Кабардино-Балкарская Республика;68;63;72;91;95;91;89;73;68;56;48;39;34;44;41;43;44;45;47
Карачаево-Черкесская Республика;41;36;24;35;33;29;41;41;34;28;24;23;21;22;30;33;31;28;26
Республика Северная Осетия - Алания;96;59;44;34;37;29;26;31;35;39;37;30;28;28;29;31;32;39;36
Чеченская Республика;…;…;…;…;…;…;311;255;172;194;238;205;178;175;136;106;98;87;86
Ставропольский край;178;120;116;134;120;89;115;89;108;117;94;82;74;77;73;78;78;70;69
Приволжский         федеральный округ;1543;1306;1199;1183;1226;1164;1020;959;988;1366;1198;1034;832;767;703;743;747;714;665
Республика Башкортостан;228;205;161;164;140;143;130;132;105;190;182;159;124;116;105;123;116;111;96
Республика Марий Эл;44;34;51;42;36;38;36;35;34;42;39;38;24;19;17;19;21;21;17
Республика Мордовия;47;44;40;33;26;29;20;16;13;24;25;24;22;20;19;19;19;19;18
Республика Татарстан;159;116;100;125;138;125;105;108;96;168;126;95;85;81;81;82;77;71;68
Удмуртская Республика;78;59;65;53;64;64;71;68;65;75;78;58;50;47;42;41;42;38;38
Чувашская Республика;61;63;63;55;64;77;58;61;54;78;63;52;38;38;34;33;34;32;31
Пермский край;152;98;131;103;105;113;99;92;118;141;117;104;85;87;75;82;76;77;68
Кировская область;68;64;56;58;69;57;61;44;55;81;64;59;49;38;34;36;36;36;34
Нижегородская область ;144;149;141;112;133;107;96;82;101;135;138;129;98;76;75;75;76;75;73
Оренбургская область;127;86;105;117;118;96;68;75;69;93;77;66;56;53;46;49;50;46;45
Пензенская область;86;100;51;64;47;47;46;36;54;56;44;37;35;34;33;33;33;31;30
Самарская область;174;104;94;74;93;93;75;75;75;107;101;88;60;56;53;60;72;72;64
Саратовская область;130;126;98;135;128;121;108;105;100;115;86;78;69;66;58;59;64;57;60
Ульяновская область;45;57;43;48;64;54;46;31;49;60;59;47;38;37;31;32;30;28;23
Уральский       федеральный округ;640;573;509;480;477;431;443;316;363;527;519;447;392;373;375;406;393;356;301
Курганская область;67;62;51;46;61;55;57;37;42;58;55;44;38;33;30;32;34;37;31
Свердловская область ;233;180;195;178;171;159;167;125;113;191;194;167;133;136;138;149;138;119;103
Тюменская область;183;181;152;148;155;122;125;110;129;128;130;111;101;90;91;95;90;76;62
в том числе:;;;;;;;;;;;;;;;;;;;
Ханты-Мансийский автономный округ - Югра;88;89;80;78;79;67;53;67;70;62;69;57;50;44;42;41;42;30;23
Ямало-Ненецкий автономный округ;26;21;21;17;19;22;17;9;19;14;13;11;11;10;10;11;8;10;7
Тюменская область    без автономных округов;70;71;51;54;57;32;55;34;39;52;48;43;40;36;38;43;40;36;32
Челябинская область;156;150;110;106;89;95;93;44;79;149;140;124;120;113;116;129;130;123;105
Сибирский     федеральный округ;1124;930;869;973;853;835;769;659;690;915;762;707;604;618;593;656;680;603;557
Республика Алтай;16;9;10;9;9;9;11;9;12;14;12;13;11;12;10;10;12;12;11
Республика Тыва;27;29;26;28;26;29;26;22;23;27;28;23;22;24;24;23;21;23;19
Республика Хакасия;32;23;21;28;27;25;24;18;19;24;24;19;21;16;16;15;16;13;13
Алтайский край;149;124;106;155;118;113;114;82;105;152;111;103;74;96;83;95;100;78;70
Красноярский край;190;148;120;147;128;152;138;118;96;145;97;90;84;86;76;93;90;85;73
Иркутская область;156;145;142;145;137;128;108;105;110;138;127;115;98;104;110;103;110;105;89
Кемеровская область;157;142;135;144;144;127;107;90;95;139;126;114;99;85;88;106;108;95;81
Новосибирская область ;184;162;154;150;121;108;101;97;105;141;110;99;81;84;74;99;108;85;96
Омская область;145;98;95;96;89;90;92;83;83;89;85;84;72;72;70;72;76;72;69
Томская область;68;51;59;69;54;55;47;37;43;47;42;46;42;39;42;40;40;34;34
Дальневосточный    федеральный округ;628;522;436;455;443;375;352;334;412;448;403;353;321;317;311;309;297;288;272
Республика Бурятия;93;81;70;81;68;55;64;61;59;63;49;42;36;37;38;42;44;42;42
Республика Саха (Якутия);55;39;35;47;44;45;47;38;46;44;44;44;40;37;37;37;35;36;35
Забайкальский край;77;82;63;73;66;49;33;47;81;66;59;57;56;56;54;56;58;57;55
Камчатский край;35;31;24;26;21;17;16;18;17;14;13;12;11;11;11;8;8;8;9
Приморский край;140;96;97;90;105;86;82;76;82;104;102;85;73;76;73;73;63;56;56
Хабаровский край ;93;77;52;47;50;43;44;41;65;76;66;50;48;42;44;39;37;36;27
Амурская область;66;54;48;45;50;41;35;26;23;37;30;27;23;26;24;24;25;24;23
Магаданская область;13;13;9;11;9;7;5;6;7;7;6;5;3;3;3;4;4;5;4
Сахалинская область;40;36;27;28;22;24;15;13;22;29;26;23;22;21;18;18;18;16;15
Еврейская автономная область;14;9;9;6;7;7;8;8;8;7;8;8;7;7;7;7;7;7;6
Чукотский автономный округ;4;2;2;2;1;1;1;1;2;2;1;2;1;1;1;1;1;1;1
?????;;;;;;;;;;;;;;;;;;;
1)  До 2017 г. обследование проводилось в отношении лиц 15-72 лет, с января 2017 г. – в возрасте 15 лет и старше.;;;;;;;;;;;;;;;;;;;
