Регионы России. Социально-экономические показатели ;;;;;;;;;;;;;;;;;;;
 ТРУД;;;;;;;;;;;;;;;;;;;
ЗАНЯТОСТЬ И БЕЗРАБОТИЦА;;;;;;;;;;;;;;;;;;;
Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
2. ТРУД;;;;;;;;;;;;;;;;;;;
ЗАНЯТОСТЬ И БЕЗРАБОТИЦА;;;;;;;;;;;;;;;;;;;
2.7. ЧИСЛЕННОСТЬ ЗАРЕГИСТРИРОВАННЫХ БЕЗРАБОТНЫХ1);;;;;;;;;;;;;;;;;;;
" (на конец года; тысяч человек)";;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;1037,0;1122,7;1499,7;1637,6;1920,3;1830,1;1741,9;1553,0;1521,8;2147,4;1589,4;1285,6;1064,7;917,7;883,3;1001,1;894,6;775,5;693,2
Центральный федеральный округ;209,2;209,3;229,7;231,4;244,4;227,2;217,3;179,9;196,7;357,2;256,4;215,5;161,4;140,2;146,3;186,4;162,7;134,0;119,5
Белгородская область;5,3;6,5;8,5;9,8;11,2;10,4;10,7;8,2;10,2;14,0;11,3;10,2;8,1;7,3;7,3;7,4;5,6;5,6;5,6
Брянская область;14,5;12,8;13,4;12,9;12,7;12,2;11,8;8,8;9,2;16,4;11,7;9,9;8,2;7,0;6,7;8,2;7,4;5,6;4,7
Владимирская область;22,5;22,9;19,4;18,7;19,5;17,1;14,6;13,7;17,2;25,2;17,2;14,3;10,4;8,9;8,7;10,7;8,6;8,0;6,4
Воронежская область;15,1;17,0;18,7;26,3;21,0;21,4;24,0;21,0;21,8;28,1;19,8;18,0;13,0;11,1;11,2;12,9;11,9;10,4;10,2
Ивановская область;8,6;8,0;10,5;10,8;13,7;12,7;11,7;11,9;12,9;22,8;16,3;12,9;8,3;5,9;5,7;7,2;6,0;4,2;3,5
Калужская область;4,6;4,9;4,9;4,1;5,3;4,1;4,0;3,5;3,8;7,5;5,5;4,7;3,6;3,3;3,5;3,9;3,7;2,9;2,3
Костромская область;5,0;4,9;5,7;5,1;6,3;5,3;5,1;4,3;4,3;7,1;4,8;4,0;3,0;2,5;2,5;2,6;2,3;2,0;1,9
Курская область;6,6;7,0;10,1;10,0;10,9;9,2;8,2;7,5;7,8;11,0;10,0;8,3;7,0;5,9;6,0;7,0;5,5;4,3;4,0
Липецкая область;4,3;3,9;4,2;4,3;4,8;4,7;4,9;5,0;6,1;6,0;4,7;4,3;3,7;3,5;3,7;4,1;3,3;2,7;2,5
Московская область;36,1;33,5;38,4;36,1;36,9;33,3;28,7;22,4;26,3;59,5;34,6;27,2;20,7;17,7;19,8;29,6;27,3;21,8;18,9
Орловская область;4,0;4,2;6,5;6,9;11,8;7,1;6,3;5,9;6,1;8,2;6,6;5,8;4,6;3,6;3,8;4,8;4,5;3,6;3,3
Рязанская область;5,0;5,2;5,9;6,0;7,1;7,5;7,2;6,5;7,1;10,2;8,5;7,0;5,2;4,7;4,6;4,9;4,7;4,1;4,0
Смоленская область;4,3;4,2;4,7;4,6;5,1;5,4;5,4;4,7;5,0;10,8;8,9;7,4;5,9;5,8;6,7;7,6;7,0;5,9;5,5
Тамбовская область;13,1;14,2;15,5;13,8;13,8;15,1;15,1;10,8;8,2;9,6;8,0;6,8;5,2;4,8;4,5;4,9;4,6;4,0;3,5
Тверская область;5,4;5,7;6,1;5,6;8,5;7,1;6,5;5,3;7,1;15,0;10,5;8,5;7,2;6,6;6,7;8,4;6,9;5,6;4,4
Тульская область;8,5;9,6;9,7;10,8;9,4;8,1;7,3;7,1;8,2;16,5;12,6;11,0;8,2;7,0;7,2;6,8;5,9;4,3;3,7
Ярославская область;10,2;10,1;11,7;12,0;11,4;12,0;11,9;10,7;12,6;29,5;19,2;14,7;11,7;10,1;9,1;11,5;10,7;8,8;7,4
г. Москва;36,1;34,7;35,9;33,6;35,1;34,4;34,0;22,7;22,9;59,9;46,3;40,6;27,6;24,5;28,6;44,0;36,9;30,1;27,9
Северо-Западный федеральный округ;119,2;132,2;145,2;131,9;146,5;131,8;119,4;101,2;105,3;164,8;114,7;90,9;73,6;66,4;65,4;79,5;70,2;63,3;58,5
Республика Карелия;9,8;11,4;11,8;12,1;13,5;13,6;12,6;9,7;9,8;14,1;9,8;8,3;6,7;7,0;6,6;7,8;7,1;6,1;5,9
Республика Коми;15,8;17,5;16,0;15,8;18,3;15,9;13,6;12,6;12,1;16,8;13,1;10,7;8,3;6,8;6,7;7,7;8,1;7,3;6,7
Архангельская область;16,1;17,8;19,8;17,9;20,6;16,3;15,6;15,3;14,5;18,6;15,9;12,2;11,0;9,9;9,6;11,4;10,3;9,2;8,9
в том числе: ;;;;;;;;;;;;;;;;;;;
Ненецкий автономный округ;0,8;0,8;1,0;1,0;1,1;0,9;0,6;0,5;0,6;0,8;0,9;0,7;0,6;0,4;0,3;0,5;0,6;0,6;0,5
