Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 2. ТРУД;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ЗАНЯТОСТЬ И БЕЗРАБОТИЦА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
УРОВЕНЬ БЕЗРАБОТИЦЫ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.9. 1. Уровень безработицы1);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"(по данным выборочных обследований рабочей силы; в среднем за год; в процентах)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Российская Федерация;10,6;9,0;7,9;8,2;7,8;7,1;7,1;6,0;6,2;8,3;7,3;6,5;5,5;5,5;5,2;5,6;5,5;5,2;4,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Центральный федеральный округ;7,8;6,0;5,1;5,1;4,7;4,3;4,0;3,1;3,6;5,8;4,6;4,1;3,1;3,3;3,1;3,5;3,5;3,2;2,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Белгородская область;6,1;6,4;8,1;8,3;6,2;5,9;5,6;4,3;3,9;4,7;5,2;4,3;3,7;4,0;4,0;4,1;4,0;3,9;3,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Брянская область;13,4;9,8;8,6;7,4;8,9;6,8;6,8;6,4;6,5;10,7;8,0;7,1;5,1;5,2;5,0;4,6;4,6;4,4;3,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Владимирская область;12,0;10,2;10,4;10,2;9,1;9,0;10,8;6,7;5,7;8,7;6,1;5,7;4,4;3,8;4,3;5,6;5,6;4,8;4,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Воронежская область;10,1;9,6;8,9;8,3;8,7;7,6;5,4;5,2;5,2;8,6;7,5;6,4;5,5;4,7;4,5;4,5;4,5;4,3;3,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ивановская область;10,4;5,9;6,9;6,5;4,7;6,9;4,2;4,3;5,2;10,8;7,6;6,6;6,3;5,2;4,3;5,6;5,6;4,7;4,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Калужская область;8,8;6,1;6,6;6,1;6,3;5,6;5,6;5,0;4,6;6,1;6,7;5,6;4,3;4,5;4,2;4,3;4,2;4,0;3,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Костромская область;8,8;5,9;5,0;6,1;5,9;4,9;4,9;3,3;4,9;8,2;6,0;5,1;4,8;4,9;4,3;5,3;5,5;5,3;4,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Курская область;10,5;10,5;7,1;8,5;7,5;7,2;7,2;4,9;6,3;8,8;8,2;6,3;5,1;4,6;3,9;4,2;4,3;4,1;4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Липецкая область;8,7;6,4;4,9;4,5;4,3;8,2;4,9;2,7;5,0;5,6;4,5;4,9;3,6;3,7;3,7;4,1;4,0;3,9;3,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Московская область;7,8;5,6;4,4;4,4;3,8;3,2;3,0;2,0;2,7;4,8;3,3;3,7;2,9;2,8;2,7;3,3;3,3;3,2;2,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Орловская область;8,6;7,9;6,7;8,0;6,2;6,3;5,9;5,5;6,0;9,8;8,9;6,3;5,3;5,8;5,1;6,2;6,4;6,5;4,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Рязанская область;9,5;10,9;8,1;8,4;5,8;5,2;4,9;3,7;5,4;9,0;8,4;7,2;4,6;4,7;4,4;4,7;4,4;4,1;4,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Смоленская область;12,3;9,9;11,1;10,8;9,1;7,7;8,1;6,7;7,0;7,8;7,4;7,6;5,7;5,2;5,1;6,2;6,1;5,7;5,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тамбовская область;8,3;12,0;9,5;9,1;9,5;8,6;8,7;9,2;9,1;9,1;7,8;6,6;4,9;4,6;4,3;4,6;4,5;4,4;4,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тверская область;9,1;7,5;4,7;6,6;5,4;5,8;4,5;4,1;5,1;7,7;6,6;6,0;5,0;5,3;5,3;5,6;5,8;4,5;4,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тульская область;10,0;5,3;6,1;5,3;4,7;5,0;2,8;2,6;3,4;6,0;5,8;5,3;4,6;4,2;4,1;4,1;4,1;3,9;3,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ярославская область;7,4;6,7;3,8;5,7;4,6;3,9;2,9;3,4;5,8;7,9;7,5;5,1;3,4;4,5;3,8;5,3;6,7;6,6;5,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
г. Москва;3,9;2,1;1,4;1,3;1,6;0,8;1,6;0,8;0,9;2,8;1,8;1,4;0,8;1,7;1,5;1,8;1,8;1,4;1,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Северо-Западный     федеральный округ;9,6;7,6;6,2;7,0;6,0;5,4;4,9;4,1;5,0;6,9;5,9;5,1;4,0;4,3;4,1;4,7;4,6;4,2;3,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Республика Карелия;11,3;8,6;7,8;8,2;7,3;8,8;3,3;5,9;8,2;9,6;9,3;8,4;7,0;8,2;8,1;8,8;9,2;8,6;8,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Республика Коми;12,0;13,8;9,2;12,2;12,4;11,1;12,1;10,2;7,1;11,4;10,1;8,2;6,4;7,1;6,0;7,0;8,7;7,8;7,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Архангельская область;12,4;8,6;8,1;10,0;7,1;5,5;5,8;5,4;6,8;7,2;6,9;5,9;5,4;6,1;7,2;6,8;7,1;6,4;6,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
в том числе: ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ненецкий автономный округ;11,0;7,0;7,3;8,7;7,3;10,6;5,5;6,5;7,9;9,5;6,5;8,7;6,9;7,1;5,3;7,9;8,5;8,0;8,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Архангельская область     без автономного округа;12,4;8,6;8,1;10,0;7,1;5,3;5,9;5,3;6,8;7,1;7,0;5,8;5,3;6,0;7,3;6,8;7,1;6,4;6,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Вологодская область;8,3;8,9;6,0;4,9;6,4;5,2;5,4;4,0;5,6;7,8;7,8;7,3;5,8;6,1;5,6;6,8;6,6;5,3;5,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Калининградская область;15,6;8,8;7,2;7,5;6,6;6,5;4,4;3,4;8,6;10,9;10,3;9,1;7,4;5,6;5,4;5,7;6,0;5,2;4,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ленинградская область;9,6;7,0;7,0;8,6;6,9;7,2;5,8;3,9;6,0;6,9;5,2;4,3;3,2;4,3;4,5;5,1;4,6;4,6;4,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Мурманская область;13,4;13,1;10,3;10,1;10,9;8,7;6,7;6,3;6,6;7,5;8,6;8,6;7,7;7,2;6,7;7,8;7,7;7,0;6,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Новгородская область;7,6;6,4;6,3;4,9;6,1;5,8;5,5;5,3;4,9;6,1;5,6;4,9;4,1;4,6;3,7;4,6;4,9;4,7;4,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Псковская область;11,7;10,2;8,1;8,2;5,4;6,3;7,2;4,8;6,5;11,0;9,5;9,3;6,6;7,0;6,5;6,9;6,7;6,5;5,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
г. Санкт-Петербург;6,2;4,0;3,4;4,2;2,7;2,2;2,4;2,1;2,0;4,1;2,6;2,0;1,1;1,5;1,4;2,1;1,6;1,6;1,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Южный                федеральный округ;12,9;11,5;9,6;11,4;9,6;8,4;8,2;7,0;6,4;8,6;7,6;7,0;6,2;6,5;6,2;6,7;6,4;6,0;5,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Республика Адыгея;14,3;14,1;13,5;15,5;17,3;13,0;13,9;10,3;7,3;7,7;9,3;8,4;8,1;7,9;8,6;8,8;9,0;8,8;8,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Республика Калмыкия;20,7;18,8;18,0;17,2;22,4;18,0;16,9;14,5;15,8;16,5;14,8;14,2;13,1;12,5;10,9;10,7;10,6;9,9;9,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Республика Крым;;;;;;;;;;;;;;;…;7,2;6,8;6,4;6,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Краснодарский край;12,8;10,9;7,6;10,2;8,7;7,4;7,1;6,6;4,7;7,2;6,7;5,9;5,6;6,1;5,7;6,0;5,8;5,7;5,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Астраханская область;11,5;10,4;10,9;10,0;11,6;12,2;7,9;8,7;7,4;9,9;8,2;8,8;7,9;7,5;7,5;7,5;7,6;7,4;7,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Волгоградская область;9,5;9,5;8,4;11,1;9,3;6,7;8,6;6,3;8,2;10,3;8,0;6,9;6,0;6,6;6,6;7,2;6,8;6,0;5,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ростовская область;15,0;13,1;11,4;12,6;8,7;8,5;8,1;6,7;6,4;8,4;7,7;7,3;6,0;6,0;5,9;6,1;5,8;5,6;5,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
г. Севастополь;;;;;;;;;;;;;;;…;8,3;6,2;4,6;4,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Северо-Кавказский     федеральный округ;20,4;18,7;17,4;17,2;18,8;17,1;22,6;19,2;15,7;16,0;16,5;14,5;13,1;13,0;11,2;11,1;11,0;11,0;10,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
