Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;
20.  ФИНАНСЫ;;;;;;;;;;;;;;;;;;;;
20.10. ВКЛАДЫ (ДЕПОЗИТЫ) ЮРИДИЧЕСКИХ И ФИЗИЧЕСКИХ ЛИЦ В ИНОСТРАННОЙ ВАЛЮТЕ, ПРИВЛЕЧЕННЫЕ КРЕДИТНЫМИ ОРГАНИЗАЦИЯМИ;;;;;;;;;;;;;;;;;;;;
20.10.1. Всего;;;;;;;;;;;;;;;;;;;;
"(исходя из места привлечения средств; на начало года; миллионов рублей)";;;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Российская Федерация;171577;290519;398883;540041;580339;724618;947029;907070;2071918;2854726;3311434;3461689;4100438;4375590;5251939;9570069;13206091;10428669;10180667;11795372
Центральный федеральный округ;114000;171732;242395;350576;388708;505079;691400;686372;1725197;2196577;2483319;2724790;3298872;3493771;4217564;7451298;10015399;7945846;7926840;9209863
Белгородская область;529;896;1310;2200;2359;2457;2949;2831;3167;7489;8959;8664;20941;21100;30017;56832;98304;65263;74434;60188
Брянская область;263;377;611;1054;1211;1354;1637;1437;1548;2693;3483;2844;3678;4528;5073;25379;30977;26355;26180;11685
Владимирская область;346;569;868;1488;1606;1722;2119;1813;2017;4779;6303;6966;9069;8823;10453;14164;25916;22208;22981;21116
Воронежская область;651;996;1703;2897;3040;4114;5321;3620;5599;14752;16603;14494;16290;18445;19917;41363;56879;44474;43851;54550
Ивановская область;126;224;405;699;694;785;902;792;940;3376;4437;4053;4768;5563;6274;14209;20859;19308;18012;15182
Калужская область;433;666;1023;1604;1606;1762;2232;2471;2368;4299;5642;4756;4802;5562;6238;14595;22011;17415;16685;15074
Костромская область;192;288;475;808;779;831;972;787;767;1860;1970;1713;2001;2104;2490;5789;6794;5964;4563;5504
Курская область;357;444;666;1033;1090;1129;1302;1104;1248;2720;2905;2507;3303;4466;4045;13369;33599;9178;9309;22152
Липецкая область;221;371;644;1372;1452;2049;3529;2002;2305;4472;4841;4789;4121;4640;5071;23879;30832;30812;27542;14757
Московская область;3440;5046;8165;13357;16348;17589;23734;21542;22723;66738;65350;53286;54136;70913;92251;164316;299074;218522;197957;234646
Орловская область;166;252;412;695;669;726;831;701;820;1952;2293;1729;2189;2337;2511;4980;6714;5248;5422;8451
Рязанская область;391;614;914;1441;1465;1538;1817;1477;1553;3939;4912;4422;5338;6009;6949;12870;18134;15103;12032;15726
Смоленская область;361;575;936;1485;1743;1818;2060;1927;1772;3523;4384;3492;3793;4230;5110;8883;14241;15517;14998;14257
Тамбовская область;189;311;429;682;673;743;906;829;954;1769;1963;1697;1651;1932;2235;5120;7806;6533;6097;5690
Тверская область;345;442;763;1272;1419;1517;1860;1669;1682;3835;5385;4362;5325;6190;6971;13774;19629;14297;12355;13928
Тульская область;612;984;1541;2395;2553;2558;3180;2628;4339;6574;10014;5847;6818;12023;9379;28070;26340;18150;14640;19230
Ярославская область;525;880;1566;2621;2602;2606;3221;3682;4396;8854;11940;6940;7418;8506;14763;26657;37986;30081;24004;28930
г. Москва;104853;157797;219964;313473;347399;459781;632828;635060;1666997;2052953;2321935;2592229;3143231;3306400;3987817;6977049;9259307;7381420;7395779;8648799
Северо-Западный федеральный округ;12866;23555;31481;47247;55189;70598;87415;86248;122327;252000;300851;306790;328868;358280;438226;702179;1009154;838742;834110;867740
Республика Карелия;172;297;517;936;1049;1137;1400;1221;1294;2777;3296;2857;3005;3293;3795;6903;7914;6701;6838;7800
Республика Коми;616;1072;1469;2257;2121;2019;2001;1641;1669;3863;3874;3308;3809;4772;5204;11098;14372;12708;11685;10005
Архангельская область;283;507;891;1382;1440;1580;1891;1601;1777;4426;5485;4543;5989;6431;9518;13038;16218;14026;11563;17352
в том числе: ;;;;;;;;;;;;;;;;;;;;
Ненецкий автономный округ;-;-;-;6;-;36;71;54;35;119;53;44;42;115;136;287;951;311;292;258
Архангельская область   без автономного округа;283;507;891;1376;1440;1544;1820;1547;1742;4307;5432;4499;5947;6316;9382;12751;15267;13715;11271;17095
Вологодская область;731;3532;1275;2421;3642;6265;3779;4165;8536;11112;7786;13924;13258;17993;11358;23385;39729;51334;121004;42528
Калининградская область;763;1408;2233;3681;4134;4555;6187;6667;6997;11326;14852;15062;16405;18679;17554;31296;48296;37793;33747;47765
Ленинградская область;433;1016;829;973;1014;3164;4017;3464;3346;6231;7559;6696;6855;8641;9556;15022;24129;16181;12396;14695
Мурманская область;609;1219;1989;3116;3179;3538;3956;3046;2872;7763;7919;6869;7082;8690;8512;17235;23827;18752;18630;21596
Новгородская область;265;361;512;836;923;959;1215;968;926;1982;2880;2275;2561;2971;3316;5488;8509;6276;5701;6462
Псковская область;160;211;338;575;673;761;969;887;872;1634;1951;1744;1892;2307;2645;5864;7213;5887;4979;5454
г. Санкт-Петербург;8834;13932;21428;31070;37014;46620;62000;62587;94038;200886;245249;249512;268012;284503;366768;572850;818948;669082;607567;694085
Южный                               федеральный округ;3292;5956;10132;17367;18233;21022;25412;21261;27897;58812;69982;55638;67267;72340;83533;186662;257588;224537;194903;241562
Республика Адыгея;88;134;176;270;240;258;273;210;218;342;427;387;404;445;513;1010;1229;994;809;977
Республика Калмыкия;20;14;36;18;16;80;80;80;116;201;232;211;235;259;264;607;763;637;637;611
Республика Крым;;;;;;;;;;;;;;;…;3913;6257;4558;3495;2921
Краснодарский край;1632;3144;5276;9120;9245;11299;14040;11957;11777;29294;34319;24931;33288;34387;39165;84807;121240;116188;99505;124620
Астраханская область;267;467;648;1040;1100;1197;1266;1080;1188;2569;2834;2453;3206;3340;4239;7357;11109;7737;7033;9577
Волгоградская область;563;967;1671;2672;2974;3468;4021;3297;4902;10742;13350;11179;10748;13601;15503;28997;33570;27025;24009;28059
Ростовская область;722;1230;2325;4247;4658;4720;5732;4637;9696;15664;18820;16477;19386;20308;23849;57224;79885;65323;57861;73284
г. Севастополь;;;;;;;;;;;;;;;…;2747;3535;2076;1554;1512
Северо-Кавказский     федеральный округ;1191;2233;3333;5426;5814;6038;6806;5572;5849;12268;13011;11905;15927;15933;16380;34595;50003;34723;32694;35509
Республика Дагестан;45;59;78;136;136;252;314;337;361;1024;1651;1428;1030;757;967;2239;2807;2518;1942;1862
Республика Ингушетия;2;8;19;0,0;3;37;49;41;43;184;186;128;148;167;206;319;367;268;230;250
Кабардино-Балкарская    Республика;54;79;6;13;25;372;336;321;541;938;1024;1060;1156;1267;1356;2565;3652;2514;2135;2339
Карачаево-Черкесская Республика;26;12;10;20;4;104;106;96;109;300;237;418;2500;2655;398;944;975;622;616;636
Республика Северная Осетия – Алания;61;89;73;125;130;457;556;507;486;832;1038;868;885;990;1016;1860;2363;1871;2017;2271
