Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;
20.  ФИНАНСЫ;;;;;;;;;;;;;;;;;;;;
20.11. ВКЛАДЫ (ДЕПОЗИТЫ) ФИЗИЧЕСКИХ ЛИЦ НА РУБЛЕВЫХ СЧЕТАХ В СБЕРБАНКЕ РОССИИ;;;;;;;;;;;;;;;;;;;;
"(на начало года; миллионов рублей)";;;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Российская Федерация;184157;265996;371583;501603;750297;952957;1224638;1770027;2391621;2571767;3135150;4183518;4924923;5626853;6757880;6442162;7583714;9071156;9841153;10568632
Центральный      федеральный округ;66956;94904;136898;186605;301156;401768;523769;788004;1095941;1146737;1383203;1839079;2143131;2413878;2866223;2742630;3266878;3838119;4175170;4493803
Белгородская область;1894;2639;3729;4997;7397;8723;11727;17274;22945;27200;32220;43004;50369;58600;71018;68474;82917;93390;97261;109592
Брянская область;1186;1618;2183;2924;4316;5356;6713;9455;12054;13538;16859;22921;27397;31513;39486;35208;65172;51404;54789;58899
Владимирская область;1795;2504;3503;4632;6459;8366;11009;16400;21866;23166;28482;36363;40795;44823;52513;50756;56945;69355;75432;80941
Воронежская область;3566;4901;6729;9173;13698;17105;22790;32174;42143;49390;62876;85111;94972;108458;127906;123215;143088;161404;172503;183149
Ивановская область;1273;1735;2342;2968;4156;5272;6978;9751;12754;13800;17425;22463;25766;27514;32359;31467;37776;45854;49657;52895
Калужская область;1158;1629;2286;3217;4985;6616;9027;13080;18082;18952;23242;31068;35856;40115;48056;46701;41401;65332;70706;75538
Костромская область;724;1019;1492;1992;2878;3513;4457;6167;8055;8841;11057;15207;17119;18159;20861;19535;21072;26772;29157;33986
Курская область;1296;1728;2297;3002;4178;4963;6476;8901;11612;13308;16638;22928;26003;30167;36145;34033;39749;45100;48490;52525
Липецкая область;1514;2026;2689;3657;5631;6727;8905;13013;16802;19087;23511;31726;36547;41038;48747;48631;56111;63961;67478;70888
Московская область;10255;14226;19993;27903;42012;56325;75787;114393;161596;183081;226212;296873;345968;392967;464224;461300;563319;663242;712813;763010
Орловская область;1053;1385;1802;2311;3392;4079;5402;7886;10220;11625;14450;18916;20928;25707;29812;28549;34213;38981;42486;45368
Рязанская область;1481;2035;2762;3729;5504;6869;8660;11983;15348;16910;21824;29475;34329;39527;48334;45506;55810;67045;70799;77525
Смоленская область;1011;1454;2085;2920;4545;5932;7690;11204;14835;16055;19755;26043;29747;32641;40127;35686;61205;50015;53268;56998
Тамбовская область;1383;1872;2512;3311;4664;5620;7219;10178;13365;14908;19016;25842;30970;35862;41858;40502;49236;55271;59058;62225
Тверская область;1463;1939;2586;3542;5280;6500;8351;12415;16278;18768;24379;33417;39520;44980;54830;51831;55953;70551;74545;79029
