Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;
20.  ФИНАНСЫ;;;;;;;;;;;;;;;;;;;;
20.14. ЗАДОЛЖЕННОСТЬ ПО КРЕДИТАМ В РУБЛЯХ, ПРЕДОСТАВЛЕННЫМ КРЕДИТНЫМИ ОРГАНИЗАЦИЯМИ ФИЗИЧЕСКИМ ЛИЦАМ1);;;;;;;;;;;;;;;;;;;;
20.14.1. Всего;;;;;;;;;;;;;;;;;;;;
"(исходя из местонахождения заемщиков; на начало года;  миллионов рублей)";;;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Российская Федерация;15434;34148;77802;115764;246092;524812;882870;1577967;2564214;3528065;3167183;3715268;5218033;7474221;9698947;11005284;10366829;10619209;12035737;14752662
Центральный                     федеральный округ;6723;10675;29424;31890;57731;120570;209907;365185;589826;877543;798486;990996;1427876;2054189;2653449;3059606;2889394;3050739;3505114;4356785
Белгородская область;74;271;380;814;1896;4853;8199;13891;21551;29496;25869;29735;45220;66824;88813;99029;91052;90455;102056;123857
Брянская область;25;157;396;758;1826;3997;5621;9035;14146;19510;17143;19226;28904;43258;57401;65388;62169;62621;70863;86620
Владимирская область;69;202;556;964;1747;3551;6472;12203;19972;27039;23764;28473;42537;62014;79498;88526;74218;76966;87010;106735
Воронежская область;103;272;411;805;2028;5667;10263;18419;30141;40854;36037;40959;59288;83852;112662;133008;126465;130468;148816;185082
Ивановская область;33;118;205;369;780;1875;2889;6094;11552;16208;13614;15125;22143;32623;44815;53108;50848;51696;57452;70104
Калужская область;69;175;314;471;1495;3491;4636;7285;12935;19222;17646;21774;33498;49374;67169;76817;73134;76575;89589;112454
Костромская область;26;68;198;314;792;1846;2750;5209;8516;11967;10344;11980;16685;23766;30990;36314;35112;35899;39780;46978
Курская область;37;152;278;761;1849;4261;6373;10395;16185;22352;19725;21829;30439;45061;60906;71125;67097;67610;75137;90253
Липецкая область;64;215;356;594;1252;3287;5781;9737;15427;20600;18213;23773;30012;43057;57964;65676;60145;61682;71164;88097
Московская область;667;1056;2018;3773;9664;20927;37342;66099;115204;168542;167447;215587;323139;468810;594908;744815;736786;760274;892670;1149725
Орловская область;66;88;177;351;738;1752;2975;5162;9058;12591;11020;12162;17650;25904;36567;42434;40610;42414;49037;61006
Рязанская область;92;273;468;630;1798;3819;6031;10397;17653;24100;21469;24251;33027;45989;60981;69392;66687;70470;81409;100834
Смоленская область;27;88;238;351;1245;3505;5517;8757;14140;20602;19402;21930;30198;42912;54033;61779;58487;59720;67157;81055
Тамбовская область;36;147;230;426;986;2183;3748;6366;9406;13126;12099;14299;21839;32749;45600;53546;51172;52915;60373;75926
Тверская область;50;117;228;458;1057;3002;5339;10075;17122;24429;22241;26164;37983;54687;71130;80619;77294;80360;92094;115681
Тульская область;90;228;469;798;1830;4105;6733;12638;21673;32106;29627;34157;47477;66510;85337;98705;94953;98139;113205;141396
Ярославская область;113;302;592;1045;2418;4686;6599;12182;18701;25527;22584;26485;36838;53274;69560;78847;74906;74505;83405;100646
г. Москва;5082;6747;21910;18208;24330;43762;82639;141239;216443;349271;310241;403087;570999;813525;1035115;1140478;1048260;1157970;1323898;1620336
Северо-Западный      федеральный округ;1204;2752;5145;9031;22699;48573;82210;153036;243081;361799;333015;397173;559093;787245;1021001;1172882;1135931;1190590;1388589;1730681
Республика Карелия;47;165;222;291;733;2221;4732;8006;12914;18802;17003;19294;28443;40704;51383;57464;54352;53904;58366;69514
Республика Коми;93;312;673;1322;3057;6205;9122;15011;21629;27245;25162;28259;40215;57909;79530;93338;90157;90875;97691;114294
Архангельская область;73;315;762;1552;3307;6320;9040;14536;22782;31476;29303;33534;48765;69859;89076;100220;96468;99989;112275;134596
в том числе: ;;;;;;;;;;;;;;;;;;;;
Ненецкий автономный округ;-;-;47;126;270;490;708;1258;1861;2615;2670;2668;2519;4472;5132;5577;4845;5481;5634;6944
Архангельская область    без автономного округа;73;315;715;1426;3037;5830;8332;13277;20921;28862;26633;30866;46246;65387;83944;94643;91623;94508;106641;127652
Вологодская область;107;381;807;1367;2928;6038;9036;15820;24886;33103;28957;31679;46469;65467;82367;92474;87669;89572;97944;113379
Калининградская область;147;284;410;507;1374;2285;4082;9046;15267;20640;17985;19669;27685;42066;56593;65778;63356;66044;77616;98749
Ленинградская область;49;117;265;473;1591;3808;6634;11724;20255;29229;27613;37315;56845;84547;113227;132267;133083;143318;174076;225798
Мурманская область;84;274;538;924;1889;4168;7683;11764;16648;22236;20283;24225;35216;53861;69265;78872;77752;77611;85320;102111
Новгородская область;84;195;308;410;815;1812;3366;6297;9223;13044;11488;12552;20070;30473;38781;42904;40897;40625;44706;53671
Псковская область;26;75;166;327;749;1512;2300;4511;7015;9613;8454;9914;15750;24075;32321;36850;36418;36518;40993;49580
г. Санкт-Петербург;494;634;994;1859;6256;14203;26215;56321;92462;156411;146767;180732;239635;318284;408458;472715;455778;492134;599602;768989
Южный                федеральный округ;710;1934;3864;7025;14768;36507;71450;129463;209766;281052;251782;286553;404096;594151;808159;924685;867535;876857;1001975;1238170
Республика Адыгея;24;99;140;220;303;623;1500;2947;4756;6220;5688;6745;10232;14992;22071;25545;23991;26147;29433;35988
Республика Калмыкия;9;20;55;96;274;710;1359;2528;3533;4490;4432;6104;9404;15052;20694;23401;21083;20592;22840;28642
Республика Крым;;;;;;;;;;;;;;;...;1730;6511;10738;16203;29146
Краснодарский край;265;748;1597;2775;4831;12358;26767;48662;78746;106223;95774;106581;153585;230103;322211;370255;346491;342121;397698;493454
Астраханская область;130;235;338;735;1746;3934;6542;10914;17192;21071;18740;21907;29696;43540;61572;70052;66959;67722;74806;88287
Волгоградская область;135;495;898;1420;3297;8405;12707;21896;38526;52970;46581;50259;67056;94512;125811;144664;136811;138653;157423;192578
Ростовская область;147;336;836;1779;4317;10477;22575;42515;67012;90079;80568;94957;134123;195952;255800;288605;263745;267632;298799;362245
г. Севастополь;;;;;;;;;;;;;;;...;433;1944;3251;4774;7829
Северо-Кавказский      федеральный округ;397;969;1612;2605;5515;10889;19939;36925;56144;74076;74432;96170;142240;215539;277601;308197;283450;295512;338062;419649
Республика Дагестан;120;180;205;286;474;651;1002;2578;4548;6493;9033;13788;20004;26475;31055;33559;32259;35946;43349;57004
Республика Ингушетия ;5;7;4;9;12;52;152;382;622;818;1306;2369;3455;4317;4465;4406;3923;4003;4355;5974
Кабардино-Балкарская     Республика;61;156;113;200;412;905;1616;3286;5089;6952;7259;10244;17120;28025;35731;37153;30514;30461;33941;40438
Карачаево-Черкесская      Республика;27;47;114;108;213;410;859;2000;2857;3912;5062;6983;11326;17248;22306;23078;19221;18992;21580;26997
Республика Северная    Осетия – Алания;40;46;83;160;376;967;1567;2932;4405;5514;5398;7628;12134;20520;28973;32589;30909;33473;38533;47221
Чеченская Республика;0,0;0,0;0,0;2;9;8;131;939;1398;1340;1575;2308;4564;9918;14901;17177;15908;17913;22499;28721
Ставропольский край;144;533;1092;1840;4019;7895;14612;24809;37227;49047;44799;52850;73637;109036;140170;160235;150716;154725;173804;213295
Приволжский     федеральный округ;2541;7135;14838;25736;55419;117493;187624;325953;541465;724680;635558;699291;958599;1354671;1786460;2046827;1922877;1976063;2247178;2749268
Республика Башкортостан;408;1065;1605;2271;6112;13871;23359;39650;67373;92581;80268;89351;124570;183293;255193;290857;270987;279734;323693;404246
Республика Марий Эл;13;65;129;309;658;1418;2082;3892;8548;12598;11053;12220;16260;23031;30502;37446;35785;38919;44369;55375
Республика Мордовия;15;121;251;416;809;1791;3348;5821;9850;13872;12748;13865;18678;26619;35071;41327;39966;43041;50271;63109
Республика Татарстан;311;654;1952;3925;8696;16965;24043;43214;73438;97159;83997;90334;129325;186211;245803;278330;259176;270165;309496;391067
Удмуртская Республика;132;462;901;1415;2735;5381;8408;16351;27845;39521;35275;37391;50074;70116;96430;111802;108052;113282;128251;155684
Чувашская Республика;46;157;364;704;1663;3659;5654;11235;21433;27358;23897;25395;33812;48281;64972;77567;76510;81071;93588;115428
Пермский край;307;922;2138;3557;7247;14681;21612;37352;64241;86029;74487;79887;109840;155690;196241;220377;206717;207680;232018;274973
Кировская область;107;345;752;1440;2468;4610;5877;10460;17651;23570;20883;23450;32840;49043;67914;78284;76315;79024;91263;111073
Нижегородская область;370;1141;2249;4002;8338;17116;23632;40691;63732;85264;75757;83065;108662;144523;187964;216033;202591;207211;235791;284638
Оренбургская область;157;678;1549;2586;4554;8394;14347;24997;38477;47832;42272;48075;67413;94985;128146;149084;141555;143267;160163;193452
