Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;
20.  ФИНАНСЫ;;;;;;;;;;;;;;;
20.14. ЗАДОЛЖЕННОСТЬ ПО КРЕДИТАМ В РУБЛЯХ, ПРЕДОСТАВЛЕННЫМ КРЕДИТНЫМИ ОРГАНИЗАЦИЯМИ ФИЗИЧЕСКИМ ЛИЦАМ1);;;;;;;;;;;;;;;
20.14.3. По ипотечным жилищным кредитам;;;;;;;;;;;;;;;
"(исходя из местонахождения заемщиков; на начало года;  миллионов рублей)";;;;;;;;;;;;;;;
;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Российская Федерация;7151;22223;144806;446291;838942;812775;949247;1314331;1874345;2536869;3391888;3851153;4422239;5144935;6376845
Центральный  федеральный округ;1020;3325;23923;79491;179316;177991;222806;337455;508606;696766;951937;1078086;1260034;1488287;1890783
Белгородская область;13;221;735;2254;4946;4433;5083;7747;11932;16462;21764;24529;27908;33282;42066
Брянская область;10;46;496;1465;3366;3352;4037;6304;9946;13879;19036;21953;25089;29229;36534
Владимирская область;36;84;883;2912;5561;4989;5822;8729;12629;17738;23947;26437;30404;35730;44788
Воронежская область;21;135;1455;4655;8772;8320;9814;13799;20492;29787;41818;48796;56813;65598;81880
Ивановская область;4;41;308;1446;2969;2656;2961;4550;6989;10663;15904;18308;20482;23424;28468
Калужская область;8;92;518;1909;4463;4519;5550;8330;13115;19750;27120;30528;35384;42604;53433
Костромская область;6;34;254;954;1855;1801;2247;3316;5390;7798;11283;12341;14019;16255;19927
Курская область;321;49;335;1649;3343;3186;4185;6524;10146;14505;20202;22277;25379;28912;35680
Липецкая область;10;119;405;1903;4039;4131;4725;6430;9627;13298;18033;20391;23553;27764;34410
Московская область;235;887;5812;18287;43549;44001;57538;87192;132428;182478;270466;287887;341467;405216;519370
Орловская область;5;19;202;953;1824;1798;2053;3230;5479;8559;12323;14634;16914;20589;26131
Рязанская область;12;65;860;3259;5808;5599;6707;9094;12688;17337;24096;27364;31767;37487;46609
Смоленская область;19;52;622;2545;5358;5685;6821;8647;12653;16988;22007;24050;26771;30245;35867
Тамбовская область;2;12;139;628;1666;1564;2367;4037;6734;10454;15530;17798;20565;24086;30983
Тверская область;24;114;1205;3795;7053;6992;8630;11950;16832;22085;28777;32018;36152;42089;52741
Тульская область;20;84;769;2989;6846;6626;7711;11107;16646;21779;29236;32971;37764;44141;55323
Ярославская область;37;269;974;3460;6128;5917;6680;9114;12991;17790;24379;27315;30117;34297;41327
г. Москва;237;1002;7951;24428;61771;62423;79875;127355;191889;255416;326016;388491;459485;547339;705245
Северо-Западный      федеральный округ;140;1056;12340;47636;93798;92362;103723;141418;202369;276235;383644;447278;523945;623499;783438
Республика Карелия;20;56;922;2371;4566;4619;5571;6979;10039;13137;17663;19953;21962;23859;28257
Республика Коми;48;115;1344;3181;6705;7203;8382;10637;15455;22065;30706;37874;41766;45776;52909
Архангельская область;11;52;805;3480;7871;8303;10114;14382;20064;26844;35155;40800;45870;51932;61247
в том числе: ;;;;;;;;;;;;;;;
Ненецкий автономный округ;2;27;163;669;1314;1505;1722;1974;2299;2532;2701;2812;2943;3031;3562
Архангельская область    без автономного округа;9;25;643;2811;6557;6797;8392;12408;17765;24312;32454;37988;42927;48901;57685
Вологодская область;23;100;815;3535;7046;7143;8233;11842;17600;24336;31276;35088;39275;42570;47559
Калининградская область;7;84;901;2520;3828;4006;4082;5200;7748;11658;17458;20613;24733;30591;39809
Ленинградская область;2;57;905;3837;8479;8213;9513;14178;21659;29881;42128;50883;61757;77825;101457
Мурманская область;5;28;448;1984;3530;3678;4176;5747;8706;12519;18414;22868;26409;29597;35386
Новгородская область;3;20;247;1228;2318;2522;2973;4315;6689;8950;11803;13354;15393;17402;21280
Псковская область;1;7;203;939;1551;1493;1458;2152;4049;6529;9854;11917;13787;16019;19567
г. Санкт-Петербург;20;537;5750;24561;47904;45180;49221;65986;90360;120316;169187;193928;232992;287927;375966
Южный                федеральный округ;247;1012;8346;30631;56898;54123;60487;82601;118485;166978;234586;258068;301352;362547;463322
Республика Адыгея;2;11;151;531;1058;1031;1245;1712;2231;3018;4339;6813;7502;8547;10597
Республика Калмыкия;1;4;32;190;546;532;809;1484;2487;4008;5837;6867;7706;9330;11976
Республика Крым;;;;;;;;;;;49;421;1611;3704;8606
Краснодарский край;100;376;2900;10497;21318;20594;22633;31284;45855;65051;92549;95199;113603;139076;179317
Астраханская область;14;44;415;1774;3087;3126;3700;5191;8002;12525;17901;20914;23814;27363;32870
Волгоградская область;21;155;1801;7129;12444;11344;12550;15983;22524;30438;40988;46556;52594;61909;76284
Ростовская область;109;422;3047;10510;18445;17495;19550;26947;37386;51938;72914;81172;93956;111194;140453
г. Севастополь;;;;;;;;;;;9;126;566;1424;3219
Северо-Кавказский      федеральный округ;35;277;2123;6714;12490;12701;16076;22290;35585;51081;70827;85372;99117;115807;145332
Республика Дагестан;0,0;6;25;195;557;754;1267;1949;3460;5773;8692;11233;13593;16736;22525
Республика Ингушетия ;0,0;0,0;0,0;2;12;23;30;58;93;155;274;376;640;813;1116
Кабардино-Балкарская     Республика;2;4;279;660;1128;1252;1560;2324;4429;6282;7977;9163;10338;12059;14856
Карачаево-Черкесская      Республика;0,0;1;24;61;222;238;295;598;1367;2707;3993;5182;6056;7045;8702
Республика Северная    Осетия – Алания;0,0;43;280;802;1005;940;1212;1651;2988;4983;7590;9510;11621;13499;16326
