Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;
20.  ФИНАНСЫ;;;;;;;;;;;;;;;;;;;;
"20.15. ЗАДОЛЖЕННОСТЬ ПО КРЕДИТАМ В ИНОСТРАННОЙ ВАЛЮТЕ, ПРЕДОСТАВЛЕННЫМ КРЕДИТНЫМИ
ОРГАНИЗАЦИЯМИ ЮРИДИЧЕСКИМ ЛИЦАМ1) 
";;;;;;;;;;;;;;;;;;;;
"(исходя из местонахождения заемщиков; на начало года;  миллионов рублей)";;;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Российская Федерация;193901;247166;361161;555530;757079;881078;1231470;1433274;1997415;3093666;3303270;3101007;3447223;3437626;4278985;7125803;8995639;6472408;6339358;6467945
Центральный    федеральный округ ;128477;139020;195780;328034;419562;517031;777353;868859;1283681;1921968;1992524;1844392;1972087;1875155;2199430;3584502;4592925;3093860;3118236;3205032
Белгородская область;1759;3191;3643;3289;3388;2789;13919;9556;11158;22575;32802;20046;23651;19806;18061;24595;32325;26605;29573;30813
Брянская область;165;153;82;144;236;1604;2676;1879;1207;393;242;1178;5374;13960;20544;36988;49451;44441;55766;73632
Владимирская область;1347;359;1735;2695;2863;2120;2578;4061;4232;5346;4289;3972;3485;5271;5898;8565;7856;6109;7807;9108
Воронежская область;364;622;862;1484;2594;4150;5109;6404;7659;11192;10563;12832;15554;16619;44895;66749;72873;26064;18802;105821
Ивановская область;21;59;103;160;320;214;293;931;2274;3637;2558;5780;5334;1322;2685;2577;2045;1321;188;211
Калужская область;128;231;573;636;608;841;829;2433;3593;5393;7365;7476;9254;8791;11679;14613;15282;6218;12861;584
Костромская область;29;277;578;674;858;903;1286;1752;1794;2754;2971;2981;1738;2208;4152;10041;12823;8864;6526;6756
Курская область;102;207;647;686;2038;3393;13039;15415;4377;4634;10314;9745;3527;2756;2926;756;737;20129;14497;12849
Липецкая область;1198;43;209;579;1027;1034;2804;7055;2731;6359;3338;3606;3679;4116;3941;8208;26341;7126;2236;1935
Московская область;6984;6641;11230;17371;34707;38731;81044;83474;130143;224004;161909;152646;195059;184604;225110;406460;419639;421207;418919;486494
Орловская область;354;535;3398;4372;2514;6391;7000;5440;9900;6970;15487;5286;2741;2862;1412;1006;2058;2167;2923;3749
Рязанская область;70;229;448;970;432;429;712;1100;1819;6026;7114;7638;5854;4510;1910;4577;5111;3729;3501;3982
Смоленская область;365;676;733;3002;4054;4316;6196;7154;5720;8221;3658;4514;7543;6020;8263;22035;12755;10392;1279;570
Тамбовская область;6;0,0;18;124;372;784;1355;1402;1018;1512;1848;2169;2049;2578;4226;5156;6639;5434;2747;3167
Тверская область;290;408;604;564;578;768;971;1752;2090;3842;4882;4781;6951;7448;7371;14664;18283;8023;5001;8240
Тульская область;1150;2121;1448;4328;4583;2970;3829;6346;6369;12620;16737;30039;36021;30071;35105;55496;37951;31202;28160;21315
Ярославская область;610;530;723;3860;6298;6723;2893;2921;3871;4475;4490;12255;16110;17714;19687;24228;7363;5317;4209;2589
г. Москва;113535;122738;168746;283096;352091;438871;630820;709784;1083726;1592015;1701958;1557448;1628163;1544499;1781565;2877788;3863393;2459512;2503241;2433217
Северо-Западный    федеральный округ;21820;27442;39255;66891;100834;105455;135387;151921;194177;362353;459350;406831;476726;446261;460439;743041;840774;575980;531956;594894
Республика Карелия;421;568;1735;3501;6869;7582;8265;8350;7781;8093;9265;12842;13014;9820;9177;4617;2750;8098;15758;14402
Республика Коми;160;1807;3900;2818;4592;2513;1990;5404;3802;4443;4179;3120;6817;5602;4774;6824;8147;5915;5377;6696
Архангельская область;331;1119;1755;3902;8604;11262;11967;7183;8130;15858;45082;15968;15689;16225;22681;27610;40784;17642;21698;47761
в том числе: ;;;;;;;;;;;;;;;;;;;;
Ненецкий автономный округ;-;-;148;408;143;416;0,0;0,0;0,0;0,0;0,0;0,0;0,0;12;74;0,0;14227;0,0;0,0;0,0
Архангельская область     без автономного округа;331;1119;1607;3494;8461;10846;11967;7183;8130;15858;45082;15968;15689;16213;22607;27610;26558;17642;21698;47761
