Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;
20.  ФИНАНСЫ;;;;;;;;;;;;;;;
20.16.  ЗАДОЛЖЕННОСТЬ ПО КРЕДИТАМ В ИНОСТРАННОЙ ВАЛЮТЕ, ПРЕДОСТАВЛЕННЫМ КРЕДИТНЫМИ ОРГАНИЗАЦИЯМИ ФИЗИЧЕСКИМ ЛИЦАМ1);;;;;;;;;;;;;;;
20.16.3. По ипотечным жилищным кредитам2) ;;;;;;;;;;;;;;;
"(исходя из местонахождения заемщиков; на начало года;  миллионов рублей)";;;;;;;;;;;;;;;
;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Российская Федерация;10622;30608;89093;164931;231387;198114;180126;164651;122859;111990;136491;131084;71231;42529;33564
Центральный    федеральный округ;8099;22486;64071;116931;161624;137997;126468;117589;89649;82472;101021;96931;53485;31266;24975
Белгородская область;25;66;243;393;873;720;627;563;373;309;398;374;171;114;89
Брянская область;11;51;177;332;486;405;302;239;174;183;228;203;101;63;46
Владимирская область;21;129;401;706;974;771;703;618;436;423;531;467;168;95;85
Воронежская область;11;136;338;602;936;771;605;600;453;440;495;499;221;140;62
Ивановская область;13;63;250;328;566;467;402;390;263;176;196;185;84;51;50
Калужская область;44;206;560;872;1155;981;830;774;503;493;664;649;309;200;162
Костромская область;5;32;126;145;270;196;164;129;60;57;53;36;7;1;6
Курская область;8;70;206;408;559;474;419;361;245;222;265;231;71;34;33
Липецкая область;10;33;117;292;505;438;383;331;191;147;151;149;41;38;21
Московская область;1266;4648;14922;26662;40480;34680;34781;32452;23671;22369;27512;25991;14244;8222;5666
Орловская область;13;42;100;211;361;300;276;234;162;171;237;239;82;54;41
Рязанская область;8;97;301;408;622;513;413;328;241;219;308;300;171;114;144
Смоленская область;7;72;283;460;618;500;410;382;266;265;303;258;112;73;54
Тамбовская область;9;44;159;351;464;389;328;269;157;158;208;192;71;46;37
Тверская область;14;126;435;737;1011;790;884;845;423;427;619;629;230;157;90
Тульская область;11;147;455;792;1201;1015;857;755;557;499;576;504;222;165;166
Ярославская область;16;70;286;485;678;487;481;472;316;228;243;235;117;73;65
г. Москва;6607;16454;44712;82747;109865;94100;83603;77847;61158;55686;68034;65789;37063;21627;18156
Северо-Западный     федеральный округ;1152;4139;12827;22463;31287;27535;24581;20660;14920;13364;16068;15655;8944;5589;4188
Республика Карелия;-;21;64;149;303;277;247;223;145;132;159;141;68;41;18
Республика Коми;3;127;215;298;425;346;321;256;156;137;145;115;53;30;21
Архангельская область;12;53;138;360;473;366;349;316;274;234;378;282;118;83;65
в том числе: ;;;;;;;;;;;;;;;
Ненецкий автономный округ;-;0,0;0,0;0,0;2;2;2;2;48;27;42;0,0;0,0;0,0;0,0
Архангельская область     без автономного округа;12;53;138;360;471;364;347;314;226;207;336;282;118;83;65
Вологодская область;2;45;116;318;582;523;503;468;291;231;288;251;146;92;39
Калининградская область;14;152;627;1137;2033;1897;1663;1027;660;654;870;907;537;389;339
Ленинградская область;42;305;1013;1592;2227;2155;2181;1966;1277;1195;1332;1230;719;468;378
Мурманская область;18;87;216;283;440;374;307;292;195;149;180;148;98;79;80
Новгородская область;-;38;178;321;328;255;241;210;156;107;133;112;47;29;26
Псковская область;3;47;108;131;156;128;138;137;95;87;116;101;22;9;9
г. Санкт-Петербург;1058;3264;10152;17874;24320;21214;18631;15765;11671;10438;12467;12368;7135;4370;3214
Южный                                   федеральный округ;118;498;1726;3619;5459;4625;4145;3821;2742;2579;3543;3609;1680;1111;936
Республика Адыгея;2;7;30;79;174;159;152;143;126;116;116;92;25;18;7
Республика Калмыкия;0,0;7;50;122;137;107;103;85;64;79;100;82;30;27;6
Республика Крым;;;;;;;;;;;3;2;61;0,0;0,0
Краснодарский край;54;181;601;1376;1996;1715;1594;1574;1151;1091;1496;1609;732;496;388
Астраханская область;6;28;56;159;253;204;167;163;91;85;134;114;42;31;23
Волгоградская область;25;130;426;652;959;780;635;579;417;410;527;510;158;80;57
Ростовская область;31;145;563;1231;1940;1660;1494;1277;893;798;1167;1200;633;460;455
г. Севастополь;;;;;;;;;;;0,0;0,0;0,0;0,0;0,0
