Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
20. ФИНАНСЫ;;;;;;;;;;;;;;;;;;;
20.17. ОТДЕЛЬНЫЕ ПОКАЗАТЕЛИ ДЕЯТЕЛЬНОСТИ СТРАХОВЩИКОВ1);;;;;;;;;;;;;;;;;;;
20.17.2.  Выплаты по договорам страхования;;;;;;;;;;;;;;;;;;;
(миллионов рублей);;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;138566,0;201002,7;232530,4;292346,4;293562,8;308484,4;356934,3;486597,2;633233,6;739908,1;774830,6;902205,7;376601,8;419850,7;473469,1;513954,7;514070,3;513205,4;523992,9
Центральный   федеральный округ;110107,6;164129,9;181399,7;208259,9;205963,7;199662,3;227496,8;307759,3;435163,2;527689,7;582914,3;675734,9;335399,6;379744,1;429358,1;467825,4;472327,7;469383,8;480152,5
Белгородская область;11,2;13,8;19,4;4,5;3,2;-;-;-;-;103,5;439,1;-;-;-;21,1;-;-;-;-
Брянская область;8,5;59,4;540,6;916,2;1018,9;1,2;1,3;-;-;-;-;-;-;-;-;-;-;-;-
Владимирская область;375,9;598,3;965,6;1341,5;2319,8;2536,0;2292,0;2539,0;2868,4;3395,7;115,6;139,2;140,5;163,0;262,4;489,6;758,5;1321,8;1293,3
Воронежская область;464,6;825,0;1438,2;1612,2;1277,5;2456,3;2462,4;2949,0;4838,3;4776,3;3624,7;4440,2;106,8;98,4;120,5;179,2;338,1;391,3;273,1
Ивановская область;315,7;420,1;276,7;62,3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Калужская область;13,4;11,1;16,1;-;24,4;22,5;63,7;59,7;16,3;12,3;2,1;4,7;-;-;-;-;-;-;-
Костромская область;13,0;17,1;22,7;-;-;-;-;-;-;10,2;5,5;1,0;0,2;0,2;-;-;-;-;-
Курская область;14,6;22,2;584,9;787,4;951,3;117,2;671,3;811,1;1079,0;1276,9;1262,9;1310,2;71,5;70,4;60,2;54,1;52,1;37,9;33,2
Липецкая область;292,8;384,5;975,2;1106,8;1436,1;1910,8;2450,7;3080,8;3411,9;3266,4;3650,7;4304,6;132,6;156,5;208,7;163,5;36,3;-;-
Московская область;5716,6;19652,0;15273,8;14032,9;16955,9;16725,0;12858,9;21851,5;28184,1;33799,4;63329,5;78358,7;44326,7;49938,5;59019,3;85585;98677,7;79781,4;39237,4
Орловская область;25,9;21,4;11,0;6,4;0,4;52,3;54,8;61,6;67,4;26,4;17,8;229,6;765,5;573,7;505;277,9;-;-;-
Рязанская область;266,2;364,9;577,8;583,2;499,5;527,1;568,7;497,3;219,2;250,7;356,1;420,0;314,3;443,0;758,5;1442,2;2343,9;2822,4;313,8
Смоленская область;5,1;8,8;14,3;-;-;-;-;-;-;-;-;-;-;62,6;129;337,7;482;769,8;825,9
Тамбовская область;136,1;144,8;352,7;137,6;322,7;499,8;580,6;700,3;894,1;240,7;-;-;-;-;-;-;-;-;-
Тверская область;98,0;118,4;154,2;191,6;150,4;263,7;312,7;104,1;23,1;24,7;9,7;-;-;-;-;-;-;-;-
Тульская область;296,6;544,0;930,6;1292,8;1615,2;1376,1;1147,2;1553,0;2216,5;2379,6;3219,3;4066,7;0,0;0,0;1,5;2,5;1,2;-;-
Ярославская область;650,4;700,3;2176,8;4475,5;3573,0;1599,2;1760,1;1294,1;1282,2;1710,8;1678,2;2224,2;89,8;147,0;352;368;9,8;-;-
