Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
20.  ФИНАНСЫ;;;;;;;;;;;;;;;;;;;
20.2. РАСХОДЫ КОНСОЛИДИРОВАННЫХ БЮДЖЕТОВ СУБЪЕКТОВ РОССИЙСКОЙ ФЕДЕРАЦИИ ;;;;;;;;;;;;;;;;;;;
 (миллионов рублей);;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация, млрд руб.;1032,1;1330,2;1687,2;1984,3;2373,0;2941,2;3657,7;4790,5;6253,1;6255,7;6636,9;7679,1;8343,2;8806,6;9353,3;9479,8;9936,4;10810,1;11882,2
Центральный     федеральный округ;;;;;;;;;;;;;;;;;;;
Белгородская область;5203,9;7562,8;10560,2;11759,5;15820,8;25783,9;31098,5;42366,5;59063,8;60848,2;65105,7;83780,3;82653,3;87248,5;79199,5;83670,0;85180,6;95658,4;105796,6
Брянская область;4152,3;5952,8;8419,9;9740,7;11670,5;14105,8;17786,2;23011,1;28192,4;31121,1;33803,9;38633,2;44095,1;48678,5;47731,6;52847,1;57338,3;59857,3;64162,5
Владимирская область;4626,4;7317,6;10078,9;11966,9;13327,2;15413,1;21023,1;29327,0;36815,8;40359,2;45006,1;45900,8;50480,7;54385,0;55433,2;57072,8;60359,6;64277,8;70882,8
Воронежская область;6598,7;9851,1;15624,7;17800,8;20627,8;24463,6;30041,8;40754,3;54763,2;61507,9;72948,6;79522,7;89176,6;100209,5;106685,4;105084,7;104595,4;108403,9;123568,4
Ивановская область;3321,1;5696,2;8067,2;9079,4;10476,7;13140,4;17474,3;21959,4;25382,7;29753,0;30752,9;33620,5;36408,5;39604,1;40818,2;40014,8;38486,9;39831,5;43861,4
Калужская область;5168,3;6684,5;8769,5;10574,5;12635,8;14953,7;18800,0;25911,0;31981,1;33099,0;40793,7;47831,6;53471,5;55420,4;58053,6;62279,7;62966,4;67933,5;73733,6
Костромская область;2637,3;3735,4;5783,0;7397,5;7583,1;8959,6;10910,8;14467,6;17335,7;21342,2;23075,7;23567,6;24751,2;27486,5;29114,5;28525,4;30946,8;31554,2;34675,9
Курская область;4331,3;5374,2;7486,6;8600,3;11483,1;14744,7;16398,8;21729,9;29330,3;31718,2;35297,7;44058,1;46043,6;49355,2;51888,9;51840,1;54858,7;59647,9;64834,3
Липецкая область;7602,5;8189,2;9812,6;14051,2;18642,9;24550,6;27287,4;32315,8;38620,4;39315,7;39948,4;44704,2;47298,7;51252,8;53994,8;58906,4;62152,1;63423,4;69357,8
Московская область;32872,8;51883,6;64188,8;82804,3;103127,2;140922,8;181416,7;256130,6;316413,8;327024,2;312927,5;342532,0;393216,0;443643,6;496445,0;532239,4;543726,4;619658,0;703478,1
Орловская область;4426,6;5916,3;6109,3;7405,4;8675,9;9783,1;10930,4;13473,8;18903,8;20464,5;22976,4;25846,4;31392,9;33718,3;33965,6;34762,9;35874,6;37156,9;39145,2
Рязанская область;3878,3;5941,3;9481,8;11402,6;11896,1;14825,1;18051,4;23639,3;30674,5;35250,8;39300,2;44689,4;49666,3;53072,3;50082,1;51614,2;52361,9;55175,5;62026,5
Смоленская область;3832,0;5551,7;7296,5;7853,5;9393,7;10892,1;13292,7;17065,4;23589,3;26408,6;31843,0;38527,3;41571,0;44122,3;41293,8;45519,0;45224,2;45078,1;47045,6
Тамбовская область;3272,4;4887,5;7281,7;8516,6;9844,3;12612,2;14907,4;20506,9;26289,5;30260,0;33273,4;38311,4;42451,1;49045,8;49947,1;52110,5;53927,5;51282,2;53401,0
Тверская область;5502,7;7701,7;10776,2;11739,6;14501,8;18903,5;24110,8;32523,3;39643,5;49485,7;50876,0;54760,4;58711,5;61328,1;61432,2;62559,3;60481,9;66077,9;66686,8
Тульская область;5772,6;8610,0;12723,1;15020,1;16379,9;20495,7;25183,0;31880,4;41588,8;43417,7;51693,8;46961,9;59703,4;68223,2;78146,6;76212,2;80261,5;87648,8;89149,7
Ярославская область;6719,2;9427,3;13751,7;16449,6;19320,3;23505,7;28337,6;36095,0;44442,2;52253,1;56066,7;56196,0;64547,7;70481,9;74155,9;69160,5;70591,8;73310,6;80841,6
г. Москва;173216,9;228744,0;303929,2;356061,5;407855,1;503760,2;691329,8;929750,0;1317739,7;1156394,5;1107593,9;1400528,4;1540426,0;1534246,0;1607227,7;1529126,5;1746049,4;2105168,0;2325318,1
Северо-Западный      федеральный округ;;;;;;;;;;;;;;;;;;;
Республика Карелия;5298,2;6279,8;8446,7;9857,6;10917,0;13536,1;16646,3;19775,9;27402,0;29162,1;32339,6;36094,0;35395,1;36462,7;37834,6;38578,9;41940,9;43592,7;50243,3
Республика Коми;10195,6;12823,0;17211,6;17282,6;20448,8;23506,5;29394,8;33807,2;44346,5;46415,1;48564,3;59331,1;69020,4;74619,0;76682,5;76084,9;78123,7;79849,0;85530,6
Архангельская область;6517,1;9866,0;12685,7;15793,0;17982,2;22230,8;27129,0;36611,2;55790,5;55688,7;61188,8;68418,8;70906,1;79129,5;82797,8;81203,5;81717,5;84354,1;89932,2
Вологодская область;9227,7;11428,9;12998,4;16748,6;21287,8;28099,3;32161,5;39546,1;50562,5;46583,9;53031,9;58351,9;57903,4;58007,9;60665,7;60013,6;62535,4;65195,2;74586,0
Калининградская область;4441,0;5430,5;7936,5;9712,3;11442,7;15166,8;20906,5;26889,9;36334,8;39391,4;41507,4;48614,7;50076,8;53767,9;61857,1;70230,2;88326,4;113886,2;123973,2
Ленинградская область;8804,6;12366,6;15963,1;18970,5;23462,4;29285,1;34603,1;44556,9;62291,2;66890,9;69146,5;80124,4;89926,0;99638,5;108967,0;120803,5;133820,4;142545,9;154142,6
Мурманская область;6673,2;8089,6;12264,5;13679,6;15976,9;17237,8;28997,0;38506,7;47391,5;48877,7;49608,5;55817,8;58975,4;63061,2;67452,7;68026,9;70141,2;73328,1;82308,7
Новгородская область;3267,7;4144,9;4943,1;6357,3;7476,1;10581,0;12343,3;14624,0;22827,4;25311,3;26630,3;28101,0;33070,4;33955,7;32692,0;31268,5;33350,0;34996,4;37004,6
Псковская область;3390,6;4526,6;6120,3;7571,7;8307,7;8635,4;10069,2;13563,4;17587,6;20571,1;23215,9;28302,2;30373,5;32947,7;32439,6;28986,0;31693,5;32873,4;36160,3
г. Санкт-Петербург;36228,3;49519,4;65552,4;78329,7;94043,5;136264,4;186136,8;262446,1;359778,4;326190,4;362863,1;409315,5;382262,5;400340,4;448180,5;439743,8;505195,5;565117,7;579700,7
Ненецкий автономный округ;1911,7;2750,4;2442,8;2984,5;3715,7;5349,3;6613,4;10384,5;9810,3;10092,7;11029,8;11475,6;14739,5;16975,7;19749,8;20656,0;17921,6;19247,2;21423,7
Южный                федеральный округ;;;;;;;;;;;;;;;;;;;
Республика Адыгея;1482,5;2221,7;3747,9;4001,2;3866,2;4626,7;5545,5;7942,2;10008,5;13346,7;13046,4;13836,3;15448,4;16946,5;16908,7;18157,6;17675,4;19764,8;23281,5
Республика Калмыкия;1246,3;1834,3;2778,2;3869,4;4767,6;4338,9;4645,6;6681,1;8430,3;10076,3;9382,4;9741,3;10106,3;11773,6;11339,0;12363,6;12196,4;13513,7;15294,1
Республика Крым;;;;;;;;;;;;;;;113884,0;100178,0;131317,8;161718,1;175470,5
Краснодарский край;16718,4;25246,6;40181,7;44914,6;53764,1;60032,7;75884,5;104550,4;144164,5;154417,8;182546,0;226523,1;278608,3;269986,6;259759,1;253977,1;260865,8;279425,2;300332,7
Астраханская область;3811,4;4821,9;7059,0;8693,8;9327,1;12529,3;16868,7;27848,9;36369,4;33375,6;31074,1;35134,4;36362,1;42401,8;45138,7;42152,7;40457,8;41910,3;48789,9
Волгоградская область;10260,0;12225,5;16364,5;20215,3;24041,4;30044,8;40542,8;53866,3;70518,3;74512,8;78240,5;86319,8;93281,8;92735,4;104195,7;107519,0;108067,2;109226,0;119090,3
Ростовская область;12428,4;20034,3;26567,6;30218,8;35346,6;46328,1;58120,9;81427,8;100775,1;117398,8;125447,1;137693,0;152423,0;164547,7;176458,3;185397,2;186359,2;190689,2;209418,5
г. Севастополь;;;;;;;;;;;;;;;23726,0;18388,2;25334,2;33549,5;35713,5
Северо-Кавказский    федеральный округ;;;;;;;;;;;;;;;;;;;
Республика Дагестан;8482,3;11481,6;15972,3;17170,5;19564,3;23053,5;26554,6;38165,7;49651,5;67631,0;64058,5;75070,6;81105,7;89420,0;92469,3;94698,6;96253,1;103582,3;107949,5
Республика Ингушетия;2113,9;2425,7;4741,4;4097,7;4188,8;5633,4;6425,0;8909,2;8895,3;15219,5;17301,8;17027,5;20661,5;24064,2;24302,8;26565,9;27795,4;22883,4;24513,6
Кабардино-Балкарская Республика;3671,6;4760,9;6570,0;5743,6;6466,3;8959,3;10561,6;14566,3;19258,8;22321,4;23198,8;25091,4;24963,2;27674,3;30098,3;32637,0;34117,4;32087,4;34130,7
Карачаево-Черкесская Республика;1213,6;1975,2;3425,2;3584,7;4630,1;5260,8;6325,8;8411,3;10175,3;12697,9;14832,1;15940,4;20607,3;20626,6;20782,2;23234,2;21895,9;23992,1;26439,1
Республика Северная Осетия – Алания;2582,3;4548,6;5854,5;6354,1;8092,0;10238,3;11316,8;15043,5;19785,2;19642,5;19789,6;21228,8;21905,5;26321,9;27051,8;25698,2;26181,4;28119,5;32577,2
Чеченская Республика1);5,4;2742,1;6683,3;10187,4;24668,5;15357,2;27376,1;60600,6;64884,8;74055,9;65720,2;80791,8;77531,9;65694,7;71758,9;74419,5;71247,8;77116,6;80510,8
Ставропольский край;7199,5;10771,8;18320,7;18953,4;22896,6;29289,2;34486,2;45849,6;61068,7;72222,5;72443,9;83991,1;91580,0;99599,3;98940,2;103516,9;103763,8;113502,6;120240,4
Приволжский     федеральный округ;;;;;;;;;;;;;;;;;;;
Республика Башкортостан;41342,4;36324,5;38057,1;48106,9;48252,3;55848,1;74930,1;91880,1;107408,7;117458,8;122253,4;140653,7;155137,5;171493,5;179568,4;179677,8;185071,7;189307,0;215269,3
Республика Марий Эл;2007,9;3244,1;4897,7;5506,2;7356,9;8197,0;10607,0;13720,6;16714,1;17670,9;20660,9;22853,7;24526,5;26701,9;28459,0;29843,8;27631,2;30548,2;30481,7
Республика Мордовия;4574,8;6631,1;9319,9;12127,9;19447,9;19855,3;16236,2;19694,9;26597,8;28240,3;38323,9;41600,5;43810,8;40727,5;45626,3;46907,2;46445,8;49915,4;48196,3
Республика Татарстан;58250,3;55320,4;54881,3;58317,1;79373,9;87822,9;86262,0;108517,8;146268,5;152731,5;193850,1;206824,1;214307,1;209554,5;234626,1;248936,7;261510,4;274013,7;319388,5
Удмуртская Республика;8963,3;11695,2;14757,3;15883,2;18281,8;21736,6;26433,3;35366,5;43223,1;44817,9;49408,2;54231,0;64959,0;70039,9;77156,6;74335,4;81509,8;78317,0;83726,4
Чувашская Республика;3962,9;6227,0;9205,6;11482,6;13165,8;15679,4;19670,7;29140,1;35980,6;34600,6;35126,4;37065,1;42221,8;44457,0;47741,3;47271,8;47131,3;51997,8;55807,7
Пермский край;20859,8;25745,9;27604,4;30900,3;38851,1;46527,3;57583,2;77587,6;95108,6;100149,1;104872,2;108196,0;118430,0;129524,8;132971,7;132909,4;133694,1;144834,1;153370,9
Кировская область;5198,1;7613,7;10498,4;12796,8;15091,7;18255,6;21980,2;28670,0;35603,5;42016,7;47446,7;49787,6;52551,3;57149,5;57888,3;58688,9;57766,5;58347,7;62707,3
Нижегородская область;12942,4;18697,6;24353,8;28128,5;33506,5;41448,5;54277,1;78955,6;108220,0;112171,2;119241,4;132119,3;142939,6;150031,9;160996,0;163884,7;168849,4;178839,5;186203,2
Оренбургская область;14149,1;12115,9;15819,8;18279,6;22362,8;29407,3;35582,3;47016,6;65849,7;64265,6;73183,8;78709,2;82859,7;89596,1;92993,5;96594,0;91589,0;92813,8;96608,3
