Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
20.  ФИНАНСЫ;;;;;;;;;;;;;;;;;;;
 20.4. ИСПОЛНЕНИЕ БЮДЖЕТА ПЕНСИОННОГО  ФОНДА РОССИЙСКОЙ ФЕДЕРАЦИИ;;;;;;;;;;;;;;;;;;;
20.4.2. Расходование;;;;;;;;;;;;;;;;;;;
(миллионов рублей);;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация1);341056,2;514837,3;789621,1;804076,4;967539,7;1299113,3;1537257,1;1786457,0;2357792,7;3008659,9;4249234,6;4922109,0;5451218,7;6378548,7;6190127,8;7670269,6;7829671,7;8319454,7;8428691,8
Центральный     федеральный округ;93517,7;139226,4;192347,3;223658,7;268625,1;364693,9;429166,0;494133,2;646956,4;816800,6;1132653,8;1253494,1;1383083,6;1584044,2;1668316,0;1882633,5;1974271,1;2118851,7;2172743,9
Белгородская область;3781,3;5556,7;7577,8;9069,5;10741,3;15650,6;19150,2;21924,2;28610,5;36425,1;49966,7;55600,2;61602,9;70386,3;73935,8;82644,7;88601,9;93023,6;97291,2
Брянская область;3956,2;5901,0;7697,8;8939,1;10506,2;15036,4;17379,6;19607,2;25492,9;31500,7;42739,9;47002,3;51864,6;58518,5;59737,8;67620,1;70677,4;75659,4;76644,7
Владимирская область;4155,8;6287,1;8377,3;9627,1;11683,5;14948,8;17702,1;20116,8;26452,2;33885,1;46949,1;51899,2;57196,2;63500,6;67825,6;74194,3;79799,3;82767,3;84064,9
Воронежская область;6332,2;9243,9;12527,0;14742,5;17580,5;24423,4;28770,8;32721,4;43246,7;52844,0;73331,1;80004,9;88460,7;99887,9;104067,5;114851,0;121085,7;131200,5;133692,4
Ивановская область;3204,1;4821,6;6257,2;7158,9;8200,3;10724,7;12595,0;14146,8;18905,5;23277,2;33017,6;36240,8;39108,2;45957,3;47020,9;52538,0;53280,7;57690,9;59307,2
Калужская область;2727,9;3930,9;5317,4;6304,6;7400,0;10296,9;11963,0;13678,2;17831,6;22184,9;31105,9;34141,8;38307,0;44634,5;44157,4;52023,9;54930,8;58413,0;59532,8
Костромская область;1956,8;2952,6;3806,3;4532,9;5301,4;7093,9;8359,5;9444,3;12256,7;15321,2;21287,5;23982,4;25693,5;29571,8;30611,9;33479,2;35856,7;37832,5;39120,9
Курская область;3132,3;4663,6;6236,9;7333,2;8585,4;11898,2;13943,2;15777,4;21242,5;26153,1;36673,1;40427,6;44543,0;51386,1;52970,9;59335,4;62794,5;67866,9;69800,9
Липецкая область;3103,9;4474,9;6146,4;7290,2;8765,1;11770,1;13965,6;16114,7;21497,8;26964,3;37999,9;41883,5;45260,7;53316,7;55370,2;59598,0;64817,7;68976,9;69691,0
Московская область2);16020,4;23462,9;33083,1;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…
Орловская область;2351,0;3595,5;4603,3;5483,7;6478,6;9488,1;11228,7;12598,6;16485,1;20383,4;27743,9;30907,6;34091,9;38531,2;39122,2;44694,8;46615,3;49657,0;50092,3
Рязанская область;3509,3;5163,1;6973,8;8045,8;9516,0;13070,6;15081,9;17531,8;23237,3;29343,0;39587,8;43512,1;47980,6;53175,7;56525,8;62901,9;63759,8;68496,8;72616,6
Смоленская область;2805,8;4113,5;5428,8;6352,7;7393,1;10141,2;11919,2;13488,5;17310,4;21766,7;30231,1;33227,5;36464,2;42026,0;42519,1;48173,7;51085,9;53492,1;53969,9
Тамбовская область;3172,4;4825,9;6267,7;7228,6;8466,9;11845,7;14034,5;15866,3;20333,6;24986,7;34201,6;38484,9;41143,7;45282,7;47702,3;53466,4;55711,1;59034,0;59454,6
Тверская область;4239,5;6252,2;8223,3;9465,2;10837,8;14314,9;16793,9;19061,9;24701,3;31212,6;43557,2;47623,5;51712,6;60189,0;61352,2;69158,9;70302,0;76206,0;76922,0
Тульская область;5287,6;7786,8;10357,2;12058,4;14086,2;20045,2;23517,0;26901,9;34103,0;42737,8;58634,9;63814,9;70394,2;80502,7;80878,1;89836,9;97118,1;99084,3;103953,7
Ярославская область;3755,9;5522,1;7406,5;8734,5;10071,5;13240,2;16003,1;17985,6;23583,7;29306,9;41967,4;46602,5;51197,2;59019,4;60135,9;65567,8;70934,8;75169,5;78744,6
г. Москва2);20025,4;30672,2;46059,4;91291,7;113011,1;150705,0;176758,8;207167,5;271665,7;348508,1;483659,1;538138,4;598062,3;688157,9;744382,4;852548,4;886899,8;964281,1;987844,2
Северо-Западный      федеральный округ;36195,4;55072,2;73429,1;87454,4;106981,0;148692,2;175539,4;204014,8;271879,6;339526,8;469111,2;516070,8;574703,1;668121,5;666671,4;774726,2;811517,0;863407,8;878522,3
Республика Карелия;2112,4;3152,9;4394,7;5248,4;6628,0;8814,7;10443,5;12033,3;16430,7;20837,1;28658,3;31767,1;35509,5;41215,8;40810,2;47609,2;49522,9;52290,4;53059,9
Республика Коми;2868,2;4012,9;5666,5;6708,6;8511,7;11252,7;13165,7;15266,6;21190,9;26467,1;36591,8;40656,4;45503,2;53769,9;52194,3;61423,8;63722,1;67048,5;69388,7
Архангельская область;3994,2;5988,5;8085,1;9781,6;12393,1;15994,7;18778,5;21742,4;29836,8;37585,7;51884,7;57858,6;64680,8;73053,8;75096,0;85796,8;88501,8;93872,2;94714,8
в том числе: ;;;;;;;;;;;;;;;;;;;
Ненецкий автономный округ;109,9;155,6;244,0;296,0;405,6;522,1;618,6;751,0;1011,0;1347,5;1836,7;2076,5;2375,3;2798,3;2816,7;3354,7;3547,6;3735,0;3865,5
Архангельская область     без автономного округа;3884,3;5832,9;7841,1;9485,6;11987,5;15472,6;18159,9;20991,4;28825,8;36238,2;50048,0;55782,1;62305,5;70255,5;72279,3;82442,0;84954,3;90137,2;90849,3
Вологодская область;3434,4;4904,8;6519,2;7713,8;9076,3;12071,8;14050,1;16047,9;21149,1;26974,8;38059,6;42306,4;47321,3;54788,7;56983,6;62740,8;66615,8;71948,5;74119,2
Калининградская область;1806,0;2748,9;3747,0;4404,4;5322,6;7561,1;8845,1;10132,3;13712,3;17115,6;24314,8;27185,2;30358,3;36220,3;35990,8;42702,3;45770,9;49306,5;50203,6
Ленинградская область3);…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…
Мурманская область;2452,7;3523,3;5202,4;6040,6;7967,1;10191,9;11864,7;13796,4;18840,5;23530,1;32544,8;36026,3;39950,6;46976,9;45416,8;53861,1;55408,5;58175,4;58574,1
Новгородская область;1837,8;2915,4;3808,5;4478,0;5172,4;7387,1;8596,5;9795,3;12629,3;15501,4;21360,6;23562,9;25953,8;29608,5;29446,3;33752,9;35674,9;37841,3;38270,5
Псковская область;2090,4;3179,2;4026,0;4703,9;5505,9;7490,9;8880,9;9910,8;12701,0;15397,0;21570,6;23815,7;25829,1;29755,9;30246,2;33528,2;35632,2;37893,3;38934,3
