Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
20.  ФИНАНСЫ;;;;;;;;;;;;;;;;;;;
20.5. ИСПОЛНЕНИЕ БЮДЖЕТА ФОНДА СОЦИАЛЬНОГО СТРАХОВАНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ;;;;;;;;;;;;;;;;;;;
20.5.1.  Поступление;;;;;;;;;;;;;;;;;;;
(миллионов рублей);;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация1);86580,5;89017,9;116392,9;137249,8;159276,5;186692,0;218913,1;295368,3;360476,3;440045,7;463776,7;558594,7;630783,5;603499,3;569825,5;541282,2;616414,5;691825,3;663791,1
Центральный    федеральный округ;25027,2;25830,8;35103,5;33985,7;46537,6;57727,0;59865,3;77954,6;99010,8;100188,9;117828,3;132263,7;149313,3;163368,0;181308,8;190570,7;200164,7;219794,4;232222,9
Белгородская область;815,2;910,0;1265,5;1380,8;1332,8;1748,5;1650,4;2049,6;2606,8;2536,6;2852,1;3511,3;3790,5;4165,7;4470,7;4614,4;5043,6;5421,9;5915,8
Брянская область;521,5;626,0;1011,0;1073,2;889,6;1454,0;992,8;1183,4;1436,0;1371,1;1452,6;1708,6;1887,0;2135,0;2341,8;2441,2;2267,3;2660,4;2905,0
Владимирская область2);709,6;828,7;1172,0;1201,7;1317,3;1483,8;1396,7;1768,1;2231,3;2189,0;2373,3;2878,4;2885,9;3166,9;3449,4;3591,9;3854,1;4094,8;4375,3
Воронежская область;819,4;942,5;1305,6;1489,2;1662,2;1960,9;1872,4;2394,7;3062,2;3206,1;3752,4;4553,7;5015,9;5728,1;6124,4;6563,4;6857,5;7315,5;7637,3
Ивановская область;499,8;590,3;744,2;874,0;694,4;1041,1;748,5;915,3;1107,8;1051,1;1181,7;1565,4;1403,6;1603,1;1667,1;1679,0;1711,6;2004,5;1883,7
Калужская область;484,6;519,9;709,7;870,2;961,2;1183,4;1121,1;1425,0;1840,3;1833,3;2067,5;2599,2;2885,3;3203,1;3486,7;3691,2;3402,7;3921,1;4415,1
Костромская область;304,0;358,8;511,9;569,1;556,5;698,0;622,6;733,4;888,7;851,6;907,7;1229,2;1192,0;1303,8;1445,7;1471,1;1610,9;2101,1;1465,3
Курская область;495,1;544,3;791,7;862,8;897,6;1211,4;964,3;1203,7;1486,4;1449,8;1632,7;1999,4;2137,9;2383,8;2587,3;2728,6;2922,6;3103,6;3080,7
Липецкая область;666,4;699,9;940,8;1097,1;1099,0;1481,3;1398,4;1718,7;2096,3;1953,4;2194,5;2629,6;2780,2;3027,4;3188,5;3291,2;3207,2;3610,9;4008,7
Московская область2);3622,7;3973,0;5487,5;6008,0;7505,7;9141,6;9685,1;12806,0;16413,5;16674,1;19940,4;21514,4;23907,3;26035,3;29341,9;31315,8;32539,5;37065,1;38860,6
Орловская область;370,0;412,5;540,0;607,3;656,9;831,3;726,2;878,7;1108,8;1058,7;1207,5;1372,3;1415,2;1513,5;1661,9;1743,8;1768,5;1702,6;1980,2
Рязанская область;503,9;540,0;751,5;870,7;968,9;1116,8;1143,9;1380,2;1742,2;1633,6;1878,8;2204,2;2334,6;2564,5;2754,1;2921,0;3091,3;3332,9;3702,6
Смоленская область;528,6;632,4;839,6;981,0;858,9;1200,0;953,7;1157,1;1433,2;1458,3;1588,9;1922,0;2002,4;2118,8;2256,1;2274,2;2368,3;2529,1;2731,8
Тамбовская область;365,6;436,7;605,7;679,3;666,1;989,6;734,8;912,7;1109,5;1107,2;1214,5;1446,5;1404,1;1711,4;1890,6;1997,4;2133,0;2224,1;2424,7
Тверская область;610,5;670,1;935,1;1107,0;1310,0;1462,9;1481,6;1808,8;2254,2;2197,2;2419,4;2970,1;3142,2;3168,1;3364,1;3431,4;3528,1;3903,3;3966,4
Тульская область;830,8;912,0;1359,2;1498,3;1354,2;1889,7;1527,0;1879,1;2378,4;2398,5;2596,6;3016,1;3255,2;3541,3;4004,2;4276,3;4599,9;4968,3;5248,5
Ярославская область;754,0;861,3;1181,7;1313,2;1543,2;1748,9;1764,9;2164,6;2714,1;2509,3;2752,3;3612,8;4120,7;4482,4;4843,0;5042,8;5301,8;5533,4;5597,6
г. Москва ;12125,3;11372,7;14950,9;11502,9;22263,3;27083,8;31080,8;41575,5;53101,1;54709,9;65815,4;71530,5;83753,2;91515,8;102431,1;107496,0;113956,7;124301,7;132023,7
Северо-Западный     федеральный округ;10979,7;11596,1;15250,1;16175,1;18985,5;23470,8;23365,4;28907,8;35674,1;35850,9;40821,9;47757,3;51493,5;56826,2;62810,3;67185,7;72421,1;82333,7;89060,5
Республика Карелия;596,5;590,7;850,1;927,0;888,6;1072,6;984,2;1174,5;1392,7;1390,5;1327,1;1696,3;1723,4;1702,6;1826,8;1865,4;1920,4;2288,3;1887,6
Республика Коми;1326,1;1625,3;2393,4;2729,9;1885,6;2909,4;2262,2;2495,7;2779,9;2698,5;3055,0;3605,2;3717,9;3917,3;4259,5;4334,1;4554,0;4863,8;4916,6
Архангельская область;1042,9;1192,5;1487,3;1735,8;1837,3;2145,0;2060,2;2375,4;2833,9;2905,7;3109,7;3777,6;3894,0;4113,8;4535,9;4858,8;5140,8;5811,1;5937,0
в том числе: ;;;;;;;;;;;;;;;;;;;
Ненецкий автономный округ;70,2;87,4;115,0;112,9;166,3;193,3;202,9;226,9;249,5;240,6;243,1;289,4;326,5;339,9;372,6;412,0;419,7;390,6;366,0
Архангельская область     без автономного округа;972,7;1105,1;1372,3;1622,9;1671;1951,7;1857,3;2148,5;2584,4;2665,1;2866,6;3488,2;3567,5;3773,9;4163,3;4446,8;4721,2;5420,6;5571,0
Вологодская область;1117,7;1031,2;1296,4;1483,9;1627,0;1933,3;2022,8;2411,5;2854,4;2595,1;2905,0;3503,4;3583,6;3680,8;3752,3;3822,3;3863,9;4071,3;4980,3
Калининградская область;456,6;505,9;630,9;699,2;800,8;1040,9;1076,7;1396,6;1693,5;1582,8;1740,1;2258,9;2204,9;2352,3;2606,4;2749,5;2585,1;3001,3;3332,0
Ленинградская область ;874,2;945,9;1185,1;1359,2;1635,0;1929,0;1926,5;2406,1;2999,9;3016,6;3573,2;3873,7;4306,9;4811,7;5328,7;5723,8;6371,1;7332,0;7569,1
Мурманская область;1033,8;1141,1;1370,4;1595,3;1665,4;1926,3;1859,1;2115,1;2486,0;2594,3;2814,6;3366,0;3500,6;3863,6;3857,3;3925,0;4058,2;4266,8;4330,6
Новгородская область;347,3;338,6;462,1;543,1;624,0;771,4;760,8;902,7;1136,9;1098,2;1335,9;1530,2;1384,0;1647,9;1781,1;1815,2;1892,0;1953,9;2124,7
Псковская область;254,7;305,8;427,1;482,4;509,2;652,3;558,1;686,3;861,1;852,4;928,9;1215,3;1219,7;1221,1;1300,8;1303,0;1334,0;2859,7;1520,1
г. Санкт-Петербург;3929,9;3919,0;5147,2;4619,4;7512,4;9090,6;9854,9;12944,0;16636,0;17116,9;20032,4;22930,6;25958,5;29515,3;33561,5;36788,7;40701,6;45885,5;52462,5
Южный             федеральный округ;5469,5;6334,3;8875,9;9803,2;9733,5;13574,9;11621,0;14507,0;18375,6;18716,2;21994,9;26320,2;28351,8;31210,9;34059,1;38392,5;41484,0;44229,4;46799,1
Республика Адыгея;116,5;121,7;192,4;231,1;198,8;339,3;217,4;267,0;327,6;346,4;395,5;478,4;515,6;542,3;568,2;596,6;604,4;596,7;721,1
Республика Калмыкия;109,9;123,5;178,7;195,9;143,0;284,2;154,6;186,9;223,8;245,9;256,4;303,9;314,8;334,1;352,4;360,2;365,7;354,3;422,1
Республика Крым;;;;;;;;;;;;;;;232,0;3133,6;3738,6;4058,1;4428,5
Краснодарский край2);2008,0;2058,3;2699,1;2823,7;3726,7;4511,1;4464,8;5627,2;7238,1;7471,2;9013,1;11093,9;12438,5;13733,9;15132,7;16080,9;17054,8;18536,1;18945,2
Астраханская область2);482,4;486,4;567,1;631,0;747,8;851,5;859,9;1002,0;1197,5;1242,8;1459,0;1638,8;1413,9;1715,3;1880,3;1874,4;1887,1;2025,6;2294,4
Волгоградская область2);1230,3;1202,8;1755,5;1946,7;1930,3;2431,5;2276,5;2823,6;3485,6;3453,5;3764,6;4462,7;4718,6;4970,7;5352,5;5484,8;5727,0;5957,2;6116,2
Ростовская область;1522,4;2341,6;3483,1;3974,8;2986,9;5157,3;3647,8;4600,3;5903,0;5956,4;7106,3;8342,4;8950,4;9914,6;10481,7;10086,5;11175,8;11711,3;12755,6
г. Севастополь;;;;;;;;;;;;;;;59,3;775,4;930,5;990,2;1116,1
Северо-Кавказский     федеральный округ;1854,2;2214,0;3216,4;3794,8;2997,3;5447,8;3585,0;4407,4;5447,5;5872,2;6778,3;7527,5;8192,7;9257,5;10245,4;10724,6;11172,3;11040,4;11729,9
Республика Дагестан;396,0;420,0;776,1;911,3;585,0;1275,6;673,7;809,5;1006,8;1166,6;1404,0;1436,1;1555,3;1749,7;1979,2;2105,7;2267,1;2107,8;2257,8
Республика Ингушетия ;74,9;65,1;106,7;160,3;77,7;220,0;101,5;110,3;132,4;106,6;247,6;201,2;255,2;258,7;308,2;361,0;414,0;189,1;243,9
Кабардино-Балкарская Республика;250,4;269,7;406,9;440,2;257,9;628,7;324,5;376,2;454,6;493,5;560,0;619,0;662,1;727,0;806,6;817,9;807,0;886,3;776,0
Карачаево-Черкесская Республика;81,3;105,3;174,9;241,3;161,9;347,8;191,2;242,5;295,3;310,4;353,6;354,6;427,8;499,2;524,1;528,0;548,0;573,3;639,2
Республика Северная Осетия – Алания;139,2;161,7;289,1;331,9;271,8;465,3;327,1;405,0;476,4;456,8;562,8;627,1;660,0;735,8;826,2;831,9;838,0;866,6;764,1
Чеченская Республика;158,1;336,4;237,0;391,7;184,4;574,3;266,3;381,3;485,5;584,6;688,0;589,7;744,2;878,9;994,6;1112,8;1179,0;900,2;1286,3
Ставропольский край;754,3;855,8;1225,7;1318,1;1458,6;1936,1;1700,7;2082,6;2596,5;2753,7;2962,3;3699,7;3888,1;4408,1;4806,6;4967,4;5119,2;5517,0;5762,7
Приволжский       федеральный округ;14245,0;14872,6;22114,9;23896,9;27356,6;31812,5;31939,1;39444,0;48386,5;46695,2;52379,3;63294,6;68436,8;75533,5;81398,7;82291,5;87377,6;94479,1;102417,3
Республика Башкортостан;1,0;3,8;2921,3;2932,0;3530,3;4025,3;4141,2;5126,8;6052,4;5593,1;6546,1;7957,5;8369,5;9191,4;9966,9;10416,3;10973,2;12069,2;12335,8
Республика Марий Эл;246,3;288,1;405,3;451,8;425,9;672,9;513,8;652,2;782,1;767,8;859,3;1131,6;1160,2;1269,7;1390,8;1518,7;1555,0;1730,4;1807,5
Республика Мордовия;242,2;283,9;438,6;517,9;577,7;656,9;642,5;829,5;1023,1;999,2;1126,1;1400,8;1467,8;1583,6;1681,1;1728,6;1692,9;1799,3;2068,8
Республика Татарстан;2341,6;2502,9;2837,2;3041,0;3580,8;4236,7;4261,5;5352,8;6645,3;6298,2;7257,7;9140,7;9867,1;10936,5;12031,5;11774,9;13212,8;14367,1;15591,0
Удмуртская Республика;869,8;973,1;1300,6;1491,2;1599,6;1785,7;1782,5;2170,0;2586,5;2441,6;2674,1;3217,9;3469,9;3826,2;4322,3;4629,9;4850,3;5346,3;5548,0
Чувашская Республика;395,1;498,5;757,0;801,2;873,3;1045,4;970,1;1229,9;1572,8;1373,0;1477,5;1865,7;2010,4;2179,0;2352,3;2416,0;2465,7;2755,1;2764,1
Пермский край;2058,9;2091,9;2596,6;2645,9;3030,8;3450,9;3519,2;4361,2;5213,7;4897,8;5384,2;6775,2;7077,2;7722,0;8421,1;8832,1;9154,8;9414,9;9849,2
Кировская область2);670,7;752,4;1040,2;1124,2;1210,4;1342,4;1290,3;1588,1;1886,6;1884,1;1814,5;2566,6;2655,8;2721,4;2805,4;2953,0;3143,7;3371,7;3662,3
Нижегородская область;1867,8;1990,4;2450,7;2917,7;3438,3;3885,3;4107,4;5085,1;6457,2;6414,4;7385,4;7814,9;9352,0;10826,1;11569,6;12030,5;12741,7;13204,5;14502,4
Оренбургская область;1193,7;1100,4;1608,7;1619,0;1680,8;2121,5;2001,9;2445,1;3003,3;2998,6;3569,2;3868,1;4225,3;4489,2;4715,4;4984,9;5146,0;5498,4;5741,8
Пензенская область;438,2;465,8;694,4;769,3;807,9;1033,9;927,1;1165,9;1500,9;1478,3;1649,3;2088,2;2147,6;2304,5;2487,5;2549,4;2706,1;1467,7;3124,1
Самарская область;2500,0;2333,5;2983,7;3240,6;3889,5;4371,8;4584,3;5550,7;6767,7;6560,0;7177,2;8683,1;9638,2;10799,7;11498,3;10113,7;11657,6;14348,5;15690,8
Саратовская область2) ;875,0;984,5;1329,2;1549,0;1749,5;2069,1;2016,0;2546,8;3229,7;3416,3;3684,0;4389,2;4622,7;5130,3;5398,0;5518,6;5615,5;6163,7;6504,5
Ульяновская область;544,8;603,5;751,5;796,1;961,6;1114,7;1181,4;1339,9;1665,2;1572,8;1774,8;2395,0;2373,1;2554,0;2758,7;2825,1;2462,4;2942,3;3227,0
