Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;
20.  ФИНАНСЫ;;;;;;;;;;;;;;;;;;;;
20.6. ИСПОЛНЕНИЕ БЮДЖЕТОВ ТЕРРИТОРИАЛЬНЫХ ФОНДОВ ОБЯЗАТЕЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ;;;;;;;;;;;;;;;;;;;;
 20.6.1. Поступление;;;;;;;;;;;;;;;;;;;;
(миллионов рублей);;;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;
Российская Федерация1);69897,9;88976,1;127982,4;151765,9;190944,6;265547,0;341766,6;444846,7;536969,2;551337,2;574891,2;904410,8;1041908,4;1227759,1;1417025,6;1588617,7;1637271,0;1726421,6;2072427,3;
Центральный федеральный округ;16453,7;21505,3;31295,8;39204,3;49906,6;76936,9;100148,4;134235,7;162711,1;169699,4;177782,1;275872,0;273417,6;330293,0;392350,7;442577,1;462396,6;496925,9;590783,6;
Белгородская область;696,4;866,4;1380,6;1497,2;1835,1;2643,3;3065,1;3734,0;4955,8;4345,7;4332,2;6976,5;7726,7;9981,2;12434,8;13028,1;13364,0;14157,8;17149,3;
Брянская область;404,7;567,9;868,8;1168,6;1460,1;2185,2;2805,6;3530,3;3697,1;3465,7;3429,1;6272,5;7040,2;8176,7;10742,0;10510,9;10653,3;11077,3;13357,4;
Владимирская область;431,2;570,5;865,1;1049,2;1674,8;2224,3;2726,9;4097,6;5663,5;5399,0;5428,9;7821,9;8625,3;9062,2;10397,9;12230,8;12392,8;12912,3;15624,1;
Воронежская область;865,0;1020,7;1722,7;2095,1;2804,3;3955,6;4377,1;5460,0;6343,4;6592,9;6669,9;10293,3;12537,9;15370,0;17401,3;19860,5;20096,9;21202,3;25611,9;
Ивановская область;556,9;614,4;699,0;741,5;1068,0;1592,7;2055,0;2801,3;2796,7;2759,1;2724,0;4602,4;5529,5;7250,8;7906,8;9166,0;8770,9;9262,0;11259,6;
Калужская область;459,7;567,2;980,7;1254,0;1608,1;1811,3;2374,6;3033,9;3626,6;2849,7;3284,0;5751,7;7359,2;7460,9;9711,5;9761,7;9677,1;9900,6;12300,8;
Костромская область;236,9;351,4;375,5;686,5;862,6;1257,9;1424,9;1866,3;1752,9;1880,1;2310,6;4076,1;4553,6;4647,1;5197,0;5847,4;5917,9;6219,1;7437,2;
Курская область;332,3;406,1;630,9;768,7;1113,1;1566,1;2003,5;2540,2;3392,7;3216,9;3172,8;5294,9;7336,8;7989,1;8288,9;9651,6;9755,1;10214,1;12373,5;
