Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
20.  ФИНАНСЫ;;;;;;;;;;;;;;;;;;;
20.6. ИСПОЛНЕНИЕ БЮДЖЕТОВ ТЕРРИТОРИАЛЬНЫХ ФОНДОВ ОБЯЗАТЕЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ;;;;;;;;;;;;;;;;;;;
20.6.2. Расходование;;;;;;;;;;;;;;;;;;;
(миллионов рублей);;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация1);68395,6;87401,7;129579,2;151338,6;189518,5;261831,2;342484,4;440064,0;531172,2;550615,8;574166,4;883478,6;1036586,4;1211260,7;1454936,4;1595741,8;1623989,8;1735915,1;2062835,6
Центральный федеральный округ;16177,1;21239,1;31457,9;39161,5;49430,2;75898,9;100560,8;134096,9;161917,6;166482,6;176800,7;271458,5;275645,6;323271,4;402355,5;441917,2;452591,4;504176,2;593164,1
Белгородская область;694,8;861,4;1387,1;1495,2;1767,5;2478,8;3216,6;3697,9;5006,1;4300,7;4285,7;6714,6;7694,3;9908,8;12951,8;12995,3;12371,8;14162,2;17124,7
Брянская область;405,3;566,0;864,8;1162,8;1468,2;2188,5;2787,4;3540,3;3680,1;3471,3;3408,4;6156,8;7189,4;8032,0;10829,2;10516,1;10690,5;11078,5;13366,2
Владимирская область;420,2;551,0;866,3;1033,4;1635;2301,1;2647,4;4022,5;5659,9;5453,5;5438,6;7806,8;8521,1;8899,7;10722,0;12286,2;12315,6;12873,0;15609,7
Воронежская область;846,9;1009,8;1741,9;2090,1;2796,7;3813,8;4480,7;5438,7;6112,8;6753,9;6715,9;10091,1;12445,2;14977,6;18145,5;19786,3;20019,9;21247,1;25733,9
Ивановская область;549,7;572,2;704,0;746,9;1089,3;1581,8;2041,1;2782,8;2803,6;2755,9;2749,7;4386,5;5470,1;7152,4;8266,5;9039,9;8859,5;9144,6;11194,9
Калужская область;456,0;561,5;972,9;1234,3;1586,5;1835,4;2357,6;2973,6;3606,2;2896,9;3152,2;5387,5;7182,7;7756,0;10158,6;9762,7;9164,1;10176,0;12181,1
Костромская область;238,0;352,3;371,4;687,7;860,8;1240,7;1407,4;1875,8;1774,0;1883,6;2282,4;4015,3;4407,8;4672,2;5418,4;5844,8;5867,7;6239,3;7424,5
Курская область;331,7;405,0;629,1;770,8;1104,2;1576,2;2000,1;2538,6;3357,7;3250,4;3164,5;5260,1;7146,6;8010,3;8412,0;9632,2;9807,6;10244,9;12372,3
Липецкая область;301,1;502,8;1025,5;1166,2;1519,6;2453,3;3015,2;3572,8;4052,6;3798,1;3774,8;5788,5;7745,9;8000,8;10407,2;10079,5;10324,0;10943,9;13220,2
Московская область;2567,9;3907,7;5707,6;7987,1;9473,4;11324,2;16642,4;24426,3;32190,6;28145,6;30560,3;45654,9;52049,1;64289,0;83149,3;96439,2;96371,7;107822,5;113826,2
Орловская область;426,5;614,4;840,3;1004,7;1126,7;1371,8;1595,9;2093,4;2242,1;2346,6;2220,7;3409,5;4282,2;5701,5;6220,3;6725,6;6889,1;7249,5;8664,2
Рязанская область;296,4;384,6;605,6;665,9;960,7;1927,3;2141,0;2875,3;3171,6;3262,9;2484,6;6310,3;8862,2;9043,5;9399,9;9784,8;9876,5;10351,8;12526,7
Смоленская область;300,6;454,0;694,5;783,7;1275,6;1362,1;1856,6;2290,1;2653,4;2996,3;3063,2;5512,1;6844,6;6430,4;9153,2;8297,1;8493,3;8859,4;10662,8
Тамбовская область;218,5;247,7;519,8;876,7;1132,5;1810,7;2095,3;2843,8;2911,5;2954,2;3330,1;5313,9;6450,6;6400,5;9908,8;8941,9;9038,2;9727,3;11423,2
Тверская область;400,1;481,2;760,8;989,7;1419,7;2106,6;2751,4;3655,4;3869,3;4136,7;4311,5;6615,8;8325,3;9453,1;10211,7;11519,3;11762,4;12223,9;14861,3
Тульская область;493,4;807,8;1184,0;1560,9;1988,8;2292,5;3046,3;3945,5;4223,2;5232,6;5004,0;9292,6;10571,4;10732,9;12550,7;12853,2;13133,2;14007,9;16527,3
Ярославская область;500,3;532,0;876,2;974,2;1112,8;2730,9;3419,8;4488,2;4494,0;4401,5;4499,5;7159,9;10058,1;9579,8;11047,6;12026,9;11315,5;11939,0;14569,1
г. Москва;6729,4;8427,7;11706,1;13931,0;17112,4;31503,2;43058,8;57036,1;70109,0;78441,7;85354,6;126582,4;100398,9;124230,8;155402,9;175386,3;186290,8;215885,5;261875,8
Северо-Западный   федеральный округ;7652,2;9594,7;14294,5;16531,3;20691,8;27245,7;35889,5;45926,6;55799,6;57076,4;62871,0;99926,1;114080,9;128346,5;157024,9;171555,5;175757,8;194579,5;234647,1
Республика Карелия;365,6;459,9;552,6;618,4;947,8;1268,0;1789,9;2775,7;3184,5;3224,4;3130,1;5274,6;6255,4;6820,6;10027,0;9237,8;9391,4;9594,1;11576,5
Республика Коми;1133,0;1262,7;1768,3;1726,1;2051,8;2541,2;3285,5;3782,3;4327,6;5396,0;6213,4;9479,4;10779,6;11948,6;13252,2;14297,8;14367,5;14905,2;17711,4
Архангельская область;627,7;833,4;1271,4;1424,6;1831,5;2663,3;3646,3;4294,3;5232,9;5791,5;5798,6;9742,1;11103,4;14403,3;18534,2;19903,8;18193,3;19881,2;23342,1
в том числе: ;;;;;;;;;;;;;;;;;;;
Ненецкий автономный округ;59,6;85,0;129,8;127,5;148,5;147,7;238,0;280,9;395,6;427,9;415,9;540,5;775,8;805,7;984,2;1274,7;1368,3;1429,9;1600,2
Архангельская область    без автономного округа;568,1;748,4;1141,6;1297,1;1683;2515,6;3408,3;4013,4;4837,3;5363,6;5382,7;9201,6;10327,6;13597,6;17550,0;18629,1;16825,1;18451,3;21741,9
Вологодская область;668,9;883,1;1183,7;1489,1;1914,5;2680,6;3299,5;4049,8;5041,9;4263,3;4311,3;6730,4;8005,7;9005,2;10471,7;11312,4;11671,9;12276,6;14746,9
Калининградская область;390,9;474,6;615,5;751,9;951,4;1287,9;1833,2;2887,5;2873,0;3178,2;4463,5;7321,2;7831,0;7647,2;8820,4;9577,0;9751,1;10318,6;12227,4
Ленинградская область ;658,1;873,1;1136,7;1347,2;1702,2;2243,8;3133,6;4003,6;6660,9;6811,1;7166,7;10419,3;11911,6;13006,9;16447,5;17238,4;17810,2;20342,2;25168,5
Мурманская область;840,1;841,2;1346,4;1604,1;1914;2334,9;3189,5;3768,7;4350,8;4697,9;5031,9;7607,3;8712,0;10547,2;12618,4;13389,3;13377,0;13920,4;16739,3
Новгородская область;294,2;343,0;608,1;718,5;928,5;1348,2;1518,0;1841,4;2054,7;1978,8;2011,6;3674,2;4162,2;4361,0;4879,1;5369,1;5557,9;5881,6;6917,5
Псковская область;291,6;345,1;513,5;624,5;843,3;1112,2;1344,4;1510,5;1831,8;1817,9;1784,7;3616,3;4450,2;4864,9;7576,5;5590,9;5661,5;5824,5;6870,8
г. Санкт-Петербург;2382,1;3278,6;5298,2;6226,9;7607,0;9765,6;12849,6;17012,9;20241,4;19917,3;22959,3;36061,1;40869,7;45741,7;54397,8;65639,1;69975,9;81635,1;99346,7
Южный               федеральный округ;4930,2;6846,5;10226,7;11454,4;15374;20247,7;26821,5;34516,9;40308,2;40004,7;41764,8;62761,9;77205,2;90448,7;105430,9;135394,5;140289,4;146737,4;179236,1
Республика Адыгея;209,9;273,1;401,5;474,6;642,6;852,1;986,7;1270,9;1281,6;1284,8;1406,1;1947,7;2403,9;3098,4;3440,1;3740,2;3846,2;4011,2;4872,9
Республика Калмыкия;93,6;177,8;278,3;254,1;319,8;365,0;563,9;679,2;784,0;787,5;759,8;1381,8;1837,4;1894,9;2149,9;2331,6;2619,6;2705,4;3154,3
Республика Крым;;;;;;;;;;;;;;;59,6;16188,1;16329,4;16228,8;20649,0
Краснодарский край;1594,6;2608,8;4123,9;4586,4;6088,9;7780,1;9812,9;13273,6;15955,3;15723,7;16421,3;23527,8;32345,7;36091,1;40863,8;45133,8;47415,3;50151,7;61083,5
Астраханская область;444,5;632,4;854,3;804,6;938,6;1151,1;1864,0;2063,2;2474,3;2479,5;2653,2;3909,0;5131,6;6609,9;7853,6;8656,6;8790,6;9305,8;11302,2
Волгоградская область;955,9;1070,0;1588,4;1940,3;2609,6;3535,7;4561,1;6103,5;6879,9;6778,0;7202,1;11832,2;13674,3;16044,9;19264,9;21580,8;21999,2;23074,9;27899,4
Ростовская область;1631,7;2084,4;2980,3;3394,4;4774,5;6563,7;9032,9;11126,5;12933,1;12951,2;13322,3;20163,4;21812,2;26709,5;31784,0;34473,3;35750,4;37679,8;45731,4
г. Севастополь;;;;;;;;;;;;;;;15,0;3289,9;3538,7;3579,8;4543,4
Северо-Кавказский      федеральный округ;2115,4;2619,2;4250,1;4827,7;6422,3;10455,1;13486,0;16782,4;22601,8;25952,9;26518,5;38839,7;48580,0;58009,2;75262,5;74586,5;78779,9;83946,3;99893,4
Республика Дагестан;684,3;780,0;1213,9;1315,5;1645,2;3298,0;3699,2;4547,0;6511,3;7220,3;7430,0;10380,6;12967,2;16872,8;22068,7;21072,8;23595,2;25180,1;28410,5
Республика Ингушетия ;87,9;114,4;199,8;262,4;293,5;333,6;519,7;631,0;762,6;935,6;1172,1;1781,5;2482,5;2551,1;5116,2;3596,4;3567,5;3898,4;4776,9
Кабардино-Балкарская Республика;290,9;305,2;519,7;571,0;771,2;1271,3;1532,3;1813,2;2228,2;2266,0;2276,9;3252,7;3948,3;4884,4;6693,6;6498,9;6571,4;6810,2;8259,7
