Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;
21. ЦЕНЫ И ТАРИФЫ;;;;;;;;;;;;;;
ДИНАМИКА ЦЕН В ПРОИЗВОДСТВЕННОМ СЕКТОРЕ;;;;;;;;;;;;;;
21.10. ИНДЕКСЫ ЦЕН ПРОИЗВОДИТЕЛЕЙ ПРОМЫШЛЕННЫХ ТОВАРОВ ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ 1);;;;;;;;;;;;;;
21.10.2. Индексы цен производителей промышленных товаров в соответствии с ОКВЭД2- всего ;;;;;;;;;;;;;;
"(декабрь к декабрю предыдущего года; в процентах)";;;;;;;;;;;;;;
;2013;2014;2015;2016;2017;2018;;;;;;;;
Российская Федерация;103,5;106,3;112,1;107,5;108,4;111,7;;;;;;;;
Центральный    федеральный округ;102,2;109,3;111,7;105,0;103,8;110,8;;;;;;;;
Белгородская область;97,7;112,3;108,3;105,3;99,9;113,2;;;;;;;;
Брянская область;103,2;108,7;111,9;104,6;102,7;108,5;;;;;;;;
Владимирская область;100,5;111,1;113,5;106,3;105,3;99,1;;;;;;;;
Воронежская область;104,3;108,8;111,3;100,8;97,8;108,9;;;;;;;;
Ивановская область;106,1;108,4;110,4;108,8;104,3;105,8;;;;;;;;
Калужская область;102,5;107,7;109,9;103,6;101,8;108,2;;;;;;;;
Костромская область;102,2;101,4;109,9;108,5;103,0;108,4;;;;;;;;
Курская область;105,9;101,4;115,0;109,1;100,4;117,3;;;;;;;;
Липецкая область;99,3;118,2;110,3;115,9;98,4;112,3;;;;;;;;
Московская область;102,3;109,2;112,5;104,6;98,4;105,3;;;;;;;;
Орловская область;101,2;113,7;114,2;104,6;101,1;109,1;;;;;;;;
Рязанская область;102,1;106,5;112,7;107,5;104,2;107,8;;;;;;;;
Смоленская область;102,2;107,3;107,3;105,1;105,5;105,0;;;;;;;;
Тамбовская область;101,4;116,7;112,0;100,5;93,8;115,2;;;;;;;;
