Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;
21. ЦЕНЫ И ТАРИФЫ;;;;;;;;;;;
ДИНАМИКА ЦЕН В ПРОИЗВОДСТВЕННОМ СЕКТОРЕ;;;;;;;;;;;
21.10. ИНДЕКСЫ ЦЕН ПРОИЗВОДИТЕЛЕЙ ПРОМЫШЛЕННЫХ ТОВАРОВ ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ 1);;;;;;;;;;;
21.10.4.  Добыча полезных ископаемых в соответствии с ОКВЭД2 ;;;;;;;;;;;
"(декабрь к декабрю предыдущего года; в процентах)";;;;;;;;;;;
;2013;2014;2015;2016;2017;2018;;;;;
Российская Федерация;107,7;97,6;111,0;108,5;123,9;120,7;;;;;
Центральный             федеральный округ;110,2;78,0;105,4;121,4;115,2;134,2;;;;;
Белгородская область;113,0;69,2;100,2;125,3;132,1;126,0;;;;;
Брянская область;101,4;131,1;100,0;100,0;100,0;100,0;;;;;
Владимирская область;120,5;101,2;99,5;101,3;105,2;125,3;;;;;
Воронежская область;104,1;121,8;90,3;108,8;101,0;124,3;;;;;
Ивановская область;101,2;91,8;97,7;99,9;111,6;122,4;;;;;
Калужская область;105,0;76,3;91,7;108,8;118,9;102,3;;;;;
Костромская область;111,1;94,5;96,1;113,8;112,4;107,2;;;;;
Курская область;111,6;70,3;119,1;130,1;97,8;178,7;;;;;
Липецкая область;110,8;100,9;100,1;106,9;99,8;103,6;;;;;
Московская область;121,3;104,4;98,3;108,7;106,3;106,9;;;;;
Орловская область;115,6;94,7;100,0;82,9;94,1;99,9;;;;;
Рязанская область;103,7;98,9;101,4;99,9;104,1;104,2;;;;;
Смоленская область;97,3;88,2;89,9;111,3;106,0;107,6;;;;;
Тамбовская область;…;…;…;…;…;…;;;;;
Тверская область;90,5;99,5;110,6;105,0;109,3;112,4;;;;;
Тульская область;117,0;99,5;101,0;108,3;106,0;103,7;;;;;
Ярославская область;84,9;100,1;98,9;100,0;105,4;116,6;;;;;
г. Москва;…;…;…;…;…;…;;;;;
Северо-Западный    федеральный округ;107,5;98,1;117,8;118,0;112,3;111,8;;;;;
Республика Карелия;115,3;80,6;108,1;145,5;94,8;147,0;;;;;
Республика Коми;104,0;95,3;109,8;122,7;121,1;101,4;;;;;
Архангельская область;110,1;97,3;111,1;114,1;152,9;103,0;;;;;
в том числе:;;;;;;;;;;;
