Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;
21. ЦЕНЫ И ТАРИФЫ;;;;;;;;;;;;;;;;
ДИНАМИКА ЦЕН В ПРОИЗВОДСТВЕННОМ СЕКТОРЕ;;;;;;;;;;;;;;;;
21.10. ИНДЕКСЫ ЦЕН ПРОИЗВОДИТЕЛЕЙ ПРОМЫШЛЕННЫХ ТОВАРОВ ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ 1);;;;;;;;;;;;;;;;
21.10.7. Производство и распределение электроэнергии, газа и воды в соответствии с ОКВЭД в 2000-2016 гг.;;;;;;;;;;;;;;;;
"(декабрь к декабрю предыдущего года; в процентах)";;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2012;2013;2014;2015;2016
Российская Федерация;141,6;127,4;126,0;114,5;112,5;112,6;110,3;113,3;118,0;118,3;113,8;107,0;108,1;104,5;109,3;105,1
Центральный     федеральный округ;…;…;132,6;119,3;110,8;114,2;112,4;112,4;119,3;121,0;115,9;97,3;110,2;98,8;111,3;103,6
Белгородская область;142,7;137,7;124,1;129,1;102,8;121,1;119,3;127,1;115,6;124,6;115,0;104,0;112,3;97,6;107,4;99,6
Брянская область;150,9;112,0;165,2;102,3;114,1;94,3;113,9;120,0;114,6;113,6;104,9;102,3;107,4;99,3;110,3;107,4
Владимирская область;129,2;125,6;131,0;121,8;103,9;114,9;114,7;142,5;121,4;117,8;115,0;108,4;114,1;101,8;111,5;106,7
Воронежская область;142,5;130,6;127,5;120,6;109,2;116,1;107,8;114,4;118,0;120,4;113,9;108,4;117,2;101,6;108,4;105,0
Ивановская область;144,1;124,7;129,9;121,6;115,8;107,7;110,5;113,1;122,0;123,6;108,2;109,0;109,5;100,8;105,4;103,1
Калужская область;136,1;128,6;139,8;119,7;110,8;112,9;110,9;121,0;121,3;124,6;117,2;107,0;111,8;101,1;109,3;105,7
Костромская область;140,6;104,0;125,8;125,4;113,1;122,6;114,6;127,2;118,5;115,1;111,1;105,8;109,2;100,2;104,6;102,4
Курская область;136,7;122,1;150,3;107,3;108,1;139,9;115,7;121,2;110,4;120,3;105,4;110,1;118,7;95,0;106,7;99,7
Липецкая область;117,5;120,4;134,3;121,5;104,3;119,7;107,2;126,0;117,9;117,6;116,7;106,7;113,7;101,1;111,1;104,2
Московская область;100,0;100,0;147,7;135,3;101,9;115,3;114,5;118,6;115,6;122,1;109,1;62,8;106,8;104,8;111,5;103,3
Орловская область;156,8;138,7;142,2;115,3;108,4;117,5;108,1;114,7;114,6;113,8;114,7;108,2;110,2;100,8;109,2;105,0
Рязанская область;132,1;146,5;105,4;112,8;122,8;115,0;105,5;104,5;113,5;120,4;121,2;110,7;113,2;101,1;106,8;107,0
Смоленская область;126,5;139,2;148,0;106,0;114,5;92,4;121,8;108,0;137,2;119,0;108,6;110,3;115,0;97,5;107,8;102,1
Тамбовская область;133,5;134,8;131,3;119,0;117,0;116,5;105,7;115,8;111,4;116,0;110,1;107,5;115,8;104,7;106,1;103,8
Тверская область;154,4;108,2;122,3;117,5;116,8;111,2;112,3;115,3;111,3;115,6;108,3;109,7;110,2;99,5;103,0;103,1
Тульская область;153,4;121,0;134,1;109,9;120,0;116,3;111,2;113,2;116,2;114,2;112,4;110,1;112,3;102,5;122,6;111,8
Ярославская область;153,3;119,4;129,1;117,6;117,7;111,5;105,0;115,0;116,5;119,0;117,0;104,7;113,6;100,2;110,8;107,3
г. Москва;167,8;122,9;130,4;120,3;112,4;111,5;111,8;99,3;122,7;124,3;123,4;105,4;108,9;96,4;114,3;103,0
Северо-Западный    федеральный округ;…;…;124,4;112,0;114,3;112,9;107,3;114,3;116,7;119,8;114,2;105,9;109,8;101,7;109,0;107,5
Республика Карелия;123,6;135,7;164,7;104,6;109,2;104,0;105,3;115,5;109,1;121,0;117,6;110,6;127,0;100,0;114,0;106,7
Республика Коми;133,7;144,8;128,3;124,4;108,5;104,1;107,1;114,7;123,9;119,6;105,9;107,9;108,6;104,3;106,3;105,2
Архангельская область;150,6;114,3;126,3;100,3;112,6;117,1;107,5;116,7;109,2;130,2;123,8;108,3;108,6;98,2;107,6;102,0
в том числе:;;;;;;;;;;;;;;;;
Ненецкий автономный округ;172,4;105,5;140,6;120,8;100,0;105,8;108,7;113,2;112,7;112,9;123,1;113,6;110,5;102,2;111,2;102,0
Архангельская область    без автономного округа;;;;;;;;;;;;;108,6;98,2;107,4;102,1
Вологодская область;136,9;135,9;113,7;115,3;113,8;118,8;116,4;114,0;122,4;126,0;121,0;108,5;107,5;99,7;102,2;107,2
Калининградская область;149,6;125,9;120,7;110,3;111,9;113,6;111,4;109,3;117,1;118,5;114,8;107,5;107,5;101,9;109,0;110,8
Ленинградская область;167,6;153,1;123,2;108,4;128,3;118,0;102,8;110,5;112,9;116,9;99,6;99,6;101,6;100,5;105,9;102,9
Мурманская область;154,7;131,0;119,5;119,4;120,8;102,4;110,9;111,3;121,8;116,0;121,1;102,3;117,6;102,1;111,0;101,5
Новгородская область;152,3;148,1;130,8;113,6;111,3;114,7;116,7;112,7;111,7;110,6;113,9;105,8;106,5;102,8;111,5;108,7
Псковская область;136,0;139,3;153,4;122,7;114,3;115,8;112,0;115,6;115,6;112,0;116,3;103,9;109,7;104,9;117,2;98,3
г. Санкт-Петербург;177,5;126,2;119,6;107,3;109,7;115,6;103,8;116,6;116,8;119,0;115,9;108,1;112,1;102,7;110,7;113,3
Южный             федеральный округ2);…;…;127,2;114,1;116,4;113,5;110,7;112,6;117,2;119,9;115,5;103,9;112,8;103,5;111,1;106,9
Республика Адыгея;185,9;123,0;…;…;…;…;109,3;107,6;117,1;120,9;116,1;114,0;112,0;102,7;110,3;104,7
Республика Калмыкия;155,7;133,2;135,5;109,2;115,1;119,8;106,1;102,0;102,3;127,0;110,2;107,2;114,2;102,2;109,0;107,3
Республика Крым;;;;;;;;;;;;;;…;117,0;111,2
Краснодарский край;183,0;118,0;132,3;114,5;124,7;115,0;108,9;115,3;110,4;117,8;118,1;104,2;111,8;101,7;115,5;108,9
Астраханская область;107,8;140,3;145,7;119,4;118,9;113,3;130,5;113,3;115,1;126,1;122,4;103,0;118,5;105,4;108,4;107,0
Волгоградская область;139,4;123,8;124,5;112,8;103,8;112,1;108,9;116,5;127,4;119,7;115,9;101,0;107,2;105,2;109,2;105,8
Ростовская область;153,0;129,4;118,7;113,3;114,7;112,7;110,1;106,6;118,8;121,0;111,3;105,4;116,6;104,3;107,9;105,6
г. Севастополь;;;;;;;;;;;;;;…;…;104,3
Северо-Кавказский         федеральный округ;…;…;111,2;114,5;117,1;112,9;111,1;107,9;124,4;113,1;116,0;104,7;107,0;103,7;104,7;104,9
Республика Дагестан;151,0;122,6;116,5;109,0;108,4;120,2;121,8;120,8;136,3;129,8;118,6;94,9;108,0;102,4;105,9;102,7
Республика Ингушетия ;…;…;…;…;…;…;…;…;…;…;… ;…;…;102,7;106,6;107,8
Кабардино-Балкарская Республика;214,7;113,7;125,8;118,2;112,4;118,7;108,8;107,8;112,5;114,2;114,0;106,8;105,5;106,4;112,3;108,6
Карачаево-Черкесская Республика;141,7;93,0;115,4;105,8;116,1;104,3;106,4;112,7;121,3;97,4;112,4;108,2;100,9;103,4;100,4;105,9
Республика Северная Осетия – Алания;…;…;…;…;…;…;…;…;113,6;97,6;119,0;102,7;107,7;104,3;108,5;102,6
Чеченская Республика ;…;…;…;…;…;72,4;110,0;100,0;175,8;100,1;182,6;110,7;101,3;99,6;100,4;104,7
Ставропольский край;199,4;118,5;108,0;115,9;119,3;113,4;110,1;105,4;123,7;114,4;112,6;105,8;108,8;104,5;104,3;105,0
Приволжский     федеральный округ;…;…;119,7;113,5;115,0;112,1;109,3;118,1;119,1;119,1;114,6;106,0;111,6;103,9;107,9;104,2
Республика Башкортостан;166,8;109,5;117,0;112,5;114,8;110,6;118,3;130,8;116,4;121,1;111,6;113,1;110,5;106,5;110,6;106,9
Республика Марий Эл;158,5;149,0;126,7;116,0;112,5;103,0;109,5;118,4;131,7;118,5;117,1;108,2;112,8;104,0;110,7;108,7
Республика Мордовия;184,0;135,7;122,9;113,8;114,3;117,8;114,8;112,0;114,8;114,7;112,7;108,2;111,1;103,1;110,2;104,9
Республика Татарстан;135,5;140,1;110,0;102,2;127,4;123,0;105,3;122,5;119,0;118,1;117,3;106,5;109,1;100,8;106,9;102,3
Удмуртская Республика;142,4;124,1;135,4;110,4;112,6;106,7;114,2;112,6;113,1;117,2;119,2;108,4;109,2;103,6;108,1;105,4
Чувашская Республика;132,3;108,3;150,2;126,6;109,1;112,8;109,5;108,0;134,8;127,1;109,4;103,2;107,9;102,4;108,6;104,5
Пермский край;143,8;126,7;115,6;112,4;111,8;112,9;108,7;106,9;117,4;116,5;111,0;108,2;112,4;101,1;106,5;103,7
Кировская область;142,7;125,9;125,3;133,2;111,5;125,1;116,6;110,8;113,2;109,8;116,2;108,8;112,7;104,2;108,6;107,5
Нижегородская область;155,9;120,6;103,8;130,5;115,3;112,3;110,8;115,3;134,5;118,0;111,5;105,7;114,6;106,8;110,4;105,9
Оренбургская область;157,7;119,6;134,5;109,7;116,9;110,4;111,1;112,5;114,2;117,6;117,7;99,9;113,5;107,6;104,7;102,2
Пензенская область;130,8;122,1;181,8;91,2;114,1;113,6;110,5;108,9;113,6;116,0;114,6;105,0;111,3;104,4;108,9;106,6
Самарская область;130,2;128,3;117,1;110,2;116,8;111,8;106,1;125,2;122,7;125,5;118,7;102,8;110,8;103,8;107,1;103,8
Саратовская область;147,2;126,6;115,6;119,3;113,2;102,9;101,1;130,8;108,9;120,2;113,9;103,0;113,0;102,1;107,5;100,8
Ульяновская область;139,1;130,9;118,5;109,1;111,4;111,1;109,2;117,4;127,2;115,7;110,3;106,2;110,1;103,4;107,4;104,5
Уральский       федеральный округ;…;…;123,9;115,0;107,8;112,6;109,6;112,1;118,9;119,2;114,1;105,5;102,6;105,2;106,7;104,3
Курганская область;138,9;128,7;117,5;103,1;116,8;110,1;132,9;115,8;112,8;134,1;119,2;103,5;115,5;102,2;102,4;104,1
Свердловская область;132,6;104,6;120,8;112,7;107,9;127,0;110,7;115,6;122,1;109,1;112,3;104,9;96,6;104,0;109,0;106,0
Тюменская область;161,8;112,4;124,1;120,0;104,9;103,0;106,0;108,4;116,8;120,6;113,0;105,0;104,9;103,9;104,8;102,4
в том числе:;;;;;;;;;;;;;;;;
Ханты-Мансийский автономный     округ – Югра;161,8;112,4;124,1;119,9;104,3;102,7;106,4;114,1;117,1;120,6;114,4;104,3;104,5;104,4;103,9;102,8
Ямало-Ненецкий автономный    округ;…;…;…;…;…;…;…;112,9;108,9;108,9;106,9;101,9;102,0;103,3;103,6;101,8
Тюменская область      без автономных округов;;;;;;;;;;;;;105,0;102,5;106,8;100,1
Челябинская область;124,3;139,1;131,5;109,2;112,3;114,7;112,7;116,9;119,4;131,2;118,7;108,9;107,8;112,0;108,5;105,9
