Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;
21. ЦЕНЫ И ТАРИФЫ;;;;;;;;;
ДИНАМИКА ЦЕН В ПРОИЗВОДСТВЕННОМ СЕКТОРЕ;;;;;;;;;
21.10. ИНДЕКСЫ ЦЕН ПРОИЗВОДИТЕЛЕЙ ПРОМЫШЛЕННЫХ ТОВАРОВ ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ1);;;;;;;;;
"21.10.9. Водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений";;;;;;;;;
"(декабрь к декабрю предыдущего года; в процентах)";;;;;;;;;
;2016;2017;2018;;;;;;
Российская Федерация;109,1;110,1;103,0;;;;;;
Центральный     федеральный округ;104,7;105,4;105,2;;;;;;
Белгородская область;110,5;107,4;94,9;;;;;;
Брянская область;112,3;102,1;101,2;;;;;;
Владимирская область;109,0;111,4;106,3;;;;;;
Воронежская область;91,2;103,4;105,1;;;;;;
Ивановская область;…;…;108,3;;;;;;
Калужская область;104,5;103,3;104,9;;;;;;
Костромская область;105,9;103,8;104,2;;;;;;
Курская область;103,5;102,1;105,4;;;;;;
Липецкая область;106,2;104,2;105,1;;;;;;
Московская область;103,1;103,3;103,3;;;;;;
Орловская область;104,2;103,7;105,2;;;;;;
Рязанская область;112,1;125,1;104,1;;;;;;
Смоленская область;104,1;103,9;106,2;;;;;;
Тамбовская область;102,2;103,3;105,0;;;;;;
Тверская область;102,0;96,3;100,1;;;;;;
Тульская область;110,4;108,0;107,2;;;;;;
Ярославская область;106,9;103,5;103,8;;;;;;
г. Москва;105,9;106,7;107,3;;;;;;
Северо-Западный    федеральный округ;109,7;115,0;106,2;;;;;;
Республика Карелия;104,8;117,6;97,0;;;;;;
Республика Коми;100,6;104,5;105,5;;;;;;
Архангельская область;109,4;123,1;105,8;;;;;;
в том числе:;;;;;;;;;
Ненецкий автономный округ;…;…;…;;;;;;
Архангельская область    без автономного округа;109,4;123,1;105,8;;;;;;
Вологодская область;105,6;106,2;104,1;;;;;;
Калининградская область;126,6;102,0;100,6;;;;;;
Ленинградская область;104,3;97,7;105,5;;;;;;
Мурманская область;112,8;105,4;102,6;;;;;;
Новгородская область;…;…;108,2;;;;;;
Псковская область;110,5;106,0;107,3;;;;;;
г. Санкт-Петербург;111,2;111,2;110,0;;;;;;
Южный             федеральный округ;106,9;109,7;103,2;;;;;;
Республика Адыгея;104,0;102,9;103,3;;;;;;
Республика Калмыкия;…;…;104,0;;;;;;
Республика Крым;125,3;139,5;96,5;;;;;;
Краснодарский край;108,3;118,1;104,6;;;;;;
Астраханская область;…;…;100,6;;;;;;
Волгоградская область;107,0;107,3;104,6;;;;;;
Ростовская область;104,7;102,5;102,4;;;;;;
г. Севастополь;…;…;…;;;;;;
Северо-Кавказский         федеральный округ;104,6;103,6;103,8;;;;;;
Республика Дагестан;103,5;102,9;101,2;;;;;;
Республика Ингушетия ;…;…;…;;;;;;
Кабардино-Балкарская Республика;105,0;100,0;…;;;;;;
Карачаево-Черкесская Республика;103,6;102,0;103,0;;;;;;
Республика Северная Осетия – Алания;…;…;…;;;;;;
Чеченская Республика ;100,0;110,0;109,3;;;;;;
Ставропольский край;105,3;103,9;103,6;;;;;;
Приволжский     федеральный округ;109,6;107,1;104,6;;;;;;
Республика Башкортостан;110,5;110,7;107,8;;;;;;
Республика Марий Эл;104,1;103,2;103,9;;;;;;
Республика Мордовия;106,9;103,5;103,7;;;;;;
Республика Татарстан;103,7;102,7;102,4;;;;;;
Удмуртская Республика;106,6;120,7;104,4;;;;;;
Чувашская Республика;122,3;103,5;103,5;;;;;;
Пермский край;101,7;104,1;104,5;;;;;;
Кировская область;110,1;103,2;99,0;;;;;;
Нижегородская область;107,5;114,0;104,9;;;;;;
Оренбургская область;104,0;103,9;102,8;;;;;;
Пензенская область;109,0;103,3;103,3;;;;;;
Самарская область;116,8;105,8;104,3;;;;;;
Саратовская область;106,0;103,9;110,4;;;;;;
Ульяновская область;106,0;106,3;104,0;;;;;;
Уральский       федеральный округ;104,8;106,5;104,6;;;;;;
Курганская область;104,6;102,4;103,8;;;;;;
Свердловская область;100,8;108,1;103,6;;;;;;
Тюменская область;105,8;107,5;107,6;;;;;;
в том числе:;;;;;;;;;
Ханты-Мансийский автономный     округ – Югра;105,7;108,4;104,5;;;;;;
Ямало-Ненецкий автономный    округ;105,6;105,3;107,9;;;;;;
Тюменская область      без автономных округов;105,8;109,1;108,8;;;;;;
Челябинская область;108,6;104,1;103,6;;;;;;
Сибирский     федеральный округ2);110,3;106,3;105,7;;;;;;
Республика Алтай   ;100,0;105,2;104,5;;;;;;
Республика Тыва;109,9;118,2;102,3;;;;;;
Республика Хакасия;106,4;107,4;102,4;;;;;;
Алтайский край;108,7;104,1;101,0;;;;;;
Красноярский край;121,9;106,4;107,3;;;;;;
Иркутская область;107,7;107,6;104,0;;;;;;
Кемеровская область;107,0;106,1;108,6;;;;;;
Новосибирская область;103,3;103,8;102,7;;;;;;
Омская область;108,2;106,7;105,6;;;;;;
Томская область;107,0;110,0;108,2;;;;;;
Дальневосточный      федеральный округ2);108,2;102,4;105,2;;;;;;
Республика Бурятия;104,0;107,5;111,9;;;;;;
Республика Саха (Якутия);119,5;102,3;114,9;;;;;;
Забайкальский край;115,2;106,0;103,9;;;;;;
Камчатский край;114,5;100,0;101,8;;;;;;
Приморский край;106,1;101,4;103,7;;;;;;
Хабаровский край;104,0;107,6;104,5;;;;;;
Амурская область;104,3;103,8;102,6;;;;;;
Магаданская область;113,1;91,4;102,3;;;;;;
Сахалинская область;108,7;86,2;105,0;;;;;;
Еврейская автономная область;105,3;106,0;110,0;;;;;;
Чукотский автономный округ;…;…;113,0;;;;;;
?????;;;;;;;;;
1)  В соответствии с ОКВЭД2. На товары, предназначенные для реализации на внутреннем рынке. ;;;;;;;;;
3) Данные за 2016-2018 гг. по Сибирскому и Дальневосточному федеральным округам приведены в составе субъектов Российской Федерации до вступления в силу Указа Президента Российской Федерации от 3 ноября 2018 г. № 632.;;;;;;;;;
