Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
21. ЦЕНЫ И ТАРИФЫ;;;;;;;;;;;;;;;;;;;
ДИНАМИКА ЦЕН В ПРОИЗВОДСТВЕННОМ СЕКТОРЕ;;;;;;;;;;;;;;;;;;;
21.13. ИНДЕКСЫ ТАРИФОВ НА ГРУЗОВЫЕ ПЕРЕВОЗКИ;;;;;;;;;;;;;;;;;;;
"(декабрь к декабрю предыдущего года; в процентах)";;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;151,5;138,6;118,3;123,5;109,3;116,6;115,8;106,8;132,3;97,5;133,1;107,7;107,5;108,0;100,9;111,51);105,6;109,0;101,4
Центральный   федеральный округ;156,0;135,0;121,6;126,1;106,2;115,6;116,5;106,6;123,8;98,4;126,7;112,9;106,3;113,7;100,7;109,3;103,0;109,7;101,5
Белгородская область;136,4;100,3;100,0;108,3;110,3;116,9;109,2;122,5;119,4;91,9;104,9;114,8;109,3;106,0;105,1;104,0;100,3;108,4;102,2
Брянская область;121,4;135,4;333,2;107,3;109,8;122,6;117,5;118,6;141,7;121,6;131,9;110,5;108,6;99,9;100,0;106,7;105,7;103,5;103,9
Владимирская область;144,1;108,5;113,0;113,5;117,1;108,8;116,0;106,7;117,5;93,8;100,8;102,9;102,0;102,4;103,0;100,9;103,2;113,9;107,9
Воронежская область;168,1;128,6;113,0;109,7;115,3;110,0;101,9;106,4;122,7;110,9;109,4;108,7;110,9;108,7;104,8;109,5;108,3;106,5;105,3
Ивановская область;184,6;100,0;118,5;100,0;109,9;112,5;122,4;100,0;120,6;96,1;92,7;108,6;105,3;117,3;89,9;100,6;100,0;100,2;100,1
Калужская область;135,6;108,1;133,1;104,6;106,3;109,9;108,2;117,2;120,1;104,7;99,1;104,2;105,5;105,3;102,2;100,7;107,3;98,8;96,1
Костромская область;127,1;101,9;128,4;116,7;111,0;110,2;101,6;108,3;100,4;101,2;91,9;112,1;104,6;103,0;101,8;102,1;106,6;103,0;102,7
Курская область;100,0;101,2;187,4;116,0;127,5;113,2;110,5;126,4;111,2;110,8;89,9;109,0;117,8;100,1;101,2;103,9;105,6;107,3;100,1
