Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
21. ЦЕНЫ И ТАРИФЫ;;;;;;;;;;;;;;;;;;;
ДИНАМИКА ЦЕН НА ПОТРЕБИТЕЛЬСКОМ РЫНКЕ ;;;;;;;;;;;;;;;;;;;
21.2. СТОИМОСТЬ ФИКСИРОВАННОГО НАБОРА ПОТРЕБИТЕЛЬСКИХ ТОВАРОВ И УСЛУГ ;;;;;;;;;;;;;;;;;;;
21.2.1. Стоимость фиксированного набора;;;;;;;;;;;;;;;;;;;
(рублей);;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация1);2254,2;2716,5;3196,7;3577,0;4091,1;4709,7;5231,3;6068,3;6973,6;7714,1;8711,8;9174,2;9868,0;10737,0;12034,9;13404,3;14212,1;14789,4;15467,9
Центральный   федеральный округ;2356,0;2853,4;3381,3;3777,7;4339,7;5059,9;5616,8;6522,7;7502,1;8369,6;9471,0;10182,1;10985,5;11986,0;13481,6;14978,2;15769,4;16678,9;17416,2
Белгородская область;1959,0;2353,2;2747,4;3035,4;3538,5;4077,9;4545,0;5234,3;5954,3;6556,2;7286,7;7878,8;8494,5;9514,0;10756,0;11871,8;12526,8;12933,3;13804,3
Брянская область;1938,0;2297,3;2764,4;3037,4;3482,9;4006,6;4417,3;5186,0;5952,3;6685,6;7542,6;7991,6;8678,3;9591,9;11275,8;12483,7;13293,2;13807,5;14504,4
Владимирская область;1788,1;2236,3;2568,1;3005,1;3558,8;4125,3;4685,7;5683,1;6722,6;7257,8;8404,9;8894,3;9600,7;10522,4;12096,7;13286,1;14056,9;14555,1;15331,3
Воронежская область;1986,6;2393,7;2845,7;3135,7;3638,2;4317,5;4898,5;5793,7;6617,6;7757,1;8711,0;8978,8;9288,9;9821,7;11234,9;12661,9;13395,1;13828,2;14578,2
Ивановская область;1974,1;2396,7;2871,2;3256,2;3836,6;4202,4;4710,7;5512,2;6339,9;7007,4;7969,0;8461,9;9182,3;10058,2;11414,6;12715,9;13566,4;14171,5;14778,2
Калужская область;1928,7;2390,2;2926,8;3343,2;3813,4;4374,3;4793,7;5540,2;6300,5;6945,2;7877,9;8213,0;8902,1;9955,7;12004,8;13378,9;14019,8;14870,2;15491,8
Костромская область;1849,3;2315,2;2714,7;3111,0;3509,5;3930,2;4339,4;5098,3;5963,1;6685,1;7781,7;8353,7;9071,9;10026,5;10948,5;12145,6;12923,4;13423,9;13614,1
Курская область;1955,0;2387,0;2805,9;3445,5;3867,2;4285,0;4587,3;5421,4;6386,4;6998,0;8189,6;8436,7;8913,6;9630,4;10216,5;11528,8;12308,2;12976,5;13881,1
Липецкая область;1916,5;2240,2;2661,7;3056,7;3494,9;3998,5;4537,6;5351,9;6281,1;7048,5;8028,8;8424,2;9096,7;9317,1;10407,6;11600,4;12325,7;12802,4;13466,2
Московская область;2234,1;2721,6;3322,1;3690,0;4289,1;4888,7;5472,0;6499,2;7451,7;8481,4;9455,3;9974,9;10857,7;11656,5;13195,8;14753,1;15706,0;16561,0;17163,2
Орловская область;1878,8;2230,2;2600,4;2931,0;3382,8;3861,1;4190,0;4834,7;5705,1;6358,2;7157,3;7636,4;8132,6;9054,6;10551,1;11681,8;12461,1;12904,3;13542,5
Рязанская область;1964,5;2404,1;2744,7;3148,7;3664,9;4176,0;4684,5;5730,6;6693,8;7390,0;8271,8;8716,3;9455,8;10266,0;11274,0;12447,0;13329,6;13846,8;14661,3
Смоленская область;1886,1;2280,4;2699,8;3046,8;3464,5;3975,6;4439,2;5237,6;6266,0;7051,1;8165,2;8626,3;9423,3;10150,5;11934,8;13136,2;13949,7;14356,1;15080,4
Тамбовская область;1914,6;2209,2;2618,3;2877,7;3492,2;3917,0;4555,1;5212,8;6145,8;6861,5;7870,9;8564,7;9117,9;9710,2;10827,6;12185,1;12709,0;12903,3;13550,3
Тверская область;1964,6;2369,6;2868,2;3275,5;3826,5;4428,5;4864,4;5808,5;6669,7;7643,2;8458,2;8919,3;9859,6;10724,7;12037,5;13231,4;13836,6;14117,8;14779,4
Тульская область;1922,7;2238,8;2629,0;3076,7;3589,2;4075,3;4544,5;5343,5;6127,7;7020,2;7850,6;8296,2;8975,2;9794,7;11269,3;12475,9;13353,0;13945,2;14917,8
Ярославская область;1983,3;2418,0;2908,2;3224,5;3654,7;4189,6;4770,5;5517,7;6341,0;7111,9;8150,7;8587,7;9327,6;10112,8;11584,6;12853,0;13852,1;14241,0;15051,0
г. Москва;3460,8;4199,9;4941,8;5486,3;6191,8;6999,3;7678,6;8630,7;9846,1;10754,1;12225,8;12992,4;13948,2;15417,3;16910,5;19274,4;20714,7;21437,8;22200,8
Северо-Западный  федеральный округ;2320,2;2794,5;3329,1;3753,3;4306,3;4915,1;5476,6;6427,5;7455,9;8176,2;9227,0;9525,6;10220,3;11046,6;12537,9;14106,0;15084,0;15771,4;16441,3
Республика Карелия;2201,8;2600,2;3087,7;3656,7;4085,2;4492,2;5089,6;5962,1;6985,8;7681,6;8950,3;9644,1;10286,2;11290,3;12840,0;14439,4;15326,9;15945,1;16569,4
Республика Коми;2386,4;2908,0;3380,3;4175,3;4776,4;5467,9;6004,7;6921,8;8117,8;9097,8;10284,6;10722,2;11361,2;12219,4;13228,1;14616,4;15319,1;15861,4;16805,6
Архангельская область;2230,6;2658,0;3357,0;3784,0;4293,5;4950,8;5503,9;6683,0;7590,3;8590,2;9838,7;10505,9;11061,9;12272,7;13358,8;14799,3;15816,9;16329,8;16921,1
в том числе:;;;;;;;;;;;;;;;;;;;
Ненецкий автономный округ;3300,8;4066,1;5131,9;5774,5;6795,7;7763,3;8166,7;8939,7;11152,3;13132,7;13826,5;14895,3;15227,7;15601,7;17304,1;19105,1;19705,9;19918,3;20141,9
Архангельская область без автономного округа;;;;;;;;;;;;;;12128,3;13213,7;14639,5;15670,7;16183,5;16788,6
Вологодская область;2043,9;2491,0;2889,0;3236,6;3780,2;4503,9;5128,1;6117,0;7073,5;7833,9;8836,1;9438,8;10228,2;10990,6;12311,3;13637,0;14553,2;15060,3;15401,0
Калининградская область;2206,1;2777,7;3094,5;3669,9;4292,7;5047,0;5621,7;6508,1;7608,8;8235,4;9039,8;9429,3;10143,2;11070,9;12222,9;13477,8;14547,4;15182,2;15979,9
Ленинградская область;2147,0;2643,4;3084,3;3485,8;4082,7;4703,1;5291,4;6076,3;6982,2;7818,7;8979,3;9408,7;10182,5;11026,1;12629,1;13956,7;14796,2;15363,3;16007,0
Мурманская область;2934,2;3571,9;4532,4;4961,4;5617,8;6286,1;6962,8;7790,1;8979,7;9963,6;11062,9;11490,3;12175,2;13128,2;14688,3;16236,1;17098,9;17702,1;18383,7
Новгородская область;2150,3;2534,5;2964,5;3311,0;3798,5;4248,7;4798,7;5810,9;6650,5;7172,1;8050,2;8334,2;8999,4;9730,4;10983,1;12054,7;12965,3;13518,8;14358,7
Псковская область;1966,7;2322,4;2670,3;3016,1;3497,8;4067,0;4598,0;5404,3;6400,3;7024,0;7954,0;8474,8;9259,0;10135,5;11701,9;13060,3;13811,0;14173,5;15024,6
г. Санкт-Петербург;2460,6;2915,2;3462,4;3851,8;4399,2;4984,1;5502,6;6506,7;7583,3;8139,9;9133,4;9786,4;10458,4;11302,7;12819,7;14421,2;15577,9;16341,5;17079,2
"Южный                федеральный округ2);3)";2101,7;2532,0;2950,1;3238,9;3713,6;4314,7;4792,9;5547,9;6415,3;7204,7;8393,1;8528,3;9099,6;9834,9;11362,3;12735,0;13353,6;13898,8;14706,5
Республика Адыгея;1949,5;2393,7;2757,6;3159,5;3749,5;4411,0;5066,4;5560,6;6382,2;7007,1;7883,3;8239,4;8847,0;9433,1;11224,5;12472,8;13243,8;13649,9;14217,7
Республика Калмыкия;2070,2;2505,0;2805,4;3063,9;3611,6;4109,1;4486,2;5094,3;6051,4;6716,8;7684,6;8113,6;8979,0;9769,9;11073,2;12256,6;12953,4;13535,3;14361,8
Республика Крым;;;;;;;;;;;;;;;8830,6;11752,2;12990,2;13634,6;15123,5
Краснодарский край;2179,8;2588,0;2991,8;3351,0;3921,3;4545,4;4992,4;5735,6;6630,2;7691,8;8757,4;8854,4;9382,3;10305,9;12346,3;14034,4;14905,3;15330,5;16128,4
Астраханская область;2204,1;2620,1;2925,2;3248,5;3528,1;4090,6;4712,6;5489,6;6141,1;6730,9;7648,4;8018,8;8528,1;9235,3;10657,6;11879,8;12925,3;13533,1;14033,8
Волгоградская область;2021,2;2465,7;2948,3;3142,6;3522,7;4213,5;4764,1;5640,7;6362,6;7103,4;8011,3;8452,8;9242,3;9721,5;10938,4;12366,5;12971,0;13417,7;13964,3
Ростовская область;2025,7;2471,1;2880,3;3251,0;3705,3;4370,6;4881,5;5736,8;6687,5;7509,8;8463,0;9051,5;9813,9;10647,4;12157,8;13488,0;14222,9;14549,7;15101,7
г. Севастополь;;;;;;;;;;;;;;;8395,4;11249,7;13091,5;13961,4;14637,5
Северо-Кавказский  федеральный округ;…;…;…;…;…;…;…;…;…;…;7919,8;8220,8;8987,5;9572,1;11073,8;12359,1;13324,0;13832,0;14603,3
Республика Дагестан;2152,3;2595,2;2810,5;3072,7;3414,0;3941,2;4344,6;5145,5;5899,0;6748,7;7531,0;8038,8;8636,9;9309,3;10457,1;11795,6;12540,0;13132,1;14045,1
Республика Ингушетия;2168,5;2805,3;3032,2;3370,1;3677,9;4349,9;4718,9;5254,4;6118,8;6693,2;7170,7;7343,9;7801,8;8726,1;9836,4;11487,1;11822,6;12344,9;12805,1
Кабардино-Балкарская  Республика;1985,9;2434,9;2888,3;2972,2;3418,3;3967,2;4295,3;4937,1;5783,1;6275,9;7220,9;7833,4;8807,2;9887,8;11259,5;12460,0;13555,6;13910,4;14408,0
Карачаево-Черкесская  Республика;1914,6;2217,9;2658,5;2919,4;3437,7;4041,8;4444,6;5016,4;5890,9;6742,9;8013,5;8310,9;8928,6;9841,8;11614,6;13084,7;13976,0;14278,9;14643,8
Республика Северная  Осетия – Алания;1977,8;2352,1;2750,3;2884,2;3395,1;3791,9;4239,8;4774,0;5623,4;6437,4;7437,3;7888,1;8581,8;9338,5;10919,7;12290,3;12764,7;13074,1;13775,0
Чеченская Республика;…;…;…;..;…;4396,5;4677,3;5414,7;6059,8;6549,0;7881,8;8534,4;9121,7;9722,9;11167,1;12929,6;13983,3;14694,7;15469,6
Ставропольский край;2088,9;2499,4;3021,4;3467,1;4066,5;4626,7;5126,2;5801,6;6827,5;7575,6;8803,2;9313,5;9914,0;10231,5;11502,3;12817,3;13583,3;14324,1;15184,5
Приволжский    федеральный округ;2051,9;2457,4;2876,5;3237,0;3713,6;4225,1;4678,5;5471,5;6254,5;6835,1;7766,9;8180,7;8874,9;9671,5;10959,3;12169,5;12959,0;13341,4;13933,3
Республика Башкортостан;1986,7;2298,4;2671,9;2960,1;3383,8;3966,6;4419,6;5200,0;5904,9;6455,0;7467,6;7939,9;8547,7;9322,4;11122,5;12241,8;13103,7;13589,5;14254,4
Республика Марий Эл;1920,3;2313,5;2708,3;2929,9;3358,4;3740,0;4120,5;4880,9;5678,6;6190,8;7261,8;7633,3;8195,8;8992,5;10534,3;11919,6;12688,8;13151,2;13907,9
Республика Мордовия;1929,7;2386,7;2878,1;3040,7;3625,9;4012,7;4430,4;5111,6;5694,8;6353,2;7527,3;7985,0;8599,9;9209,6;10505,9;11615,8;12428,1;12664,5;13266,6
Республика Татарстан;2060,4;2399,5;2751,6;2985,8;3501,6;3939,9;4329,5;5105,1;5776,1;6504,8;7320,1;7797,3;8700,5;9522,9;10798,0;11939,1;12477,4;12894,6;13488,7
Удмуртская Республика;1942,7;2316,9;2750,5;3153,4;3514,3;3945,8;4368,6;5040,9;5761,5;6349,0;7504,5;7821,9;8611,3;9456,1;10862,0;12094,9;13009,6;13417,5;13993,9
Чувашская Республика;1897,4;2225,8;2650,1;2951,2;3381,0;3754,4;4125,6;4980,6;5842,2;6375,1;7425,3;7822,2;8350,1;9093,1;10568,9;11646,3;12444,0;12777,8;13411,3
Пермский край;2201,7;2718,2;3255,0;3694,8;4148,9;4725,5;5183,6;6167,8;7190,9;7821,7;8882,3;9215,2;9914,5;10404,1;11676,8;12874,1;13553,4;13930,0;14663,0
Кировская область;2031,9;2455,5;2882,9;3284,6;3712,0;4330,4;4801,3;5486,8;6232,4;6911,5;8032,8;8559,5;9249,7;10096,7;11177,2;12505,3;13144,9;13551,0;14357,8
Нижегородская область ;2048,9;2507,9;2948,1;3441,1;3955,7;4502,0;5012,2;5913,1;6805,9;7166,2;8107,3;8608,1;9355,4;10246,8;11677,1;12978,3;13917,0;14530,0;15255,7
Оренбургская область;2043,3;2397,8;2766,3;3108,7;3436,8;3898,1;4338,7;5074,4;5826,9;6463,4;7314,0;7726,3;8329,6;9189,4;10458,7;11524,4;12186,9;12578,5;13453,4
Пензенская область;1890,4;2291,5;2749,3;2982,8;3513,6;4054,3;4524,2;5277,5;5944,4;6531,3;7531,5;8027,5;8379,5;8938,0;10336,3;11945,3;12675,9;13073,5;13713,2
Самарская область;2458,0;2904,2;3384,7;3776,4;4402,8;5086,2;5638,4;6466,0;7460,7;8093,1;8808,9;9325,1;9919,1;10658,2;11764,5;13097,2;13819,5;13895,0;14336,5
Саратовская область;2166,7;2644,4;2932,1;3214,6;3676,8;4056,6;4532,6;5215,4;5829,1;6394,2;7091,4;7545,0;8105,2;8899,1;10318,2;11447,6;12071,9;12302,7;12937,5
Ульяновская область;1810,8;2303,5;2812,2;3120,1;3638,8;4105,7;4464,1;5246,0;5966,3;6410,2;7371,0;7927,8;8552,3;9727,5;10679,5;11947,6;13022,9;13607,5;14400,0
Уральский   федеральный округ;2345,2;2840,3;3312,1;3667,6;4148,1;4728,5;5304,1;6158,2;7170,6;7882,2;8878,7;9393,6;10122,4;10954,7;12029,5;13406,8;14136,5;14641,8;15004,7
Курганская область;1962,5;2493,1;2895,7;3291,4;3665,9;4146,1;4639,1;5375,8;6163,0;6806,4;7728,1;8381,5;9015,9;9676,4;11069,7;12602,5;13520,7;13772,9;14495,7
Свердловская область ;2260,6;2724,1;3228,3;3493,7;3909,3;4479,5;4998,6;5938,4;6905,4;7619,6;8747,9;9307,0;10094,9;10867,5;11770,3;13093,5;14028,0;14542,9;14839,8
Тюменская область;2759,8;3335,2;3994,1;4475,5;5104,8;5814,7;6585,3;7440,2;8747,0;9586,8;10507,5;11085,9;11799,6;12655,5;13655,5;15158,8;15967,4;16412,0;16904,5
в том числе:;;;;;;;;;;;;;;;;;;;
Ханты-Мансийский  автономный округ – Югра;2926,4;3506,2;4328,5;4805,8;5635,4;6438,7;7387,1;8309,8;9704,5;10598,1;11509,7;12123,9;12943,5;13865,6;14687,7;16226,9;17200,1;17561,9;18087,4
Ямало-Ненецкий автономный округ;3291,1;4132,3;4836,4;5444,9;6180,9;7195,0;8017,5;8924,1;10561,3;11892,6;12684,3;13231,6;13625,7;14563,7;16038,0;17576,0;18375,7;18837,0;18911,1
Тюменская область без автономных округов;;;;;;;;;;;;;;10540,9;11588,7;13051,0;13725,8;14286,7;14912,5
