Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
21. ЦЕНЫ И ТАРИФЫ;;;;;;;;;;;;;;;;;;;
ДИНАМИКА ЦЕН НА ПОТРЕБИТЕЛЬСКОМ РЫНКЕ ;;;;;;;;;;;;;;;;;;;
21.3. ИНДЕКСЫ ПОТРЕБИТЕЛЬСКИХ ЦЕН НА ПРОДОВОЛЬСТВЕННЫЕ ТОВАРЫ;;;;;;;;;;;;;;;;;;;
"(декабрь к декабрю предыдущего года; в процентах) ";;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация1);117,9;117,1;111,0;110,2;112,3;109,6;108,7;115,6;116,5;106,1;112,9;103,9;107,5;107,3;115,4;114,0;104,6;101,1;104,7
Центральный   федеральный округ;117,0;118,8;110,8;110,1;111,9;108,8;108,0;116,2;115,8;106,5;112,6;103,2;108,0;107,6;115,3;114,7;105,0;101,9;105,2
Белгородская область;118,8;117,2;110,2;110,9;112,4;110,5;109,0;117,0;118,7;106,1;111,7;103,9;107,3;105,9;115,6;113,3;104,4;100,7;105,3
 Брянская область;116,0;114,9;113,6;112,3;112,4;109,2;108,9;117,0;115,5;108,2;113,8;103,3;107,8;107,2;117,7;114,2;104,1;102,5;105,9
Владимирская область;116,7;118,5;110,7;112,4;113,1;107,7;107,7;118,7;116,9;104,8;114,3;102,9;108,1;108,4;118,0;112,5;105,2;100,8;106,2
Воронежская область;119,3;111,9;110,6;111,9;116,5;108,8;106,4;120,3;118,1;106,6;112,4;100,1;109,4;108,8;116,6;114,3;105,8;100,1;106,4
Ивановская область;115,0;118,3;110,6;111,6;110,1;106,0;110,0;119,8;116,2;102,8;116,9;102,9;109,3;109,0;118,2;112,7;105,0;101,2;105,9
Калужская область;117,7;119,1;111,6;110,9;115,8;109,1;107,7;118,1;118,4;104,5;114,3;103,2;107,5;108,0;117,2;116,1;104,6;101,7;104,8
Костромская область;116,3;117,8;111,1;112,2;112,7;106,6;107,2;117,8;118,4;105,1;115,5;101,7;107,7;107,2;114,3;114,6;105,6;100,2;104,6
Курская область;117,4;119,2;109,6;112,9;111,0;107,7;109,1;120,2;117,6;107,9;114,5;103,5;107,4;107,0;117,1;114,6;105,3;100,9;107,0
Липецкая область;120,7;117,2;110,2;108,6;116,3;109,0;107,0;119,1;117,5;104,8;112,7;102,5;107,5;106,8;116,0;114,6;103,9;100,8;106,6
Московская область;115,1;120,7;110,5;110,7;110,6;107,5;107,0;118,2;113,8;108,4;111,5;102,8;107,6;108,2;114,5;114,5;106,3;103,0;104,8
Орловская область;117,5;117,5;111,4;111,5;113,7;107,5;108,4;116,5;118,1;106,4;113,6;103,5;107,0;108,4;117,0;113,8;105,1;101,5;104,4
Рязанская область;116,7;116,4;110,5;112,2;111,7;109,7;107,4;120,5;118,4;105,6;115,0;103,7;106,7;110,0;116,6;113,1;105,1;102,0;107,1
Смоленская область;123,0;113,3;112,6;111,7;114,5;110,3;109,0;118,5;120,8;106,5;114,3;104,5;108,6;106,0;119,3;113,0;103,5;101,5;106,0
Тамбовская область;117,7;115,2;109,3;108,8;113,5;109,8;109,0;117,3;119,8;103,3;111,8;103,8;106,4;109,0;117,6;113,7;105,0;100,5;106,4
Тверская область;119,8;116,3;111,9;112,3;112,0;108,7;107,0;116,2;116,9;105,5;114,6;103,8;106,9;108,0;119,0;112,7;103,6;101,0;105,9
Тульская область;120,4;117,8;109,5;115,3;113,3;108,0;107,5;120,0;118,2;105,4;113,6;101,4;107,3;107,5;116,2;114,1;104,8;101,1;106,3
Ярославская область;118,1;115,2;113,1;112,0;113,5;109,2;109,6;118,8;117,5;105,8;115,1;102,0;107,9;107,4;116,7;115,8;104,6;100,9;105,6
г. Москва;117,6;120,1;111,2;109,0;109,9;109,5;108,4;112,6;114,5;107,0;111,9;103,7;108,2;107,3;114,4;115,4;104,8;102,3;104,7
Северо-Западный    федеральный округ;118,5;116,7;111,5;111,9;112,5;109,7;109,4;116,9;117,5;106,5;113,8;103,3;106,7;107,7;117,7;114,1;105,1;101,6;104,5
Республика Карелия;117,0;115,4;112,5;111,4;111,3;109,8;109,4;115,8;114,3;106,8;114,8;101,5;106,5;107,9;116,2;114,0;103,9;101,5;105,6
Республика Коми;113,9;119,0;114,3;116,1;112,5;110,6;110,3;116,7;118,5;106,9;111,5;106,4;106,5;107,4;115,4;113,9;104,4;101,5;105,6
Архангельская область;116,3;116,5;111,5;112,7;113,0;109,8;110,3;116,3;116,3;105,8;113,2;104,2;106,5;107,9;119,5;112,5;105,4;100,9;103,2
в том числе:;;;;;;;;;;;;;;;;;;;
Ненецкий автономный округ;121,5;118,0;121,9;110,8;118,7;114,7;111,3;107,3;109,9;101,7;111,7;104,9;103,0;106,6;112,4;112,6;105,9;102,2;99,6
Архангельская область без автономного округа;;;;;;;;;;;;;;108,0;119,9;112,6;105,4;100,8;103,5
Вологодская область;119,5;114,5;112,1;113,9;112,9;107,5;108,9;116,4;117,6;104,4;112,9;102,6;107,0;107,7;116,4;113,2;104,0;101,3;103,6
Калининградская область;115,3;121,4;106,7;112,9;114,7;111,7;110,0;115,2;119,1;105,1;112,8;103,6;105,2;107,8;122,7;112,4;103,4;102,1;105,3
Ленинградская область;121,5;115,7;112,3;111,8;114,4;109,1;109,5;116,5;116,9;108,0;113,9;104,3;106,4;106,7;116,0;115,0;106,7;101,2;104,7
Мурманская область;115,7;116,5;114,4;112,5;111,7;109,9;109,7;116,2;116,6;108,0;113,1;103,4;106,0;107,3;115,6;113,5;104,7;102,6;106,1
Новгородская область;118,1;115,4;109,9;115,2;113,8;108,9;109,7;116,5;117,4;105,5;112,5;101,5;106,8;108,5;114,7;114,9;104,4;101,4;105,8
Псковская область;119,3;117,9;110,8;112,3;111,7;109,3;105,6;116,7;117,8;105,3;112,2;102,0;107,2;108,4;118,4;114,3;104,1;100,4;105,1
г. Санкт-Петербург;121,6;116,8;110,5;110,2;112,3;109,6;109,2;118,1;118,4;107,0;115,3;102,9;107,0;107,9;118,4;114,6;105,4;101,9;104,0
"Южный                федеральный округ2);3)";113,7;120,2;114,0;107,9;113,7;110,7;108,9;116,3;118,0;106,6;114,2;103,7;107,7;107,9;116,5;113,9;104,2;100,3;105,4
Республика Адыгея;119,3;119,9;115,2;109,6;115,7;111,2;107,9;114,4;119,3;103,1;116,0;101,7;106,7;106,7;117,1;113,2;103,3;99,6;105,5
Республика Калмыкия;111,2;120,0;114,0;106,2;120,5;109,8;107,4;117,7;120,8;104,0;116,9;105,8;107,6;106,9;113,8;110,2;104,7;103,3;106,0
Республика Крым;;;;;;;;;;;;;;;152,9;130,7;103,7;98,1;106,7
Краснодарский край;114,2;124,6;116,0;106,5;116,2;110,3;109,8;114,4;118,5;106,7;113,7;105,0;108,0;108,9;116,1;114,5;105,2;100,4;105,3
Астраханская область;114,6;120,5;109,1;109,7;112,2;109,8;109,7;117,3;116,1;107,0;116,1;102,7;107,6;106,2;115,0;114,1;103,1;100,2;104,8
Волгоградская область;117,9;117,9;110,7;108,3;114,1;109,5;108,8;118,5;115,4;105,8;115,9;101,9;107,5;106,7;118,8;113,7;103,6;101,7;105,2
Ростовская область;112,0;123,6;115,2;109,5;115,0;112,3;109,4;115,6;118,7;107,0;113,2;103,3;107,4;108,0;116,1;113,6;103,8;99,6;105,4
г. Севастополь;;;;;;;;;;;;;;;144,6;118,2;102,9;99,7;105,7
Северо-Кавказский федеральный округ;…;…;…;…;…;…;…;…;…;…;115,9;103,2;107,4;106,2;112,1;115,6;103,7;100,3;103,5
Республика Дагестан;109,7;117,7;114,7;107,1;109,4;109,2;109,7;119,1;116,8;107,6;119,7;105,0;108,5;103,9;111,4;116,4;103,5;98,7;102,6
Республика Ингушетия;113,6;117,4;119,2;114,2;104,8;117,5;111,9;113,1;119,2;112,4;107,1;103,3;106,8;105,7;108,7;119,8;102,8;103,9;101,1
Кабардино-Балкарская Республика;113,4;124,0;112,8;105,7;112,0;113,3;106,6;116,2;117,6;106,5;117,6;105,3;107,6;106,7;111,0;114,0;105,4;101,1;104,6
Карачаево-Черкесская Республика;113,3;120,7;118,0;108,3;111,9;111,2;111,2;119,4;114,2;107,6;116,1;103,1;106,5;107,2;112,8;116,8;102,9;101,2;104,4
Республика Северная         Осетия – Алания;112,5;118,1;114,5;105,5;111,5;112,0;108,6;116,6;116,7;105,8;118,6;103,2;106,8;108,3;115,9;115,4;104,0;99,7;103,5
Чеченская Республика;…;…;…;…;110,8;110,7;111,5;116,7;114,2;108,2;111,1;109,1;107,8;106,0;110,1;117,1;103,3;100,7;102,5
Ставропольский край;114,3;119,2;113,2;110,0;113,1;110,3;109,2;116,9;120,0;105,3;116,5;101,1;107,0;107,7;112,6;114,5;103,9;101,1;104,6
Приволжский      федеральный округ;119,8;116,6;111,9;110,1;112,5;108,4;107,7;116,8;116,3;104,8;114,1;103,8;107,1;106,9;115,7;112,3;104,1;100,3;104,5
Республика Башкортостан;116,9;117,9;111,5;107,1;113,5;109,0;108,3;117,1;115,5;104,5;114,5;104,2;108,5;105,8;115,4;110,7;104,3;100,6;105,0
Республика Марий Эл;121,6;114,0;113,2;110,8;112,5;106,9;105,5;118,9;115,5;106,2;116,7;102,7;106,6;109,5;117,2;113,8;104,6;100,3;106,3
Республика Мордовия;127,1;114,7;115,2;108,5;116,5;107,4;105,8;115,4;119,1;105,7;113,8;102,1;106,3;108,4;116,8;110,8;104,2;100,5;104,3
Республика Татарстан;121,7;117,5;114,7;107,7;114,1;107,4;106,5;115,4;115,7;104,4;112,0;104,0;105,9;107,9;114,2;112,0;103,3;101,3;103,3
Удмуртская Республика;118,8;117,0;113,8;109,2;111,6;108,0;108,7;118,1;115,1;104,5;116,7;103,7;108,8;108,8;112,2;110,3;102,9;100,0;104,0
Чувашская Республика;125,4;114,9;110,0;114,2;112,7;105,9;106,7;117,6;116,5;102,4;114,7;102,2;105,6;106,3;116,7;112,3;102,9;99,1;104,7
Пермский край;123,8;118,5;112,2;113,0;112,4;107,7;108,2;120,2;118,1;107,2;115,3;104,0;108,2;106,2;113,9;114,3;104,8;100,2;103,9
Кировская область;120,5;115,2;111,5;113,1;113,1;108,6;108,7;117,3;116,1;104,4;115,5;103,9;108,2;109,0;115,9;111,5;104,0;99,9;104,3
Нижегородская область ;119,9;118,1;110,7;112,2;114,4;109,7;108,7;119,2;116,5;103,8;114,1;104,5;107,6;108,2;116,6;111,5;104,8;100,4;104,8
Оренбургская область;117,6;115,7;111,6;108,9;111,1;109,4;108,7;114,4;115,0;105,7;115,3;103,4;107,8;105,5;115,4;111,0;103,2;100,7;104,9
Пензенская область;120,7;115,1;110,5;109,6;116,2;109,6;108,4;115,4;117,7;105,9;113,1;103,2;106,3;107,0;115,4;111,1;103,3;100,6;104,6
Самарская область;119,3;117,1;113,1;109,2;110,0;109,8;108,6;116,6;117,3;105,5;113,7;103,6;106,4;106,6;118,7;115,6;105,2;99,5;104,9
Саратовская область;118,5;116,8;109,9;108,4;109,6;106,5;105,8;114,2;115,5;105,4;111,6;103,4;105,6;105,2;115,2;111,7;102,7;99,0;104,6
