Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
21. ЦЕНЫ И ТАРИФЫ;;;;;;;;;;;;;;;;;;;
ДИНАМИКА ЦЕН НА ПОТРЕБИТЕЛЬСКОМ РЫНКЕ ;;;;;;;;;;;;;;;;;;;
21.5. ИНДЕКСЫ ПОТРЕБИТЕЛЬСКИХ ЦЕН (ТАРИФОВ) НА УСЛУГИ;;;;;;;;;;; ;;;;;;;;
"(декабрь к декабрю предыдущего года; в процентах)";;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация1);133,7;136,9;136,2;122,3;117,7;121,0;113,9;113,3;115,9;111,6;108,1;108,7;107,3;108,0;110,5;110,2;104,9;104,4;103,9
Центральный федеральный округ;139,5;134,6;139,7;121,9;118,6;120,6;114,8;113,8;116,4;112,9;108,6;109,0;107,2;108,2;112,1;112,2;105,6;104,8;104,2
Белгородская область;139,3;149,6;149,2;119,1;118,9;126,2;113,6;110,5;114,4;113,1;111,9;108,2;107,7;111,3;109,7;106,9;103,4;102,6;103,2
Брянская область;129,5;136,2;147,7;122,0;122,7;126,8;115,0;115,3;119,8;110,7;110,2;108,5;109,1;108,0;110,1;109,2;106,9;103,0;104,0
Владимирская область;130,0;155,1;131,1;135,0;122,8;126,9;117,1;113,4;121,8;112,5;109,2;110,2;107,9;109,1;111,3;106,6;102,8;104,8;104,5
Воронежская область;134,3;149,4;134,2;116,6;119,5;120,9;116,4;113,6;117,1;116,6;105,9;108,4;108,3;108,8;109,4;108,2;102,9;104,1;102,7
Ивановская область;127,5;138,0;142,2;135,2;124,9;116,6;117,1;113,0;116,1;117,7;109,5;111,2;106,1;108,6;107,4;110,8;106,1;105,5;103,9
Калужская область;123,1;140,0;150,7;128,7;116,5;120,9;114,3;111,3;115,8;116,1;105,9;109,2;110,2;109,2;110,7;108,3;102,7;105,8;103,4
Костромская область;139,0;153,1;141,4;127,8;121,6;123,4;114,8;112,6;113,4;112,9;107,6;111,2;108,9;110,7;110,1;107,7;102,5;104,4;103,9
Курская область;133,5;158,4;150,9;134,7;110,2;116,9;123,2;117,7;123,9;113,6;109,4;108,0;108,1;107,3;109,3;108,0;104,0;102,7;105,0
Липецкая область;132,7;130,5;136,1;142,0;115,0;125,4;119,5;113,4;119,5;111,4;107,6;104,7;108,9;108,6;111,0;106,3;103,0;104,2;103,9
Московская область;155,1;141,5;148,9;120,1;119,5;126,8;114,3;114,1;115,7;115,6;108,5;109,7;104,5;109,6;113,8;112,5;104,6;102,7;106,0
Орловская область;137,7;132,9;143,1;120,9;115,9;122,4;111,9;111,7;117,4;111,9;107,6;109,9;110,2;109,2;110,4;107,6;105,9;102,2;103,7
Рязанская область;132,9;159,2;125,5;136,6;119,4;118,4;114,6;116,2;116,4;114,7;107,3;109,9;108,4;108,3;115,5;108,3;103,4;105,9;104,7
Смоленская область;127,2;140,6;154,5;122,5;115,7;122,4;114,5;112,6;117,7;114,1;112,3;109,5;107,6;108,1;111,6;108,4;105,8;103,6;103,8
Тамбовская область;135,7;131,7;137,6;116,7;129,9;115,0;112,0;111,6;115,4;113,0;106,7;109,2;110,7;109,4;108,6;105,6;103,4;103,0;104,4
Тверская область;139,5;150,1;141,1;122,5;120,9;125,6;112,4;112,2;111,9;110,6;107,5;108,9;108,8;108,8;110,1;109,4;105,0;103,7;103,1
Тульская область;146,5;124,6;157,7;132,6;127,5;126,1;113,0;113,8;119,3;116,1;108,2;110,4;110,4;108,0;110,9;110,8;103,3;105,2;102,8
Ярославская область;139,4;162,8;140,0;118,3;113,9;130,6;117,8;113,3;114,5;112,5;108,4;110,6;109,5;108,6;112,5;109,5;105,3;105,1;104,1
г. Москва;137,1;134,1;144,4;118,7;119,0;118,1;114,3;114,1;115,8;113,2;109,9;108,7;107,5;107,4;112,3;114,1;106,9;106,0;103,6
Северо-Западный федеральный округ;137,9;136,2;130,1;122,6;120,3;122,3;114,8;113,4;116,4;111,1;107,6;108,4;106,3;107,7;110,2;109,1;103,7;105,3;103,8
Республика Карелия;129,3;148,3;138,5;122,7;118,0;117,6;114,4;119,5;118,2;114,8;109,2;110,1;108,4;109,3;107,9;108,9;103,5;104,5;103,0
