Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
21. ЦЕНЫ И ТАРИФЫ;;;;;;;;;;;;;;;;;;;
УРОВЕНЬ И ДИНАМИКА ЦЕН НА РЫНКЕ ЖИЛЬЯ;;;;;;;;;;;;;;;;;;;
21.6. ИНДЕКСЫ ЦЕН НА ПЕРВИЧНОМ РЫНКЕ ЖИЛЬЯ1);;;;;;;;;;;;;;;;;;;
"(на конец года; в процентах к концу предыдущего года)";;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;113,1;125,1;122,5;118,8;118,5;117,5;147,7;123,4;110,3;92,4;100,3;106,7;110,7;104,8;105,7;99,72);99,6;101,0;106,3
Центральный   федеральный округ;105,1;116,8;123,1;124,1;117,7;113,8;155,2;119,9;111,6;93,7;100,8;105,7;108,9;106,7;107,5;100,7;100,0;101,1;106,3
Белгородская область;116,9;120,9;139,1;118,4;114,7;113,2;160,6;125,3;114,9;95,8;99,3;104,0;112,6;105,6;102,6;95,7;103,8;99,8;102,0
Брянская область;103,6;115,5;142,8;130,9;118,6;112,4;122,1;134,0;130,7;84,3;102,3;105,8;105,8;106,8;117,4;98,4;100,4;98,4;100,4
Владимирская область;119,2;138,4;126,4;140,7;120,9;111,4;163,7;139,4;112,7;86,7;98,5;107,9;101,8;103,7;104,2;93,3;90,3;100,2;102,4
Воронежская область;101,4;112,7;118,5;123,7;123,8;114,8;143,1;131,3;116,5;94,0;103,1;108,7;115,9;104,4;108,6;99,6;95,7;95,4;106,1
Ивановская область;114,5;131,5;135,8;120,9;116,1;109,0;155,8;145,7;103,9;97,5;99,0;103,8;99,8;101,8;103,8;96,5;99,9;100,6;100,6
Калужская область;91,7;133,5;126,1;114,3;115,6;127,2;145,8;135,3;149,2;84,1;99,6;107,5;103,0;104,7;101,2;99,0;99,8;101,8;105,1
Костромская область;105,6;135,8;132,1;106,2;123,3;114,5;181,9;121,8;92,4;90,6;93,8;97,4;105,8;103,9;105,9;103,7;98,1;95,5;104,0
Курская область;97,8;112,9;118,4;130,8;119,4;115,3;129,3;138,3;112,3;85,9;100,0;108,3;108,8;111,2;113,8;90,2;95,7;101,8;107,2
Липецкая область;116,6;131,3;126,2;125,8;144,9;116,9;130,2;160,8;122,4;80,5;107,5;106,2;111,7;102,3;96,6;99,2;92,9;105,2;108,4
Московская область;106,9;117,9;122,4;118,6;118,1;127,7;168,6;129,3;116,2;95,0;100,3;107,9;109,6;103,3;108,7;101,5;102,2;106,2;107,7
Орловская область;108,2;123,0;121,8;115,1;125,5;111,9;122,2;137,9;125,6;93,0;98,5;105,9;118,1;103,4;102,0;100,7;94,3;105,2;104,0
Рязанская область;108,2;119,8;126,4;108,4;124,6;120,2;152,1;136,7;117,3;85,3;107,8;100,1;104,2;104,1;106,6;96,9;96,4;106,4;107,9
Смоленская область;101,3;102,2;108,0;132,9;132,4;122,5;141,7;135,3;122,5;85,9;105,3;113,2;108,9;103,8;101,7;94,3;99,3;99,9;101,1
Тамбовская область;115,5;115,5;130,4;124,6;115,6;118,3;134,6;132,5;121,4;85,9;103,3;104,8;120,4;109,3;109,6;99,3;98,0;94,3;104,5
Тверская область;121,1;120,8;116,7;134,4;121,9;117,1;151,1;128,5;126,9;82,0;109,0;100,3;107,2;99,1;104,4;99,7;92,3;97,6;99,9
Тульская область;102,6;111,5;132,4;115,2;129,2;117,7;134,5;126,1;114,7;101,0;92,9;108,5;101,6;100,9;114,2;96,2;90,6;99,2;110,0
Ярославская область;123,9;141,9;122,9;105,8;131,3;110,9;178,7;110,0;122,7;86,3;101,8;110,0;117,7;101,0;99,5;93,4;97,6;99,8;101,8
г. Москва;100,9;114,8;116,1;127,1;116,0;109,5;152,5;110,8;112,7;95,6;103,5;103,6;106,2;111,7;107,9;106,5;102,0;97,9;106,1
Северо-Западный     федеральный округ;112,0;120,2;121,4;130,2;117,2;109,3;146,3;121,9;111,4;93,4;99,2;108,1;113,8;99,8;102,3;98,6;105,9;102,9;105,6
Республика Карелия;113,6;137,7;118,6;130,4;118,0;101,7;115,8;132,8;120,9;90,1;103,5;102,5;105,0;93,4;101,6;100,3;101,4;98,9;103,3
Республика Коми;130,1;143,8;124,7;128,0;131,0;129,7;197,0;114,2;95,4;97,3;101,2;113,4;121,6;105,2;104,4;94,4;92,8;95,4;94,6
Архангельская область;100,0;169,0;114,3;126,3;118,8;109,8;177,3;114,9;106,1;98,7;100,1;109,4;116,7;99,0;102,8;99,5;99,4;102,7;105,0
в том числе:;;;;;;;;;;;;;;;;;;;
Ненецкий автономный округ;…;…;…;…;…;102,3;108,9;117,9;136,3;107,8;103,0;99,9;100,0;100,0;…;…;…;…;97,6
Архангельская область    без автономного округа;;;;;;;;;;;;;;98,3;102,8;99,5;99,4;102,7;107,1
Вологодская область;125,8;142,4;116,6;155,7;117,7;110,8;166,9;121,5;101,2;84,5;105,5;108,4;111,5;100,6;100,4;92,6;98,1;99,9;102,2
Калининградская область;…;…;…;…;132,9;102,2;124,8;154,4;105,1;91,2;101,9;104,6;104,1;103,7;105,1;110,7;102,8;103,0;101,6
Ленинградская область;108,1;113,9;117,7;132,8;114,7;107,2;121,5;113,7;126,1;94,0;95,0;99,6;103,9;100,4;119,2;109,8;99,9;99,7;103,2
Мурманская область;100,0;100,0;…;…;…;…;…;…;…;…;…;…;… ;…;…;…;…;…;…
Новгородская область;102,4;165,8;126,8;115,4;122,8;116,0;155,4;124,6;126,0;97,4;106,9;105,0;114,8;107,8;101,7;88,2;102,1;100,1;108,6
Псковская область;102,5;149,5;132,5;134,9;129,5;112,5;128,7;142,4;113,9;107,0;99,7;101,2;106,0;103,1;103,8;99,5;99,5;99,2;101,6
г. Санкт-Петербург;109,4;113,2;120,7;127,7;114,9;108,7;147,3;120,3;115,7;93,7;96,5;109,9;116,7;99,0;102,0;97,9;108,0;103,7;106,5
Южный              федеральный округ3);106,2;118,9;122,9;117,3;118,9;122,1;123,3;131,4;121,5;90,5;100,4;105,9;105,1;102,3;105,5;100,9;99,6;100,6;107,0
Республика Адыгея;100,0;156,6;142,0;106,9;128,2;117,2;116,1;143,6;132,5;93,3;83,9;114,5;99,5;101,4;103,3;108,2;98,1;97,6;99,7
